title	link	date	title_corrected
Costa Rica in talks with Belize over plight of Cuban migrants - Breaking Belize News	https://www.breakingbelizenews.com/2015/12/04/costa-rica-talks-belize-plight-cuban-migrants/	2015-12-04	Costa Rica in talks with Belize over plight of Cuban migrants
Costa Rica withdraws from SICA over Cuban migrants - Breaking Belize News	https://www.breakingbelizenews.com/2015/12/22/costa-rica-withdraws-sica-cuban-migrants/	2015-12-22	Costa Rica withdraws from SICA over Cuban migrants
1500 refugees and counting working to settle in Belize: report - Breaking Belize News	https://www.breakingbelizenews.com/2016/04/30/1500-refugees-counting-working-settle-belize-report/	2016-04-30	1500 refugees and counting working to settle in Belize: report
GOB explains refugee situation - Breaking Belize News	https://www.breakingbelizenews.com/2016/05/10/gob-explains-refugee-situation/	2016-05-10	GOB explains refugee situation
Cabinet calls halt to Help for Progress refugee program - Breaking Belize News	https://www.breakingbelizenews.com/2016/05/17/cabinet-calls-halt-progress-refugee-program/	2016-05-17	Cabinet calls halt to Help for Progress refugee program
2016 Olympics opens in Rio - Breaking Belize News	https://www.breakingbelizenews.com/2016/08/06/2016-olympics-opens-rio/	2016-08-06	2016 Olympics opens in Rio
Belize - The Middle East's refugee solution? - Breaking Belize News	https://www.breakingbelizenews.com/2017/02/13/belize-middle-easts-refugee-solution/	2017-02-13	BelizeThe Middle East's refugee solution?
Belize - The Demographics of Migration and Graduation - Breaking Belize News	https://www.breakingbelizenews.com/2017/05/30/belize-demographics-migration-graduation/	2017-05-30	BelizeThe Demographics of Migration and Graduation
Belize – The Chinese Phenomenon - Breaking Belize News	https://www.breakingbelizenews.com/2017/06/06/belize-chinese-phenomenon/	2017-06-06	Belize – The Chinese Phenomenon
19 Belizeans awarded Taiwan Scholarships - Breaking Belize News	https://www.breakingbelizenews.com/2017/06/28/19-belizeans-awarded-taiwan-scholarships/	2017-06-28	19 Belizeans awarded Taiwan Scholarships
Belize prepares to submit human rights reports - Breaking Belize News	https://www.breakingbelizenews.com/2018/02/23/belize-prepares-to-submit-human-rights-reports/	2018-02-23	Belize prepares to submit human rights reports
Galen University signs agreement with UN Immigration Agency - Breaking Belize News	https://www.breakingbelizenews.com/2018/04/09/galen-university-signs-agreement-with-un-immigration-agency/	2018-04-09	Galen University signs agreement with UN Immigration Agency
Belize to develop new migration policy - Breaking Belize News	https://www.breakingbelizenews.com/2018/05/16/belize-to-develop-new-migration-policy/	2018-05-16	Belize to develop new migration policy
The demographics of migration and graduation in Belize - Breaking Belize News	https://www.breakingbelizenews.com/2018/05/30/the-demographics-of-migration-and-graduation-in-belize/	2018-05-30	The demographics of migration and graduation in Belize
Belize and Mexico hold second cross border migration meeting - Breaking Belize News	https://www.breakingbelizenews.com/2018/07/12/belize-and-mexico-hold-second-cross-border-migration-meeting/	2018-07-12	Belize and Mexico hold second cross border migration meeting
Teachers attend workshop on risks of 'irregular migration' - Breaking Belize News	https://www.breakingbelizenews.com/2018/08/07/teachers-attend-workshop-on-risks-of-irregular-migration/	2018-08-07	Teachers attend workshop on risks of 'irregular migration'
