title	link	date	title_corrected
25 – 31 december 1989 - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/01/02/25-31-december-1989/	1989-12-31	25 – 31 december 1989DE WEST
NPS niet weg te denken uit politiek Suriname - dagbladdewest.com	https://dagbladdewest.com/2014/10/03/nps-niet-weg-te-denken-uit-politiek-suriname/	2014-10-03	NPS niet weg te denken uit politiek Suriname
Jaaroverzicht Buitenland Mei 2014 - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/01/06/jaaroverzicht-buitenland-mei-2014/	2015-01-06	Jaaroverzicht Buitenland Mei 2014DE WEST
De West - Florida en zandkastelen bouwen - dagbladdewest.com	https://dagbladdewest.com/2015/01/21/florida-en-zandkastelen-bouwen/	2015-01-21	De WestFlorida en zandkastelen bouwen
Remy Pollack wil drie zetels Commewijne - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/01/23/remy-pollack-wil-drie-zetels-commewijne/	2015-01-23	Remy Pollack wil drie zetels CommewijneDE WEST
CELAC topconferentie tegen armoede en honger - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/01/31/celac-topconferentie-tegen-armoede-en-honger/	2015-01-31	CELAC topconferentie tegen armoede en hongerDE WEST
Politieke ontwikkelingen in Commewijne - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/02/06/politieke-ontwikkelingen-commewijne/	2015-02-06	Politieke ontwikkelingen in CommewijneDE WEST
De West - DE WEEK IN RETRO... - dagbladdewest.com	https://dagbladdewest.com/2015/02/14/de-week-retro-9/	2015-02-14	De WestDE WEEK IN RETRO...
Suriname, goede reputatie op verkiezingsgebied - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/03/18/suriname-goede-reputatie-op-verkiezingsgebied/	2015-03-18	Suriname, goede reputatie op verkiezingsgebiedDE WEST
'400 mensen in Middellandse Zee verdronken' - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/04/15/400-mensen-in-middellandse-zee-verdronken/	2015-04-15	'400 mensen in Middellandse Zee verdronken'DE WEST
25 JAAR GELEDEN - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/04/17/25-jaar-geleden-12/	2015-04-17	25 JAAR GELEDENDE WEST
Justitia Pietas Fides MMDCCXLIV - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/04/23/justitia-pietas-fides-mmdccxliv/	2015-04-23	Justitia Pietas Fides MMDCCXLIVDE WEST
Hindoestaanse immigratie vervat in roman - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/04/24/hindoestaanse-immigratie-vervat-in-roman/	2015-04-24	Hindoestaanse immigratie vervat in romanDE WEST
De West - Justitia Pietas Fides MMDCCXL - dagbladdewest.com	https://dagbladdewest.com/2015/04/30/justitia-pietas-fides-mmdccxl/	2015-04-30	De WestJustitia Pietas Fides MMDCCXL
De West - Zakelijke en culturele invloeden China alsmaar groter - dagbladdewest.com	https://dagbladdewest.com/2015/06/23/zakelijke-en-culturele-invloeden-china-alsmaar-groter/	2015-06-23	De WestZakelijke en culturele invloeden China alsmaar groter
Patko is geen 'badman' meer - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/07/04/patko-is-geen-badman-meer/	2015-07-04	Patko is geen 'badman' meerDE WEST
'Holland a no Paradijs' voor 32% Surinaamse immigranten - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/07/24/holland-a-no-paradijs-voor-32-surinaamse-immigranten/	2015-07-24	'Holland a no Paradijs' voor 32% Surinaamse immigrantenDE WEST
