title	link	date	title_corrected
El gobierno otorgó el status de refugiado político al chileno Apablaza - La Prensa (Argentina)	https://www.laprensa.com.ar/365688-El-gobierno-otorgo-el-status-de-refugiado-politico-al-chileno-Apablaza.note.aspx	2010-09-30	El gobierno otorgó el status de refugiado político al chileno Apablaza
Página/12 :: Sociedad :: La migración rejuvenece al país - Página 12	https://www.pagina12.com.ar/diario/sociedad/subnotas/175898-55474-2011-09-02.html	2011-09-02	Página/12 :: Sociedad :: La migración rejuvenece al país
La vida en Container City, el campo de refugiados sirios - Clarín.com	https://www.clarin.com/mundo/container-city-campo-refugiados-sirios_0_BkZVsmx3P7x.html	2012-09-01	La vida en Container City, el campo de refugiados sirios
Moscú anuncia que dos ciudadanos rusos fueron secuestrados - La Prensa (Argentina)	https://www.laprensa.com.ar/400397-Moscu-anuncia-que-dos-ciudadanos-rusos-fueron-secuestrados.note.aspx	2012-12-18	Moscú anuncia que dos ciudadanos rusos fueron secuestrados
Crónicas del exilio: el recuerdo de los hijos de montoneros refugiados en Cuba - El Cronista	https://www.cronista.com/we/Cronicas-del-exilio-el-recuerdo-de-los-hijos-de-montoneros-refugiados-en-Cuba-20130628-0015.html	2013-06-28	Crónicas del exilio: el recuerdo de los hijos de montoneros refugiados en Cuba
Página/12 :: Sociedad :: Un recorrido por la historia de la migración - Página 12	https://www.pagina12.com.ar/diario/sociedad/3-228669-2013-09-10.html	2013-09-10	Página/12 :: Sociedad :: Un recorrido por la historia de la migración
"El Papa criticó a ""los mercaderes de carne humana"" que esclavizan a inmigrantes - La Prensa (Argentina)"	https://www.laprensa.com.ar/418217-El-Papa-critico-a-los-mercaderes-de-carne-humana-que-esclavizan-a-inmigrantes.note.aspx	2014-01-19	"El Papa criticó a ""los mercaderes de carne humana"" que esclavizan a inmigrantes"
Página/12 :: El mundo :: Pepe recibe a los refugiados - Página 12	https://www.pagina12.com.ar/diario/elmundo/4-257192-2014-10-10.html	2014-10-10	Página/12 :: El mundo :: Pepe recibe a los refugiados
Quién es Kurt Sonnenfeld, el refugiado en la Argentina más temido por EE.UU. - lanacion.com (Argentina)	https://www.lanacion.com.ar/el-mundo/quien-es-kurt-sonnenfeld-el-refugiado-en-la-argentina-mas-temido-por-eeuu-nid1757436/	2015-01-04	Quién es Kurt Sonnenfeld, el refugiado en la Argentina más temido por EE.UU.
Página/12 :: El mundo :: El verdadero problema de la migración - Página 12	https://www.pagina12.com.ar/diario/elmundo/4-271468-2015-04-27.html	2015-04-27	Página/12 :: El mundo :: El verdadero problema de la migración
Conmoción mundial por la imagen del cadáver de un niño refugiado tirado en una playa turca - La Prensa (Argentina)	https://www.laprensa.com.ar/437471-Conmocion-mundial-por-la-imagen-del-cadaver-de-un-nino-refugiado-tirado-en-una-playa-turca.note.aspx	2015-09-02	Conmoción mundial por la imagen del cadáver de un niño refugiado tirado en una playa turca
El Gobierno, abierto a recibir refugiados sirios en el país - El Cronista	https://www.cronista.com/economiapolitica/El-Gobierno-abierto-a-recibir-refugiados-sirios-en-el-pais-20150904-0073.html	2015-09-04	El Gobierno, abierto a recibir refugiados sirios en el país
¿Cuántos refugiados hay en Argentina? - lanacion.com (Argentina)	https://www.lanacion.com.ar/el-mundo/cuantos-refugiados-hay-en-argentina-nid1825171/	2015-09-04	¿Cuántos refugiados hay en Argentina?
Alemania desbloquea 6.000 millones de euros más para los refugiados - El Cronista	https://www.cronista.com/internacionales/Alemania-desbloquea-6-000-millones-de-euros-mas-para-los-refugiados-20150907-0055.html	2015-09-07	Alemania desbloquea 6.000 millones de euros más para los refugiados
Los refugiados sirios en Uruguay se quieren ir - Clarín.com	https://www.clarin.com/mundo/refugiados-sirios-uruguay-irse_0_H1eeJwmYDme.html	2015-09-08	Los refugiados sirios en Uruguay se quieren ir
"""Yo no quiero parecerme a países que echan inmigrantes y dejan morir chicos en las playas"" - La Prensa (Argentina)"	https://www.laprensa.com.ar/437681-Yo-no-quiero-parecerme-a-paises-que-echan-inmigrantes-y-dejan-morir-chicos-en-las-playas.note.aspx	2015-09-09	"""Yo no quiero parecerme a países que echan inmigrantes y dejan morir chicos en las playas"""
El drama de los refugiados: al menos 38 muertos en otro naufragio - Clarín.com	https://www.clarin.com/mundo/naufragio-mar-egeo-deja-muertos_0_rJpWQXYwmg.html	2015-09-13	El drama de los refugiados: al menos 38 muertos en otro naufragio
Quiénes son los refugiados sirios que buscan una nueva oportunidad en Europa - Clarín.com	https://www.clarin.com/mundo/refugiados-sirios-buscan-nueva-oportunidad-Europa_0_BycHz7twXg.html	2015-09-14	Quiénes son los refugiados sirios que buscan una nueva oportunidad en Europa
Unos 5 mil refugiados viven en la Argentina - Actualidad | Diario La Prensa - La Prensa (Argentina)	https://www.laprensa.com.ar/437813-Unos-5-mil-refugiados-viven-en-la-Argentina.note.aspx	2015-09-14	Unos 5 mil refugiados viven en la ArgentinaActualidadDiario La Prensa
"Aludió a la ""oleada migratoria"" que ""huye de la muerte"" - La Prensa (Argentina)"	https://www.laprensa.com.ar/438006-Aludio-a-la-oleada-migratoria-que-huye-de-la-muerte.note.aspx	2015-09-19	"Aludió a la ""oleada migratoria"" que ""huye de la muerte"""
Caídos del mapa: la vida de los refugiados sirios en la Argentina - Clarín.com	https://www.clarin.com/mundo/vida-refugiados-sirios-argentina_0_SJfK1XtwXe.html	2015-09-19	Caídos del mapa: la vida de los refugiados sirios en la Argentina
Mueren 13 refugiados al naufragar su embarcación frente a la costa de Turquía - La Prensa (Argentina)	https://www.laprensa.com.ar/438015-Mueren-13-refugiados-al-naufragar-su-embarcacion-frente-a-la-costa-de-Turquia.note.aspx	2015-09-20	Mueren 13 refugiados al naufragar su embarcación frente a la costa de Turquía
Messi encabeza una campaña de ayuda a los refugiados - Clarín.com	https://www.clarin.com/mundo/messi-encabeza-campana-ayuda-refugiados_0_SkM6jGtDml.html	2015-09-22	Messi encabeza una campaña de ayuda a los refugiados
Francia les abre las puertas, pero los refugiados sirios prefieren otros países - Clarín.com	https://www.clarin.com/mundo/francia-inmigrantes-refugiados-siria_0_By6ofKPQe.html	2015-09-22	Francia les abre las puertas, pero los refugiados sirios prefieren otros países
Una afgana de 105 años llega como refugiada a Croacia - LA NACION (Argentina)	https://www.lanacion.com.ar/el-mundo/una-afgana-de-105-anos-llega-como-refugiada-a-croacia-nid1840304/	2015-10-27	Una afgana de 105 años llega como refugiada a Croacia
La historia del voluntario argentino que salva a refugiados en el mar Egeo - Clarín.com	https://www.clarin.com/sociedad/historia-voluntario-argentino-refugiados-egeo_0_rJjR0gKwmg.html	2015-11-02	La historia del voluntario argentino que salva a refugiados en el mar Egeo
Fiorella, la nadadora argentina que salva a refugiados en el Egeo - Clarín.com	https://www.clarin.com/sociedad/refugiados-egeo-argentinos-fiorella_crotti_0_Hy_jWetPXx.html	2015-11-21	Fiorella, la nadadora argentina que salva a refugiados en el Egeo
Banksy ahora pintó a Steve Jobs en un campo de refugiados de Francia - Clarín.com	https://www.clarin.com/mundo/banksy-steve-jobs-campo-refugiados_0_HkklZEkYw7g.html	2015-12-12	Banksy ahora pintó a Steve Jobs en un campo de refugiados de Francia
"Javier de Lucas: ""Es hipócrita que Europa se queje de los refugiados cuando no previó nada"" - Clarín.com"	https://www.clarin.com/opinion/ue-refugiados-inmigracion-derecho_de_asilo_0_H1ZweROwme.html	2016-01-24	"Javier de Lucas: ""Es hipócrita que Europa se queje de los refugiados cuando no previó nada"""
"Nuevos migrantes: los africanos que buscan el ""sueño argentino"" - LA NACION (Argentina)"	https://www.lanacion.com.ar/buenos-aires/nuevos-migrantes-los-africanos-que-buscan-el-sueno-argentino-nid1865083/	2016-01-25	"Nuevos migrantes: los africanos que buscan el ""sueño argentino"""
La migración masiva hacia Europa es imparable - El Cronista	https://www.cronista.com/financial-times/La-migracion-masiva-hacia-Europa-es-imparable-20160125-0012.html	2016-01-25	La migración masiva hacia Europa es imparable
"El viaje épico de Kunkush, el ""gato refugiado"" - Clarín.com"	https://www.clarin.com/mundo/viaje-epico-Kunkush-gato-refugiado_0_EJvadGVol.html	2016-02-22	"El viaje épico de Kunkush, el ""gato refugiado"""
En su mensaje de Pascua, Francisco pidió por el pueblo venezolano y los refugiados - La Prensa (Argentina)	https://www.laprensa.com.ar/443036-En-su-mensaje-de-Pascua-Francisco-pidio-por-el-pueblo-venezolano-y-los-refugiados.note.aspx	2016-03-27	En su mensaje de Pascua, Francisco pidió por el pueblo venezolano y los refugiados
Grecia invita a refugiados a la Acrópolis para celebrar el Día de Europa - Clarín.com	https://www.clarin.com/mundo/grecia-refugiados-acropolis-dia-europa_0_NJM9PDF-b.html	2016-05-09	Grecia invita a refugiados a la Acrópolis para celebrar el Día de Europa
Nizip-2: Un campo de refugiados distinto a todo lo conocido - LA NACION (Argentina)	https://www.lanacion.com.ar/el-mundo/nizip-2-un-campo-de-refugiados-distinto-a-todo-lo-conocido-nid1901207/	2016-05-22	Nizip-2: Un campo de refugiados distinto a todo lo conocido
El llanto sin consuelo de dos niños refugiados que perdieron a su madre cuando intentaban llegar a Europa - LA NACION (Argentina)	https://www.lanacion.com.ar/el-mundo/ninos-refugiados-foto-llanto-madre-mediterraneo-nid1923657/	2016-08-01	El llanto sin consuelo de dos niños refugiados que perdieron a su madre cuando intentaban llegar a Europa
Horror en Turquía: decapitan y descuartizan a un refugiado gay - Clarín.com	https://www.clarin.com/mundo/horror-turquia-decapitan-descuartizan-refugiado_0_rJHcC6et.html	2016-08-04	Horror en Turquía: decapitan y descuartizan a un refugiado gay
Fuocoammare es un poderoso documento de la crisis de los refugiados - LA NACION (Argentina)	https://www.lanacion.com.ar/espectaculos/la-crisis-de-los-refugiados-en-un-poderoso-documento-nid1926775/	2016-08-11	Fuocoammare es un poderoso documento de la crisis de los refugiados
Macri recurre a las provincias por los refugiados sirios - LA NACION (Argentina)	https://www.lanacion.com.ar/politica/refugiados-sirios-macri-buscara-el-apoyo-politico-y-logistico-de-los-gobernadores-nid1928486/	2016-08-16	Macri recurre a las provincias por los refugiados sirios
Página/12 :: El país :: Una cárcel para extranjeros - Página 12	https://www.pagina12.com.ar/diario/elpais/1-307814-2016-08-26.html	2016-08-26	Página/12 :: El país :: Una cárcel para extranjeros
