title	link	date	title_corrected
Argentina y España son los principales destinos para los migrantes bolivianos - noticiasfides.com	https://www.noticiasfides.com/economia/argentina-y-espana-son-los-principales-destinos-para-los-migrantes-bolivianos-337990-337977	2013-12-30	Argentina y España son los principales destinos para los migrantes bolivianos
Movimiento Regional por la Tierra promueve migración ciudad-campo - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/movimiento-regional-por-la-tierra-promueve-migracion-ciudad-campo-342539-342523	2014-05-20	Movimiento Regional por la Tierra promueve migración ciudad-campo
Julio César Vásquez es refugiado político desde marzo de 2000 - Diario Pagina Siete	https://www.paginasiete.bo/sociedad/2014/8/14/julio-cesar-vasquez-refugiado-politico-desde-marzo-2000-29322.html	2014-08-13	Julio César Vásquez es refugiado político desde marzo de 2000
Arzobispo de Salta: Urkupiña es un símbolo de integración entre los pueblos migrantes - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/arzobispo-de-salta-urkupina-es-un-simbolo-de-integracion-entre-los-pueblos-migrantes-345172-345156	2014-08-15	Arzobispo de Salta: Urkupiña es un símbolo de integración entre los pueblos migrantes
Muere Francisco “Pacho” Cortés refugiado político en Bolivia - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/muere-francisco-pacho-cortes-refugiado-politico-en-bolivia-346711-346695	2014-10-06	Muere Francisco “Pacho” Cortés refugiado político en Bolivia
¿Cuáles son las causas de la crisis migratoria en Europa? - Diario Pagina Siete	https://www.paginasiete.bo/planeta/2015/9/6/cuales-causas-crisis-migratoria-europa-69129.html	2015-09-05	¿Cuáles son las causas de la crisis migratoria en Europa?
Cada vez más migrantes denuncian violencia familiar en Argentina - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/cada-vez-mas-migrantes-denuncian-violencia-familiar-en-argentina-359323-359273	2015-11-13	Cada vez más migrantes denuncian violencia familiar en Argentina
Canadá dirá no a hombres solteros entre refugiados - Diario Pagina Siete	https://www.paginasiete.bo/miradas/2015/11/28/canada-dira-hombres-solteros-entre-refugiados-78449.html	2015-11-28	Canadá dirá no a hombres solteros entre refugiados
INE: 62,0% de los emigrantes bolivianos vive en Argentina y España - Oxigeno - Periódico Vital de Bolivia	http://www.oxigeno.bo/gente/13547	2015-12-21	INE: 62,0% de los emigrantes bolivianos vive en Argentina y EspañaOxigeno
Fotografía: Los migrantes bolivianos en el ojo de Eduardo Schwarzberg - noticiasfides.com	https://www.noticiasfides.com/cultura-y-farandula/fotografia-los-migrantes-bolivianos-en-el-ojo-de-eduardo-schwarzberg--361129-361063	2016-01-01	Fotografía: Los migrantes bolivianos en el ojo de Eduardo Schwarzberg
Fuocoammare, un drama sobre refugiados gana el Oso de Oro en la Berlinale - noticiasfides.com	https://www.noticiasfides.com/cultura-y-farandula/fuocoammare-un-drama-sobre-refugiados-gana-el-oso-de-oro-en-la-berlinale-362923-362845	2016-02-20	Fuocoammare, un drama sobre refugiados gana el Oso de Oro en la Berlinale
K'ara K'ara, barrio de migrantes que crece en medio de carencias - Los Tiempos	https://www.lostiempos.com/actualidad/local/20160314/kara-kara-barrio-migrantes-que-crece-medio-carencias	2016-03-14	K'ara K'ara, barrio de migrantes que crece en medio de carencias
Remesas de migrantes bolivianos bajan un 3,5 % en enero - Los Tiempos	https://www.lostiempos.com/actualidad/economia/20160325/remesas-migrantes-bolivianos-bajan-35-enero	2016-03-25	Remesas de migrantes bolivianos bajan un 3,5 % en enero
La explotación laboral y los refugiados en los Pulitzer - Diario Pagina Siete	https://www.paginasiete.bo/cultura/2016/4/20/explotacion-laboral-refugiados-pulitzer-93833.html	2016-04-20	La explotación laboral y los refugiados en los Pulitzer
Instituciones presentan declaración por el Día mundial de la persona refugiada y desplazada - noticiasfides.com	https://www.noticiasfides.com/mundo/instituciones-presentan-declaracion-por-el-dia-mundial-de-la-persona-refugiada-y-desplazada-367143-367045	2016-06-20	Instituciones presentan declaración por el Día mundial de la persona refugiada y desplazada
Gobierno anuncia migración de base de datos de las AFP a la gestora en los próximos seis meses - noticiasfides.com	https://www.noticiasfides.com/economia/gobierno-anuncia-migracion-de-base-de-datos-de-las-afp-a-la-gestora-en-los-proximos-seis-meses--367540-367442	2016-06-30	Gobierno anuncia migración de base de datos de las AFP a la gestora en los próximos seis meses
Uru-muratos, los nuevos refugiados climáticos de Bolivia - Los Tiempos	https://www.lostiempos.com/tendencias/medio-ambiente/20160708/uru-muratos-nuevos-refugiados-climaticos-bolivia	2016-07-08	Uru-muratos, los nuevos refugiados climáticos de Bolivia
Solo el 11% de refugiados es asalariado y apenas el 2% tiene casa propia en Bolivia - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/solo-el-11-de-refugiados-es-asalariado-y-apenas-el-2-tiene-casa-propia-en-bolivia-367850-367752	2016-07-10	Solo el 11% de refugiados es asalariado y apenas el 2% tiene casa propia en Bolivia
Alertan por efectos de migración en el país - Los Tiempos	https://www.lostiempos.com/actualidad/nacional/20160819/alertan-efectos-migracion-pais	2016-08-19	Alertan por efectos de migración en el país
Del minifundio al minibús: ser mujer, migrante y chofer en El Alto - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/del-minifundio-al-minibus-ser-mujer-migrante-y-chofer-en-el-alto-371910-371801	2016-10-24	Del minifundio al minibús: ser mujer, migrante y chofer en El Alto
Pando reporta la mayor tasa de migración del país - boliviaentusmanos.com	https://www.boliviaentusmanos.com/noticias/bolivia/241409/pando-reporta-la-mayor-tasa-de-migracion-del-pais.html	2016-12-19	Pando reporta la mayor tasa de migración del país
La historia de amor de un policía macedonio y una refugiada kurda - Diario Pagina Siete	https://www.paginasiete.bo/miradas/2016/12/31/historia-amor-policia-macedonio-refugiada-kurda-122221.html	2016-12-31	La historia de amor de un policía macedonio y una refugiada kurda
Embajador Alvarez dice que Bolivia es más exigente con migrantes que Argentina - noticiasfides.com	https://www.noticiasfides.com/economia/embajador-argentino-dice-que-bolivia-tiene-mas-exigencias-que-argentina-para-migrantes--375093	2017-02-01	Embajador Alvarez dice que Bolivia es más exigente con migrantes que Argentina
"Patricia Bullrich le dice a Evo Morales que la ley migratoria ""es la misma que tiene Bolivia"" - noticiasfides.com"	https://www.noticiasfides.com/nacional/politica/patricia-bullrich-le-dice-a-evo-morales-que-la-ley-migratoria-34es-la-misma-que-tiene-bolivia-34-375198	2017-02-04	"Patricia Bullrich le dice a Evo Morales que la ley migratoria ""es la misma que tiene Bolivia"""
Migración pide disculpas por errores y anuncia digitalización de tarjeta migratoria - noticiasfides.com	https://www.noticiasfides.com/nacional/seguridad/migracion-pide-disculpas-por-errores-y-anuncia-digitalizacion-de-tarjeta-migratoria-375870	2017-02-27	Migración pide disculpas por errores y anuncia digitalización de tarjeta migratoria
Los bolivianos son los migrantes mejor valorados en Argentina - Diario Pagina Siete	https://www.paginasiete.bo/sociedad/2017/3/5/bolivianos-migrantes-mejor-valorados-argentina-129466.html	2017-03-05	Los bolivianos son los migrantes mejor valorados en Argentina
Más de 40 refugiados somalíes son tiroteados - Los Tiempos	https://www.lostiempos.com/actualidad/mundo/20170318/mas-40-refugiados-somalies-son-tiroteados	2017-03-18	Más de 40 refugiados somalíes son tiroteados
Migrantes se movilizan este 30 de marzo en Argentina contra políticas antimigratorias de Mauricio Macri - noticiasfides.com	https://www.noticiasfides.com/mundo/migrantes-se-movilizan-este-30-de-marzo-en-argentina-contra-politicas-antimigratorias-de-mauricio-macri-376739	2017-03-29	Migrantes se movilizan este 30 de marzo en Argentina contra políticas antimigratorias de Mauricio Macri
El síndrome de la resignación, la rara enfermedad de los hijos de refugiados en Suecia - boliviaentusmanos.com	https://www.boliviaentusmanos.com/noticias/salud/256738/el-sindrome-de-la-resignacion-la-rara-enfermedad-de-los-hijos-de-refugiados-en-suecia.html	2017-04-03	El síndrome de la resignación, la rara enfermedad de los hijos de refugiados en Suecia
Cinco artistas exponen el rostro migrante de El Alto - Diario Pagina Siete	https://www.paginasiete.bo/cultura/2017/5/2/cinco-artistas-exponen-rostro-migrante-alto-136213.html	2017-05-02	Cinco artistas exponen el rostro migrante de El Alto
Naufragio deja al menos 31 muertos de 200 inmigrantes que cayeron al mar Mediterráneo - noticiasfides.com	https://www.noticiasfides.com/mundo/un-naufragio-deja-al-menos-31-muertos-de-200-inmigrantes-que-cayeron-al-mar-mediterraneo-378383	2017-05-24	Naufragio deja al menos 31 muertos de 200 inmigrantes que cayeron al mar Mediterráneo
Migración registra a más de 56 mil extranjeros que radican en Bolivia en siete meses - noticiasfides.com	https://www.noticiasfides.com/nacional/seguridad/tras-siete-meses-migracion-registro-a-mas-de-56-mil-extranjeros-que-radican-en-bolivia-378722	2017-06-02	Migración registra a más de 56 mil extranjeros que radican en Bolivia en siete meses
Santa Cruz tiene el menor porcentaje de emigrantes - Diario Pagina Siete	https://www.paginasiete.bo/economia/2017/6/22/santa-cruz-tiene-menor-porcentaje-emigrantes-141977.html	2017-06-22	Santa Cruz tiene el menor porcentaje de emigrantes
Juez Rivadeneira otorgó arraigo a asaltante brasileño que no tenía registro migratorio - noticiasfides.com	https://www.noticiasfides.com/nacional/seguridad/juez-rivadeneira-otorgo-arraigo-a-asaltante-brasileno-que-no-tenia-registro-migratorio-380097	2017-07-20	Juez Rivadeneira otorgó arraigo a asaltante brasileño que no tenía registro migratorio
"Morales critica a Trump por ley migratoria que expresa ""racismo, fascismo y discriminación"" - boliviaentusmanos.com"	https://www.boliviaentusmanos.com/noticias/bolivia/272717/morales-critica-a-trump-por-ley-migratoria-que-expresa-racismo-fascismo-y-discriminacion.html	2017-08-03	"Morales critica a Trump por ley migratoria que expresa ""racismo, fascismo y discriminación"""
