title	link	date	title_corrected
Mineiros são maioria dos migrantes do Distrito Federal - R7	https://noticias.r7.com/distrito-federal/mineiros-sao-maioria-dos-migrantes-do-distrito-federal-26092014	2014-09-26	Mineiros são maioria dos migrantes do Distrito Federal
Imigrantes vivem episódios de medo e violência na Europa – Correio do Brasil - Correio do Brasil	http://arquivo.correiodobrasil.com.br/imigrantes-vivem-episodios-de-medo-e-violencia-na-europa/	2015-09-19	Imigrantes vivem episódios de medo e violência na Europa – 
Mineiro vende casa e compra hotel para ajudar imigrantes e refugiados - O Tempo	https://www.otempo.com.br/cidades/mineiro-vende-casa-e-compra-hotel-para-ajudar-imigrantes-e-refugiados-1.1133667	2015-10-09	Mineiro vende casa e compra hotel para ajudar imigrantes e refugiados
Cinegrafista que chutou migrantes vai processar refugiado e Facebook - O Tempo	https://www.otempo.com.br/mundo/cinegrafista-que-chutou-migrantes-vai-processar-refugiado-e-facebook-1.1145782	2015-10-22	Cinegrafista que chutou migrantes vai processar refugiado e Facebook
Autoridades começam a desmontar parte sul do campo de refugiados em Calais – Correio do Brasil - Correio do Brasil	https://arquivo.correiodobrasil.com.br/autoridades-comecam-a-desmontar-parte-sul-do-campo-de-refugiados-em-calais/	2016-02-29	Autoridades começam a desmontar parte sul do campo de refugiados em Calais – 
Itália e Espanha tentam resgatar milhares de migrantes na costa líbia - Jornal Extra	https://extra.globo.com/noticias/mundo/italia-espanha-tentam-resgatar-milhares-de-migrantes-na-costa-libia-20011222.html	2016-08-29	Itália e Espanha tentam resgatar milhares de migrantes na costa líbia
'Estamos cansados de contar corpos': O drama dos migrantes três anos após naufrágio de Lampedusa - r7.com	https://noticias.r7.com/internacional/estamos-cansados-de-contar-corpos-o-drama-dos-migrantes-tres-anos-apos-naufragio-de-lampedusa-04102016	2016-10-04	'Estamos cansados de contar corpos': O drama dos migrantes três anos após naufrágio de Lampedusa
França remove 2 mil migrantes da 'selva' em Calais - Estadão	https://internacional.estadao.com.br/noticias/geral,autoridades-francesas-comecam-a-esvaziar-o-campo-de-refugiados-de-calais,10000083959	2016-10-24	França remove 2 mil migrantes da 'selva' em Calais
Parlamento da Hungria rejeita proibir refugiados, num golpe para premiê Orban - Jornal Extra	https://extra.globo.com/noticias/mundo/parlamento-da-hungria-rejeita-proibir-refugiados-num-golpe-para-premie-orban-20433110.html	2016-11-08	Parlamento da Hungria rejeita proibir refugiados, num golpe para premiê Orban
Imigrantes haitianos sofrem com xenofobia no trabalho - O Tempo	https://www.otempo.com.br/cidades/imigrantes-haitianos-sofrem-com-xenofobia-no-trabalho-1.1410725	2016-12-12	Imigrantes haitianos sofrem com xenofobia no trabalho
Trump ordena construção de muro na fronteira mexicana, tira fundos de cidades que protegem imigrantes - Jornal Extra	https://extra.globo.com/noticias/mundo/trump-ordena-construcao-de-muro-na-fronteira-mexicana-tira-fundos-de-cidades-que-protegem-imigrantes-20826701.html	2017-01-25	Trump ordena construção de muro na fronteira mexicana, tira fundos de cidades que protegem imigrantes
Autista, não: imigrante - Estadão	https://educacao.estadao.com.br/noticias/geral,autista-nao-imigrante,70001705273	2017-03-19	Autista, não: imigrante
