title	link	date	title_corrected
Los desafíos de Chile para enfrentar la masiva llegada de inmigrantes - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/gobierno/los-desafios-de-chile-para-enfrentar-la-masiva-llegada-de-inmigrantes/2013-06-03/214253.html	2013-06-04	Los desafíos de Chile para enfrentar la masiva llegada de inmigrantes
Foto de niño ahogado desenmascara la difícil situación de los refugiados sirios - Publimetro Chile	https://www.publimetro.cl/cl/mundo/2015/09/02/foto-nino-ahogado-desenmascara-dificil-situacion-refugiados-sirios.html	2015-09-02	Foto de niño ahogado desenmascara la difícil situación de los refugiados sirios
MEGA concreta remodelación e inicia migración a nuevas oficinas y estudios - Diario Financiero	https://www.df.cl/noticias/empresas/actualidad/mega-concreta-remodelacion-e-inicia-migracion-a-nuevas-oficinas-y/2015-09-04/173404.html	2015-09-07	MEGA concreta remodelación e inicia migración a nuevas oficinas y estudios
Marchas en Europa contra refugiados - Publimetro Chile	https://www.publimetro.cl/mundo/marchas-en-europa-contra-refugiados/xIQoiz!PzXVWOKKubGkc/	2015-09-26	Marchas en Europa contra refugiados
Alfredo Jaar Arte y refugiados: intentando cambiar el mundo - LaTercera	https://www.latercera.com/noticia/arte-refugiados-intentando-cambiar-mundo/	2016-11-21	Alfredo Jaar Arte y refugiados: intentando cambiar el mundo
"Fiscal Carlos Gajardo golpea la mesa por debate migratorio: ""Los inmigrantes no delinquen más que los chilenos"" - Diario Financiero"	https://www.df.cl/noticias/economia-y-politica/actualidad/fiscal-carlos-gajardo-golpea-la-mesa-por-debate-migratorio-los/2016-11-29/175829.html	2016-11-29	"Fiscal Carlos Gajardo golpea la mesa por debate migratorio: ""Los inmigrantes no delinquen más que los chilenos"""
Estudiantes, empleados y asesoras del hogar: las ocupaciones de los inmigrantes en Chile - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/laboral-personas/estudiantes-empleados-y-asesoras-del-hogar-las-ocupaciones-de-los/2017-01-17/212920.html	2017-01-18	Estudiantes, empleados y asesoras del hogar: las ocupaciones de los inmigrantes en Chile
Principales problemas a los que se enfrentan los migrantes - Publimetro Chile	https://www.publimetro.cl/cl/noticias/2017/02/16/principales-problemas-se-enfrentan-migrantes.html	2017-02-16	Principales problemas a los que se enfrentan los migrantes
Más del 40% de los inmigrantes en Chile dice que su trabajo no se relaciona con su nivel de formación - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/actualidad/mas-del-40-de-los-inmigrantes-en-chile-dice-que-su-trabajo-no-se/2017-03-17/105252.html	2017-03-17	Más del 40% de los inmigrantes en Chile dice que su trabajo no se relaciona con su nivel de formación
"Subastan en París los ""candados del amor"" en beneficio de los refugiados - LaTercera"	https://www.latercera.com/noticia/subastan-paris-los-candados-del-amor-beneficio-los-refugiados/	2017-05-13	"Subastan en París los ""candados del amor"" en beneficio de los refugiados"
La canción que Cornell dejó a los refugiados antes de morir - Cultolt	https://www.latercera.com/culto/2017/06/20/la-cancion-cornell-dejo-a-los-refugiados-morir/	2017-06-20	La canción que Cornell dejó a los refugiados antes de morir
"Adela Cortina: ""Lo que molesta de los inmigrantes y los refugiados es que son pobres"" - LaTercera"	https://www.latercera.com/noticia/adela-cortina-lo-molesta-los-inmigrantes-los-refugiados-pobres/	2017-09-18	"Adela Cortina: ""Lo que molesta de los inmigrantes y los refugiados es que son pobres"""
El artista sirio que pintó a los líderes del mundo como refugiados - LaTercera	https://www.latercera.com/culto/2017/10/12/artista-sirio-pinto-a-los-lideres-del-mundo-refugiados/	2017-10-12	El artista sirio que pintó a los líderes del mundo como refugiados
A Itaú sólo le quedan 10 sucursales para finalizar proceso de migración - Diario Financiero	https://www.df.cl/noticias/mercados/mercados-en-accion/a-itau-solo-le-quedan-10-sucursales-para-finalizar-proceso-de-migracion/2017-10-19/200945.html	2017-10-20	A Itaú sólo le quedan 10 sucursales para finalizar proceso de migración
Inmigración potencia el desarrollo del país - Diario Financiero	https://www.df.cl/noticias/brandcorner/bci/inmigracion-potencia-el-desarrollo-del-pais/2017-11-02/165111.html	2017-11-02	Inmigración potencia el desarrollo del país
fpmr Argentina le quita estatus de refugiado a ex líder del FPMR y se reactiva extradición - LaTercera	https://www.latercera.com/noticia/argentina-le-quita-estatus-refugiado-ex-lider-del-fpmr-se-reactiva-extradicion/	2017-12-06	fpmr Argentina le quita estatus de refugiado a ex líder del FPMR y se reactiva extradición
Encuesta revela alta valoración al trabajador migrante - LaTercera	https://www.latercera.com/noticia/encuesta-revela-alta-valoracion-al-trabajador-migrante/	2017-12-18	Encuesta revela alta valoración al trabajador migrante
La población chilena envejece, pero la migración podría revertir ese proceso - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/actualidad/la-poblacion-chilena-envejece-pero-la-migracion-podria-revertir-ese/2017-12-22/102703.html	2017-12-22	La población chilena envejece, pero la migración podría revertir ese proceso
Perú es el principal país de origen de las segundas generaciones de migrantes en Chile - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/actualidad/peru-es-el-principal-pais-de-origen-de-las-segundas-generaciones-de/2017-12-21/203143.html	2017-12-22	Perú es el principal país de origen de las segundas generaciones de migrantes en Chile
La UE activa 3.000 millones de euros más de ayuda para refugiados en Turquía - LaTercera	https://www.latercera.com/mundo/noticia/la-ue-activa-3-000-millones-euros-mas-ayuda-refugiados-turquia/98740/	2018-03-14	La UE activa 3.000 millones de euros más de ayuda para refugiados en Turquía
Chile bajo presión para actualizar sus leyes de migración - Diario Financiero	https://www.df.cl/noticias/internacional/eiu/chile-bajo-presion-para-actualizar-sus-leyes-de-migracion/2018-03-15/193651.html	2018-03-16	Chile bajo presión para actualizar sus leyes de migración
Al menos 16 muertos deja naufragio de barcaza con refugiados en Grecia - LaTercera	https://www.latercera.com/mundo/noticia/al-menos-16-muertos-deja-naufragio-barcaza-refugiados-grecia/102960/	2018-03-17	Al menos 16 muertos deja naufragio de barcaza con refugiados en Grecia
Hernán Felipe Errázuriz y visas consulares para la migración: “Es un instrumento perfectamente válido” - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/actualidad/hernan-felipe-errazuriz-y-visas-consulares-para-la-migracion-es-un/2018-03-16/190637.html	2018-03-19	Hernán Felipe Errázuriz y visas consulares para la migración: “Es un instrumento perfectamente válido”
