title	link	date	title_corrected
Gobierno tendrá datos sobre necesidades de desplazados - portafolio.co	https://www.portafolio.co/economia/finanzas/gobierno-tendra-datos-necesidades-desplazados-78214	2013-08-13	Gobierno tendrá datos sobre necesidades de desplazados
Mueren cerca de 700 inmigrantes al naufragar cerca de la costa de Libia - LaRepública.com.co	https://www.larepublica.co/globoeconomia/mueren-cerca-de-700-inmigrantes-al-naufragar-cerca-de-la-costa-de-libia-2245616	2015-04-19	Mueren cerca de 700 inmigrantes al naufragar cerca de la costa de Libia
Europa necesita cerca de US$14.000 anuales para amparar a un solo refugiado - LaRepública.com.co	https://www.larepublica.co/globoeconomia/europa-necesita-cerca-de-us14000-anuales-para-amparar-a-un-solo-refugiado-2297366	2015-09-05	Europa necesita cerca de US$14.000 anuales para amparar a un solo refugiado
Primer ministro húngaro critica “rebelión” de inmigrantes - LaRepública.com.co	https://www.larepublica.co/globoeconomia/primer-ministro-hungaro-critica-rebelion-de-inmigrantes-2300006	2015-09-12	Primer ministro húngaro critica “rebelión” de inmigrantes
El campo de refugiados de Shuafat, donde se tiran piedras desde los 7 años - ElEspectador.com	https://www.elespectador.com/mundo/mas-paises/el-campo-de-refugiados-de-shuafat-donde-se-tiran-piedras-desde-los-7-anos-article-595433/	2015-10-27	El campo de refugiados de Shuafat, donde se tiran piedras desde los 7 años
Canadá, el país con más refugiados sirios - ElEspectador.com	https://www.elespectador.com/mundo/europa/canada-el-pais-con-mas-refugiados-sirios-article-630483/	2016-05-04	Canadá, el país con más refugiados sirios
MSF presenta situación de migrantes y refugiados en Centroamérica - ElTiempo.com	https://www.eltiempo.com/mundo/latinoamerica/medicos-sin-fronteras-presenta-informe-sobre-migrantes-87040	2017-05-11	MSF presenta situación de migrantes y refugiados en Centroamérica
Starbucks desmiente campaña para deportar inmigrantes en EE. UU. - Portafolio.co	https://www.portafolio.co/internacional/starbucks-se-pronuncia-ante-supuesta-campana-para-deportar-inmigrantes-en-estados-unidos-508534	2017-08-09	Starbucks desmiente campaña para deportar inmigrantes en EE. UU.
Turquía, 'zona de tránsito' para refugiados homosexuales a Occidente - ElTiempo.com	https://www.eltiempo.com/mundo/asia/turquia-recibe-a-los-homosexuales-refugiados-que-van-para-occidente-119536	2017-08-14	Turquía, 'zona de tránsito' para refugiados homosexuales a Occidente
Colombia espera que suba 11% la llegada de extranjeros por visita del papa - Publimetro Colombia	https://www.publimetro.co/co/noticias/2017/08/23/colombia-espera-suba-11-la-llegada-extranjeros-visita-del-papa.html	2017-08-23	Colombia espera que suba 11% la llegada de extranjeros por visita del papa
Así funcionarán los permisos de trabajo bajo la nueva simplificación de visados para extranjeros - Portafolio.co	https://www.portafolio.co/economia/asi-funcionaran-los-permisos-de-trabajo-bajo-la-nueva-simplificacion-de-visados-para-extranjeros-511081	2017-10-27	Así funcionarán los permisos de trabajo bajo la nueva simplificación de visados para extranjeros
A favor de la inmigración - La República	https://www.larepublica.co/analisis/rodrigo-botero-montoya-500048/a-favor-de-la-inmigracion-2587859	2018-01-11	A favor de la inmigración
Hombre dispara a migrantes africanos en centro de Italia: Policía - La República	https://www.larepublica.co/globoeconomia/hombre-dispara-a-migrantes-africanos-en-centro-de-italia-policia-2596057	2018-02-03	Hombre dispara a migrantes africanos en centro de Italia: Policía
Las cuatro medidas frente a la migración venezolana - Portafolio.co	https://www.portafolio.co/economia/las-cuatro-medidas-frente-a-la-migracion-venezolana-514087	2018-02-08	Las cuatro medidas frente a la migración venezolana
Habilitan registro biométrico para procesos de migración en El Dorado - Portafolio.co	https://www.portafolio.co/economia/gobierno/entra-en-funcionamiento-registro-biometrico-para-procesos-de-migracion-en-el-dorado-514696	2018-02-27	Habilitan registro biométrico para procesos de migración en El Dorado
razones de xenofobia hacia venezolanos en Colombia - Publimetro Colombia	https://www.publimetro.co/co/colombia/2018/03/13/razones-de-xenofobia-hacia-venezolanos-en-colombia.html	2018-03-13	razones de xenofobia hacia venezolanos en Colombia
EE. UU. dona USD 2,5 millones para crisis de refugiados venezolanos - ElTiempo.com	https://www.eltiempo.com/mundo/eeuu-y-canada/estados-unidos-hace-millonaria-donacion-a-colombia-para-venezolanos-196054	2018-03-20	EE. UU. dona USD 2,5 millones para crisis de refugiados venezolanos
Quiénes y cómo deben hacer el censo de migrantes venezolanos - Publimetro Colombia	https://www.publimetro.co/co/noticias/2018/04/06/censo-de-migrantes-venezolanos.html	2018-04-06	Quiénes y cómo deben hacer el censo de migrantes venezolanos
La propuesta de Perú y Colombia para afrontar la migración venezolana - Portafolio.co	https://www.portafolio.co/economia/la-propuesta-de-peru-y-colombia-para-afrontar-la-migracion-venezolana-518129	2018-06-15	La propuesta de Perú y Colombia para afrontar la migración venezolana
Colombia sigue siendo el país con mayor número de desplazados internos - ElTiempo.com	https://www.eltiempo.com/mundo/latinoamerica/colombia-es-el-pais-con-mayor-numero-de-desplazados-internos-233022	2018-06-19	Colombia sigue siendo el país con mayor número de desplazados internos
El colombiano que pintó los muros de los refugiados de Schisto, Grecia - ElTiempo.com	https://www.eltiempo.com/cultura/arte-y-teatro/el-colombiano-que-pinta-murales-en-campos-de-refugiados-en-grecia-233248	2018-06-20	El colombiano que pintó los muros de los refugiados de Schisto, Grecia
Ecuador y Perú blindan sus fronteras ante la migración de venezolanos - portafolio.co	https://www.portafolio.co/internacional/ecuador-y-peru-blindan-sus-fronteras-ante-la-creciente-migracion-de-venezolanos-520192	2018-08-17	Ecuador y Perú blindan sus fronteras ante la migración de venezolanos
Así afecta la crisis migratoria de Venezuela a Suramérica - Portafolio.co	https://www.portafolio.co/internacional/asi-afecta-la-crisis-migratoria-de-venezuela-a-suramerica-520442	2018-08-26	Así afecta la crisis migratoria de Venezuela a Suramérica
¿Qué hacer con la migración venezolana? - Portafolio.co	https://www.portafolio.co/internacional/que-hacer-con-la-migracion-venezolana-520718	2018-09-03	¿Qué hacer con la migración venezolana?
Consecuencias en Europa de la crisis migratoria de los últimos 3 años - El Tiempo	https://www.eltiempo.com/mundo/europa/consecuencias-de-crisis-migratoria-en-europa-264036	2018-09-04	Consecuencias en Europa de la crisis migratoria de los últimos 3 años
Al no hallar oportunidades, migrantes venezolanos regresan a su país - Portafolio.co	https://www.portafolio.co/internacional/al-no-hallar-oportunidades-migrantes-venezolanos-regresan-a-su-pais-520826	2018-09-05	Al no hallar oportunidades, migrantes venezolanos regresan a su país
La migración venezolana genera interés en la comunidad internacional - La República	https://www.larepublica.co/economia/la-migracion-venezolana-genera-interes-en-la-comunidad-internacional-2782729	2018-10-16	La migración venezolana genera interés en la comunidad internacional
Hay 3 millones de refugiados y migrantes venezolanos en el mundo: ONU - El Tiempo	https://www.eltiempo.com/mundo/venezuela/cuantos-refugiados-y-migrantes-venezolanos-hay-en-el-mundo-291664	2018-11-09	Hay 3 millones de refugiados y migrantes venezolanos en el mundo: ONU
Duque anuncia autorización de Conpes para atender migración venezolana - Portafolio.co	https://www.portafolio.co/economia/gobierno/duque-anuncia-autorizacion-de-conpes-para-atender-migracion-venezolana-523717	2018-11-24	Duque anuncia autorización de Conpes para atender migración venezolana
El Caribe es la región con más presencia de refugiados venezolanos - El Tiempo	https://www.eltiempo.com/colombia/otras-ciudades/el-caribe-es-la-region-con-mas-presencia-de-refugiados-venezolanos-cartagena-la-mas-receptora-303862	2018-12-11	El Caribe es la región con más presencia de refugiados venezolanos
Así fue la sorpresa de Carlos Vives, Santiago Cruz y Andrés Cepeda para migrante venezolana - Publimetro Colombia	https://www.publimetro.co/co/entretenimiento/2018/12/13/sorpresa-de-carlos-vives-santiago-cruz-y-andres-cepeda.html	2018-12-13	Así fue la sorpresa de Carlos Vives, Santiago Cruz y Andrés Cepeda para migrante venezolana
El dilema con los migrantes venezolanos en Colombia - Publimetro Colombia	https://www.publimetro.co/co/columnas/2019/01/08/dilema-los-migrantes-venezolanos-colombia.html	2019-01-08	El dilema con los migrantes venezolanos en Colombia
El mercado laboral ya siente la migración venezolana - El Tiempo	https://www.eltiempo.com/economia/sectores/mercado-laboral-en-colombia-ya-refleja-migracion-venezolana-321624	2019-02-01	El mercado laboral ya siente la migración venezolana
El impacto de la migración venezolana en el PIB colombiano sería de 0,3% - La República	https://www.larepublica.co/globoeconomia/el-impacto-de-la-migracion-venezolana-en-el-pib-colombiano-seria-de-03-este-ano-2823647	2019-02-04	El impacto de la migración venezolana en el PIB colombiano sería de 0,3%
Las salidas de los migrantes venezolanos tras desalojo de puente de Murillo, en Barranquilla - Publimetro Colombia	https://www.publimetro.co/co/barranquilla/2019/02/07/las-salidas-los-migrantes-venezolanos-tras-desalojo-puente-murillo-barranquilla.html	2019-02-07	Las salidas de los migrantes venezolanos tras desalojo de puente de Murillo, en Barranquilla
¿Cuáles son las áreas en las que más trabajan los venezolanos que migran a Colombia? - La República	https://www.larepublica.co/consumo/cuales-son-las-areas-en-las-que-mas-trabajan-los-venezolanos-que-migran-a-colombia-2826030	2019-02-11	¿Cuáles son las áreas en las que más trabajan los venezolanos que migran a Colombia?
Las noticias negativas sobre los venezolanos generan xenofobia - Publimetro Colombia	https://www.publimetro.co/co/noticias/2019/02/18/las-noticias-negativas-los-venezolanos-generan-xenofobia.html	2019-02-18	Las noticias negativas sobre los venezolanos generan xenofobia
Puntos de Atención para población migrante, refugiada o desplazada - El Tiempo	https://www.eltiempo.com/mundo/venezuela/puntos-de-atencion-y-informacion-de-acnur-para-migrantes-refugiados-o-desplazados-339070	2019-03-18	Puntos de Atención para población migrante, refugiada o desplazada
La migración venezolana haría crecer la economía colombiana a mediano plazo - La República	https://www.larepublica.co/economia/la-migracion-venezolana-haria-crecer-la-economia-colombiana-a-mediano-plazo-ocde-2841531	2019-03-20	La migración venezolana haría crecer la economía colombiana a mediano plazo
Hay 1.225 exmilitares venezolanos que esperan el estatus de refugiados - El Tiempo	https://www.eltiempo.com/justicia/servicios/exmilitares-venezolanos-que-esperan-obtener-el-estatus-de-refugiados-en-colombia-345956	2019-04-04	Hay 1.225 exmilitares venezolanos que esperan el estatus de refugiados
Guía para los solicitantes de la condición de refugiado en Colombia - El Tiempo	https://www.eltiempo.com/mundo/venezuela/como-se-hace-una-solicitud-de-estatus-de-refugiado-en-colombia-346410	2019-04-08	Guía para los solicitantes de la condición de refugiado en Colombia
Los migrantes de Bogotá - La República	https://www.larepublica.co/analisis/david-luna-400682/los-migrantes-de-bogota-2855019	2019-04-25	Los migrantes de Bogotá
Antes y después de la migración venezolana - La República	https://www.larepublica.co/opinion/editorial/antes-y-despues-de-la-migracion-venezolana-2856730	2019-04-30	Antes y después de la migración venezolana
Cuando los colombianos eran los mayores migrantes de Suramérica - El Tiempo	https://www.eltiempo.com/mundo/venezuela/migrantes-colombianos-cuando-colombia-tenia-la-mayor-poblacion-migratoria-de-suramerica-355162	2019-05-01	Cuando los colombianos eran los mayores migrantes de Suramérica
La OIT presentó nuevo programa para atención de los migrantes venezolanos - La República	https://www.larepublica.co/globoeconomia/la-oit-presento-nuevo-programa-para-atencion-de-los-migrantes-venezolanos-2859599	2019-05-08	La OIT presentó nuevo programa para atención de los migrantes venezolanos
67.000 desplazados por desastres naturales - El Nuevo Siglo (Colombia)	http://m.elnuevosiglo.com.co/articulos/05-2019-67000-desplazados-por-desastres-naturales	2019-05-10	67.000 desplazados por desastres naturales
DHL entregó dos centros de tecnología para migrantes venezolanos - La República	https://www.larepublica.co/responsabilidad-social/dhl-entrego-dos-centros-de-tecnologia-para-migrantes-venezolanos-2870515	2019-06-06	DHL entregó dos centros de tecnología para migrantes venezolanos
Angelina Jolie llegó a Colombia para apoyar misión humanitaria de migrantes - La República	https://www.larepublica.co/responsabilidad-social/angelina-jolie-llego-a-colombia-para-apoyar-mision-humanitaria-de-migrantes-2871566	2019-06-07	Angelina Jolie llegó a Colombia para apoyar misión humanitaria de migrantes
Así funciona el único centro de atención al migrante en Colombia - El Tiempo	https://www.eltiempo.com/mundo/venezuela/asi-funciona-el-unico-centro-de-atencion-al-migrante-en-colombia-en-maicao-la-guajira-367770	2019-06-10	Así funciona el único centro de atención al migrante en Colombia
La iniciativa de Jack Dorsey para apoyar a emprendedores refugiados - El Tiempo	https://www.eltiempo.com/tecnosfera/apps/jack-dorsey-tiene-plan-para-apoyar-refugiados-en-reino-unido-374344	2019-06-11	La iniciativa de Jack Dorsey para apoyar a emprendedores refugiados
¿Los docentes están preparados para atender a niños migrantes? - El Tiempo	https://www.eltiempo.com/vida/educacion/la-unesco-dice-que-los-docentes-no-estan-preparados-para-atender-ninos-migrantes-378390	2019-06-20	¿Los docentes están preparados para atender a niños migrantes?
El papel de la Fundación ProBono para apoyar a migrantes venezolanos - La República	https://www.larepublica.co/responsabilidad-social/el-papel-de-la-fundacion-probono-para-apoyar-a-migrantes-venezolanos-2875980	2019-06-20	El papel de la Fundación ProBono para apoyar a migrantes venezolanos
Guerrillas, paras, bandas y narcos reclutan a migrantes venezolanos - Portafolio.co	https://www.portafolio.co/economia/gobierno/grupos-criminales-colombianos-reclutan-a-migrantes-venezolanos-530872	2019-06-21	Guerrillas, paras, bandas y narcos reclutan a migrantes venezolanos
Sin señales en EE.UU. de redadas antimigrantes anunciadas por Trump - Portafolio.co	https://www.portafolio.co/internacional/miles-de-migrantes-esperan-angustiados-las-anunciadas-redadas-en-ee-uu-531520	2019-07-14	Sin señales en EE.UU. de redadas antimigrantes anunciadas por Trump
Cómo resolver la migración venezolana | Opinión - Portafolio.co	https://www.portafolio.co/opinion/leon-teicher-1/como-resolver-la-migracion-venezolana-532349	2019-08-07	Cómo resolver la migración venezolanaOpinión
Política migratoria en Canadá, ¿qué podría cambiar tras las elecciones de octubre? - La República	https://www.larepublica.co/globoeconomia/politica-migratoria-en-canada-que-podria-cambiar-tras-las-elecciones-de-octubre-2900069	2019-08-26	Política migratoria en Canadá, ¿qué podría cambiar tras las elecciones de octubre?
ONU alerta por discursos de criminalización de migración en Colombia - Portafolio.co	https://www.portafolio.co/tendencias/onu-preocupada-por-criminalizacion-de-la-migracion-en-colombia-533551	2019-09-13	ONU alerta por discursos de criminalización de migración en Colombia
México, el mayor receptor de migrantes provenientes de Estados Unidos - La República	https://www.larepublica.co/globoeconomia/mexico-se-convierte-en-el-mayor-receptor-de-migrantes-provenientes-de-estados-unidos-venezuela-y-honduras-2909744	2019-09-18	México, el mayor receptor de migrantes provenientes de Estados Unidos
El número de migrantes en países miembros de la Ocde subió 2% el año pasado - La República	https://www.larepublica.co/globoeconomia/el-numero-de-migrantes-en-paises-miembros-de-la-ocde-subio-2-el-ano-pasado-2910030	2019-09-19	El número de migrantes en países miembros de la Ocde subió 2% el año pasado
'Crisis migratoria le cuesta al país más de US$1.300 millones al año’ - Portafolio.co	https://www.portafolio.co/economia/la-crisis-migratoria-le-cuesta-a-colombia-mas-de-us-1-300-millones-al-ano-533985	2019-09-26	'Crisis migratoria le cuesta al país más de US$1.300 millones al año’
La millonaria donación de España a Colombia por la crisis migratoria - Portafolio.co	https://www.portafolio.co/economia/la-millonaria-donacion-de-espana-a-colombia-por-la-crisis-migratoria-de-venezolanos-534731	2019-10-19	La millonaria donación de España a Colombia por la crisis migratoria
Presupuesto para atender a venezolanos migrantes sería de cerca de 0,5% del PIB - La República	https://www.larepublica.co/especiales/receta-ocde/presupuesto-para-atender-a-venezolanos-migrantes-seria-de-cerca-de-05-del-pib-2924603	2019-10-25	Presupuesto para atender a venezolanos migrantes sería de cerca de 0,5% del PIB
El evento de inversión de empresas extranjeras, Investment Summit será este martes - La República	https://www.larepublica.co/economia/el-evento-de-inversion-de-empresas-extranjeras-investment-summit-sera-este-martes-2925218	2019-10-26	El evento de inversión de empresas extranjeras, Investment Summit será este martes
Crisis migratoria venezolana empeorará en 2020 - Portafolio.co	https://www.portafolio.co/internacional/crisis-migratoria-venezolana-empeorara-en-2020-535030	2019-10-28	Crisis migratoria venezolana empeorará en 2020
La migración es un buen foco de crecimiento - larepublica.co	https://www.larepublica.co/opinion/editorial/la-migracion-es-un-buen-foco-de-crecimiento-2926106	2019-10-29	La migración es un buen foco de crecimiento
Atención a inmigrantes venezolanos requerirá US$1.350 millones en 2020 según la ONU - La República	https://www.larepublica.co/globoeconomia/atencion-a-inmigrantes-venezolanos-requerira-us1350-millones-en-2020-segun-la-onu-2932539	2019-11-14	Atención a inmigrantes venezolanos requerirá US$1.350 millones en 2020 según la ONU
La situación laboral de los migrantes venezolanos en el 2018 - Portafolio.co	https://www.portafolio.co/opinion/otros-columnistas-1/la-situacion-laboral-de-los-migrantes-venezolanos-en-el-2018-535844	2019-11-22	La situación laboral de los migrantes venezolanos en el 2018
Migración y xenofobia en la aldea global /Análisis/ Beethoven Herrera Valencia | Opinión - Portafolio.co	https://www.portafolio.co/opinion/beethoven-herrera-valencia/migracion-y-xenofobia-en-la-aldea-global-536134	2019-12-02	Migración y xenofobia en la aldea global /Análisis/ Beethoven Herrera ValenciaOpinión
Así protegen a los refugiados los personeros en la frontera - El Tiempo	https://www.eltiempo.com/colombia/otras-ciudades/asi-protegen-a-los-refugiados-los-personeros-en-la-frontera-451900	2020-01-16	Así protegen a los refugiados los personeros en la frontera
Canadá es la nueva versión del sueño americano para los migrantes - La República	https://www.larepublica.co/globoeconomia/canada-es-la-nueva-version-del-sueno-americano-para-los-migrantes-2953365	2020-01-20	Canadá es la nueva versión del sueño americano para los migrantes
400 familias migrantes se tomaron como campamento antigua pista de aeropuerto en La Guajira - Publimetro Colombia	https://www.publimetro.co/co/noticias/2020/01/27/400-familias-migrantes-se-tomaron-como-campamento-antigua-pista-de-aeropuerto-en-la-guajira.html	2020-01-27	400 familias migrantes se tomaron como campamento antigua pista de aeropuerto en La Guajira
Miles de venezolanos y colombianos seguirán emigrando a Europa en 2020 - Portafolio.co	https://www.portafolio.co/tendencias/miles-de-venezolanos-y-colombianos-seguiran-emigrando-a-europa-537563	2020-01-29	Miles de venezolanos y colombianos seguirán emigrando a Europa en 2020
Gobierno lanza paquete de medidas para regularización de ciudadanos venezolanos - La República	https://www.larepublica.co/economia/gobierno-lanza-paquete-de-medidas-para-regularizacion-de-ciudadanos-venezolanos-2958186	2020-01-29	Gobierno lanza paquete de medidas para regularización de ciudadanos venezolanos
Aprovechaba que su novia era extranjera para golpearla y amenazarla con deportarla - Publimetro Colombia	https://www.publimetro.co/co/noticias/2020/02/03/aprovechaba-novia-extranjera-golpearla-amenazarla-deportarla.html	2020-02-03	Aprovechaba que su novia era extranjera para golpearla y amenazarla con deportarla
Las remesas y los migrantes impulsarán el crecimiento del PIB en Colombia este año - La República	https://www.larepublica.co/economia/las-remesas-y-los-migrantes-impulsaran-el-crecimiento-del-pib-en-colombia-este-ano-2960565	2020-02-05	Las remesas y los migrantes impulsarán el crecimiento del PIB en Colombia este año
Colombia ganará un millón de habitantes anualmente por la migración venezolana - La República	https://www.larepublica.co/economia/colombia-ganara-un-millon-de-habitantes-anualmente-por-la-migracion-venezolana-2963902	2020-02-13	Colombia ganará un millón de habitantes anualmente por la migración venezolana
FMI reconoce impacto positivo de la inmigración venezolana - Portafolio.co	https://www.portafolio.co/economia/fmi-reconoce-impacto-positivo-de-la-inmigracion-venezolana-538380	2020-02-23	FMI reconoce impacto positivo de la inmigración venezolana
Las regiones del país con mayor presencia de migrantes venezolanos - Portafolio.co	https://www.portafolio.co/economia/las-regiones-del-pais-con-mayor-presencia-de-migrantes-venezolanos-538475	2020-02-26	Las regiones del país con mayor presencia de migrantes venezolanos
Estrechan lazos con México en turismo, seguridad y migración - Portafolio.co	https://www.portafolio.co/economia/gobierno/estrechan-lazos-con-mexico-en-turismo-seguridad-y-migracion-538929	2020-03-10	Estrechan lazos con México en turismo, seguridad y migración
Así ha afectado el coronavirus la migración en Colombia - El Tiempo	https://www.eltiempo.com/justicia/investigacion/como-ha-afectado-el-coronavirus-la-migracion-foro-de-dejusticia-479832	2020-04-01	Así ha afectado el coronavirus la migración en Colombia
Gobierno de Canadá y Cuso destina $150 millones para trabajadores migrantes - La República	https://www.larepublica.co/empresas/gobierno-de-canada-y-cuso-destina-150-millones-para-trabajadores-migrantes-2990090	2020-04-08	Gobierno de Canadá y Cuso destina $150 millones para trabajadores migrantes
Por 36 trochas entran migrantes desde Ecuador - El Nuevo Siglo (Colombia)	http://m.elnuevosiglo.com.co/articulos/04-2020-por-36-trochas-entran-migrantes-desde-ecuador	2020-04-23	Por 36 trochas entran migrantes desde Ecuador
La migración del uso de datos hacia el wifi, una tendencia - Portafolio.co	https://www.portafolio.co/economia/la-migracion-del-uso-de-datos-hacia-el-wifi-una-tendencia-540515	2020-05-04	La migración del uso de datos hacia el wifi, una tendencia
