title	link	date	title_corrected
PAC pediría libre migración a EE. UU. a cambio de TLC - La Nación Costa Rica	https://www.nacion.com/el-pais/pac-pediria-libre-migracion-a-ee-uu-a-cambio-de-tlc/2J7XW3DHPBGY5LLY7X7K3OBWJE/story/	2005-07-09	PAC pediría libre migración a EE. UU. a cambio de TLC
Migración prorrogó la visa a 150.000 extranjeros – La Nación - La Nación Costa Rica	https://www.nacion.com/el-pais/migracion-prorrogo-la-visa-a-150-000-extranjeros/275ISI7ZNRG7PPQPWB747FG34A/story/	2005-09-21	Migración prorrogó la visa a 150.000 extranjeros – La Nación
País estudiará la migración de tiburones ballena en el Pacífico - La Nación Costa Rica	https://www.nacion.com/ciencia/pais-estudiara-la-migracion-de-tiburones-ballena-en-el-pacifico/BUVKRWBBG5BFPJUNRTAHXDEKCI/story/	2006-05-17	País estudiará la migración de tiburones ballena en el Pacífico
Angelina Jolie y Brad Pitt pasaron la Navidad con refugiados en Costa Rica - La Nación Costa Rica	https://www.nacion.com/archivo/angelina-jolie-y-brad-pitt-pasaron-la-navidad-con-refugiados-en-costa-rica/OIFQHCH7EBGPHJED2HRWXX34Y4/story/	2006-12-26	Angelina Jolie y Brad Pitt pasaron la Navidad con refugiados en Costa Rica
Más estudiantes extranjeros escogen Costa Rica como centro de estudios - elfinancierocr.com	https://www.elfinancierocr.com/negocios/mas-estudiantes-extranjeros-escogen-costa-rica-como-centro-de-estudios/K5335BI5DBFNFOUW3ITEQ3EAIY/story/	2013-06-16	Más estudiantes extranjeros escogen Costa Rica como centro de estudios
Ticos en el extranjero podrían cotizar para la CCSS - crhoy.com	https://archivo.crhoy.com/ticos-en-el-extranjero-podrian-cotizar-para-la-ccss-v0l7x/nacionales/	2014-03-21	Ticos en el extranjero podrían cotizar para la CCSS
Bordados reviven el drama de refugiados salvadoreños durante la guerra civil - crhoy.com	https://archivo.crhoy.com/bordados-reviven-el-drama-de-refugiados-salvadorenos-durante-la-guerra-civil-v1l1l4x/mundo/	2014-05-18	Bordados reviven el drama de refugiados salvadoreños durante la guerra civil
Cebras hacen la migración más larga de África - La Nación Costa Rica	https://www.nacion.com/ciencia/medio-ambiente/cebras-hacen-la-migracion-mas-larga-de-africa/K2B2WGCR4NCVPDERZY6CNXYRX4/story/	2014-05-31	Cebras hacen la migración más larga de África
Tres extranjeros refugiados caen cuando tachaban autos - La Nación Costa Rica	https://www.nacion.com/sucesos/crimenes/tres-extranjeros-refugiados-caen-cuando-tachaban-autos/HP6UOIJQCNAUXKYW2RMACMN2UE/story/	2014-08-15	Tres extranjeros refugiados caen cuando tachaban autos
Costa Rica es el país con mayor porcentaje de inmigrantes en América Latina - El Financiero Costa Rica	https://www.elfinancierocr.com/economia-y-politica/costa-rica-es-el-pais-con-mayor-porcentaje-de-inmigrantes-en-america-latina/RRHVYJ7SMNBZDBNR6FM6DL7JIE/story/	2014-11-19	Costa Rica es el país con mayor porcentaje de inmigrantes en América Latina
