title	link	date	title_corrected
Haití saca a refugiados de aparcamiento de estadio - elnacional.com.do	https://elnacional.com.do/haiti-saca-a-refugiados-de-aparcamiento-de-estadio/	2011-07-16	Haití saca a refugiados de aparcamiento de estadio
¡Intentó escapar! Autoridades de migración impiden salida del país de Karim Abu Naba`a - ultimasnoticias.com.do	https://www.ultimasnoticias.com.do/2013/11/13/autoridades-de-migracion-impiden-salida-del-pais-de-karim-abu-nabaa/	2013-11-13	¡Intentó escapar! Autoridades de migración impiden salida del país de Karim Abu Naba`a
Desmantelan red vendía niños a extranjeros; apresan a italianos con bebé de 4 meses - ultimasnoticias.com.do	https://www.ultimasnoticias.com.do/2014/04/13/desmantelan-red-vendia-ninos-extranjeros-apresan-italianos-con-bebe-de-4-meses/	2014-04-13	Desmantelan red vendía niños a extranjeros; apresan a italianos con bebé de 4 meses
Sentencia 168-13 impulsó una profunda reforma migratoria - El Dia.com.do	https://eldia.com.do/sentencia-168-13-impulso-una-profunda-reforma-migratoria/	2015-06-01	Sentencia 168-13 impulsó una profunda reforma migratoria
Miedo lleva a migrantes a asumir los riesgos | Metro Republica Dominicana - Metrord	https://www.metrord.do/do/mundo/2015/10/22/miedo-lleva-migrantes-asumir-riesgos.html	2015-10-22	Miedo lleva a migrantes a asumir los riesgosMetro Republica Dominicana
Puertorriqueños migran a Dominicana por un mejor futuro - Metrord	https://www.metrord.do/do/noticias/2016/01/25/puertorriquenos-migran-dominicana-mejor-futuro.html	2016-01-25	Puertorriqueños migran a Dominicana por un mejor futuro
¿Cómo tratan a los refugiados en la UE? - Listín Diario	https://listindiario.com/las-mundiales/2016/01/31/405914/como-tratan-a-los-refugiados-en-la-ue	2016-01-31	¿Cómo tratan a los refugiados en la UE?
Hallan 45 extranjeras en cabaret Santiago | Hoy Digital - Hoy Digital (República Dominicana)	https://hoy.com.do/hallan-45-extranjeras-en-cabaret-santiago/	2016-05-07	Hallan 45 extranjeras en cabaret SantiagoHoy Digital
Actores de Game Of Thrones repudian maltrato a refugiados sirios - Metrord	https://www.metrord.do/do/entretencion/2016/07/03/actores-game-of-thrones-repudian-maltrato-refugiados-sirios.html	2016-07-03	Actores de Game Of Thrones repudian maltrato a refugiados sirios
La migración de RD es más femenina | Metro Republica Dominicana - Metrord	https://www.metrord.do/do/noticias/2016/09/08/migracion-rd-mas-femenina.html	2016-09-08	La migración de RD es más femeninaMetro Republica Dominicana
Acusan de vandalismo a la reportera húngara que zancadilleó a refugiados - Listín Diario	https://listindiario.com/las-mundiales/2016/09/08/434302/acusan-de-vandalismo-a-la-reportera-hungara-que-zancadilleo-a-refugiados	2016-09-08	Acusan de vandalismo a la reportera húngara que zancadilleó a refugiados
La ONU quiere repartir la carga en la atención a los millones de refugiados - Listín Diario	https://listindiario.com/las-mundiales/2016/09/19/435698/la-onu-quiere-repartir-la-carga-en-la-atencion-a-los-millones-de-refugiados	2016-09-19	La ONU quiere repartir la carga en la atención a los millones de refugiados
Denuncian vulneración de los derechos de inmigrantes en R. Dominicana - Metrord	https://www.metrord.do/do/noticias/2016/12/11/denuncian-vulneracion-derechos-inmigrantes-r-dominicana.html	2016-12-11	Denuncian vulneración de los derechos de inmigrantes en R. Dominicana
La migración del campo a la ciudad - El Dia.com.do	https://eldia.com.do/la-migracion-del-campo-a-la-ciudad/	2017-01-20	La migración del campo a la ciudad
Plan de Regularización ha beneficiado 250 mil extranjeros; 98% haitianos - ultimasnoticias.com.do	https://www.ultimasnoticias.com.do/2017/04/28/plan-regularizacion-ha-beneficiado-cerca-250-mil-extranjeros-98-ciento-haitianos/?nonamp=1	2017-04-28	Plan de Regularización ha beneficiado 250 mil extranjeros; 98% haitianos
EEUU suspende su emisión de visas a no migrantes en Rusia - El Nuevo Diario (República Dominicana)	https://elnuevodiario.com.do/eeuu-suspende-emision-de-visas-rusia/	2017-08-21	EEUU suspende su emisión de visas a no migrantes en Rusia
El Brexit pondrá fin a la migración de comunitarios - Metrord	https://www.metrord.do/do/destacado/2017/09/11/brexit-pondra-fin-la-migracion-comunitarios.html	2017-09-11	El Brexit pondrá fin a la migración de comunitarios
Abogada de migración Yudith Feliz encabeza desfile en Rhode Island - El Dia.com.do	https://eldia.com.do/abogada-de-migracion-yudith-feliz-encabeza-desfile-en-rhode-island/	2017-09-12	Abogada de migración Yudith Feliz encabeza desfile en Rhode Island
DGM entregará documentos de residencia a extranjeros - El Nuevo Diario (República Dominicana)	https://elnuevodiario.com.do/dgm-entregara-documentos-de-residencia-a-extranjeros/	2017-10-19	DGM entregará documentos de residencia a extranjeros
Inmigrantes aseguran que ningún muro “impenetrable” detendrá su viaje a EEUU - El Nuevo Diario (República Dominicana)	https://elnuevodiario.com.do/inmigrantes-aseguran-ningun-muro-impenetrable-detendra-viaje-eeuu/	2017-11-05	Inmigrantes aseguran que ningún muro “impenetrable” detendrá su viaje a EEUU
Así fue la jornada en un “epicentro” del voto migrante - Metrord	https://www.metrord.do/do/destacado/2017/11/19/asi-fue-la-jornada-epicentro-del-voto-migrante.html	2017-11-19	Así fue la jornada en un “epicentro” del voto migrante
