title	link	date	title_corrected
Enfrentamientos en campo de refugiados de Jerusalén avivan tensión israelo-palestina - Prensa Libre	https://www.prensalibre.com/internacional/enfrentamientos-campo-refugiados-jerusalen-estado-alerta-0-1244275672/	2014-11-07	Enfrentamientos en campo de refugiados de Jerusalén avivan tensión israelo-palestina
Zaid, el niño refugiado conoció a su ídolo Cristiano Ronaldo - Prensa Libre	https://www.prensalibre.com/deportes/futbol-internacional/zaid-el-nio-refugiado-conocio-a-su-idolo-cristiano-ronaldo/	2015-09-18	Zaid, el niño refugiado conoció a su ídolo Cristiano Ronaldo
Niño refugiado completa su sueño con Real Madrid y Cristiano Ronaldo - Soy502	https://www.soy502.com/articulo/nino-refugiado-completa-sueno-real-madrid-cristiano-ronaldo	2015-09-19	Niño refugiado completa su sueño con Real Madrid y Cristiano Ronaldo
Mueren 12 migrantes por nuevo naufragio en Turquía - Prensa Libre	https://www.prensalibre.com/internacional/mueren-12-migrantes-por-nuevo-naufragio-en-turquia/	2015-10-17	Mueren 12 migrantes por nuevo naufragio en Turquía
Centroamérica vive crisis de refugiados a causa de la violencia, advierte ACNUR - Prensa Libre	https://www.prensalibre.com/guatemala/migrantes/centroamerica-vive-crisis-de-refugiados-a-causa-de-la-violencia-advierte-acnur/	2015-10-28	Centroamérica vive crisis de refugiados a causa de la violencia, advierte ACNUR
Gustavo Alejos asegura que estuvo refugiado en su vivienda - Soy502	https://www.soy502.com/articulo/gustavo-alejos-asegura-siempre-estuvo-refugiado-vivienda	2015-12-28	Gustavo Alejos asegura que estuvo refugiado en su vivienda
Niño de 2 años, primer migrante muerto ahogado en el mar Egeo en 2016 - Prensa Libre	https://www.prensalibre.com/internacional/nio-de-2-aos-primer-migrante-muerto-ahogado-en-el-mar-egeo-en-2016/	2016-01-03	Niño de 2 años, primer migrante muerto ahogado en el mar Egeo en 2016
El invierno agrava penurias de los niños inmigrantes en Europa - Prensa Libre	https://www.prensalibre.com/internacional/el-invierno-agrava-penurias-de-los-nios-inmigrantes-en-europa/	2016-01-19	El invierno agrava penurias de los niños inmigrantes en Europa
Mueren 44 refugiados en nuevos naufragios en el mar Egeo - Prensa Libre	https://www.prensalibre.com/internacional/mueren-21-refugiados-en-2-nuevos-naufragios-en-el-mar-egeo/	2016-01-22	Mueren 44 refugiados en nuevos naufragios en el mar Egeo
Nadadora refugiada siria acapara los focos en la piscina olímpica de Río - La Hora	https://lahora.gt/nadadora-refugiada-siria-acapara-los-focos-la-piscina-olimpica-rio/	2016-08-06	Nadadora refugiada siria acapara los focos en la piscina olímpica de Río
Guatemalteco da su casa para refugiar a migrantes - Prensa Libre	https://www.prensalibre.com/guatemala/migrantes/guatemalteco-da-su-casa-como-refugio-para-migrantes/	2016-12-06	Guatemalteco da su casa para refugiar a migrantes
El niño refugiado afgano fan de Messi conoce a su ídolo en Qatar - Prensa Libre	https://www.prensalibre.com/deportes/futbol-internacional/el-nio-refugiado-afgano-fan-de-messi-conoce-a-su-idolo-en-qatar/	2016-12-13	El niño refugiado afgano fan de Messi conoce a su ídolo en Qatar
Trump actuará ya en seguridad fronteriza y migración - Prensa Libre	https://www.prensalibre.com/internacional/trump-actuara-ya-en-seguridad-fronteriza-y-migracion/	2017-01-24	Trump actuará ya en seguridad fronteriza y migración
Alemania acelerará las expulsiones de inmigrantes - Publinews Guatemala	https://www.publinews.gt/gt/noticias/2017/02/10/alemania-acelerara-expulsiones-inmigrantes.html	2017-02-10	Alemania acelerará las expulsiones de inmigrantes
Ai Weiwei lleva la crisis de los refugiados a Praga - La Hora	https://lahora.gt/ai-weiwei-lleva-la-crisis-los-refugiados-praga/	2017-03-17	Ai Weiwei lleva la crisis de los refugiados a Praga
Alejandro Sanz diseña silla para ayudar a los refugiados - Prensa Libre	https://www.prensalibre.com/vida/escenario/alejandro-sanz-disea-silla-para-ayudar-a-los-refugiados/	2017-07-13	Alejandro Sanz diseña silla para ayudar a los refugiados
Cuatro migrantes guatemaltecos mueren al intentar cruzar río en México - aldia.com.gt	https://aldia.com.gt/2017/07/25/cuatro-migrantes-guatemaltecos-mueren-al-intentar-cruzar-rio-en-mexico/	2017-07-25	Cuatro migrantes guatemaltecos mueren al intentar cruzar río en México
Cuatro migrantes guatemaltecos mueren al intentar cruzar de México a EE. UU. - Publinews Guatemala	https://www.publinews.gt/gt/noticias/2017/07/25/cuatro-migrantes-guatemaltecos-mueren-al-intentar-cruzar-mexico-ee-uu.html	2017-07-25	Cuatro migrantes guatemaltecos mueren al intentar cruzar de México a EE. UU.
Cinco departamentos de Guatemala reportan más índices de migración - Publinews Guatemala	https://www.publinews.gt/gt/noticias/2017/07/27/cinco-departamentos-de-guatemala-reportan-mas-indices-de-migracion.html	2017-07-27	Cinco departamentos de Guatemala reportan más índices de migración
Familias refugiadas en Chiapas continúan sin esperanza de volver al país - Prensa Libre	https://www.prensalibre.com/ciudades/huehuetenango/sigue-dilema-para-las-74-familias-refugiadas-de-yalcastan/	2017-07-27	Familias refugiadas en Chiapas continúan sin esperanza de volver al país
Cada año pasan 400 mil migrantes por Guatemala - Prensa Libre	https://www.prensalibre.com/guatemala/migrantes/refugiados-acnur-migrantes-onu-asilo/	2017-08-02	Cada año pasan 400 mil migrantes por Guatemala
Carta a mi tía Helena, migrante en Rhode Island - Soy502	https://www.soy502.com/articulo/querida-tia-helena-carta-migrante-rhode-island-149	2017-10-17	Carta a mi tía Helena, migrante en Rhode Island
EE. UU. permitirá la entrada de refugiados guatemaltecos - Prensa Libre	https://www.prensalibre.com/guatemala/migrantes/ee-uu-permitira-la-entradad-de-refugiados-guatemaltecos/	2017-10-24	EE. UU. permitirá la entrada de refugiados guatemaltecos
Abren oficina de apoyo a migrantes en La Ruidosa - Prensa Libre	https://www.prensalibre.com/ciudades/izabal/abren-oficina-de-apoyo-a-migrantes-en-la-ruidosa/	2017-10-30	Abren oficina de apoyo a migrantes en La Ruidosa
Mabil de jugar en los campos de refugiados a la élite, ahora busca ayudar a niños y jóvenes - Prensa Libre	https://www.prensalibre.com/deportes/futbol-internacional/mabil-de-jugar-en-los-campos-de-refugiados-a-la-elite-ahora-busca-ayudar-a-nios-y-jovenes/	2017-11-08	Mabil de jugar en los campos de refugiados a la élite, ahora busca ayudar a niños y jóvenes
Esclavitud, cautiverio y torturas: La pesadilla de los migrantes en Libia - elPeriódico (Guatemala)	https://elperiodico.com.gt/noticias/domingo/2017/12/03/esclavitud-cautiverio-y-torturas-la-pesadilla-de-los-migrantes-en-libia/	2017-12-03	Esclavitud, cautiverio y torturas: La pesadilla de los migrantes en Libia
Interceptan en Guatemala a 13 migrantes indocumentados de Nepal - Publinews Guatemala	https://www.publinews.gt/gt/noticias/2018/02/06/localizan-escuintla-13-ciudadanos-nepalies-no-portaban-documentos.html	2018-02-06	Interceptan en Guatemala a 13 migrantes indocumentados de Nepal
Guatemala rechaza agresión a migrantes guatemaltecos en EE. UU. - dca.gob.gt	https://dca.gob.gt/noticias-guatemala-diario-centro-america/guatemala-rechaza-agresion-a-migrantes-guatemaltecos-en-ee-uu/	2018-05-25	Guatemala rechaza agresión a migrantes guatemaltecos en EE. UU.
Comentario racista contra migrante asesinada se hace viral - aldia.com.gt	http://aldia.com.gt/2018/05/26/comentario-racista-contra-migrante-asesinada-se-hace-viral/	2018-05-26	Comentario racista contra migrante asesinada se hace viral
ONU: niños inmigrantes no deben ser separados de sus padres en frontera entre Estados Unidos y México - elPeriódico (Guatemala)	https://elperiodico.com.gt/nacionales/2018/06/18/onu-ninos-inmigrantes-no-deben-ser-separados-de-sus-padres-en-frontera-entre-estados-unidos-y-mexico/	2018-06-18	ONU: niños inmigrantes no deben ser separados de sus padres en frontera entre Estados Unidos y México
¿Qué está pasando en Texas? Eso es lo que sabemos de los niños migrantes que están siendo separados de sus familias - nomada.gt	https://nomada.gt/identidades/guatemala-rural/que-esta-pasando-en-la-frontera-eso-es-lo-que-sabemos-de-los-ninos-migrantes-que-estan-siendo-separados-de-sus-familias/	2018-06-19	¿Qué está pasando en Texas? Eso es lo que sabemos de los niños migrantes que están siendo separados de sus familias
