title	link	date	title_corrected
Fuerza de Tarea lista para recibir a niños migrantes - quienopina.com	https://www.quienopina.com/2014/06/fuerza-de-tarea-lista-para-recibir-a-ninos-migrantes/	2014-06-23	Fuerza de Tarea lista para recibir a niños migrantes
Honduras buscará que inmigrantes presos en México tengan acceso a la justicia - quienopina.com	https://www.quienopina.com/2014/10/honduras-buscara-que-inmigrantes-presos-en-mexico-tengan-acceso-a-la-justicia/	2014-10-20	Honduras buscará que inmigrantes presos en México tengan acceso a la justicia
Hondureños amparados al TPS pueden pedir hijos como refugiados - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/pais/779643-214/hondure%C3%B1os-amparados-al-tps-pueden-pedir-hijos-como-refugiados	2014-12-24	Hondureños amparados al TPS pueden pedir hijos como refugiadosDiario El Heraldo
Estados Unidos amplía programa de refugiados para niños hondureños - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/pais/793382-214/estados-unidos-ampl%C3%ADa-programa-de-refugiados-para-ni%C3%B1os-hondure%C3%B1os	2015-02-09	Estados Unidos amplía programa de refugiados para niños hondureñosDiario El Heraldo
Tecnología que ayuda a migrantes a llegar a Estados Unidos - Diez.hn	https://www.diez.hn/otrassecciones/videojuegosytecnologia/794036-99/tecnolog%C3%ADa-que-ayuda-a-migrantes-a-llegar-a-estados-unidos	2015-02-11	Tecnología que ayuda a migrantes a llegar a Estados Unidos
Bajo pago de fianza: EUA permitirá liberación de migrantes detenidos » Criterio.hn - criterio.hn	https://criterio.hn/bajo-pago-de-fianza-eua-permitira-liberacion-de-migrantes-detenidos/	2015-06-25	Bajo pago de fianza: EUA permitirá liberación de migrantes detenidos » Criterio.hn
Andy Najar, de niño migrante a figura de Honduras en la Copa Oro - Diez.hn	https://www.diez.hn/laseleccion/854623-99/andy-najar-de-ni%C3%B1o-migrante-a-figura-de-honduras-en-la-copa	2015-07-01	Andy Najar, de niño migrante a figura de Honduras en la Copa Oro
Campaña Mes del no migrante: Advierten a niños sobre riesgos de irse mojados - Tiempo.hn	https://tiempo.hn/campana-mes-del-no-migrante-advierten-a-ninos-sobre-riesgos-de-irse-mojados/	2015-08-03	Campaña Mes del no migrante: Advierten a niños sobre riesgos de irse mojados
Comité Olímpico Internacional destinará dos millones para crisi migratoria - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/zonadeportiva/876343-215/comit%C3%A9-ol%C3%ADmpico-internacional-destinar%C3%A1-dos-millones-para-crisi-migratoria	2015-09-04	Comité Olímpico Internacional destinará dos millones para crisi migratoriaDiario El Heraldo
Crisis migratoria ¿Cómo planea EEUU recibir a 10.000 refugiados sirios? - Tiempo.hn	https://tiempo.hn/crisis-migratoria-planea-eeuu-recibir-10-000-refugiados-sirios/	2015-09-12	Crisis migratoria ¿Cómo planea EEUU recibir a 10.000 refugiados sirios?
Centroamérica vive crisis de refugiados a causa de la violencia, advierte ACNUR - Tiempo.hn	https://tiempo.hn/centroamerica-vive-crisis-de-refugiados-a-causa-de-la-violencia-advierte-acnur/	2015-10-28	Centroamérica vive crisis de refugiados a causa de la violencia, advierte ACNUR
Estas ciudades de EEUU reciben a inmigrantes con los brazos abiertos - tiempo.hn	https://tiempo.hn/estas-ciudades-de-eeuu-recibe-a-inmigrantes-con-los-brazos-abiertos/	2015-12-28	Estas ciudades de EEUU reciben a inmigrantes con los brazos abiertos
¿Cómo solicitar estatus de refugiado en Estados Unidos? - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/inicio/920271-465/c%C3%B3mo-solicitar-estatus-de-refugiado-en-estados-unidos	2016-01-18	¿Cómo solicitar estatus de refugiado en Estados Unidos?Diario El Heraldo
Equipos de la Liga Nacional le apuestan a los entrenadores extranjeros - Diez.hn	https://www.diez.hn/futboldeprimera/victoria/922382-99/equipos-de-la-liga-nacional-le-apuestan-a-los-entrenadores-extranjeros	2016-01-23	Equipos de la Liga Nacional le apuestan a los entrenadores extranjeros
Desgarradoras historias de los 10 atletas refugiados que estarán en Río 2016 - Diez.hn	https://www.diez.hn/notodoesfutbol/polideportivo/977407-99/desgarradoras-historias-de-los-10-atletas-refugiados-que-estar%C3%A1n-en-r%C3%ADo-2016	2016-07-06	Desgarradoras historias de los 10 atletas refugiados que estarán en Río 2016
El futbolista Xavi Hernández dona su barco para ayudar a refugiados - Diez.hn	https://www.diez.hn/internacionales/barcelona/985613-99/el-futbolista-xavi-hern%C3%A1ndez-dona-su-barco-para-ayudar-a-refugiados	2016-08-01	El futbolista Xavi Hernández dona su barco para ayudar a refugiados
La increíble historia de Yusra Mardini, atleta siria que salvó a 20 refugiados en altamar - Diez.hn	https://www.diez.hn/internacionales/rio2016/988318-99/la-incre%C3%ADble-historia-de-yusra-mardini-atleta-siria-que-salv%C3%B3-a-20	2016-08-09	La increíble historia de Yusra Mardini, atleta siria que salvó a 20 refugiados en altamar
Análisis: Política y crisis migratoria en Honduras, desencuentro lamentable — - confidencialhn.com	https://confidencialhn.com/analisis-politica-y-crisis-migratoria-en-honduras-un-desencuentro-lamentable/	2016-08-11	Análisis: Política y crisis migratoria en Honduras, desencuentro lamentable —
“Quienes huyen de la violencia en América Central debe ser calificados como refugiados”: Salil Shetty » Criterio.hn - criterio.hn	https://criterio.hn/quienes-huyen-la-violencia-america-central-calificados-refugiados-salil-shetty/	2016-10-16	“Quienes huyen de la violencia en América Central debe ser calificados como refugiados”: Salil Shetty » Criterio.hn
migrantes 110 migrantes son detenidos en la zona sur de Honduras - Tiempo.hn	https://tiempo.hn/110-migrantes-detenidos-la-zona-sur-honduras/	2016-12-15	migrantes 110 migrantes son detenidos en la zona sur de Honduras
"Mark Zuckerberg: ""Ellos son nuestro futuro. Somos un país de inmigrantes"" - Tiempo.hn"	https://tiempo.hn/mark-zuckerberg-somos-pais-de-emigrantes/	2017-01-29	"Mark Zuckerberg: ""Ellos son nuestro futuro. Somos un país de inmigrantes"""
Efecto Trump: Honduras firma convenio para proteger migrantes — - confidencialhn.com	https://confidencialhn.com/efecto-trump-honduras-firma-convenio-para-proteger-migrantes/	2017-01-30	Efecto Trump: Honduras firma convenio para proteger migrantes —
¿Qué hace falta para ser migrante con estatus legal en EEUU? - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/mundo/1040007-466/qu%C3%A9-hace-falta-para-ser-migrante-con-estatus-legal-en-eeuu	2017-01-31	¿Qué hace falta para ser migrante con estatus legal en EEUU?Diario El Heraldo
La migración — - confidencialhn.com	https://confidencialhn.com/la-migracion/	2017-02-02	La migración —
Cristiano Ronaldo y Angelina Jolie actuarán en una serie de refugiados - Diez.hn	https://www.diez.hn/internacionales/1045851-498/cristiano-ronaldo-y-angelina-jolie-actuar%C3%A1n-en-una-serie-de-refugiados	2017-02-19	Cristiano Ronaldo y Angelina Jolie actuarán en una serie de refugiados
Honduras, FOSDEH, Triángulo Norte de CA es incapaz de atender a migrantes - quienopina.com	https://www.quienopina.com/2017/02/honduras-fosdeh-triangulo-norte-de-c-a-es-incapaz-de-atender-a-migrantes/	2017-02-24	Honduras, FOSDEH, Triángulo Norte de CA es incapaz de atender a migrantes
Trump firma nueva orden ejecutiva sobre inmigración — - confidencialhn.com	https://confidencialhn.com/trump-firma-nueva-orden-ejecutiva-sobre-inmigracion/	2017-03-06	Trump firma nueva orden ejecutiva sobre inmigración —
Varios estados se unen a Hawai en demandas contra el veto migratorio de Trump - proceso.hn	http://www.proceso.hn/mas-noticias/32-m%C3%A1s-noticias/varios-estados-se-unen-a-hawai-en-demandas-contra-el-veto-migratorio-de-trump.html	2017-03-09	Varios estados se unen a Hawai en demandas contra el veto migratorio de Trump
Así opina Bruce Arena sobre el decreto antiinmigrantes de Donald Trump - Diez.hn	https://www.diez.hn/internacionales/1054679-498/as%C3%AD-opina-bruce-arena-sobre-el-decreto-antiinmigrantes-de-donald-trump	2017-03-21	Así opina Bruce Arena sobre el decreto antiinmigrantes de Donald Trump
Refugiados migrantes realizaron viacrucis en frontera con Estados Unidos » Criterio.hn - criterio.hn	https://criterio.hn/refugiados-migrantes-realizaron-viacrucis-frontera-estados-unidos/	2017-04-16	Refugiados migrantes realizaron viacrucis en frontera con Estados Unidos » Criterio.hn
La ONU advierte que existen más de 65 millones de refugiados - quienopina.com	https://www.quienopina.com/2017/06/la-onu-advierte-que-existen-mas-de-65-millones-de-refugiados/	2017-06-19	La ONU advierte que existen más de 65 millones de refugiados
ACNUR dice solución a crisis de refugiados es una responsabilidad compartida - La Tribuna.hn	https://www.latribuna.hn/2017/06/20/acnur-dice-solucion-crisis-refugiados-una-responsabilidad-compartida/	2017-06-20	ACNUR dice solución a crisis de refugiados es una responsabilidad compartida
EEUU no tiene pruebas contundentes de nexo entre niños migrantes y crímenes de MS13 — - confidencialhn.com	https://confidencialhn.com/eeuu-no-tiene-pruebas-contundentes-de-nexo-entre-ninos-migrantes-y-crimenes-de-ms13/	2017-06-27	EEUU no tiene pruebas contundentes de nexo entre niños migrantes y crímenes de MS13 —
4 de julio embarga de sentimientos a migrantes en EEUU - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/minisitios/hondurenosenelmundo/1086085-471/4-de-julio-embarga-de-sentimientos-a-migrantes-en-eeuu-	2017-07-03	4 de julio embarga de sentimientos a migrantes en EEUUDiario El Heraldo
Phoenix, trampa mortal para los migrantes y sede del Honduras-México - Diez.hn	https://www.diez.hn/laseleccion/1090425-498/phoenix-trampa-mortal-para-los-migrantes-y-sede-del-honduras-m%C3%A9xico	2017-07-17	Phoenix, trampa mortal para los migrantes y sede del Honduras-México
Desaparece migrante hondureño en México y emiten Alerta Amber - Tiempo.hn	https://tiempo.hn/migrante-hondureno-alerta-amber/	2017-07-25	Desaparece migrante hondureño en México y emiten Alerta Amber
¿De qué huyen los migrantes que cruzan hacia Estados Unidos? - quienopina.com	https://www.quienopina.com/2017/08/de-que-huyen-los-migrantes-que-cruzan-hacia-estados-unidos/	2017-08-02	¿De qué huyen los migrantes que cruzan hacia Estados Unidos?
