title	link	date	title_corrected
"Apoyará a migrantes el filme ""Patrulla 81, La verdadera historia..."" - La Crónica de Hoy"	http://www.cronica.com.mx/notas/2007/307757.html	2007-06-20	"Apoyará a migrantes el filme ""Patrulla 81, La verdadera historia..."""
Suerte de migrantes - Leopoldo Mendívil - La Crónica de Hoy	http://www.cronica.com.mx/notas/2009/458953.html	2009-09-22	Suerte de migrantesLeopoldo Mendívil
Angelina Jolie visita a refugiados africanos en Malta - unam.mx	https://www.jornada.unam.mx/2011/06/20/mundo/028n4mun	2011-06-20	Angelina Jolie visita a refugiados africanos en Malta
Reestrenan Zoot suit, una crítica al racismo contra migrantes en EU - La Crónica de Hoy	https://www.cronica.com.mx/notas/2013/739957.html	2013-03-24	Reestrenan Zoot suit, una crítica al racismo contra migrantes en EU
Los pobladores de América llegaron en varias migraciones simultáneas - La Crónica de Hoy	https://www.cronica.com.mx/notas/2013/746992.html	2013-04-22	Los pobladores de América llegaron en varias migraciones simultáneas
Los pobladores de América llegaron en varias migraciones simultáneas - La Crónica de Hoy	http://www.cronica.com.mx/notas/2013/746992.html	2013-04-22	Los pobladores de América llegaron en varias migraciones simultáneas
Muere el pintor y escultor Alejandro Santiago; fue un defensor de migrantes - La Crónica de Hoy	https://www.cronica.com.mx/notas/2013/770429.html	2013-07-23	Muere el pintor y escultor Alejandro Santiago; fue un defensor de migrantes
Tiburones, los refugiados que habitan un parque marino - Milenio.com	https://www.milenio.com/estados/tiburones-los-refugiados-que-habitan-un-parque-marino	2015-03-20	Tiburones, los refugiados que habitan un parque marino
El arte mural de pequeños refugiados sirios | El Universal - El Universal	https://www.eluniversal.com.mx/articulo/cultura/artes-visuales/2015/07/9/el-arte-mural-de-pequenos-refugiados-sirios	2015-07-09	El arte mural de pequeños refugiados sirios
Hungría responsabiliza a la UE de muerte de 71 refugiados | El Universal - El Universal	https://www.eluniversal.com.mx/articulo/mundo/2015/08/28/hungria-responsabiliza-la-ue-de-muerte-de-71-refugiados	2015-08-28	Hungría responsabiliza a la UE de muerte de 71 refugiados
Nueva tragedia cobra vida de 34 refugiados – El Financiero - El Financiero	https://www.elfinanciero.com.mx/mundo/mueren-28-refugiados-en-nuevo-naufragio-en-isla-de-grecia/	2015-09-13	Nueva tragedia cobra vida de 34 refugiados – 
Policía dispara gases y cañones de agua contra refugiados en Hungría - El Universal	https://www.eluniversal.com.mx/galeria/mundo/2015/09/16/policia-dispara-gases-y-canones-de-agua-contra-refugiados-en-hungria	2015-09-16	Policía dispara gases y cañones de agua contra refugiados en Hungría
Más de un millón de refugiados llegarán a Alemania | El Universal - El Universal	https://www.eluniversal.com.mx/articulo/mundo/2015/10/5/mas-de-un-millon-de-refugiados-llegaran-alemania	2015-10-05	Más de un millón de refugiados llegarán a Alemania
Imagine Dragons y SAP se unen en pro de refugiados - El Financiero	https://www.elfinanciero.com.mx/after-office/imagine-dragons-y-sap-en-pro-de-refugiados/	2015-10-12	Imagine Dragons y SAP se unen en pro de refugiados
Rescatan a 949 migrantes en costas italianas - Excélsior	https://www.excelsior.com.mx/global/2015/11/06/1055669?utm_source=1055669&utm_medium=contentrelated&utm_campaign=main	2015-11-06	Rescatan a 949 migrantes en costas italianas
Ministro del Interior alemán aboga por fijar tope de refugiados - Excélsior	https://www.excelsior.com.mx/global/2015/11/26/1059707?utm_source=1059707&utm_medium=contentrelated&utm_campaign=main	2015-11-26	Ministro del Interior alemán aboga por fijar tope de refugiados
Ataques a refugiados en Alemania aumentaron en 2015 | El Universal - El Universal	https://www.eluniversal.com.mx/articulo/mundo/2016/01/14/ataques-refugiados-en-alemania-aumentaron-en-2015	2016-01-14	Ataques a refugiados en Alemania aumentaron en 2015
Miles condenan en Alemania la violencia contra refugiados - Excélsior	https://www.excelsior.com.mx/global/2016/01/16/1069224	2016-01-16	Miles condenan en Alemania la violencia contra refugiados
Ai Weiwei creará arte con chalecos salvavidas de refugiados | El Universal - El Universal	https://www.eluniversal.com.mx/articulo/cultura/artes-visuales/2016/02/2/ai-weiwei-creara-arte-con-chalecos-salvavidas-de	2016-02-02	Ai Weiwei creará arte con chalecos salvavidas de refugiados
México dará 3 mdd para los refugiados sirios - El Economista	https://www.eleconomista.com.mx/politica/Mexico-dara-3-mdd-para-los-refugiados-sirios-20160204-0014.html	2016-02-04	México dará 3 mdd para los refugiados sirios
Ai Weiwei despliega chalecos salvavidas por refugiados | El Universal - El Universal	https://www.eluniversal.com.mx/articulo/cultura/artes-visuales/2016/02/13/ai-weiwei-despliega-chalecos-salvavidas-por-refugiados	2016-02-13	Ai Weiwei despliega chalecos salvavidas por refugiados
Así es como el aeropuerto de Hitler se transforma para recibir a refugiados - El Financiero	https://elfinanciero.com.mx/new-york-times-syndicate/asi-es-como-el-aeropuerto-de-hitler-se-transforma-para-recibir-a-refugiados	2016-02-20	Así es como el aeropuerto de Hitler se transforma para recibir a refugiados
