title	link	date	title_corrected
Boston no deportará a más inmigrantes indocumentados - El Nuevo Diario	https://www.elnuevodiario.com.ni/nacionales/328294-boston-no-deportara-mas-inmigrantes-indocumentados/	2014-08-26	Boston no deportará a más inmigrantes indocumentados
Nicaragua es destino para refugiados - El Nuevo Diario	https://www.elnuevodiario.com.ni/nacionales/363263-nicaragua-es-destino-refugiados/	2015-06-26	Nicaragua es destino para refugiados
Aumentan refugiados salvadoreños en el país - El Nuevo Diario	https://www.elnuevodiario.com.ni/nacionales/369060-aumentan-refugiados-salvadorenos-pais/	2015-08-31	Aumentan refugiados salvadoreños en el país
"Corrupción e impunidad, ""verdaderas causas"" de migración forzada en Honduras - El Nuevo Diario"	https://www.elnuevodiario.com.ni/internacionales/369127-corrupcion-e-impunidad-verdaderas-causas-migracion/	2015-08-31	"Corrupción e impunidad, ""verdaderas causas"" de migración forzada en Honduras"
Millonario noruego ofrece noches de hotel a refugiados - La Prensa (Nicaragua)	https://www.laprensa.com.ni/2015/09/08/internacionales/1898068-millonario-noruego-ofrece-noches-de-hotel-a-refugiados	2015-09-08	Millonario noruego ofrece noches de hotel a refugiados
Hungría arresta a 519 refugiados desde el cierre de la frontera - La Prensa (Nicaragua)	https://www.laprensa.com.ni/2015/09/16/internacionales/1902569-hungria-arresta-a-519-refugiados-desde-el-cierre-de-la-frontera	2015-09-16	Hungría arresta a 519 refugiados desde el cierre de la frontera
Familia de refugiados sirios pudo conocer a su ídolo Cristiano Ronaldo - El Nuevo Diario	https://www.elnuevodiario.com.ni/elalacran/370882-familia-refugiados-sirios-pudo-conocer-su-idolo-cr/	2015-09-18	Familia de refugiados sirios pudo conocer a su ídolo Cristiano Ronaldo
El migrante sufre de una “triple exclusión” - El Nuevo Diario	https://www.elnuevodiario.com.ni/nacionales/373374-migrante-sufre-triple-exclusion/	2015-10-13	El migrante sufre de una “triple exclusión”
Aziza, la niña que lleva la escuela a los niños refugiados afganos - El Nuevo Diario	https://www.elnuevodiario.com.ni/especiales/376155-aziza-nina-que-lleva-escuela-ninos-refugiados-afga/	2015-11-07	Aziza, la niña que lleva la escuela a los niños refugiados afganos
Alabama y Michigan se rehúsan a recibir refugiados sirios tras atentados en París - El Nuevo Diario	https://www.elnuevodiario.com.ni/internacionales/377050-alabama-michigan-se-rehusan-recibir-refugiados-sir/	2015-11-16	Alabama y Michigan se rehúsan a recibir refugiados sirios tras atentados en París
Odio orteguista contra migrantes - Confidencial	https://www.confidencial.com.ni/opinion/odio-orteguista-contra-migrantes/	2015-11-23	Odio orteguista contra migrantes
Murillo sobre migrantes: “chantaje, presión y amenaza” - Confidencial	https://www.confidencial.com.ni/politica/murillo-sobre-migrantes-chantaje-presion-y-amenaza/	2015-11-24	Murillo sobre migrantes: “chantaje, presión y amenaza”
Centroamérica frente a la migración cubana - Confidencial	https://www.confidencial.com.ni/opinion/centroamerica-frente-a-la-migracion-cubana/	2015-12-03	Centroamérica frente a la migración cubana
