title	link	date	title_corrected
Los chorrilleros, refugiados en su propio país - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/141221/pais-propio-refugiados-chorrilleros	2014-12-21	Los chorrilleros, refugiados en su propio país
Onpar niega otorgarle estatus de 'refugiada' a María del Pilar Hurtado - prensa.com	https://www.prensa.com/politica/Onpar-otorgarle-Maria-Pilar-Hurtado_0_4117088458.html	2015-01-12	Onpar niega otorgarle estatus de 'refugiada' a María del Pilar Hurtado
En Panamá hay 2,237 refugiados - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/150120/2-hay-237-panama-refugiados	2015-01-20	En Panamá hay 2,237 refugiados
ACNUR y Totto presentan campaña en favor de niños desplazados de América - La Prensa	https://www.prensa.com/buena_noticia/ACNUR-Totto-presentan-desplazados-America_0_4228827316.html	2015-06-10	ACNUR y Totto presentan campaña en favor de niños desplazados de América
El drama de los refugiados - La Prensa	https://www.prensa.com/opinion/drama-refugiados_0_4291820852.html	2015-09-01	El drama de los refugiados
Papa: El Vaticano dará refugio a dos familias de migrantes - La Prensa de Panamá	https://www.prensa.com/mundo/Papa-Vaticano-refugio-familias-migrantes_0_4294820604.html	2015-09-06	Papa: El Vaticano dará refugio a dos familias de migrantes
Panamá está dispuesto a recibir refugiados sirios - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/150908/panama-sirios-recibir-dispuesto-refugiados	2015-09-08	Panamá está dispuesto a recibir refugiados sirios
"Panamá recibirá refugiados sirios ""si se lo piden"" - Día a día"	https://www.diaadia.com.pa/el-pais/panama-recibira-refugiados-sirios-si-se-lo-piden-638422	2015-09-08	"Panamá recibirá refugiados sirios ""si se lo piden"""
Panamá evalúa costos y capacidades para recibir a refugiados - Crítica	https://www.critica.com.pa/nacional/panama-evalua-costos-y-capacidades-para-recibir-refugiados-405305	2015-09-09	Panamá evalúa costos y capacidades para recibir a refugiados
Panamá se alista para recibir a refugiados sirios - La Prensa	https://www.prensa.com/politica/Cancilleria-inicia-reuniones-tema-refugiados_0_4297070466.html	2015-09-09	Panamá se alista para recibir a refugiados sirios
Cinco mil migrantes llegan a la frontera con Hungría - La Prensa de Panamá	https://www.prensa.com/mundo/mil-migrantes-llegan-frontera-Hungria_0_4297820299.html	2015-09-10	Cinco mil migrantes llegan a la frontera con Hungría
Croacia y Eslovenia piensan en corredores para los refugiados hasta Austria - La Prensa de Panamá	https://www.prensa.com/mundo/Croacia-Eslovenia-corredores-refugiados-Austria_0_4302319855.html	2015-09-16	Croacia y Eslovenia piensan en corredores para los refugiados hasta Austria
Estados Unidos aceptará más refugiados de lo que se planeaba: Kerry - La Prensa de Panamá	https://www.prensa.com/mundo/Unidos-aceptara-refugiados-planeaba-Kerry_0_4305319546.html	2015-09-20	Estados Unidos aceptará más refugiados de lo que se planeaba: Kerry
Prostituidos y explotados: dura realidad de niños migrantes - Crítica	https://www.critica.com.pa/mundo/prostituidos-y-explotados-dura-realidad-de-ninos-migrantes-406874	2015-09-22	Prostituidos y explotados: dura realidad de niños migrantes
Buscan crear conciencia en Panamá sobre situación de los refugiados - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/151119/crear-buscan-panama-situacion-conciencia	2015-11-19	Buscan crear conciencia en Panamá sobre situación de los refugiados
Política exterior divagante: Panamá está en coalición, pero no recibirá refugiados sirios - Panamá América	https://www.panamaamerica.com.pa/nacion/politica-exterior-divagante-panama-esta-en-coalicion-pero-no-recibira-refugiados-sirios	2015-11-22	Política exterior divagante: Panamá está en coalición, pero no recibirá refugiados sirios
El 34% de los refugiados en Panamá son niños - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/151205/34-son-ninos-panama-refugiados	2015-12-05	El 34% de los refugiados en Panamá son niños
Sacha Baron Cohen y su esposa donarán un millón de dólares a refugiados sirios - La Prensa	https://www.prensa.com/entretenimiento/Sacha-Baron-Cohen-dolares-refugiados_0_4378812163.html	2015-12-27	Sacha Baron Cohen y su esposa donarán un millón de dólares a refugiados sirios
Papa rifa regalos para recabar fondos para refugiados - Día a día	https://www.diaadia.com.pa/mundo/papa-rifa-regalos-para-recabar-fondos-para-refugiados-644829	2016-01-08	Papa rifa regalos para recabar fondos para refugiados
ONPAR promueve la no discriminación y respeto a los derechos humanos de la población refugiada que reside en Panamá – Noticias de panamá Periódico diario de Panamá Novedades - panama24horas.com.pa	https://www.panama24horas.com.pa/panama/onpar-promueve-la-no-discriminacion-y-respeto-a-los-derechos-humanos-de-la-poblacion-refugiada-que-reside-en-panama/	2016-03-06	ONPAR promueve la no discriminación y respeto a los derechos humanos de la población refugiada que reside en Panamá – Noticias de panamá Periódico diario de Panamá Novedades
Colombianos, venezolanos y cubanos, mayoría de refugiados en Panamá - Panamá América	https://www.panamaamerica.com.pa/nacion/colombianos-venezolanos-y-cubanos-mayoria-de-refugiados-en-panama-1019124	2016-03-23	Colombianos, venezolanos y cubanos, mayoría de refugiados en Panamá
Gobierno presenta guía para la obtención de estatus de refugiado - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/160327/guia-estatus-gobierno-presenta-obtencion	2016-03-27	Gobierno presenta guía para la obtención de estatus de refugiado
Películas animadas sobre niños refugiados - La Estrella de Panamá	https://www.laestrella.com.pa/economia/160329/ninos-animadas-peliculas-refugiados	2016-03-29	Películas animadas sobre niños refugiados
Situación de migrantes Cubanos en David, recibe toda la atención del gobierno panameño – Noticias de panamá Periódico diario de Panamá Novedades - panama24horas.com.pa	https://www.panama24horas.com.pa/ultimas-noticias/situacion-de-migrantes-cubanos-en-david-recibe-toda-la-atencion-del-gobierno-panameno/	2016-04-21	Situación de migrantes Cubanos en David, recibe toda la atención del gobierno panameño – Noticias de panamá Periódico diario de Panamá Novedades
Panamá y Costa Rica emprenden acciones para mejorar seguridad humana de migrantes temporales Ngäbe Buglé en la Ruta del Café – Noticias de panamá Periódico diario de Panamá Novedades - panama24horas.com.pa	https://www.panama24horas.com.pa/ultimas-noticias/panama-y-costa-rica-emprenden-acciones-para-mejorar-seguridad-humana-de-migrantes-temporales-ngabe-bugle-en-la-ruta-del-cafe/	2016-04-30	Panamá y Costa Rica emprenden acciones para mejorar seguridad humana de migrantes temporales Ngäbe Buglé en la Ruta del Café – Noticias de panamá Periódico diario de Panamá Novedades
Onpar fortalece mecanismo para otorgar estatus de refugiado - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/160504/onpar-otorgar-estatus-fortalece-mecanismo	2016-05-04	Onpar fortalece mecanismo para otorgar estatus de refugiado
La ONU reporta varios miles de desplazados en Colombia - La Prensa de Panamá	https://www.prensa.com/mundo/ONU-reporta-varios-desplazados-Colombia_0_4481551916.html	2016-05-12	La ONU reporta varios miles de desplazados en Colombia
Detectan casi 6.000 migrantes irregulares que iban a Panamá - Crítica	https://www.critica.com.pa/sucesos/detectan-casi-6000-migrantes-irregulares-que-iban-panama-433926	2016-05-18	Detectan casi 6.000 migrantes irregulares que iban a Panamá
Ricky Martin visita a refugiados sirios en Líbano - La Prensa	https://www.prensa.com/entretenimiento/unicef-libano-ricky-martin_0_4498050303.html	2016-06-03	Ricky Martin visita a refugiados sirios en Líbano
Jóvenes refugiados solicitan al gobierno ampliar oportunidades para formación académica en universidades del país – Noticias de panamá Periódico diario de Panamá Novedades - panama24horas.com.pa	https://www.panama24horas.com.pa/ultimas-noticias/jovenes-refugiados-solicitan-al-gobierno-ampliar-oportunidades-para-formacion-academica-en-universidades-del-pais/	2016-06-20	Jóvenes refugiados solicitan al gobierno ampliar oportunidades para formación académica en universidades del país – Noticias de panamá Periódico diario de Panamá Novedades
Malala visita campamento de refugiados de Kenia - Día a día	https://www.diaadia.com.pa/mundo/malala-visita-campamento-de-refugiados-de-kenia-654507	2016-07-12	Malala visita campamento de refugiados de Kenia
Habilitan albergue para migrantes - Día a día	https://www.diaadia.com.pa/el-pais/habilitan-albergue-para-migrantes-656561	2016-08-18	Habilitan albergue para migrantes
Habilitan albergue para migrantes y detectan casos de VIH - Crítica	https://www.critica.com.pa/provincias/habilitan-albergue-para-migrantes-y-detectan-casos-de-vih-444532	2016-08-18	Habilitan albergue para migrantes y detectan casos de VIH
Familia migrante muere al intentar cruzar selva de Darién - Panamá América	https://www.panamaamerica.com.pa/provincias/familia-migrante-muere-al-intentar-cruzar-selva-de-darien-1041233	2016-09-01	Familia migrante muere al intentar cruzar selva de Darién
Panamá expresa su compromiso con los derechos humanos de los refugiados - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/160915/panama-expresa-humanos-derechos-compromiso	2016-09-15	Panamá expresa su compromiso con los derechos humanos de los refugiados
George Soros promete $500 millones para ayudar a refugiados - La Prensa de Panamá	https://www.prensa.com/mundo/George-Soros-promete-millones-refugiados_0_4579792028.html	2016-09-20	George Soros promete $500 millones para ayudar a refugiados
Tres años de cárcel para la periodista que pateó a inmigrantes durante cobertura en Hungría - La Prensa de Panamá	https://www.prensa.com/mundo/carcel-periodista-inmigrantes-cobertura-Hungria_0_4666033366.html	2017-01-13	Tres años de cárcel para la periodista que pateó a inmigrantes durante cobertura en Hungría
Panamá teme migración masiva por políticas de Trump - Crítica	https://www.critica.com.pa/nacional/panama-teme-migracion-masiva-por-politicas-de-trump-463222	2017-02-01	Panamá teme migración masiva por políticas de Trump
Piden a Trump no malgastar dinero de impuestos de migrantes - Día a día	https://www.diaadia.com.pa/mundo/piden-trump-no-malgastar-dinero-de-impuestos-de-migrantes-671251	2017-04-11	Piden a Trump no malgastar dinero de impuestos de migrantes
