title	link	date	title_corrected
Peruanos en el extranjero recibirán DNI en menor tiempo - peru.com	https://laprensa.peru.com/actualidad/noticia-peruanos-extranjero-recibiran-dni-menor-tiempo-14273	2013-10-19	Peruanos en el extranjero recibirán DNI en menor tiempo
Impresionante migración anual de 120 millones de cangrejos rojos (Fotos) - Crónica Viva	http://www.cronicaviva.com.pe/impresionante-migracion-anual-de-120-millones-de-cangrejos-rojos-fotos/	2015-12-16	Impresionante migración anual de 120 millones de cangrejos rojos (Fotos)
Cultura Mochica: MALI expone muestra sobre migrantes de esta sociedad - Diario Correo	https://diariocorreo.pe/cultura/cultura-mochica-mali-expone-muestra-sobre-migrantes-de-esta-sociedad-655226/	2016-02-21	Cultura Mochica: MALI expone muestra sobre migrantes de esta sociedad
Pampacolca se queda sin alumnos por migración hacia Majes-El Pedregal - Diario Correo	https://diariocorreo.pe/edicion/arequipa/pampacolca-se-queda-sin-alumnos-por-migracion-hacia-majes-el-pedregal-657975/	2016-03-04	Pampacolca se queda sin alumnos por migración hacia Majes-El Pedregal
17 intervenidos por tráfico de migrantes declaran en el Depincri Tacna - Diario Correo	https://diariocorreo.pe/edicion/tacna/17-intervenidos-por-trafico-de-migrantes-declaran-en-el-depincri-tacna-673741/	2016-05-19	17 intervenidos por tráfico de migrantes declaran en el Depincri Tacna
Horror en Libia: Mar vara cadáveres de 85 migrantes náufragos - Crónica Viva	http://www.cronicaviva.com.pe/horror-en-libia-mar-vara-los-cadaveres-de-85-migrantes-naufragos/	2016-06-02	Horror en Libia: Mar vara cadáveres de 85 migrantes náufragos
Los otros refugiados: víctimas del chavismo se afincan en Perú - El Comercio	https://elcomercio.pe/sociedad/lima/otros-refugiados-victimas-chavismo-se-afincan-peru-noticia-1917274/	2016-07-16	Los otros refugiados: víctimas del chavismo se afincan en Perú
Sharon Stone, Kate Moss, Emma Watson donan sus jeans por refugiados - Crónica Viva	http://www.cronicaviva.com.pe/sharon-stone-kate-moss-emma-watson-donan-sus-jeans-por-refugiados/	2016-07-22	Sharon Stone, Kate Moss, Emma Watson donan sus jeans por refugiados
Arica: PDI detuvo a 3 ciudadanos peruanos en la frontera por tráfico de migrantes - Diario Correo	https://diariocorreo.pe/edicion/tacna/arica-pdi-detuvo-a-3-ciudadanos-peruanos-en-la-frontera-por-trafico-de-migrantes-694028/	2016-08-26	Arica: PDI detuvo a 3 ciudadanos peruanos en la frontera por tráfico de migrantes
Huyendo en el mundo: La travesía de refugiados y migrantes - El Comercio	https://elcomercio.pe/mundo/actualidad/huyendo-mundo-travesia-refugiados-y-migrantes-noticia-1947914/	2016-11-20	Huyendo en el mundo: La travesía de refugiados y migrantes
Kenia: Decenas de niñas se refugian en 2 colegios para evitar ablación - Crónica Viva	http://www.cronicaviva.com.pe/kenia-decenas-de-ninas-se-refugian-en-2-colegios-para-evitar-la-ablacion/	2016-12-02	Kenia: Decenas de niñas se refugian en 2 colegios para evitar ablación
