title	link	date	title_corrected
Hindoestaanse immigratie vervat in roman - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/04/24/hindoestaanse-immigratie-vervat-in-roman/	2015-04-24	Hindoestaanse immigratie vervat in romanDE WEST
'Holland a no Paradijs' voor 32% Surinaamse immigranten - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/07/24/holland-a-no-paradijs-voor-32-surinaamse-immigranten/	2015-07-24	'Holland a no Paradijs' voor 32% Surinaamse immigrantenDE WEST
'Nog drie miljoen extra vluchtelingen voor eind 2016' - dagbladdewest.com	https://dagbladdewest.com/2015/11/06/nog-drie-miljoen-extra-vluchtelingen-voor-eind-2016/	2015-11-06	'Nog drie miljoen extra vluchtelingen voor eind 2016'
vluchtelingen europa - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2015/11/06/nog-drie-miljoen-extra-vluchtelingen-voor-eind-2016/vluchtelingen-europa/	2015-11-06	vluchtelingen europaDE WEST
Bij 145 jaar Hindostaanse Immigratie: 'Traditionele muziek verworden tot Surinaamse muziek' - dagbladdewest.com	https://dagbladdewest.com/2018/06/02/bij-145-jaar-hindostaanse-immigratie-traditionele-muziek-verworden-tot-surinaamse-muziek/	2018-06-02	Bij 145 jaar Hindostaanse Immigratie: 'Traditionele muziek verworden tot Surinaamse muziek'
Suriname waakzaam voor Venezolaanse vluchtelingen - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2019/01/29/suriname-waakzaam-voor-venezolaanse-vluchtelingen/	2019-01-29	Suriname waakzaam voor Venezolaanse vluchtelingenDE WEST
Regering niet voorbereid op vluchtelingenstroom - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2019/02/11/regering-niet-voorbereid-op-vluchtelingenstroom/	2019-02-11	Regering niet voorbereid op vluchtelingenstroomDE WEST
Suriname moet vluchtelingenkwestie Venezuela nader bekijken - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2019/06/15/suriname-moet-vluchtelingenkwestie-venezuela-nader-bekijken/	2019-06-15	Suriname moet vluchtelingenkwestie Venezuela nader bekijkenDE WEST
VN: meer hulp nodig voor Venezolaanse vluchtelingen - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2019/08/19/vn-meer-hulp-nodig-voor-venezolaanse-vluchtelingen/	2019-08-19	VN: meer hulp nodig voor Venezolaanse vluchtelingenDE WEST
Expo trouwportretten uit slavernij en immigratieperiode - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2019/09/12/expo-trouwportretten-uit-slavernij-en-immigratieperiode/	2019-09-12	Expo trouwportretten uit slavernij en immigratieperiodeDE WEST
Vrees voor verkiezingsfraude met vluchtelingen - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2019/11/24/vrees-voor-verkiezingsfraude-met-vluchtelingen/	2019-11-24	Vrees voor verkiezingsfraude met vluchtelingenDE WEST
Toename asielzoekers en vluchtelingen in Suriname - dwtonline.com	http://dwtonline.com/mobiel/?node=495080	2020-03-12	Toename asielzoekers en vluchtelingen in Suriname
Toename asielzoekers en vluchtelingen in Suriname - dwtonline.com	http://www.dwtonline.com/laatste-nieuws/2020/03/12/toename-asielzoekers-en-vluchtelingen-in-suriname/	2020-03-12	Toename asielzoekers en vluchtelingen in Suriname
'Situatie Cubaanse vluchtelingen zorgwekkend' - DE WEST - dagbladdewest.com	https://dagbladdewest.com/2020/12/02/situatie-cubaanse-vluchtelingen-zorgwekkend/	2020-12-02	'Situatie Cubaanse vluchtelingen zorgwekkend'DE WEST
Situatie 'vluchtelingen' neigt naar uitzichtloosheid - dwtonline.com	http://www.dwtonline.com/laatste-nieuws/2020/12/04/situatie-vluchtelingen-neigt-naar-uitzichtloosheid/	2020-12-04	Situatie 'vluchtelingen' neigt naar uitzichtloosheid
goederen-voor-cubanen-vluchtelingen-nickerie- DE WEST - dagbladdewest.com	https://dagbladdewest.com/2020/12/05/cubanen-te-south-drain-het-enige-wat-wij-willen-is-de-oversteek-doen/goederen-voor-cubanen-vluchtelingen-nickerie/	2020-12-05	goederen-voor-cubanen-vluchtelingen-nickerie- DE WEST
Cubaanse ambassade verwijt chaotische migratiestroom aan sluiting consulaat VS - dagbladdewest.com	https://dagbladdewest.com/2020/12/09/cubaanse-ambassade-verwijt-chaotische-migratiestroom-aan-sluiting-consulaat-vs/	2020-12-09	Cubaanse ambassade verwijt chaotische migratiestroom aan sluiting consulaat VS
Zestien Cubaanse vluchtelingen maandag terug naar geboorteland - dwtonline.com	http://www.dwtonline.com/laatste-nieuws/2021/01/22/zestien-cubaanse-vluchtelingen-maandag-terug-naar-geboorteland/	2021-01-22	Zestien Cubaanse vluchtelingen maandag terug naar geboorteland
Zestien Cubaanse vluchtelingen maandag terug naar geboorteland - dwtonline.com	http://dwtonline.com/laatste-nieuws/2021/01/22/zestien-cubaanse-vluchtelingen-maandag-terug-naar-geboorteland/	2021-01-22	Zestien Cubaanse vluchtelingen maandag terug naar geboorteland
