title	link	date	title_corrected
Repatriados cuerpos de migrantes asesinados en Tamaulipas - El Faro (El Salvador)	https://elfaro.net/es/201009/noticias/2527/Repatriados-cuerpos-de-migrantes-asesinados-en-Tamaulipas.htm	2010-09-24	Repatriados cuerpos de migrantes asesinados en Tamaulipas
¿Se integran los migrantes? - ElFaro.net - El Faro (El Salvador)	https://elfaro.net/es/201106/opinion/4498/%C2%BFSe-integran-los-migrantes.htm	2011-06-20	¿Se integran los migrantes?ElFaro.net
Más de 52000 refugiados debido a las lluvias - El Faro (El Salvador)	https://www.elfaro.net/es/201110/noticias/6323/	2011-10-19	Más de 52000 refugiados debido a las lluvias
72 migrantes, 72 víctimas, 72 escritores y 72 historias para no olvidar - El Faro (El Salvador)	https://elfaro.net/es/201112/el_agora/6832/	2011-12-12	72 migrantes, 72 víctimas, 72 escritores y 72 historias para no olvidar
La empresa de El Chapo también secuestra migrantes - El Faro (El Salvador)	https://elfaro.net/es/201402/noticias/14886/La-empresa-de-El-Chapo-tambi%C3%A9n-secuestra-migrantes.htm	2014-02-26	La empresa de El Chapo también secuestra migrantes
Historias de tres familias transnacionales con madres migrantes - El Faro (El Salvador)	https://elfaro.net/es/201406/academico/15577/Historias-de-tres-familias-transnacionales-con-madres-migrantes.htm	2014-06-24	Historias de tres familias transnacionales con madres migrantes
Hablan Marco y Pedro, niños migrantes centroamericanos - El Faro (El Salvador)	https://www.elfaro.net/es/201407/internacionales/15742/Hablan-Marco-y-Pedro-ni%C3%B1os-migrantes-centroamericanos.htm	2014-07-25	Hablan Marco y Pedro, niños migrantes centroamericanos
Acuerdan impedir a los migrantes subirse a la Bestia - El Faro (El Salvador)	https://www.elfaro.net/es/201407/internacionales/15780/Acuerdan-impedir-a-los-migrantes-subirse-a-la-Bestia.htm	2014-07-31	Acuerdan impedir a los migrantes subirse a la Bestia
El Salvador de los desplazados de Madreselva - Sala Negra - El Faro (El Salvador)	https://salanegra.elfaro.net/es/201504/cronicas/16836/El-Salvador-de-los-desplazados-de-Madreselva.htm	2015-04-13	El Salvador de los desplazados de MadreselvaSala Negra
"""En Costa Rica existe mucho racismo y xenofobia contra nuestros vecinos"" - El Faro (El Salvador)"	https://www.elfaro.net/es/201505/el_agora/16753/En-Costa-Rica-existe-mucho-racismo-y-xenofobia-contra-nuestros-vecinos.htm	2015-05-03	"""En Costa Rica existe mucho racismo y xenofobia contra nuestros vecinos"""
Nicaragua expulsa a Costa Rica a miles de migrantes cubanos indocumentados - El Faro (El Salvador)	https://elfaro.net/es/201511/internacionales/17547/Nicaragua-expulsa-a-Costa-Rica-a-miles-de-migrantes-cubanos-indocumentados.htm	2015-11-15	Nicaragua expulsa a Costa Rica a miles de migrantes cubanos indocumentados
México dará permisos laborales a migrantes de Honduras y El Salvador - verdaddigital.com	https://verdaddigital.com/7724-2/	2016-02-19	México dará permisos laborales a migrantes de Honduras y El Salvador
Se acrecentará campaña de concientización sobre los riesgos de migrar - verdaddigital.com	https://verdaddigital.com/7775-2/	2016-02-22	Se acrecentará campaña de concientización sobre los riesgos de migrar
Seguridad ciudadana, migración y probidad: temas en cita con vicepresidente de EE.UU. - verdaddigital.com	https://verdaddigital.com/7848-2/	2016-02-25	Seguridad ciudadana, migración y probidad: temas en cita con vicepresidente de EE.UU.
Tsipras: crisis de los refugiados es más peligrosa que la de la deuda - verdaddigital.com	https://verdaddigital.com/8032-2/	2016-03-05	Tsipras: crisis de los refugiados es más peligrosa que la de la deuda
El Salvador preocupado por decisión de supremo de EE.UU. sobre migración | VerdadDigital.com - verdaddigital.com	https://verdaddigital.com/10308-2/	2016-06-24	El Salvador preocupado por decisión de supremo de EE.UU. sobre migraciónVerdadDigital.com
“En el Reino Unido no estamos contra la inmigración” - El Faro (El Salvador)	https://elfaro.net/es/201606/el_salvador/18839/%E2%80%9CEn-el-Reino-Unido-no-estamos-contra-la-inmigraci%C3%B3n%E2%80%9D.htm	2016-06-28	“En el Reino Unido no estamos contra la inmigración”
