title	link	date	title_corrected
El Estimulo | Más de 800.000 refugiados deja el conflicto en Ucrania - elestimulo.com	https://elestimulo.com/mas-de-800-000-refugiados-deja-el-conflicto-en-ucrania/	2014-10-24	El EstimuloMás de 800.000 refugiados deja el conflicto en Ucrania
El Estimulo | El polémico programa de regularización migratoria de México - elestimulo.com	https://elestimulo.com/el-polemico-programa-de-regularizacion-migratoria-de-mexico/	2015-01-23	El EstimuloEl polémico programa de regularización migratoria de México
El Estimulo | Bombardeo deja 45 muertos en campamento de refugiados en Yemen - elestimulo.com	https://elestimulo.com/bombardeo-deja-saldo-de-45-muertos-en-campamento-de-refugiados-en-yemen/	2015-03-30	El EstimuloBombardeo deja 45 muertos en campamento de refugiados en Yemen
El Estimulo | Un campo de refugiados bajo el metro de París - elestimulo.com	https://elestimulo.com/un-campo-de-refugiados-bajo-el-metro-de-paris/	2015-05-12	El EstimuloUn campo de refugiados bajo el metro de París
El Estimulo | Rescatados centenares de migrantes en Indonesia - elestimulo.com	https://elestimulo.com/blog/rescatados-centenares-de-migrantes-en-indonesia-en-medio-de-un-ping-pong-humano/	2015-05-15	El EstimuloRescatados centenares de migrantes en Indonesia
Más de 6 mil refugiados cruzan en un día la frontera de Macedonia a Serbia - elestimulo.com	https://elestimulo.com/mas-de-6-mil-refugiados-cruzan-en-un-dia-la-frontera-de-macedonia-a-serbia/	2015-08-23	Más de 6 mil refugiados cruzan en un día la frontera de Macedonia a Serbia
Obama encarcela a niños refugiados, pero exponerlo es, ¿'vergonzoso'? - teleSUR TV	https://www.telesurtv.net/opinion/Obama-encarcela-a-ninos-refugiados-pero-exponerlo-es-vergonzoso-20150903-0056.html	2015-09-03	Obama encarcela a niños refugiados, pero exponerlo es, ¿'vergonzoso'?
Niños migrantes ahogados fueron enterrados en Siria por su padre - elestimulo.com	https://elestimulo.com/ninos-migrantes-ahogados-fueron-enterrados-en-siria-por-su-padre/	2015-09-04	Niños migrantes ahogados fueron enterrados en Siria por su padre
El Estimulo | #FOTOS La esperanza de los 10 mil refugiados acogidos por Alemania - elestimulo.com	https://elestimulo.com/fotos-la-esperanza-de-los-10-mil-refugiados-acogidos-por-alemania/	2015-09-07	El Estimulo#FOTOS La esperanza de los 10 mil refugiados acogidos por Alemania
#VIDEO Así alimentan a migrantes en campamento de Hungría - elestimulo.com	https://elestimulo.com/blog/video-asi-alimentan-a-migrantes-en-campamento-de-hungria/?fb_comment_id=688196187879293_688200337878878	2015-09-11	#VIDEO Así alimentan a migrantes en campamento de Hungría
Acnur critica actitud de la UE sobre acogida de refugiados - teleSUR TV	https://www.telesurtv.net/news/Acnur-critica-actitud-de-la-UE-sobre-acogida-de-refugiados-20150915-0026.html	2015-09-15	Acnur critica actitud de la UE sobre acogida de refugiados
¿Por qué Alemania defiende la acogida de refugiados? - teleSUR TV	https://www.telesurtv.net/news/Acoger-refugiados-podria-afectar-realmente-la-economia-europea-20150910-0027.html	2015-09-18	¿Por qué Alemania defiende la acogida de refugiados?
El Estimulo | Fiesta de la cerveza en Múnich: ahora con refugiados - elestimulo.com	https://elestimulo.com/ub/fiesta-de-la-cerveza-en-munich-ahora-con-refugiados/	2015-09-19	El EstimuloFiesta de la cerveza en Múnich: ahora con refugiados
Colegios y pupitres vacíos: la educación de la migración - elestimulo.com	https://elestimulo.com/climax/colegios-y-pupitres-vacios-la-educacion-de-la-migracion/	2015-10-06	Colegios y pupitres vacíos: la educación de la migración
La crisis de los refugiados en las Américas - teleSUR TV	https://www.telesurtv.net/opinion/La-crisis-de-los-refugiados-en-las-Americas-20151009-0055.html	2015-10-09	La crisis de los refugiados en las Américas
Merkel teme conflicto armado si Alemania cierra frontera a migrantes - elestimulo.com	https://elestimulo.com/merkel-teme-conflicto-armado-si-alemania-cierra-frontera-a-migrantes/	2015-11-03	Merkel teme conflicto armado si Alemania cierra frontera a migrantes
Acnur critica trato de Europa hacia refugiados tras atentados - teleSUR TV	https://www.telesurtv.net/news/Acnur-critica-trato-de-Europa-hacia-refugiados-tras-atentados-20151118-0031.html	2015-11-18	Acnur critica trato de Europa hacia refugiados tras atentados
Conozca dónde duermen los niños refugiados | Noticias - teleSUR TV	https://www.telesurtv.net/news/Conozca-donde-duermen-los-ninos-refugiados-20151120-0055.html	2015-11-21	Conozca dónde duermen los niños refugiadosNoticias
En Croacia, un grupo de cocina para integrar a los migrantes - elestimulo.com	https://elestimulo.com/bienmesabe/en-croacia-un-grupo-de-cocina-para-integrar-a-los-migrantes/	2015-12-07	En Croacia, un grupo de cocina para integrar a los migrantes
¿A qué se enfrenta el migrante? - teleSUR TV	https://www.telesurtv.net/telesuragenda/A-que-se-enfrenta-el-migrante-20151217-0059.html	2015-12-17	¿A qué se enfrenta el migrante?
Los Balcanes, ruta de entrada de los refugiados a Europa - teleSUR TV	https://www.telesurtv.net/news/Los-Balcanes-ruta-de-entrada-de-los-refugiados-a-Europa-20151218-0017.html	2015-12-18	Los Balcanes, ruta de entrada de los refugiados a Europa
EE.UU.: Miles de refugiados pasarán navidad en celdas frías - teleSUR TV	https://www.telesurtv.net/news/EE.UU.-Miles-de-refugiados-pasaran-navidad-en-celdas-frias-20151224-0004.html	2015-12-24	EE.UU.: Miles de refugiados pasarán navidad en celdas frías
Papa invitó a 2.000 indigentes, refugiados y gitanos al circo - elestimulo.com	https://elestimulo.com/papa-invito-a-2-000-indigentes-refugiados-y-gitanos-al-circo/	2016-01-14	Papa invitó a 2.000 indigentes, refugiados y gitanos al circo
La esquizofrenia, enfermedad del refugiado, según estudio - elestimulo.com	https://elestimulo.com/bienmesabe/la-esquizofrenia-enfermedad-del-refugiado-segun-estudio/	2016-03-17	La esquizofrenia, enfermedad del refugiado, según estudio
Dinamarca impone multas a quienes ayuden a refugiados sirios - teleSUR TV	https://www.telesurtv.net/news/Dinamarca-impone-multas-a-quienes-ayuden-a-refugiados-sirios-20160317-0005.html	2016-03-17	Dinamarca impone multas a quienes ayuden a refugiados sirios
