title	link	date	title_corrected
Haitian migrants found on island – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2014/11/10/haitian-migrants-found-on-island/	2014-11-10	Haitian migrants found on island – NationNews Barbados — nationnews.com
Ship with migrants towed to Greek coast – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2014/11/27/ship-with-migrants-towed-to-greek-coast/	2014-11-27	Ship with migrants towed to Greek coast – NationNews Barbados — nationnews.com
Cuban migrants sent home – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2015/05/18/cuban-migrants-sent-home/	2015-05-18	Cuban migrants sent home – NationNews Barbados — nationnews.com
WHO: Cholera kills 30 Burundi refugees in Tanzanian camp - Nation News	https://www.nationnews.com/2015/05/21/who-cholera-kills-30-burundi-refugees-in-tanzanian-camp/	2015-05-21	WHO: Cholera kills 30 Burundi refugees in Tanzanian camp
Millions displaced, become refugees – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2015/06/21/millions-displaced-become-refugees/	2015-06-21	Millions displaced, become refugees – NationNews Barbados — nationnews.com
More than 200 feared dead in sinking of migrant boat - Nation News	https://www.nationnews.com/2015/08/06/more-than-200-feared-dead-in-sinking-of-migrant-boat/	2015-08-06	More than 200 feared dead in sinking of migrant boat
Europe struggles to respond as migrants numbers rise threefold - Nation News	https://www.nationnews.com/nationnews/news/71242/europe-struggles-respond-migrants-rise-threefold	2015-08-18	Europe struggles to respond as migrants numbers rise threefold
Dead child brings plight of refugees into focus - Nation News	https://www.nationnews.com/2015/09/04/dead-child-brings-plight-of-refugees-into-focus/	2015-09-04	Dead child brings plight of refugees into focus
Austria, Germany open borders to migrants offloaded by Hungary - Nation News	https://www.nationnews.com/2015/09/05/austria-germany-open-borders-to-migrants-offloaded-by-hungary/	2015-09-05	Austria, Germany open borders to migrants offloaded by Hungary
Germany appeals to EU neighbours on migrant crisis - Nation News	https://www.nationnews.com/2015/09/07/germany-appeals-to-eu-neighbours-on-migrant-crisis/	2015-09-07	Germany appeals to EU neighbours on migrant crisis
EU Leaders meeting to set migrant plan – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2015/09/23/eu-leaders-meeting-to-set-migrant-plan/	2015-09-23	EU Leaders meeting to set migrant plan – NationNews Barbados — nationnews.com
Sweden struggles to cope with migrant tide – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2015/10/22/sweden-struggles-to-cope-with-migrant-tide/	2015-10-22	Sweden struggles to cope with migrant tide – NationNews Barbados — nationnews.com
Greece says 22 migrants drown off Aegean islands, 144 rescued - Nation News	https://www.nationnews.com/2015/10/30/greece-says-22-migrants-drown-off-aegean-islands-144-rescued/	2015-10-30	Greece says 22 migrants drown off Aegean islands, 144 rescued
Republican Ben Carson compares Syrian refugees to 'rabid dogs' - Nation News	https://www.nationnews.com/2015/11/19/republican-ben-carson-compares-syrian-refugees-to-rabid-dogs/	2015-11-19	Republican Ben Carson compares Syrian refugees to 'rabid dogs'
Stranded migrants block railway, call hunger strike – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2015/11/23/stranded-migrants-block-railway-call-hunger-strike/	2015-11-23	Stranded migrants block railway, call hunger strike – NationNews Barbados — nationnews.com
Rich Arab states best bet for refugees – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2016/02/10/rich-arab-states-best-bet-for-refugees/	2016-02-10	Rich Arab states best bet for refugees – NationNews Barbados — nationnews.com
Iraqi refugees returning home – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2016/02/13/iraqi-refugees-returning-home/	2016-02-13	Iraqi refugees returning home – NationNews Barbados — nationnews.com
German minister warns countries not to push refugee burden onto Germany - Nation News	https://www.nationnews.com/2016/02/19/german-minister-warns-countries-not-to-push-refugee-burden-onto-germany/	2016-02-19	German minister warns countries not to push refugee burden onto Germany
Amendment to Immigration Act introduced | Barbados Advocate - Barbados Advocate	https://www.barbadosadvocate.com/news/amendment-immigration-act-introduced	2016-05-18	Amendment to Immigration Act introduced
Court rules against Pence in refugee suit – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2016/10/04/court-rules-against-pence-in-refugee-suit/	2016-10-04	Court rules against Pence in refugee suit – NationNews Barbados — nationnews.com
THE ISSUE: Labour migration is good and bad - Nation News	https://www.nationnews.com/2016/10/06/the-issue-labour-migration-is-good-and-bad/	2016-10-06	THE ISSUE: Labour migration is good and bad
France and Britain feud over young Jungle camp migrants - Nation News	https://www.nationnews.com/2016/10/28/france-and-britain-feud-over-young-jungle-camp-migrants/	2016-10-28	France and Britain feud over young Jungle camp migrants
Pope laments animosity against immigrants – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2016/11/20/pope-laments-animosity-against-immigrants/	2016-11-20	Pope laments animosity against immigrants – NationNews Barbados — nationnews.com
Canada's Trudeau welcomes refugees; US-bound passengers turned away - Nation News	https://www.nationnews.com/2017/01/28/canadas-trudeau-welcomes-refugees-us-bound-passengers-turned-away/	2017-01-28	Canada's Trudeau welcomes refugees; US-bound passengers turned away
US immigration rounding up undocumented immigrants – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2017/02/11/us-immigration-rounding-up-undocumented-immigrants/	2017-02-11	US immigration rounding up undocumented immigrants – NationNews Barbados — nationnews.com
South Sudan refugees take 13 UN staff hostage – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2017/04/18/south-sudan-refugees-take-13-un-staff-hostage/	2017-04-18	South Sudan refugees take 13 UN staff hostage – NationNews Barbados — nationnews.com
Canada increases age for dependent child in immigration programme - Nation News	https://www.nationnews.com/2017/05/08/canada-increases-age-for-dependent-child-in-immigration-programme/	2017-05-08	Canada increases age for dependent child in immigration programme
Haitian migrants apprehended by security – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2017/05/20/haitian-migrants-apprehended-by-security/	2017-05-20	Haitian migrants apprehended by security – NationNews Barbados — nationnews.com
Canada opens Montreal stadium to Haitian refugees fleeing US - Nation News	https://www.nationnews.com/2017/08/07/canada-opens-montreal-stadium-to-haitian-refugees-fleeing-us/	2017-08-07	Canada opens Montreal stadium to Haitian refugees fleeing US
More than 100 Haitian migrants “rescued” at sea – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2017/08/13/more-than-100-haitian-migrants-rescued-at-sea/	2017-08-13	More than 100 Haitian migrants “rescued” at sea – NationNews Barbados — nationnews.com
Canada warns against new migration efforts by Haitians - Nation News	https://www.nationnews.com/2017/08/22/canada-warns-against-new-migration-efforts-by-haitians/	2017-08-22	Canada warns against new migration efforts by Haitians
Agro migration study – NationNews Barbados — nationnews.com - Nation News	https://www.nationnews.com/2017/10/14/agro-migration-study/	2017-10-14	Agro migration study – NationNews Barbados — nationnews.com
Minister clears the air on policy on migrant labour - Nation News	https://www.nationnews.com/2017/10/27/minister-clears-the-air-on-policy-on-migrant-labour/	2017-10-27	Minister clears the air on policy on migrant labour
EU, UN and African leaders draw up emergency plan for migrants in Libya - Nation News	https://www.nationnews.com/2017/12/01/eu-un-and-african-leaders-draw-up-emergency-plan-for-migrants-in-libya/	2017-12-01	EU, UN and African leaders draw up emergency plan for migrants in Libya
Pope urges decisive measures for Myanmar refugees, avoids 'Rohingya' - Nation News	https://www.nationnews.com/2017/12/01/pope-urges-decisive-measures-for-myanmar-refugees-avoids-rohingya/	2017-12-01	Pope urges decisive measures for Myanmar refugees, avoids 'Rohingya'
Security heightened as immigration anticipates influx of Haitian refugees - Nation News	https://www.nationnews.com/2017/12/18/security-heightened-as-immigration-anticipates-influx-of-haitian-refugees/	2017-12-18	Security heightened as immigration anticipates influx of Haitian refugees
