title	link	date	title_corrected
Begging for Haiti - Jamaica goes hunting for money to care for 'refugees' - Jamaica Gleaner	https://jamaica-gleaner.com/gleaner/20100121/lead/lead1.html	2010-01-21	Begging for HaitiJamaica goes hunting for money to care for 'refugees'
PICA Corner - Qualifying for refugee status in Jamaica - Jamaica Gleaner	https://jamaica-gleaner.com/gleaner/20100210/news/news7.html	2010-02-10	PICA CornerQualifying for refugee status in Jamaica
Randy Quaid, wife seek refugee status in Canada - Jamaica Observer	https://www.jamaicaobserver.com/entertainment/Randy-Quaid--wife-seek-refugee-status-in-Canada_8083677	2010-10-24	Randy Quaid, wife seek refugee status in Canada
Hunger and disease stalk Sudan's Blue Nile refugees - Jamaica Observer	https://www.jamaicaobserver.com/magazines/allwoman/hunger-and-disease-stalk-sudan-s-blue-nile-refugees_10358371	2011-12-12	Hunger and disease stalk Sudan's Blue Nile refugees
Gordon Tewani: From refugee to real estate mogul - Jamaica Gleaner	https://jamaica-gleaner.com/gleaner/20120205/arts/arts1.html	2012-02-05	Gordon Tewani: From refugee to real estate mogul
Jamaicans as refugees in Canada | News - Jamaica Gleaner	https://jamaica-gleaner.com/gleaner/20120424/news/news1.html	2012-04-24	Jamaicans as refugees in CanadaNews
A page of Jamaican migration history - Jamaica Observer	https://www.jamaicaobserver.com/columns/A-page-of-Jamaican-migration-history_11586178	2012-06-04	A page of Jamaican migration history
Jamaica's refugee policy provides model for other Caricom states - Jamaica Observer	https://www.jamaicaobserver.com/news/Vasciannie--Jamaica-s-refugee-policy-provides-model-for-other-Caricom-states_13551505	2013-02-04	Jamaica's refugee policy provides model for other Caricom states
United States doubles aid to refugee agency - Jamaica Observer	https://www.jamaicaobserver.com/news/United-States-doubles-aid-to-refugee-agency_14534810	2013-06-21	United States doubles aid to refugee agency
Before you apply for refugee status in Canada, think on these things - Jamaica Observer	https://www.jamaicaobserver.com/news/Before-you-apply-for-refugee-status-in-Canada--think-on-these-things_15748665	2014-01-08	Before you apply for refugee status in Canada, think on these things
Administration seeks US$1.4b to deal with Mexican migrant children - Jamaica Gleaner	https://jamaica-gleaner.com/gleaner/20140604/int/int4.html	2014-06-04	Administration seeks US$1.4b to deal with Mexican migrant children
Immigration Corner: Do I qualify for migration to Canada? - Jamaica Gleaner	https://jamaica-gleaner.com/article/news/20140826/immigration-corner-do-i-qualify-migration-canada	2014-08-26	Immigration Corner: Do I qualify for migration to Canada?
Gov't seeks space to hold migrant families - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20141204/govt-seeks-space-hold-migrant-families	2014-12-04	Gov't seeks space to hold migrant families
Twenty-four dead, 28 safe, hundreds missing after migrant boat sinks - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20150419/twenty-four-dead-28-safe-hundreds-missing-after-migrant-boat-sinks	2015-04-19	Twenty-four dead, 28 safe, hundreds missing after migrant boat sinks
Capturing the dynamics of migration and social development - Jamaica Gleaner	https://jamaica-gleaner.com/article/art-leisure/20150705/capturing-dynamics-migration-and-social-development	2015-07-02	Capturing the dynamics of migration and social development
Give no asylum to refugee, Gordon-Webley | Letters - Jamaica Gleaner	https://jamaica-gleaner.com/article/letters/20150729/give-no-asylum-refugee-gordon-webley	2015-07-28	Give no asylum to refugee, Gordon-WebleyLetters
Claiming refugee status in Canada - Jamaica Observer	https://www.jamaicaobserver.com/news/Claiming-refugee-status-in-Canada_19223228	2015-08-12	Claiming refugee status in Canada
Togo refugees: On the run for 10 years, no peace in sight - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20150819/togo-refugees-run-10-years-no-peace-sight	2015-08-18	Togo refugees: On the run for 10 years, no peace in sight
John Rapley: Europe's migration crisis | Commentary - Jamaica Gleaner	https://jamaica-gleaner.com/article/commentary/20150829/john-rapley-europes-migration-crisis	2015-08-28	John Rapley: Europe's migration crisisCommentary
Europe's migrant crisis | World News - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20150913/europes-migrant-crisis	2015-09-12	Europe's migrant crisisWorld News
2010-2013 migration trends: Almost 100000 Jamaicans leave for US, Canada and UK - Jamaica Gleaner	https://jamaica-gleaner.com/article/news/20150923/2010-2013-migration-trends-almost-100000-jamaicans-leave-us-canada-and-uk	2015-09-23	2010-2013 migration trends: Almost 100000 Jamaicans leave for US, Canada and UK
Big influx of migrants brings challenges for German schools - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20151015/big-influx-migrants-brings-challenges-german-schools	2015-10-14	Big influx of migrants brings challenges for German schools
Thousands stranded on new migrant route through Europe - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20151018/thousands-stranded-new-migrant-route-through-europe	2015-10-18	Thousands stranded on new migrant route through Europe
Slovenia starts building migrant fence at border to Croatia - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20151112/slovenia-starts-building-migrant-fence-border-croatia	2015-11-11	Slovenia starts building migrant fence at border to Croatia
Republican lawmakers take aim at Syrian refugee plan - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20151117/republican-lawmakers-take-aim-syrian-refugee-plan	2015-11-17	Republican lawmakers take aim at Syrian refugee plan
Don't allow Syrian refugees into Jamaica - Jamaica Gleaner	https://jamaica-gleaner.com/article/letters/20151121/dont-allow-syrian-refugees-jamaica	2015-11-20	Don't allow Syrian refugees into Jamaica
€80 million for housing stranded migrants | World News - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20151215/eu80-million-housing-stranded-migrants	2015-12-14	€80 million for housing stranded migrantsWorld News
Study finds many gay Jamaicans considering migration to escape harassment - Jamaica Gleaner	https://jamaica-gleaner.com/article/news/20160121/study-finds-many-gay-jamaicans-considering-migration-escape-harassment	2016-01-21	Study finds many gay Jamaicans considering migration to escape harassment
Number of migrants continue to rock Greece, Turkey - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20160321/number-migrants-continue-rock-greece-turkey	2016-03-20	Number of migrants continue to rock Greece, Turkey
Anywhere but Afghanistan - 80% of Jamaican youngsters want to migrate - Jamaica Gleaner	https://jamaica-gleaner.com/article/news/20160410/anywhere-afghanistan-80-jamaican-youngsters-want-migrate	2016-04-07	Anywhere but Afghanistan80% of Jamaican youngsters want to migrate
Since 2013, more than 5000 migrant children placed in NJ - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20160503/2013-more-5000-migrant-children-placed-nj	2016-05-02	Since 2013, more than 5000 migrant children placed in NJ
Guyana on alert for possible Venezuelan refugee crisis - Jamaica Observer	https://www.jamaicaobserver.com/News/Guyana-on-alert-for-possible-Venezuelan-refugee-crisis	2016-05-19	Guyana on alert for possible Venezuelan refugee crisis
104 migrant bodies washed up on Libyan beach - Jamaica Observer	https://www.jamaicaobserver.com/news/104-migrant-bodies-washed-up-on-Libyan-beach	2016-06-03	104 migrant bodies washed up on Libyan beach
Fast fix for migrating teachers - Education minister looks to technology to fill classroom vacancies - Jamaica Gleaner	https://jamaica-gleaner.com/article/news/20160703/fast-fix-migrating-teachers-education-minister-looks-technology-fill-classroom	2016-07-01	Fast fix for migrating teachersEducation minister looks to technology to fill classroom vacancies
Teacher migration reason for low CSEC math performance - ministry - Jamaica Gleaner	https://jamaica-gleaner.com/article/news/20160819/teacher-migration-reason-low-csec-math-performance-ministry	2016-08-19	Teacher migration reason for low CSEC math performanceministry
More Somali refugees opt for returning home - Jamaica Observer	https://www.jamaicaobserver.com/news/More-Somali-refugees-opt-for-returning-home_80298	2016-11-12	More Somali refugees opt for returning home
Boko Haram blocks aid to refugees in Cameroon — UN - Jamaica Observer	https://www.jamaicaobserver.com/news/Boko-Haram-blocks-aid-to-refugees-in-Cameroon---UN	2016-11-25	Boko Haram blocks aid to refugees in Cameroon — UN
Claims for refugee status must be substantiated - Jamaica Observer	https://www.jamaicaobserver.com/news/Claims-for-refugee-status-must-be-substantiated_86166	2017-01-10	Claims for refugee status must be substantiated
Bahamas welcomes US end to open door policy for Cuban migrants - Jamaica Observer	https://www.jamaicaobserver.com/news/bahamas-welcomes-us-end-to-open-door-policy-for-cuban-migrants_86515	2017-01-14	Bahamas welcomes US end to open door policy for Cuban migrants
Germany's Merkel to press Saudi Arabia on refugees, rights - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20170501/germanys-merkel-press-saudi-arabia-refugees-rights	2017-04-30	Germany's Merkel to press Saudi Arabia on refugees, rights
Caribbean not immune from worldwide refugee problems - Jamaica Observer	https://www.jamaicaobserver.com/news/caribbean-not-immune-from-worldwide-refugee-problems-5-000-people-sought-asylum-in-region-last-year_102112	2017-06-17	Caribbean not immune from worldwide refugee problems
Canada struggles with refugee surge from US - Jamaica Observer	https://www.jamaicaobserver.com/latestnews/Canada_struggles_with_refugee_surge_from_US	2017-08-19	Canada struggles with refugee surge from US
Boat with Rohingya refugees capsizes, killing 5 as more flee - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20170907/boat-rohingya-refugees-capsizes-killing-5-more-flee	2017-09-06	Boat with Rohingya refugees capsizes, killing 5 as more flee
Judge partially lifts Trump administration ban on refugees - Jamaica Gleaner	https://jamaica-gleaner.com/article/world-news/20171224/judge-partially-lifts-trump-administration-ban-refugees	2017-12-24	Judge partially lifts Trump administration ban on refugees
Legacy of 2017: 'Climate refugees' - Jamaica Observer	https://www.jamaicaobserver.com/the-agenda/legacy-of-2017-8216-climate-refugees-8217-_118724	2017-12-31	Legacy of 2017: 'Climate refugees'
