title	link	date	title_corrected
DNI Argentina extranjeros cambio de identidad - El Diario	http://eldiario.com.uy/2013/01/02/extranjeros-que-viven-en-argentina-podran-cambiar-sexo-en-dni/	2013-01-02	DNI Argentina extranjeros cambio de identidad
Uruguay ya alberga refugiados de 23 países: más de la mitad, colombianos - LaRed21	https://www.lr21.com.uy/comunidad/1095528-uruguay-ya-alberga-refugiados-de-23-paises-mas-de-la-mitad-colombianos	2013-03-29	Uruguay ya alberga refugiados de 23 países: más de la mitad, colombianos
Cambio climático cambia conducta de aves migratorias que vuelan cada vez menos - LaRed21	https://www.lr21.com.uy/tecnologia/1097446-cambio-climatico-cambia-conducta-de-aves-migratorias-que-vuelan-cada-vez-menos	2013-04-09	Cambio climático cambia conducta de aves migratorias que vuelan cada vez menos
Aves dejan de migrar al sur en Europa pero multiplican los viajes en América - LaRed21	https://www.lr21.com.uy/ecologia/1138786-aves-migrar-sur-europa-america	2013-10-29	Aves dejan de migrar al sur en Europa pero multiplican los viajes en América
Vuelo en “V” de las aves migratorias tiene una causa de ahorro energético - LaRed21	https://www.lr21.com.uy/tecnologia/1154612-vuelo-en-v-de-las-aves-migratorias-tiene-una-causa-de-ahorro-energetico	2014-01-18	Vuelo en “V” de las aves migratorias tiene una causa de ahorro energético
Assange cumple dos años refugiado en 20 m2 - El Diario	http://eldiario.com.uy/2014/06/19/assange-cumple-dos-anos-refugiado-en-20-m2/	2014-06-19	Assange cumple dos años refugiado en 20 m2
Oleada de inmigrantes africanos en botes plásticos de juguete cruzan el mar rumbo a España - LaRed21	https://www.lr21.com.uy/mundo/1190164-oleada-de-inmigrantes-africanos-en-botes-plasticos-de-juguete-cruzan-el-mar-rumbo-a-espana	2014-08-12	Oleada de inmigrantes africanos en botes plásticos de juguete cruzan el mar rumbo a España
"Emblemática mariposa ""monarca"" en ínfima migración: acusan a herbicidas de Monsanto - LaRed21"	https://www.lr21.com.uy/ecologia/1197911-emblematica-mariposa-monarca-en-infima-migracion-acusan-a-herbicidas-de-monsanto	2014-10-08	"Emblemática mariposa ""monarca"" en ínfima migración: acusan a herbicidas de Monsanto"
Las especies migratorias, casi todas en peligro de extinción por el calentamiento global - LaRed21	https://www.lr21.com.uy/ecologia/1201528-las-especies-migratorias-casi-todas-en-peligro-de-extincion-por-el-calentamiento-global	2014-11-06	Las especies migratorias, casi todas en peligro de extinción por el calentamiento global
Los refugiados de Guantánamo - Opinión - 15/12/2014 - Diario El País	https://www.elpais.com.uy/opinion/columnistas/hebert-gatto/refugiados-guantanamo.html	2014-12-15	Los refugiados de GuantánamoOpinión15/12/2014
"Susana Mangana:""Hubo un excesivo romanticismo con los refugiados"" - Diario El País"	https://www.elpais.com.uy/informacion/susana-mangana-hubo-excesivo-romanticismo-refugiados.html	2015-04-05	"Susana Mangana:""Hubo un excesivo romanticismo con los refugiados"""
Dudas por legalidad de bodas de refugiados de Guantánamo - Diario El País	https://www.elpais.com.uy/informacion/dudas-legalidad-bodas-refugiados-guantanamo.html	2015-06-05	Dudas por legalidad de bodas de refugiados de Guantánamo
Historieta para los refugiados sirios en un limbo - 180	http://www.180.com.uy/articulo/55803	2015-06-09	Historieta para los refugiados sirios en un limbo
El mundo se olvidó de los refugiados de Siria - 180	https://www.180.com.uy/articulo/56253_el-mundo-se-olvido-de-los-refugiados-de-siria	2015-07-05	El mundo se olvidó de los refugiados de Siria
Malala festejó su cumpleaños abriendo escuela para refugiados - Diario El País	https://www.elpais.com.uy/mundo/malala-festejo-cumpleanos-abriendo-escuela-refugiados.html	2015-07-12	Malala festejó su cumpleaños abriendo escuela para refugiados
Premio Nobel más joven de la historia, Malala Yousafzai cumple 18 años inaugurando colegio para niñas refugiadas - LaRed21	https://www.lr21.com.uy/mundo/1243308-malala-yousafzai-cumple-18-anos	2015-07-13	Premio Nobel más joven de la historia, Malala Yousafzai cumple 18 años inaugurando colegio para niñas refugiadas
Gobierno analiza cambios al programa de refugiados en Uruguay - El Observador	https://www.elobservador.com.uy/nota/gobierno-analiza-cambios-al-programa-de-refugiados-en-uruguay-20157152150	2015-07-15	Gobierno analiza cambios al programa de refugiados en Uruguay
Pit-Cnt pide al gobierno solución para refugiado - Diario El País	https://www.elpais.com.uy/informacion/pit-cnt-pide-gobierno-solucion-refugiado.html	2015-07-22	Pit-Cnt pide al gobierno solución para refugiado
Una pareja turca celebró su boda alimentando a refugiados sirios - Diario El País	https://www.elpais.com.uy/vida-actual/pareja-turca-celebro-boda-alimentando-refugiados-sirios.html	2015-08-06	Una pareja turca celebró su boda alimentando a refugiados sirios
Hungría construirá su segunda valla anti-migrantes en la frontera con Rumania - El Observador	https://www.elobservador.com.uy/nota/hungria-construira-su-segunda-valla-anti-migrantes-en-la-frontera-con-rumania-201591511520	2015-09-15	Hungría construirá su segunda valla anti-migrantes en la frontera con Rumania
Se inaugura “La Bestia”, una muestra sobre emigración - LaRed21	http://www.lr21.com.uy/cultura/1256570-exposicion-fotografia-bestia-isabel-munoz-emigraciones-migrantes&src=sdkpreparse	2015-10-02	Se inaugura “La Bestia”, una muestra sobre emigración
Masiva migración de jóvenes crea riesgo - Diario El País	https://www.elpais.com.uy/mundo/masiva-migracion-jovenes-crea-riesgo.html	2015-10-11	Masiva migración de jóvenes crea riesgo
"Heber propone ""ser restrictivos"" en política migratoria - El Observador"	https://www.elobservador.com.uy/nota/heber-propone-ser-restrictivos-en-politica-migratoria-20151120500	2015-11-20	"Heber propone ""ser restrictivos"" en política migratoria"
Unicef eligió el llanto de dos niños refugiados como la foto del año - Diario El País	https://www.elpais.com.uy/mundo/unicef-eligio-llanto-ninos-refugiados-foto-ano.html	2015-12-17	Unicef eligió el llanto de dos niños refugiados como la foto del año
El Poder Ejecutivo decidió que no venga el segundo grupo de refugiados sirios - LaRed21	https://www.lr21.com.uy/comunidad/1273427-refugiados-sirios-no-vienen-uruguay-crisis-humanitaria	2016-01-23	El Poder Ejecutivo decidió que no venga el segundo grupo de refugiados sirios
El viaje de 4.000 km de un gato para volver con su familia de refugiados - Diario El País	https://www.elpais.com.uy/mundo/viaje-km-gato-volver-familia-refugiados.html	2016-02-22	El viaje de 4.000 km de un gato para volver con su familia de refugiados
Justicia resolvió colocar tobillera a segundo refugiado de Guantánamo - El Observador	https://www.elobservador.com.uy/nota/justicia-resolvio-colocar-tobillera-a-segundo-refugiado-de-guantanamo-201622315300	2016-02-23	Justicia resolvió colocar tobillera a segundo refugiado de Guantánamo
El flujo migratorio del océano Índico es tres veces más letal que el del Mediterráneo - LaRed21	https://www.lr21.com.uy/mundo/1278173-inmigrantes-oceano-indico-mar-mediterraneo-refugiados	2016-02-27	El flujo migratorio del océano Índico es tres veces más letal que el del Mediterráneo
Nadadora siria que salvó los refugiados que naufragaron con ella en el Mar Egeo, competirá en los Juegos Olímpicos de Rio - LaRed21	https://www.lr21.com.uy/mundo/1280967-yusra-mardini-nadadora-olimpica-rescata-naufragos-mar-egeo	2016-03-17	Nadadora siria que salvó los refugiados que naufragaron con ella en el Mar Egeo, competirá en los Juegos Olímpicos de Rio
"El corredor de los ""refugiados"" - Diario El País"	https://www.elpais.com.uy/informacion/corredor-refugiados.html	2016-04-01	"El corredor de los ""refugiados"""
Uruguay y Brasil resuelven acelerar el proceso de reconocimiento de derechos previsionales y trabajadores migrantes de ambas naciones - LaRed21	https://www.lr21.com.uy/politica/1285361-uruguay-brasil-resuelven-aceleran-proceso-reconocimiento-derechos-provisionales-trabajadores-migrantes	2016-04-21	Uruguay y Brasil resuelven acelerar el proceso de reconocimiento de derechos previsionales y trabajadores migrantes de ambas naciones
¿Cuántos uruguayos viven fuera y dónde? ¿Y cuántos extranjeros viven en Uruguay? - Montevideo Portal	https://www.montevideo.com.uy/Noticias/-Cuantos-uruguayos-viven-fuera-y-donde--Y-cuantos-extranjeros-viven-en-Uruguay--uc307779	2016-05-10	¿Cuántos uruguayos viven fuera y dónde? ¿Y cuántos extranjeros viven en Uruguay?
¿Dónde están los uruguayos migrantes? - El Observador	https://www.elobservador.com.uy/nota/-donde-estan-los-uruguayos-migrantes--201651612520	2016-05-16	¿Dónde están los uruguayos migrantes?
"Familia de refugiados sirios: ""Ahora estamos mucho peor que antes"" - Diario El País"	https://www.elpais.com.uy/informacion/familia-refugiados-sirios-peor.html	2016-07-01	"Familia de refugiados sirios: ""Ahora estamos mucho peor que antes"""
Emiten alerta en Brasil por refugiado sirio que se fue de Uruguay - Diario El País	https://www.elpais.com.uy/informacion/emiten-alerta-brasil-refugiado-sirio-uruguay.html	2016-07-02	Emiten alerta en Brasil por refugiado sirio que se fue de Uruguay
ONU adopta 'Declaración de Nueva York' sobre refugiados y migrantes - LaRed21	https://www.lr21.com.uy/mundo/1305008-onu-declaracion-refugiados-migrantes-derechos-humanos-nueva-york	2016-09-19	ONU adopta 'Declaración de Nueva York' sobre refugiados y migrantes
Así fue el dramático rescate de refugiados en el Mediterráneo - El Observador	https://www.elobservador.com.uy/nota/asi-fue-el-dramatico-rescate-de-refugiados-en-el-mediterraneo-201610614320	2016-10-06	Así fue el dramático rescate de refugiados en el Mediterráneo
Historias de inmigrantes en Uruguay - El Observador	https://www.elobservador.com.uy/nota/historias-de-inmigrantes-en-uruguay-20161015500	2016-10-15	Historias de inmigrantes en Uruguay
Acosados en su país, refugiados en Uruguay - Diario El País	https://www.elpais.com.uy/que-pasa/acosados-pais-refugiados-uruguay.html	2017-01-14	Acosados en su país, refugiados en Uruguay
Los extranjeros que tienen prohibido entrar a EEUU - El Observador	https://www.elobservador.com.uy/nota/los-extranjeros-que-tienen-prohibido-entrar-a-eeuu-20171298460	2017-01-29	Los extranjeros que tienen prohibido entrar a EEUU
Cómo viven los iraníes en EEUU la medida migratoria de Trump - El Observador	https://www.elobservador.com.uy/nota/como-viven-los-iranies-en-eeuu-la-medida-migratoria-de-trump-20171311810	2017-01-31	Cómo viven los iraníes en EEUU la medida migratoria de Trump
Trump remueve a la fiscal general de Estados Unidos por no defender ante la Justicia su veto a inmigrantes y refugiados - La Diaria	https://ladiaria.com.uy/articulo/2017/1/trump-remueve-a-la-fiscal-general-de-estados-unidos-por-no-defender-ante-la-justicia-su-veto-a-inmigrantes-y-refugiados/	2017-01-31	Trump remueve a la fiscal general de Estados Unidos por no defender ante la Justicia su veto a inmigrantes y refugiados
Somalilandia, la nación no reconocida que recibe de brazos abiertos a los inmigrantes - 180	https://www.180.com.uy/articulo/66893_somalilandia-se-juega-su-futuro-en-el-puerto-de-berbera	2017-02-28	Somalilandia, la nación no reconocida que recibe de brazos abiertos a los inmigrantes
Un exdiputado ruso refugiado en Ucrania fue abatido en Kiev - Diario El País	https://www.elpais.com.uy/mundo/exdiputado-ruso-refugiado-ucrania-abatido-kiev.html	2017-03-23	Un exdiputado ruso refugiado en Ucrania fue abatido en Kiev
INR lanzó programa de atención para extranjeros y migrantes privados de libertad - La Diaria	https://ladiaria.com.uy/articulo/2017/3/inr-lanzo-programa-de-atencion-para-extranjeros-y-migrantes-privados-de-libertad/	2017-03-24	INR lanzó programa de atención para extranjeros y migrantes privados de libertad
Dos familias de refugiados sirios quieren irse de Uruguay: “Cualquier país es mejor que acá” - Montevideo Portal	https://www.montevideo.com.uy/Noticias/Dos-familias-de-refugiados-sirios-quieren-irse-de-Uruguay--Cualquier-pais-es-mejor-que-aca--uc339391	2017-04-04	Dos familias de refugiados sirios quieren irse de Uruguay: “Cualquier país es mejor que acá”
Discriminados por migrantes - Diario El País	https://www.elpais.com.uy/informacion/discriminados-migrantes.html	2017-04-11	Discriminados por migrantes
Los niños sirios refugiados volvieron a ir a la escuela - Diario El País	https://www.elpais.com.uy/informacion/ninos-sirios-refugiados-volvieron-escuela.html	2017-04-26	Los niños sirios refugiados volvieron a ir a la escuela
Mujeres refugiadas sirias “se emancipan más rápido” - 180	https://www.180.com.uy/articulo/68191_mujeres-refugiadas-sirias-se-emancipan-mas-rapido	2017-05-04	Mujeres refugiadas sirias “se emancipan más rápido”
¿Por qué los refugiados sirios no pueden irse de Uruguay? - 180	https://www.180.com.uy/articulo/68201_por-que-los-refugiados-sirios-no-pueden-irse-de-uruguay	2017-05-05	¿Por qué los refugiados sirios no pueden irse de Uruguay?
Ante desafío de nueva ola inmigratoria, MTSS creó una Unidad de Migración - La Diaria	https://ladiaria.com.uy/articulo/2017/5/ante-desafio-de-nueva-ola-inmigratoria-mtss-creo-una-unidad-de-migracion/	2017-05-26	Ante desafío de nueva ola inmigratoria, MTSS creó una Unidad de Migración
Récord de 65,6 millones de personas desplazadas en el mundo - 180	https://www.180.com.uy/articulo/69047_record-de-65-6-millones-de-personas-desplazadas-en-el-mundo	2017-06-20	Récord de 65,6 millones de personas desplazadas en el mundo
"Uno de los refugiados sirios se fue a Brasil: ""No voy a volver a Uruguay"" - Diario El País"	https://www.elpais.com.uy/informacion/refugiados-sirios-brasil-volver-uruguay.html	2017-06-20	"Uno de los refugiados sirios se fue a Brasil: ""No voy a volver a Uruguay"""
André, líder independentista de Angola, refugiado y trabajador de un super en Uruguay - El Observador	https://www.elobservador.com.uy/nota/andre-lider-independentista-de-angola-refugiado-y-trabajador-de-un-super-en-uruguay--2017624500	2017-06-24	André, líder independentista de Angola, refugiado y trabajador de un super en Uruguay
Inmigración y crimen - El Observador	https://www.elobservador.com.uy/nota/inmigracion-y-crimen-2017730500	2017-07-30	Inmigración y crimen
180.com.uy :: “Minicasas” para los refugiados en Berlín - 180	https://www.180.com.uy/articulo/69819_minicasas-para-los-refugiados-en-berlin	2017-08-04	.com.uy :: “Minicasas” para los refugiados en Berlín
Efectos de la inmigración en el tejido social - Diario El País	https://www.elpais.com.uy/economia-y-mercado/efectos-inmigracion-tejido-social.html	2017-08-14	Efectos de la inmigración en el tejido social
