title	link	date	title_corrected	summary
El gobierno otorgó el status de refugiado político al chileno Apablaza - La Prensa (Argentina)	https://www.laprensa.com.ar/365688-El-gobierno-otorgo-el-status-de-refugiado-politico-al-chileno-Apablaza.note.aspx	2010-09-30	El gobierno otorgó el status de refugiado político al chileno Apablaza	"La Comisión Nacional de Refugiados (CONARE) otorgó hoy el beneficio de refugio político al ciudadano chileno Sergio Apablaza Guerra, informaron fuentes oficiales. La CONARE mantuvo esta tarde la reunión prevista hace semanas para tratar el tema de Apablaza, y tras decidirlo, informó a la Justicia y al abogado del solicitante del asilo, aunque la comunicación no será pública porque ""este tipo de procesos se rigen por el principio de confidencialidad"", según consignaron las mismas fuentes. Debido a esos hechos, el gobierno de Chile reclamaba su extradición para que sea juzgado por tribunales chilenos. "
Página/12 :: Sociedad :: La migración rejuvenece al país - Página 12	https://www.pagina12.com.ar/diario/sociedad/subnotas/175898-55474-2011-09-02.html	2011-09-02	Página/12 :: Sociedad :: La migración rejuvenece al país	Recién ahora, en 2010, la tendencia se revierte y la proporción de extranjeros sube al 4,5 por ciento. Ana María Edwin, titular del Indec, comentó que “gracias a la inmigración reciente, la pirámide poblacional se ensancha para las edades activas”. Compartir: © 2000-2021 www.pagina12.com.ar | República Argentina | Política de privacidad | Todos los Derechos Reservados Sitio desarrollado con software libre GNU/Linux. 
La vida en Container City, el campo de refugiados sirios - Clarín.com	https://www.clarin.com/mundo/container-city-campo-refugiados-sirios_0_BkZVsmx3P7x.html	2012-09-01	La vida en Container City, el campo de refugiados sirios	Eso implicaría la violación del espacio aéreo sirio, algo que hasta ahora la ONU no autoriza. Todo está severamente controlado por la policía turca y cada trámite sometido a un complicado papeleo burocrático. Clarín Para comentar debés activar tu cuenta haciendo clic en el e-mail que te enviamos a la casilla ¿No encontraste el e-mail? 
Moscú anuncia que dos ciudadanos rusos fueron secuestrados - La Prensa (Argentina)	https://www.laprensa.com.ar/400397-Moscu-anuncia-que-dos-ciudadanos-rusos-fueron-secuestrados.note.aspx	2012-12-18	Moscú anuncia que dos ciudadanos rusos fueron secuestrados	"La agencia de noticias, siempre citando a las fuentes, afirmó que la expedición se preparó en secreto y con rapidez. La OTAN también predijo que la caída del gobierno de Al Assad ""es sólo cuestión de tiempo"", y Estados Unidos y sus aliados europeos reconocieron la semana pasada al recientemente reorganizado liderazgo rebelde, posiblemente allanando el camino a una mayor asistencia internacional a los grupos insurgentes. Los tres trabajaban desde hace varios meses para una empresa privada siria cerca de Homs, según informan las agencias locales. "
Crónicas del exilio: el recuerdo de los hijos de montoneros refugiados en Cuba - El Cronista	https://www.cronista.com/we/Cronicas-del-exilio-el-recuerdo-de-los-hijos-de-montoneros-refugiados-en-Cuba-20130628-0015.html	2013-06-28	Crónicas del exilio: el recuerdo de los hijos de montoneros refugiados en Cuba	Los líderes montoneros (algunos exiliados en México, otros en España) buscaban regresar al país para emprender una confraofensiva que pusiera fin a la dictadura militar. La guardería, como tal, era una casa con cuchetas y cunas que se distribuían en tres habitaciones, según las edades de los chicos. Lo doblaba como si fuera un abanico y lo enviaba al comandante Fidel Castro, describe Argento desde el texto. 
Página/12 :: Sociedad :: Un recorrido por la historia de la migración - Página 12	https://www.pagina12.com.ar/diario/sociedad/3-228669-2013-09-10.html	2013-09-10	Página/12 :: Sociedad :: Un recorrido por la historia de la migración	En ese mismo piso se vio hace un año una intervención del artista plástico francés Christian Boltanski titulada justamente Migrantes. Los pisos tienen los mosaicos blancos originales, el techo se bajó quince centímetros y la paredes lucen blanquísimas, lo mismo que los marcos de los ventanales. “El ‘objeto nodo’ de ese sector son los diccionarios bilingües, porque la lengua fue un problema para los primeros inmigrantes”, describe Weschler. 
"El Papa criticó a ""los mercaderes de carne humana"" que esclavizan a inmigrantes - La Prensa (Argentina)"	https://www.laprensa.com.ar/418217-El-Papa-critico-a-los-mercaderes-de-carne-humana-que-esclavizan-a-inmigrantes.note.aspx	2014-01-19	"El Papa criticó a ""los mercaderes de carne humana"" que esclavizan a inmigrantes"	"El Papa criticó a ""los mercaderes de carne humana"" que esclavizan a inmigrantes ""En estos momentos pensamos en tantos refugiados, en su sufrimiento, su vida, sin trabajo y sin documentos"", recordó el pontífice para, después, pedir a la gente que abarrotó como cada domingo la plaza de San Pedro, dirigir una oración hacia estas personas que ""viven situaciones graves y difíciles"" El papa Francisco pidió hoy acabar con ""los mercaderes de carne humana que quieren esclavizar a los inmigrantes y refugiados"", en alusión al Día Internacional del Inmigrante, celebrado ayer. ""En estos momentos pensamos en tantos refugiados, en su sufrimiento, su vida, sin trabajo y sin documentos"", recordó el pontífice para, después, pedir a la gente que abarrotó como cada domingo la plaza de San Pedro, dirigir una oración hacia estas personas que ""viven situaciones graves y difíciles"". Después de estas palabras, el pontífice argentino procedió a explicar el evangelio de hoy, que recuerda el encuentro entre Jesús y Juan Bautista en el río Jordán, y que da inicio al tiempo litúrgico ""ordinario"", posterior a la Navidad. "
Página/12 :: El mundo :: Pepe recibe a los refugiados - Página 12	https://www.pagina12.com.ar/diario/elmundo/4-257192-2014-10-10.html	2014-10-10	Página/12 :: El mundo :: Pepe recibe a los refugiados	Desde ayer a la tarde, los sirios están alojados en la Casa San José de los Hermanos Maristas, a unos 16 kilómetros del centro montevideano, donde vivirán durante dos meses y serán capacitados en castellano y las costumbres locales. Brasil ya recibió centenares de refugiados sirios desde el inicio del conflicto en aquel país, si bien llegaron y se instalaron allí por sus propios medios. Compartir: © 2000-2021 www.pagina12.com.ar | República Argentina | Política de privacidad | Todos los Derechos Reservados Sitio desarrollado con software libre GNU/Linux. 
Quién es Kurt Sonnenfeld, el refugiado en la Argentina más temido por EE.UU. - lanacion.com (Argentina)	https://www.lanacion.com.ar/el-mundo/quien-es-kurt-sonnenfeld-el-refugiado-en-la-argentina-mas-temido-por-eeuu-nid1757436/	2015-01-04	Quién es Kurt Sonnenfeld, el refugiado en la Argentina más temido por EE.UU.	"""Al salir de la cárcel empecé a sufrir persecuciones: me seguían autos, recibía llamados extraños y hasta entraron en mi casa. El caso llegó a la Corte Suprema, que envió la causa al juez de primera instancia, y Rafecas rechazó la extradición por segunda vez. Sin cambios en la causa o nuevas presentaciones, tres jueces optaron por aceptar la nota verbal de 2005 que había sido desestimada en dos fallos anteriores. "
Página/12 :: El mundo :: El verdadero problema de la migración - Página 12	https://www.pagina12.com.ar/diario/elmundo/4-271468-2015-04-27.html	2015-04-27	Página/12 :: El mundo :: El verdadero problema de la migración	Sin embargo, se elaboraron propuestas que no atacan al origen del problema, sino que niegan las causas y además empeoran las condiciones de escape, tornándolas más caras, inseguras y mortíferas. Además, los efectos del colonialismo de los últimos dos siglos siguen dejando huellas en las paupérrimas sociedades afectadas, mientras que la desprolija descolonización genera dependencia y corrupción en los jóvenes países. Compartir: © 2000-2021 www.pagina12.com.ar | República Argentina | Política de privacidad | Todos los Derechos Reservados Sitio desarrollado con software libre GNU/Linux. 
