title	link	date	title_corrected	summary
Argentina y España son los principales destinos para los migrantes bolivianos - noticiasfides.com	https://www.noticiasfides.com/economia/argentina-y-espana-son-los-principales-destinos-para-los-migrantes-bolivianos-337990-337977	2013-12-30	Argentina y España son los principales destinos para los migrantes bolivianos	Economía 30 de diciembre de 2013 10:16 Argentina y España son los principales destinos para los migrantes bolivianos Entre 2001 y 2012, migraron 487.995 bolivianos, de acuerdo con los datos finales del censo de población y vivienda, realizado en noviembre del 2012, que publica el INE. Movilización de migrantes en Europa. Foto: ANF Noticias relacionadas: Opinión Noticias 
Movimiento Regional por la Tierra promueve migración ciudad-campo - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/movimiento-regional-por-la-tierra-promueve-migracion-ciudad-campo-342539-342523	2014-05-20	Movimiento Regional por la Tierra promueve migración ciudad-campo	El día miércoles 21 se dará inicio a un Foro-Seminario en el auditorio de Radio Santa Cruz, mediante el cual se mostrarán casos y experiencias en las cuales, latinoamericanos, por diversos motivos favorables, decidieron retornar a su comunidad de origen campesino. 
Julio César Vásquez es refugiado político desde marzo de 2000 - Diario Pagina Siete	https://www.paginasiete.bo/sociedad/2014/8/14/julio-cesar-vasquez-refugiado-politico-desde-marzo-2000-29322.html	2014-08-13	Julio César Vásquez es refugiado político desde marzo de 2000	En la audiencia de medidas cautelares Vásquez dijo que en su país formó parte del Movimiento Revolucionario Túpac Amaru (MRTA), grupo guerrillero fundado en 1984. García Linera niega que imputado trabajó en la Vicepresidencia El vicepresidente Álvaro García Linera negó ayer que el ciudadano peruano Julio César Vásquez Vásquez haya trabajado en esta instancia durante los últimos años tal como éste dijo. En caso de recibir estos mensajes dudosos, se sugiere no hacer click en ningún enlace sin verificar su origen. 
Arzobispo de Salta: Urkupiña es un símbolo de integración entre los pueblos migrantes - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/arzobispo-de-salta-urkupina-es-un-simbolo-de-integracion-entre-los-pueblos-migrantes-345172-345156	2014-08-15	Arzobispo de Salta: Urkupiña es un símbolo de integración entre los pueblos migrantes	El arzobispo de Salta considera que Urkupiña ahora habla de un nuevo espíritu que une, que es integración de pueblos, un ejemplo, la unión entre el Arzobispado de Cochabamba y las parroquias de San Ildefonso y de Salta, bajo la consigna de una sola iglesia unida. 
Muere Francisco “Pacho” Cortés refugiado político en Bolivia - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/muere-francisco-pacho-cortes-refugiado-politico-en-bolivia-346711-346695	2014-10-06	Muere Francisco “Pacho” Cortés refugiado político en Bolivia	El abogado recordó que “Pacho” Cortés fue perseguido político por el Gobierno de Gonzalo Sánchez de Lozada en 2003, año en el que se le otorgó el refugio, por vincularlo con temas terrorismo por una presunta vinculación con el grupo guerrillero Ejército de Liberación Nacional (ELN) de Colombia. 
¿Cuáles son las causas de la crisis migratoria en Europa? - Diario Pagina Siete	https://www.paginasiete.bo/planeta/2015/9/6/cuales-causas-crisis-migratoria-europa-69129.html	2015-09-05	¿Cuáles son las causas de la crisis migratoria en Europa?	La principal causa de la crisis migratoria a la Unión Europea es la cruenta guerra civil en Siria, que empeoró por la ofensiva del grupo yihadista Estado Islámico. Este malestar se disparó tras la muerte del niño sirio Aylan Kurdi y la difusión de su foto yaciendo sin vida en una playa turca. De esa campaña, también han formado parte destacadas figuras religiosas e intelectuales, así como famosos saudíes que buscaban ejercer presión. 
Cada vez más migrantes denuncian violencia familiar en Argentina - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/cada-vez-mas-migrantes-denuncian-violencia-familiar-en-argentina-359323-359273	2015-11-13	Cada vez más migrantes denuncian violencia familiar en Argentina	La mayoría de la población extranjera que vive en Argentina son mujeres. Hasta ahora los testimonios de las mujeres violentadas relatan que tomaron mucho tiempo en decidir formular la denuncia porque sus parejas las amedrentaban con la idea de que podrían ser deportadas”. Autoridades de Bolivia y Argentina, auspiciaron el Seminario sobre Violencia Intrafamiliar Migrante que se realizó en La Paz. 
Canadá dirá no a hombres solteros entre refugiados - Diario Pagina Siete	https://www.paginasiete.bo/miradas/2015/11/28/canada-dira-hombres-solteros-entre-refugiados-78449.html	2015-11-28	Canadá dirá no a hombres solteros entre refugiados	Aunque es cierto que el vecino del norte no sufre los encontronazos políticos propios del periodo electoral y la radicalidad de algunos candidatos republicanos, que juegan la baza del miedo a los terroristas, el nuevo primer ministro canadiense, Justin Trudeau, ha buscado una vía inteligente para minimizar contestaciones y riesgos. A medida que vayan llegando a Canadá, los refugiados serán alojados temporalmente en antiguos cuarteles militares y hospitales,a la espera de que las familias vayan recogiéndolos o las que ya lo son sean realojadas en diferentes provincias del país. En caso de recibir estos mensajes dudosos, se sugiere no hacer click en ningún enlace sin verificar su origen. 
INE: 62,0% de los emigrantes bolivianos vive en Argentina y España - Oxigeno - Periódico Vital de Bolivia	http://www.oxigeno.bo/gente/13547	2015-12-21	INE: 62,0% de los emigrantes bolivianos vive en Argentina y EspañaOxigeno	El alcalde de La Paz, Iván Arias, pidió este viernes, cuando Bolivia celebra sus 196 años de su Independencia, que haya un cese en la confrontación y el odio porque “muchas más cosas que nos unen”. Las palabras de la autoridad edil llegan después que el jueves hubiera enfrentamientos entre grupos defensores y opositores al Gobierno. “Mi deseo es que los bolivianos miremos con optimismo el futuro, nos reconciliemos, nos perdonemos, tenemos muchas más cosas que nos unen, nos separa el 1%” porque “en cada rincón del país todos rinden homenaje a la patria, porque la aman, la adoran, tenemos problemas, pero no es motivo de división”. 
Fotografía: Los migrantes bolivianos en el ojo de Eduardo Schwarzberg - noticiasfides.com	https://www.noticiasfides.com/cultura-y-farandula/fotografia-los-migrantes-bolivianos-en-el-ojo-de-eduardo-schwarzberg--361129-361063	2016-01-01	Fotografía: Los migrantes bolivianos en el ojo de Eduardo Schwarzberg	La muestra se realizará en el Museo da Imigración en Sao Paulo, Brasil y también en La Paz. Sobre la situación del foto periodismo en el país, Schwartzberg cree se necesita mayor investigación y teoría. También fue parte del proyecto del libro Principio Potosí Reverso realizado con el colectivo C'hixi dirigido por Rivera Cusicanqui que fue presentado en el Museo Reina Sofía, con tres artículos y fotografías. 
Fuocoammare, un drama sobre refugiados gana el Oso de Oro en la Berlinale - noticiasfides.com	https://www.noticiasfides.com/cultura-y-farandula/fuocoammare-un-drama-sobre-refugiados-gana-el-oso-de-oro-en-la-berlinale-362923-362845	2016-02-20	Fuocoammare, un drama sobre refugiados gana el Oso de Oro en la Berlinale	Es así que la Berlinale terminó con una gala de los premios, cuyo jurado internacional fue presidió por la actriz estadounidense Meryl Streep. “Dedico este premio a su gente, siempre acogedora y con el corazón abierto a otros pueblos”, dijo Rosi al recoger el premio, acompañado de uno de sus protagonistas, Pietro Bartolo, que forma parte del personal sanitario que examina a los refugiados. El palmarés recompensó también la radicalidad del cineasta filipino Lav Diaz, quien recibió el premio Alfred Bauer, destinado a un trabajo que abra “nuevas perspectivas” para el cine, por su película A lullaby to the sorrowful mystery, de ocho horas de duración. 
K'ara K'ara, barrio de migrantes que crece en medio de carencias - Los Tiempos	https://www.lostiempos.com/actualidad/local/20160314/kara-kara-barrio-migrantes-que-crece-medio-carencias	2016-03-14	K'ara K'ara, barrio de migrantes que crece en medio de carencias	None 
Remesas de migrantes bolivianos bajan un 3,5 % en enero - Los Tiempos	https://www.lostiempos.com/actualidad/economia/20160325/remesas-migrantes-bolivianos-bajan-35-enero	2016-03-25	Remesas de migrantes bolivianos bajan un 3,5 % en enero	None 
La explotación laboral y los refugiados en los Pulitzer - Diario Pagina Siete	https://www.paginasiete.bo/cultura/2016/4/20/explotacion-laboral-refugiados-pulitzer-93833.html	2016-04-20	La explotación laboral y los refugiados en los Pulitzer	El anuncio tuvo lugar en ceremonia en la Universidad de Columbia en Nueva York, que se realizó el lunes. Según el portal, la corresponsal del diario The New York Times, Alissa Rubin, se llevó el premio máximo de la categoría Periodismo Internacional por su reportaje sobre los abusos a las mujeres afganas. Entre ellos están Mauricio Lima (Brasil), Sergey Ponomarev, Tyler Hicks y Daniel Etter. 
Instituciones presentan declaración por el Día mundial de la persona refugiada y desplazada - noticiasfides.com	https://www.noticiasfides.com/mundo/instituciones-presentan-declaracion-por-el-dia-mundial-de-la-persona-refugiada-y-desplazada-367143-367045	2016-06-20	Instituciones presentan declaración por el Día mundial de la persona refugiada y desplazada	Lamentamos que la violencia de género raramente se reconozca como causal válida para solicitar refugio. Para realizar las expulsiones colectivas, las autoridades dominicanas adoptan a menudo formas intimidatorias o degradantes y criterios improcedentes, como el color de la piel. Además, la complejidad burocrática del proceso de solicitud desgasta a las personas demandantes incumpliendo así el principio humanitario. 
Gobierno anuncia migración de base de datos de las AFP a la gestora en los próximos seis meses - noticiasfides.com	https://www.noticiasfides.com/economia/gobierno-anuncia-migracion-de-base-de-datos-de-las-afp-a-la-gestora-en-los-proximos-seis-meses--367540-367442	2016-06-30	Gobierno anuncia migración de base de datos de las AFP a la gestora en los próximos seis meses	“La gestora ya tiene su gerente y se han llamado a los otros puestos más o menos son 30 personas que trabajarán en esta puesta en marcha, tiene el presupuesto, fondos disponibles y han alquilado oficinas (…). El próximo paso es hacer la licitación para la compra del software”, señaló. Lamentó que por un “tema sindical” se haya retrasado la designación del gerente a quien se le había presupuestado un sueldo mensual de 70 mil bolivianos, y que como consecuencia de las movilizaciones de protesta de los trabajadores se le tuvo que bajar a 35 mil bolivianos. 
Uru-muratos, los nuevos refugiados climáticos de Bolivia - Los Tiempos	https://www.lostiempos.com/tendencias/medio-ambiente/20160708/uru-muratos-nuevos-refugiados-climaticos-bolivia	2016-07-08	Uru-muratos, los nuevos refugiados climáticos de Bolivia	None 
Solo el 11% de refugiados es asalariado y apenas el 2% tiene casa propia en Bolivia - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/solo-el-11-de-refugiados-es-asalariado-y-apenas-el-2-tiene-casa-propia-en-bolivia-367850-367752	2016-07-10	Solo el 11% de refugiados es asalariado y apenas el 2% tiene casa propia en Bolivia	La encuesta arrojó que en el país solo hay 116 refugiados de las 826 solicitudes aprobadas por el gobierno. Además que la población refugiada en el país habría disminuido de 826 a 116 personas. La información fue dada a conocer por la Comisión Nacional del Refugiado (Conare). 
Alertan por efectos de migración en el país - Los Tiempos	https://www.lostiempos.com/actualidad/nacional/20160819/alertan-efectos-migracion-pais	2016-08-19	Alertan por efectos de migración en el país	None 
Del minifundio al minibús: ser mujer, migrante y chofer en El Alto - noticiasfides.com	https://www.noticiasfides.com/nacional/sociedad/del-minifundio-al-minibus-ser-mujer-migrante-y-chofer-en-el-alto-371910-371801	2016-10-24	Del minifundio al minibús: ser mujer, migrante y chofer en El Alto	Esta es la primera vez que se oferta un curso en un rubro no tradicional “y el impacto ha sobrepasado las expectativas, hemos constatado que un pequeño cambio puede generar grandes transformaciones, descubrir y desplegar todas sus fortalezas”, dijo a ANF, Esther Ibañez, responsable de coordinar la actividad desde la Fundación Pueblo. Sonríe y recuerda algunos episodios que templaron sus nervios: “Un día reventé una llanta por treparme a una acera. En Bolivia cada vez es mayor el número de mujeres que trabajan, pero lo hacen en los empleos menos productivos y peor remunerados. 
Pando reporta la mayor tasa de migración del país - boliviaentusmanos.com	https://www.boliviaentusmanos.com/noticias/bolivia/241409/pando-reporta-la-mayor-tasa-de-migracion-del-pais.html	2016-12-19	Pando reporta la mayor tasa de migración del país	Santa Cruz es el departamento que más retiene a su población, según los datos de los censos de 1992, 2001 y 2012, mostrando el menor porcentaje de emigrantes de toda la vida con un 3,5% para el último censo. Entre los censos 1992 y 2001, la migración reciente se incrementó de 304.849 a 424.671 personas; en ambos censos, seis de cada 100 habitantes migraron en los últimos cinco años. Para el Censo 2012, la población migrante reciente alcanza a 359.435, equivalente a 4,1% de la población mayor a cinco años que reside en el país; por tanto, cuatro personas de cada 100 son migrantes recientes. 
La historia de amor de un policía macedonio y una refugiada kurda - Diario Pagina Siete	https://www.paginasiete.bo/miradas/2016/12/31/historia-amor-policia-macedonio-refugiada-kurda-122221.html	2016-12-31	La historia de amor de un policía macedonio y una refugiada kurda	"En la época en que la familia Arkavazi llegó al país, la Unión Europea había cerrado esta ""ruta de los Balcanes”. Se acercó a Bobi, que habla inglés, para preguntarle si ella y su familia podrían cruzar la frontera. Kumanovo es una ciudad multiétnica: en ella viven albaneses, turcos musulmanes, serbios, gitanos, eslavos macedonios... ""Fue un casamiento muy bonito y divertido”, explica la joven, que está embarazada. "
Embajador Alvarez dice que Bolivia es más exigente con migrantes que Argentina - noticiasfides.com	https://www.noticiasfides.com/economia/embajador-argentino-dice-que-bolivia-tiene-mas-exigencias-que-argentina-para-migrantes--375093	2017-02-01	Embajador Alvarez dice que Bolivia es más exigente con migrantes que Argentina	En su criterio, no habría reflejado con claridad el contenido del decreto que modifica algunos artículos de la ley migratoria, lo cual generó reacciones no sólo de Bolivia, sino también en Perú y Paraguay. En referencia a la norma migratoria boliviana dijo que los argentinos no sólo deben presentar antecedentes penales si quieren radicar en Bolivia, sino demostrar actividades lícitas de ingresos. En la frontera entre ambos países todo sigue igual, pero de querer vivir en Bolivia se debe presentar estos requisitos”, señaló. 
"Patricia Bullrich le dice a Evo Morales que la ley migratoria ""es la misma que tiene Bolivia"" - noticiasfides.com"	https://www.noticiasfides.com/nacional/politica/patricia-bullrich-le-dice-a-evo-morales-que-la-ley-migratoria-34es-la-misma-que-tiene-bolivia-34-375198	2017-02-04	"Patricia Bullrich le dice a Evo Morales que la ley migratoria ""es la misma que tiene Bolivia"""	“Nunca antes como el año pasado hubo la cantidad de visas que se han dado en la Argentina para ciudadanos bolivianos y paraguayos. Bolivia enviará la semana próxima a Buenos Aires una misión especial encabezada por el canciller, Fernando Huanacuni, con la intención de revisar el impacto del decreto que estableció un endurecimiento en los controles a los inmigrantes que cometan delitos en el país. Más bien (buscan) cómo mejorar la situación económica familiar, pero también aportando al desarrollo del hermano pueblo de la Argentina”, aseguró Morales. 
Migración pide disculpas por errores y anuncia digitalización de tarjeta migratoria - noticiasfides.com	https://www.noticiasfides.com/nacional/seguridad/migracion-pide-disculpas-por-errores-y-anuncia-digitalizacion-de-tarjeta-migratoria-375870	2017-02-27	Migración pide disculpas por errores y anuncia digitalización de tarjeta migratoria	DIGEMIG ratificó a través de un comunicado que los errores son de una anterior versión, sin embargo, en redes sociales aseguran que ese documento se siguió entregando esta mañana en Viru Viru. “La DIGEMIG pide disculpas a la población en general por los errores”, cita un breve comunicado que fue enviado por Migración a la Agencia de Noticias Fides (ANF). Asimismo, Migración anunció que desde marzo próximo ya no se utilizará esta tarjeta migratoria debido a la digitalización de controles, inicialmente, en los aeropuertos y posteriormente en los controles terrestres. 
Los bolivianos son los migrantes mejor valorados en Argentina - Diario Pagina Siete	https://www.paginasiete.bo/sociedad/2017/3/5/bolivianos-migrantes-mejor-valorados-argentina-129466.html	2017-03-05	Los bolivianos son los migrantes mejor valorados en Argentina	"Para nosotros los bolivianos es un éxito, es una muestra de que el sacrificio vale la pena”, manifestó Daysi a Página Siete. ""La necesidad económica nos obligó, la mejor opción que vieron mis padres fue migrar”, cuenta Fortunado, quien vive más de 30 años en Buenos Aires, Argentina. Fortunato agrega que todo el sacrificio valió la pena porque ahora tienen una casa propia, un negocio y una profesión. "
Más de 40 refugiados somalíes son tiroteados - Los Tiempos	https://www.lostiempos.com/actualidad/mundo/20170318/mas-40-refugiados-somalies-son-tiroteados	2017-03-18	Más de 40 refugiados somalíes son tiroteados	None 
Migrantes se movilizan este 30 de marzo en Argentina contra políticas antimigratorias de Mauricio Macri - noticiasfides.com	https://www.noticiasfides.com/mundo/migrantes-se-movilizan-este-30-de-marzo-en-argentina-contra-politicas-antimigratorias-de-mauricio-macri-376739	2017-03-29	Migrantes se movilizan este 30 de marzo en Argentina contra políticas antimigratorias de Mauricio Macri	“Si, también los jodidos bolitas paramos”, inicia el comunicado al paro convocado por el colectivo Simbiosis Cultural y que contará con la participación de colectividades de Paraguay, Perú, Bolivia, Chile, Brasil, Ecuador, Colombia, Guatemala y México, entre otros. Desde el 2016 –con la implementación de una cárcel migrante- inició una serie que “intentan criminalizar la migración, al asociarla constantemente con la delincuencia”, aseguró Vásquez.Esas medidas fueron también observadas por la comisionada de Comisión Interamericana de Derechos Humanos (CIDH), Margarette Macaulay, que calificó la adopción del DNU como un retroceso para las políticas del vecino país. El decreto del Gobierno argentino vincula inseguridad con inmigración y ordena deportar de inmediato a quienes cometen delitos graves. 
El síndrome de la resignación, la rara enfermedad de los hijos de refugiados en Suecia - boliviaentusmanos.com	https://www.boliviaentusmanos.com/noticias/salud/256738/el-sindrome-de-la-resignacion-la-rara-enfermedad-de-los-hijos-de-refugiados-en-suecia.html	2017-04-03	El síndrome de la resignación, la rara enfermedad de los hijos de refugiados en Suecia	En 2016, a unos 60 niños se les diagnosticó este síndrome que deja a sus víctimas totalmente pasivas, inmóviles, sin poder beber, comer y ni siquiera hablar, en algunos casos. Los médicos opinan que se trata de una manifestación de su miedo ante un posible regreso a sus países de origen, donde podrían sentirse inseguros y deberían adaptarse a una nueva sociedad. Habitualmente los niños experimentan una mejora varios meses después de que su familia reciba una autorización para permanecer en el país. 
