title	link	date	title_corrected	summary
Una rosa para los derechos migratorios de los cubanos - Publimetro Chile	https://www.publimetro.cl/cl/columnas/2015/05/28/rosa-derechos-migratorios-cubanos.html	2015-05-28	Una rosa para los derechos migratorios de los cubanos	Si bien esta norma internacional no obliga al Estado Cubano -pues a pesar de haberlo firmado en el año 2008, no la ratifica-, es bueno recordar que el derecho de libre movimiento, es un derecho humano fundamental inherente a toda persona. Por otro lado, en el párrafo 3, se advierte que “los derechos antes mencionados no podrán ser objeto de restricciones salvo cuando éstas se hallen previstas en la ley necesarias para proteger la seguridad nacional, el orden público, y sean compatibles con los demás derechos reconocidos en el presente Pacto”. Terminan siendo removidos los ex presos políticos que fueron forzados al exilio y hoy no gozan del derecho de retorno a su propio país. 
Foto de niño ahogado desenmascara la difícil situación de los refugiados sirios - Publimetro Chile	https://www.publimetro.cl/cl/mundo/2015/09/02/foto-nino-ahogado-desenmascara-dificil-situacion-refugiados-sirios.html	2015-09-02	Foto de niño ahogado desenmascara la difícil situación de los refugiados sirios	Al menos 11 refugiados sirios murieron ahogados tratando de llegar a la isla griega Kos, entre ellos cinco niños y una mujer. Siete personas fueron rescatadas y dos llegaron hasta la costa gracias a sus chalecos salvavidas. Imágenes recientemente reveladas muestran los cuerpos sin vida de dos pequeños, ambos varados en la playa de la ciudad turística turca, Bodrum. 
MEGA concreta remodelación e inicia migración a nuevas oficinas y estudios - Diario Financiero	https://www.df.cl/noticias/empresas/actualidad/mega-concreta-remodelacion-e-inicia-migracion-a-nuevas-oficinas-y/2015-09-04/173404.html	2015-09-07	MEGA concreta remodelación e inicia migración a nuevas oficinas y estudios	MEGA concreta remodelación e inicia migración a nuevas oficinas y estudios Antonio Escobar, director de Gestión del canal, señala que las nuevas instalaciones albergarán a los equipos de producción, edición y dirección ejecutiva. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
Hungría envía a prisioneros a construir valla contra refugiados - Publimetro Chile	https://www.publimetro.cl/nota/mundo/hungria-envia-a-prisioneros-a-construir-valla-contra-refugiados/xIQoil!mL8yaVrv2RTLg/	2015-09-12	Hungría envía a prisioneros a construir valla contra refugiados	Los presos en Hungría están obligados a trabajar si sus condiciones físicas se lo permiten. Mientras, el primer ministro, Viktor Orban, presiona en el Parlamento para que le dejen enviar al Ejército no a construir el muro alambrado sino a custodiarlo y defender la frontera. El nuevo ministro de Defensa húngaro -su predecesor dimitió esta semana por la lentitud en la construcción de la valla- dijo ayer que enviarán a 4.000 soldados que ya están entrenando a tal efecto. 
Crisis humanitaria en Irak: ya van 3.3 millones de desplazados - Publimetro Chile	https://www.publimetro.cl/cl/noticias/2016/06/21/crisis-humanitaria-irak-ya-3-3-millones-desplazados.html	2016-06-21	Crisis humanitaria en Irak: ya van 3.3 millones de desplazados	Las organizaciones humanitarias intentan hacer frente a la situación, máxime cuando miles de personas que han soportado el hambre y el trauma de la guerra se enfrentan ahora en su huida a un sol tenaz. Muchos viven en edificios sin terminar, en escuelas, mezquitas o asentamientos improvisados, a menudo en condiciones muy difíciles y deficientes, asegura Robert Onus, coordinador de proyecto de Médicos sin Fronteras en Abu Ghraib, Bagdad. “Desde febrero de 2015, MSF proporciona atención médica a las poblaciones desplazadas y desatendidas en Bagdad. 
Polémica por muro del Reino Unido contra inmigrantes - Diario Financiero	https://www.df.cl/noticias/internacional/economia/polemica-por-muro-del-reino-unido-contra-inmigrantes/2016-09-07/202358.html	2016-09-08	Polémica por muro del Reino Unido contra inmigrantes	Polémica por muro del Reino Unido contra inmigrantes - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
Alfredo Jaar Arte y refugiados: intentando cambiar el mundo - LaTercera	https://www.latercera.com/noticia/arte-refugiados-intentando-cambiar-mundo/	2016-11-21	Alfredo Jaar Arte y refugiados: intentando cambiar el mundo	"Alfredo Jaar, el reconocido artista nacional, ocupa recurrentemente en su trabajo imágenes que contienen un sentido transformador de la realidad. La imagen de Aylan Kurdi sobrevivió al consumismo mediático, por su fuerza, belleza, poesía, pero también por el horror que provoca, y esa tristeza insoportable. Por un lado tienes legítimos refugiados de países que se desangran en la guerra y por otro lado tienes muchos más inmigrantes que no viven ninguna persecución pero se aprovechan del momento para probar suerte en Europa"", dice Munita. "
"Fiscal Carlos Gajardo golpea la mesa por debate migratorio: ""Los inmigrantes no delinquen más que los chilenos"" - Diario Financiero"	https://www.df.cl/noticias/economia-y-politica/actualidad/fiscal-carlos-gajardo-golpea-la-mesa-por-debate-migratorio-los/2016-11-29/175829.html	2016-11-29	"Fiscal Carlos Gajardo golpea la mesa por debate migratorio: ""Los inmigrantes no delinquen más que los chilenos"""	"Fiscal Carlos Gajardo golpea la mesa por debate migratorio: ""Los inmigrantes no delinquen más que los chilenos"" Además, el persecutor señaló que ""ya existen herramientas para expulsar"" a los extranjeros que cometen delitos. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente "
Las duras batallas que deben dar los inmigrantes para traspasar sus fondos de pensiones fuera de Chile - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/actualidad/las-duras-batallas-que-deben-dar-los-inmigrantes-para-traspasar-sus/2016-12-07/124549.html	2016-12-07	Las duras batallas que deben dar los inmigrantes para traspasar sus fondos de pensiones fuera de Chile	Las duras batallas que deben dar los inmigrantes para traspasar sus fondos de pensiones fuera de Chile Uno de los requisitos necesarios para que los inmigrantes puedan portar sus fondos -el más polémico- es acreditar que son profesionales o técnicos. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
Providencia y Las Condes en top 10 de comunas con más migrantes - LaSegunda.com - lasegunda.com	http://www.lasegunda.com/movil/detallenoticia.aspx?idnoticia=1051911	2016-12-22	Providencia y Las Condes en top 10 de comunas con más migrantesLaSegunda.com	Hasta ahora sólo se conocía el alza que han experimentado en general las residencias definitivas de extranjeros en el país en los últimos 10 años. El resto de las comunas del top 10 son Antofagasta (5.122), Iquique (2.823), Calama (3.516), Recoleta (1.556), Providencia (1.492), Independencia (1.485), Arica (1.513) y Estación Central (1.136). Mirado en términos porcentuales, en todo caso, Calama es la comuna con mayor oscilación en los últimos diez años, pues el número de residencias definitivas creció 20 veces (en 2005 eran sólo 153). 
Participación de extranjeros en el mercado laboral chileno es un cuarto del promedio de los países europeos - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/actualidad/participacion-de-extranjeros-en-el-mercado-laboral-chileno-es-un-cuarto/2017-01-16/200543.html	2017-01-17	Participación de extranjeros en el mercado laboral chileno es un cuarto del promedio de los países europeos	Participación de extranjeros en el mercado laboral chileno es un cuarto del promedio de los países europeos Informe de Hermann Consultores critica que el anteproyecto del gobierno no modifique el tope legal de 15% para la contratación de trabajadores foráneos en las empresas. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
Año Nuevo chino: el mundo se prepara para la mayor migración del planeta - Diario Financiero	https://www.df.cl/noticias/internacional/economia/ano-nuevo-chino-el-mundo-se-prepara-para-la-mayor-migracion-del-planeta/2017-01-24/214941.html	2017-01-25	Año Nuevo chino: el mundo se prepara para la mayor migración del planeta	Año Nuevo chino: el mundo se prepara para la mayor migración del planeta Se estima que 414 millones de personas se movilizarán vía terrestre o aérea durante la caótica festividad. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
Principales problemas a los que se enfrentan los migrantes - Publimetro Chile	https://www.publimetro.cl/cl/noticias/2017/02/16/principales-problemas-se-enfrentan-migrantes.html	2017-02-16	Principales problemas a los que se enfrentan los migrantes	Para Cid el problema de las visas es muy serio: “Nuestro marco regulatorio, en general, tiene nudos ciegos que promocionan la irregularidad. Es imperativo crear una nueva legislación, que se adapte a las necesidades modernas, en una sociedad y economía globalizada. Es un fenómeno que debe ser abordado según su complejidad y no de manera superficial. 
Más del 40% de los inmigrantes en Chile dice que su trabajo no se relaciona con su nivel de formación - Diario Financiero	https://www.df.cl/noticias/economia-y-politica/actualidad/mas-del-40-de-los-inmigrantes-en-chile-dice-que-su-trabajo-no-se/2017-03-17/105252.html	2017-03-17	Más del 40% de los inmigrantes en Chile dice que su trabajo no se relaciona con su nivel de formación	Más del 40% de los inmigrantes en Chile dice que su trabajo no se relaciona con su nivel de formación Sólo 50% del total de inmigrantes con estudios superiores dice su adecuación de trabajo según su nivel de formación es positiva - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
"Subastan en París los ""candados del amor"" en beneficio de los refugiados - LaTercera"	https://www.latercera.com/noticia/subastan-paris-los-candados-del-amor-beneficio-los-refugiados/	2017-05-13	"Subastan en París los ""candados del amor"" en beneficio de los refugiados"	"Más sobre Paris Cuba denuncia ataque terrorista con bombas molotov a su embajada en París Columna de María Elvira Balcells: Covid-19, menos restricciones pero más responsabilidad individual París en bici: La capital francesa se transforma en la ciudad de las ciclovías Gaëlle Salaün, parisina, compró un lote por 520 euros ""porque tenía (escrito) un nombre en español"". ""Es formidable, hay mucha humanidad"", dijo congratulado Bruno Morel, director de Emmaüs Solidarité. El acto se vio empañado, no obstante, por la protesta de una decena militantes de ultraderecha que penetraron brevemente en la sala durante la venta, para denunciar que la recaudación se destine a los refugiados. "
La canción que Cornell dejó a los refugiados antes de morir - Cultolt	https://www.latercera.com/culto/2017/06/20/la-cancion-cornell-dejo-a-los-refugiados-morir/	2017-06-20	La canción que Cornell dejó a los refugiados antes de morir	La producción se ambienta en los últimos años del Imperio Otomano y trata el genocidio cometido contra los armenios. El corto musical mezcla imágenes de Cornell cantando con su guitarra, con clips de refugiados sufriendo, ciudades destruidas, bombardeos y tiroteos. https://www.youtube.com/watch?v=tEpwvvyrAJU Comenta Por favor, inicia sesión en La Tercera para acceder a los comentarios. 
La migración de la música colombiana a Chile - publimetro.cl	https://www.publimetro.cl/cl/entretenimiento/2017/08/04/la-migracion-la-musica-colombiana-chile.html	2017-08-04	La migración de la música colombiana a Chile	Esa fue la primera vez que vi en mis menciones a Chile”, explica el músico sobre su primer vínculo con nuestro país. Entre los artistas colombianos que ha visitado está Sebastián Yatra, quien realizó su primer show en solitario el pasado 30 de junio. Al país que vas, un colega colombiano acaba de llegar o se va air. 
"Adela Cortina: ""Lo que molesta de los inmigrantes y los refugiados es que son pobres"" - LaTercera"	https://www.latercera.com/noticia/adela-cortina-lo-molesta-los-inmigrantes-los-refugiados-pobres/	2017-09-18	"Adela Cortina: ""Lo que molesta de los inmigrantes y los refugiados es que son pobres"""	"Su último libro, Aporofobia, el rechazo al pobre (Paidos, 2017), que acaba de llegar a Chile, ha causado revuelo y con razón. Pero en todos esos casos si traen dinero o algo que parece beneficioso se les acoge sin remilgos. Otros ""populismos"" son más sutiles en esto, pero comparten el vicio de creerse superiores a los demás. "
