title	link	date	title_corrected	summary
Acnur reconoce apoyo del Gobierno a desplazados - El Colombiano	https://www.elcolombiano.com/historico/acnur_reconoce_apoyo_del_gobierno_a_desplazados-IVEC_186608	2012-06-19	Acnur reconoce apoyo del Gobierno a desplazados	"En este documento se detalló que Colombia se encuentra en el séptimo lugar con 396 mil refugiados en otros países, estando en primer lugar Afganistán, seguido de Somalia, luego Sudán y después la República Democrática del Congo. Hay un paso positivo para garantizarle los derechos a la población desplazada"", dijo Fontanini. ""Cuando la corte produce la sentencia 025, ordena destinar los recursos para atender a la población desplazada. "
Con 5,3 millones, Colombia es el segundo país con más desplazados en el mundo - El Colombiano	https://www.elcolombiano.com/historico/con_53_millones_colombia_es_el_segundo_pais_con_mas_desplazados_en_el_mundo-IXEC_299450	2014-06-20	Con 5,3 millones, Colombia es el segundo país con más desplazados en el mundo	"Son 6 millones más que en 2012, recordó Antonio Guterres, alto comisionado para los refugiados, al presentar el informe a la prensa. En África, en particular en República Centroafricana y Sudán del Sur, se han producido importantes desplazamientos de población. El fuerte crecimiento se explica por la ""multiplicación de nuevas crisis"", que empujan a la población a abandonar sus hogares, y por la ""persistencia de viejas crisis que parecen no querer morir nunca"", precisó. "
Cuba ha acogido a 384 refugiados de ocho países en 2014, según Acnur - ElEspectador.com	https://www.elespectador.com/mundo/mas-paises/cuba-ha-acogido-a-384-refugiados-de-ocho-paises-en-2014-segun-acnur-article-499645/	2014-06-20	Cuba ha acogido a 384 refugiados de ocho países en 2014, según Acnur	Cuba ha acogido a 384 refugiados de ocho países en 2014, según Acnur Acnur opera en la isla desde 1989 en colaboración con el Gobierno y otras instituciones locales y desde entonces ha asistido a más de 11.000 personas de 35 países, indicó la fuente citada. Agregó que desde 1996 y hasta la actualidad arriban a Cuba de forma espontánea y como turistas muchas personas que buscan protección internacional. 
El 84 % de los migrantes irregulares que pasan por Antioquia son cubanos - El Colombiano	https://www.elcolombiano.com/antioquia/los-cubanos-primeros-en-migrantes-irregulares-que-pasan-por-antioquia-NA1983681	2015-05-25	El 84 % de los migrantes irregulares que pasan por Antioquia son cubanos	La alta demanda y la frecuencia con la que llegan los migrantes irregulares cubanos al municipio de Turbo, en el Urabá antioqueño, ha desbordado la capacidad de las autoridades, “es un tema que se está volviendo imposible para nosotros, lo sabe Raimundo y todo el mundo, pero nadie hace nada”, afirma Rubén Arroyo, alcalde del municipio. Uno de los casos que más ha alarmado a las autoridades ocurrió el pasado martes, día en el que al hospital del municipio llegó el cuerpo sin vida de un cubano, ciudadano del que solo se supo de su estadía en Colombia por su fallecimiento. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. 
Niños colombianos muestran su apoyo a niños sirios refugiados - Semana.com	https://www.semana.com/mundo/articulo/ninos-colombianos-muestran-su-apoyo-ninos-sirios-refugiados/430812-3/	2015-06-10	Niños colombianos muestran su apoyo a niños sirios refugiados	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
Estos serán los primeros refugiados climáticos de Estados Unidos - Semana.com	https://www.semana.com/medio-ambiente/articulo/kivalina-los-primeros-refugiados-climaticos-estados-unidos/33812/	2015-09-08	Estos serán los primeros refugiados climáticos de Estados Unidos	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
El arte y los refugiados sirios - Semana.com	https://www.semana.com/cultura/articulo/el-arte-refleja-el-drama-de-los-refugiados-sirios/443010/	2015-09-19	El arte y los refugiados sirios	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
Urabá chocoano, la otra zona “caliente” por tráfico de migrantes - El Colombiano	https://www.elcolombiano.com/colombia/uraba-chocoano-la-otra-zona-caliente-por-el-trafico-de-migrantes-BL2793065	2015-09-28	Urabá chocoano, la otra zona “caliente” por tráfico de migrantes	Sin embargo, detrás del hermoso telón de sus playas tranquilas se esconden fuerzas oscuras que han generado una situación insostenible para las autoridades por el tráfico de migrantes que azota la región. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
El campo de refugiados de Shuafat, donde se tiran piedras desde los 7 años - ElEspectador.com	https://www.elespectador.com/mundo/mas-paises/el-campo-de-refugiados-de-shuafat-donde-se-tiran-piedras-desde-los-7-anos-article-595433/	2015-10-27	El campo de refugiados de Shuafat, donde se tiran piedras desde los 7 años	"Las fuerzas israelíes ""no dejan a los palestinos entrar en (la mezquita de) Al Aqsa, prohíben el paso incluso a las mujeres, destruyen las casas de los mártires (muertos en atentados o ataques) y entran en nuestras casas sin respeto"". Aún más pequeño, Yokar, de 8 años (nombre ficticio) reconoce con suavidad y casi con vergüenza: ""Si, tiro piedras"". ""He dado a un soldado"", dice orgulloso y narra que cuando los militares entran en el campo va al tejado: ""desde ahí tiro piedras"". "
El estigma de ser refugiado después de los ataques en París - Semana.com	https://www.semana.com/mundo/articulo/terror-en-paris-refugiados-estigmatizados/450567-3/	2015-11-21	El estigma de ser refugiado después de los ataques en París	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
