title	link	date	title_corrected	summary
PAC pediría libre migración a EE. UU. a cambio de TLC - La Nación Costa Rica	https://www.nacion.com/el-pais/pac-pediria-libre-migracion-a-ee-uu-a-cambio-de-tlc/2J7XW3DHPBGY5LLY7X7K3OBWJE/story/	2005-07-09	PAC pediría libre migración a EE. UU. a cambio de TLC	"""¿Qué jala trabajadores a Estados Unidos?, las leyes de la oferta y la demanda"", se interrogó Solís al ser cuestionado sobre el citado documento. ""Irlanda ha recibido el equivalente al 3,5% del PIB durante los 21 años que ha sido miembro de la Unión Europea"", ejemplificó. Según dijo, estas ideas se las expuso al gobierno nacional, así como a congresistas y organizaciones de Estados Unidos. "
Migración prorrogó la visa a 150.000 extranjeros – La Nación - La Nación Costa Rica	https://www.nacion.com/el-pais/migracion-prorrogo-la-visa-a-150-000-extranjeros/275ISI7ZNRG7PPQPWB747FG34A/story/	2005-09-21	Migración prorrogó la visa a 150.000 extranjeros – La Nación	La medida rige desde el lunes pasado según un decreto firmado por el Presidente de la República, Abel Pacheco de la Espriella, el cual salió publicado en el diario oficial La Gaceta . Las personas en estas condiciones (unas 131.717) deben solicitar una cita para ser atendidos los lunes, martes o miércoles. Asimismo, podrían esperar hasta el 3 de noviembre próximo, cuando se atenderá los días jueves y viernes a las primeras 300 personas que se presenten, sin necesidad de cita. 
País estudiará la migración de tiburones ballena en el Pacífico - La Nación Costa Rica	https://www.nacion.com/ciencia/pais-estudiara-la-migracion-de-tiburones-ballena-en-el-pacifico/BUVKRWBBG5BFPJUNRTAHXDEKCI/story/	2006-05-17	País estudiará la migración de tiburones ballena en el Pacífico	"Para ello, los especialistas colocarán un dispositivo que permita determinar su localización a través del Sistema de Posicionamiento Global (GPS). Para esta tarea, dos buzos calificados se sumergirán en aguas cercanas a Isla del Coco o en bahía Drake, en la península de Osa. ""La información satelital revelará exactamente por dónde pasan estos enormes peces y cuán frecuente es el acercamiento de ellos a aguas nacionales"", dijo Anderson. "
Angelina Jolie y Brad Pitt pasaron la Navidad con refugiados en Costa Rica - La Nación Costa Rica	https://www.nacion.com/archivo/angelina-jolie-y-brad-pitt-pasaron-la-navidad-con-refugiados-en-costa-rica/OIFQHCH7EBGPHJED2HRWXX34Y4/story/	2006-12-26	Angelina Jolie y Brad Pitt pasaron la Navidad con refugiados en Costa Rica	"""Tuvimos una navidad maravillosa tanto con el pueblo costarricense como con las familias refugiadas colombianas con quienes nos reunimos"", dijo Jolie. En Costa Rica residen aproximadamente 11.500 refugiados, de ellos unos 10.500 son colombianos, que viven en las principales ciudades del país. Jolie visitó Ecuador en 2002 y posteriormente escribió un diario personal de sus encuentros con refugiados colombianos en ese país. "
Más estudiantes extranjeros escogen Costa Rica como centro de estudios - elfinancierocr.com	https://www.elfinancierocr.com/negocios/mas-estudiantes-extranjeros-escogen-costa-rica-como-centro-de-estudios/K5335BI5DBFNFOUW3ITEQ3EAIY/story/	2013-06-16	Más estudiantes extranjeros escogen Costa Rica como centro de estudios	Para personas originarias de ciertos países, el proceso implica trasladarse al consulado costarricense más cercano que a veces está en otras naciones. A lo anterior, se añade el alto costo de vida que deben enfrentar quienes quieren venir por periodos largos. “La calidad educativa de Costa Rica es reconocida a nivel mundial; sin embargo, es necesario hacerla más accesible”, señaló. 
Ticos en el extranjero podrían cotizar para la CCSS - crhoy.com	https://archivo.crhoy.com/ticos-en-el-extranjero-podrian-cotizar-para-la-ccss-v0l7x/nacionales/	2014-03-21	Ticos en el extranjero podrían cotizar para la CCSS	Según Freddy Montero, viceministro de Gobernación, el propósito es poder integrar al desarrollo del país y garantizar los derechos constitucionales a los emigrantes, con políticas como estas. La Política Migratoria presentada por las autoridades esta mañana, sólo define la línea a trazar en los próximos 10 años, pero no así el plan de acción para ejecutar esos proyectos. Entre otros lineamientos se encuentra mejorar los procesos de tramitología que debe hacer la población migrante. 
Bordados reviven el drama de refugiados salvadoreños durante la guerra civil - crhoy.com	https://archivo.crhoy.com/bordados-reviven-el-drama-de-refugiados-salvadorenos-durante-la-guerra-civil-v1l1l4x/mundo/	2014-05-18	Bordados reviven el drama de refugiados salvadoreños durante la guerra civil	Mundo Política Bordados reviven el drama de refugiados salvadoreños durante la guerra civil (EFE) – Los bordados con los que muchas mujeres salvadoreñas plasmaron sus vivencias en un campamento de refugiados en Honduras, reflejan hoy el drama que significó para miles de salvadoreños abandonar su país por la guerra civil. Así, empezaron a bordar pájaros, flores, escenas de la vida diaria en escuelas, cocinas o huertos y fiestas como la Navidad. En otros casos son denuncias: “Así tirotean nuestros campamentos día y noche”, señala un bordado que muestra a militares disparando. 
Cebras hacen la migración más larga de África - La Nación Costa Rica	https://www.nacion.com/ciencia/medio-ambiente/cebras-hacen-la-migracion-mas-larga-de-africa/K2B2WGCR4NCVPDERZY6CNXYRX4/story/	2014-05-31	Cebras hacen la migración más larga de África	El viaje que realizaron unas 2.000 cebras entre Namibia y Botsuana, dos países es una zona poco poblada de África, fue descubierto por expertos en vida silvestre después de que a algunas cebras se les pusieran collares con aparatos para rastrearlas. “ Esta es la migración por tierra más grande que se conozca en África en términos de distancia entre el principio y el fin ” , dijo Naidoo. “ Aunque la humanidad ha estado fascinada por la migración animal desde el comienzo de la historia, apenas comenzamos a estudiar su superficie en términos de comprender por qué migran los animales, adónde van y cómo lo hacen ” , dijo Wilcove, quien no estuvo involucrado en el estudio, vía correo electrónico. 
Tres extranjeros refugiados caen cuando tachaban autos - La Nación Costa Rica	https://www.nacion.com/sucesos/crimenes/tres-extranjeros-refugiados-caen-cuando-tachaban-autos/HP6UOIJQCNAUXKYW2RMACMN2UE/story/	2014-08-15	Tres extranjeros refugiados caen cuando tachaban autos	En el caso de Olmedo y Olivares, se consideró que no había peligro de fuga y se les ordenó presentarse a firmar en el Juzgado cada 15 días. Esteban Lemus, miembro del Tribunal Administrativo Migratorio (que conoce las apelaciones a los fallos de la Comisión) explicó que, de acuerdo con la legislación nacional e internacional, el refugio se otorga a los perseguidos por motivos de raza, religión, nacionalidad, género, pertenencia a determinado grupo u opiniones políticas. Tres años después, pidió un cambio de categoría a residente, que primero le fue denegada y luego otorgada. 
Costa Rica es el país con mayor porcentaje de inmigrantes en América Latina - El Financiero Costa Rica	https://www.elfinancierocr.com/economia-y-politica/costa-rica-es-el-pais-con-mayor-porcentaje-de-inmigrantes-en-america-latina/RRHVYJ7SMNBZDBNR6FM6DL7JIE/story/	2014-11-19	Costa Rica es el país con mayor porcentaje de inmigrantes en América Latina	"Según datos del Instituto Nacional de Estadísticas y Censos (INEC), el censo del año 2000 mostró la histórica característica de Costa Rica como nación receptora de migrantes, con un 7,8% de personas nacidas en otros países y censadas en Costa Rica. El INEC sostiene que ""la inmigración internacional ha tendido a una estabilización a partir del año 2000, lo cual incide también en el menor ritmo de crecimiento de la población total del país"". En términos netos, la inmigración acumulada en la región continúa siendo un proceso menos relevante que el de la emigración. "
Alemania anuncia 40 millones de euros adicionales para los refugiados sirios - Diario Digital Nuestro País	https://www.elpais.cr/2014/12/03/alemania-anuncia-40-millones-de-euros-adicionales-para-los-refugiados-sirios/	2014-12-03	Alemania anuncia 40 millones de euros adicionales para los refugiados sirios	Berlín, 3 dic (EFE).- El Gobierno alemán anunció que transferirá 40 millones de euros adicionales a distintas organizaciones internacionales para atender a los refugiados sirios ante la llegada del invierno y la falta de fondos. Según explicó en un comunicado el Ministerio de Asuntos Exteriores ante la reunión que celebra en Bruselas la coalición internacional contra el grupo terrorista Estado Islámico (EI), Berlín destinará 15 millones de euros más a los proyectos del Programa Mundial de Alimentos (PMA) en Siria, Jordania y Turquía. «No puede ser que las familias pasen hambre y se congelen porque las organizaciones de ayuda no tengan más dinero para atenderlas», subrayó en el comunicado el ministro alemán de Exteriores, Frank-Walter Steinmeier. 
'Gina', la tortuga verde que completó una migración de 500 km desde Isla del Coco hasta Golfo Dulce - crhoy.com	https://archivo.crhoy.com/gina-la-tortuga-verde-que-completo-una-migracion-de-500-km-desde-isla-del-coco-hasta-golfo-dulce/ambiente/	2015-03-20	'Gina', la tortuga verde que completó una migración de 500 km desde Isla del Coco hasta Golfo Dulce	Esta tortuga llamó la atención por ser juvenil y existe una larga base de datos sobre sus movimientos. “Aunque varias tortugas verdes equipadas con marcas satelitales en el parque nacional han sido rastreadas migrando hacia la costa de América Central, Gina es la primera tortuga que ha sido detectada en otro sitio de alimentación, y su trayectoria conecta el parque nacional y sus hábitats oceánicos directamente con los ecosistemas costeros. Tortugas verde juveniles como Gina necesitan residir en sitios seguros que proveen una suficiente oferta de alimento para poder crecer y alcanzar la madurez sexual”, manifestó la organización conservacionista. 
