title	link	date	title_corrected	summary
Haití saca a refugiados de aparcamiento de estadio - elnacional.com.do	https://elnacional.com.do/haiti-saca-a-refugiados-de-aparcamiento-de-estadio/	2011-07-16	Haití saca a refugiados de aparcamiento de estadio	AP.- El gobierno haitiano ha comenzado a sacar a las 30 familias del aparcamiento de un estadio, donde habían vivido desde que el terremoto del año pasado las dejó sin hogar, informó el viernes un funcionario. El asesor presidencial Pierre Richard Duplan dijo que el gobierno está pagando 250 dólares a cada una de las 30 familias a cambio de que deje el estacionamiento. Patrick Rouzier, asesor de vivienda y reconstrucción del presidente Michel Martelly, informó que el esfuerzo de reubicación del gobierno incluye al estadio, pero agregó que no había comenzado oficialmente. 
¡Intentó escapar! Autoridades de migración impiden salida del país de Karim Abu Naba`a - ultimasnoticias.com.do	https://www.ultimasnoticias.com.do/2013/11/13/autoridades-de-migracion-impiden-salida-del-pais-de-karim-abu-nabaa/	2013-11-13	¡Intentó escapar! Autoridades de migración impiden salida del país de Karim Abu Naba`a	Luego de que los inspectores de Migración dijeran a Abu Naba que tenía impedimento de salida del país y que tenía que canalizar su situación en la Procuraduría General de la República, el mismo realizo varias llamadas en tonos molestos. Entre los cargos que pesan contra el ciudadano estadounidense de origen árabe-dominicano, figura la sustracción de un lujoso vehículo marca Ferraro Enzo, valorado en l.3 millones de dólares. De acuerdo a las autoridades judiciales para apoderarse del vehículo, Karin Abu Naba, supuestamente falsificó la firma del propietario del automóvil de lujo, logrando retirarlo de las aduanas. 
Nacionalistas dominicanos dicen en RD los extranjeros reciben «trato VIP» - remolacha.net	https://remolacha.net/2015/01/nacionalistas-dominicanos-dicen-en-rd-los-extranjeros-reciben-trato-vip/	2015-01-19	Nacionalistas dominicanos dicen en RD los extranjeros reciben «trato VIP»	Privacidad y cookies: este sitio utiliza cookies. Al continuar utilizando esta web, aceptas su uso. Para obtener más información, incluido cómo controlar las cookies, consulta aquí: Política de cookies 
700 muertos por naufragio de barco con migrantes - remolacha.net	https://remolacha.net/2015/04/700-muertos-por-naufragio-de-barco-con-migrantes/	2015-04-19	700 muertos por naufragio de barco con migrantes	En lo que se considera la peor tragedia en el Mediterráneo de los últimos tiempos, un pesquero con 700 migrantes naufragó esta madrugada en el Canal de Sicilia, a unos 100 kilómetros al norte de las costas de Libia…. 
Sentencia 168-13 impulsó una profunda reforma migratoria - El Dia.com.do	https://eldia.com.do/sentencia-168-13-impulso-una-profunda-reforma-migratoria/	2015-06-01	Sentencia 168-13 impulsó una profunda reforma migratoria	La citada sentencia esclareció los criterios para conceder la nacionalidad dominicana mediante el jus solis (nacimiento), los cuales estaban vigentes desde 1929, pero como al igual que otros temas había una dualidad de interpretación y no fue sino hasta 2013 cuando el órgano llamado para hacerlo puso la casa en orden en materia de interpretación jurídica. La sentencia señala que la excepción del tránsito incluye a todos los nacidos aquí hijos de extranjeros que residen de manera ilegal, pues sus padres no tienen residencia en República Dominicana conforme a las leyes nacionales. Antes del tiempo previsto por la sentencia, la Junta Central Electoral culminó el trabajo, procesó todos los casos detectados y procedieron a regularizarse conforme disponía la ley 169-14 a todos los que estaban inscritos de manera irregular sin haber cometido fraude. 
La regularización de extranjeros: Costosa y compleja - elDinero	https://www.eldinero.com.do/13392/la-regularizacion-de-extranjeros-costosa-y-compleja/	2015-06-15	La regularización de extranjeros: Costosa y compleja	Gracias a Dios tengo el papel y ahora espero que me llamen para darme todo. Asimismo, Wilmer Yean lamenta el abuso y a su entender las autoridades manejan un negocio sucio detrás del proceso. Además, indican, deben comer y los vendedores se aprovechan al fijar precios más altos de lo normal. 
La religión no pregunta por condición migratoria de haitianos - elDinero	https://www.eldinero.com.do/14484/la-religion-no-pregunta-por-condicion-migratoria-de-haitianos/	2015-07-20	La religión no pregunta por condición migratoria de haitianos	Las 80 iglesias restantes se congregan de manera independiente, es decir, que no están incorporadas ni afiliadas al Codue, aunque institucionalmente reciben asistencia. Esta costumbre caracteriza a una gran parte de la población haitiana, aunque la mayoría son cristianos católicos. La migración de sus nacionales hacia República Dominicana ha hecho que esta práctica a menudo confronte las tradiciones religiosas del país, ya que cada vez más inmigrantes consideran su orientación religiosa como una opción, no como una tradición familiar o cultural, tratando de alejarse del vudú. 
Despiden periodista por darle patada a refugiado en Hungría - remolacha.net	https://remolacha.net/2015/09/zumban-periodista-hacia-zancadillas-a-refugiados-en-hungria/	2015-09-08	Despiden periodista por darle patada a refugiado en Hungría	La azarosa periodista Petra Laszlo, quien fue captada haciéndole zancadillas a refugiados que salían juyendo de la policía, fue botada de la cadena NT1 [Seguir leyendo…] Remolacha – Noticias Republica Dominicana El Blog #1 de los dominicanos Internacional 
Miedo lleva a migrantes a asumir los riesgos | Metro Republica Dominicana - Metrord	https://www.metrord.do/do/mundo/2015/10/22/miedo-lleva-migrantes-asumir-riesgos.html	2015-10-22	Miedo lleva a migrantes a asumir los riesgosMetro Republica Dominicana	“Pasé hambre, fui torturado, robado… En un momento consideré saltar desde un camión en el Sahara porque pensé que estaba muriendo”, recordó Friew, de 39 años. Ahora soy muy feliz en Noruega, pero aún tengo pesadillas sobre la policía, el mar y el hijo de Khaddafi, quien nos obligó a cruzar la frontera en 2011”, narra Friew. Desde la semana pasada, en Sicilia y Calabria, la Cruz Roja Italiana ha llevado ayuda humanitaria a más de siete mil personas rescatadas”, sostuvo Bastianetto. 
Instalarán nuevos equipos de controles migratorios en aeropuertos - Metrord	https://www.metrord.do/do/noticias/2015/10/28/instalaran-nuevos-equipos-controles-migratorios-aeropuertos.html	2015-10-28	Instalarán nuevos equipos de controles migratorios en aeropuertos	El director general de Migración, Rubén Darío Paulino Sem, anunció este martes la instalación de nuevos equipos en los aeropuertos de República Dominicana con los cuales busca facilitar el ingreso al país y reforzar los controles migratorios a nivel nacional. Durante un recorrido por el Aeropuerto Internacional de Las Américas (AILA), Paulino Sem informó que los nuevos equipos llegan al país en noviembre, cuando comenzarán a trabajar 32 nuevos inspectores bilingües, entrenados por la DGM para dar eficiencia al trabajo en los aeropuertos del país. Agregó, que con el auto gate “los dominicanos no tendrán que trabajar con los inspectores, porque si están registrados en la base de datos biométricos de la DGM podrán hacer su entrada y salida mediante ese mecanismo”. 
La migración económica en el contexto del desarrollo - elDinero	https://www.eldinero.com.do/17654/la-migracion-economica-en-el-contexto-del-desarrollo/	2015-11-02	La migración económica en el contexto del desarrollo	Cabe destacar que esas cifras no toman en cuenta los descendientes de dominicanos nacidos en esos países. Mientras haya capacidad de proveer empleos formales e informales controlados, recibir inmigrantes no es problema para los países receptores, sino más bien un impulso a su fuerza y aparato productivo. Las migraciones (inmigraciones y emigraciones) deben ser evaluadas en términos de su impacto económico, cultural, político o social. 
Puertorriqueños migran a Dominicana por un mejor futuro - Metrord	https://www.metrord.do/do/noticias/2016/01/25/puertorriquenos-migran-dominicana-mejor-futuro.html	2016-01-25	Puertorriqueños migran a Dominicana por un mejor futuro	Pero la profunda crisis económica por la que atraviesa Puerto Rico ha revertido la tendencia y cada vez más puertorriqueños abrumados por problemas económicos van al país vecino para abrir negocios y escaparle al caos, que está ahuyentando incluso a muchos inmigrantes dominicanos. La mayoría de los puertorriqueños que buscan visa son jóvenes o estudiantes de mediana edad y muchos piden permiso para trabajar en el sector turístico porque hablan inglés y les resulta relativamente fácil conseguir trabajo en ese sector, según Grullón. Ahora, son los puertorriqueños los que se van de nuevo a Dominicana, atraídos por su fuerte economía y su mercado laboral. 
¿Cómo tratan a los refugiados en la UE? - Listín Diario	https://listindiario.com/las-mundiales/2016/01/31/405914/como-tratan-a-los-refugiados-en-la-ue	2016-01-31	¿Cómo tratan a los refugiados en la UE?	Decidió introducir controles en el puente de Öresund, poniendo fin a ese cordón umbilical antaño tan celebrado. Mediante la reducción de prestaciones y mayores exigencias para la reunificación familiar el país escandinavo aspira a perder atractivo para los refugiados. Como los refugiados que entraban desde Rusia lo hacían en bicicleta, del mismo modo se les mandaba de vuelta. 
Chiqui vicioso revela Consuelo Despradel es nieta de un inmigrante haitiano ilegal - DiarioDigitalRD	https://www.diariodigital.com.do/2016/02/04/chiqui-vicioso-revela-consuelo-despradel-nieta-inmigrante-haitiano-ilegal.html	2016-02-04	Chiqui vicioso revela Consuelo Despradel es nieta de un inmigrante haitiano ilegal	El texto completo de su comentario, colgado en la página www.robertocavada.com es el que sigue: Ya compramos las sombrillas y allí estaremos. ¿Qué escribió una carta denunciando el fascismo implícito en una resolución que solo le ha provocado al Estado dominicano dolores de cabeza? Vargas Llosa no hizo más que repetir lo que dijimos muchos aquí en el país: Que no nos correspondía a nosotros, como país de emigrantes (dos millones para ser exactos) con dominican@s en todo el mundo, desarrollar una actitud xenofóbica contra inmigrantes haitianos, porque ello le restaba legitimidad a cualquier reclamo contra el racismo y la discriminación a nuestra gente en el exterior. 
