title	link	date	title_corrected	summary
Enfrentamientos en campo de refugiados de Jerusalén avivan tensión israelo-palestina - Prensa Libre	https://www.prensalibre.com/internacional/enfrentamientos-campo-refugiados-jerusalen-estado-alerta-0-1244275672/	2014-11-07	Enfrentamientos en campo de refugiados de Jerusalén avivan tensión israelo-palestina	La última falleció este viernes en un hospital tras haber sido arrollada por un carro conducido por un palestino que se lanzó deliberadamente el miércoles contra dos grupos de peatones. “Las nuevas colonias son un obstáculo” para buscar la paz, afirmó, en referencia a las negociaciones, en punto muerto. La situación en la Explanada ha creado también un conflicto diplomático entre Israel y Jordania, que gestiona oficialmente el lugar y es junto con Egipto uno de los dos países árabes que firmaron un tratado de paz con Israel. 
Zaid, el niño refugiado conoció a su ídolo Cristiano Ronaldo - Prensa Libre	https://www.prensalibre.com/deportes/futbol-internacional/zaid-el-nio-refugiado-conocio-a-su-idolo-cristiano-ronaldo/	2015-09-18	Zaid, el niño refugiado conoció a su ídolo Cristiano Ronaldo	Zaid, el niño refugiado conoció a su ídolo Cristiano Ronaldo El pequeño Zaid Abdul, hijo de Osama el refugiado sirio que conmovió a miles de personas tras ser agredido por la periodista húngara Petra Laszlo, cumplió este viernes su sueño de conocer a su ídolo Cristiano Ronaldo. La familia podrá observar el duelo del sábado frente al Granada desde el palco. Así vivieron Uosama, Zied y Mohammad, un símbolo de los refugiados sirios, su sueño madridista ?⚽ #HalaMadrid https://t.co/hqx5U80on5 — Real Madrid C. F. (@realmadrid) septiembre 18, 2015 
Niño refugiado completa su sueño con Real Madrid y Cristiano Ronaldo - Soy502	https://www.soy502.com/articulo/nino-refugiado-completa-sueno-real-madrid-cristiano-ronaldo	2015-09-19	Niño refugiado completa su sueño con Real Madrid y Cristiano Ronaldo	Zaid Abdul, el niño refugiado sirio, completó su sueño tras varias jornadas llenas de sorpresas tras su llegada a España, y saltó al césped del Santiago Bernabéu vestido con la equipación del Real Madrid junto a Cristiano Ronaldo antes del partido que enfrenta al cuadro blanco y al Granada. En todo momento, el futbolista luso estuvo pendiente del niño sirio, que el día anterior visitó, junto a su padre Osama Abdul Mohsen y su hermano Mohammad, a su ídolo y al resto de la plantilla madridista en el Ciudad Deportiva del club blanco. También, el pasado jueves, conoció al presidente Florentino Pérez y visitó el mismo estadio que hoy es escenario de la cuarta jornada de la Liga que disputan Real Madrid y Granada. 
Mueren 12 migrantes por nuevo naufragio en Turquía - Prensa Libre	https://www.prensalibre.com/internacional/mueren-12-migrantes-por-nuevo-naufragio-en-turquia/	2015-10-17	Mueren 12 migrantes por nuevo naufragio en Turquía	Mueren 12 migrantes por nuevo naufragio en Turquía Los miles de migrantes que vienen hacia Europa por Grecia, Macedonia y Serbia siguen afrontando peligro de muerte. Los socorristas lograron rescatar a 25 pasajeros del barco, que pidieron ayuda con sus teléfonos móviles. Once personas que iban en el mismo bote fueron rescatadas y los socorristas buscaban a un niño desaparecido. 
Centroamérica vive crisis de refugiados a causa de la violencia, advierte ACNUR - Prensa Libre	https://www.prensalibre.com/guatemala/migrantes/centroamerica-vive-crisis-de-refugiados-a-causa-de-la-violencia-advierte-acnur/	2015-10-28	Centroamérica vive crisis de refugiados a causa de la violencia, advierte ACNUR	Entre sus recomendaciones, la ACNUR señaló que los países deben “evitar utilizar la detención como forma de contener el fenómeno”, en una sesgada referencia a la política adoptada por Estados Unidos en su frontera sur. Para redactar el documento “Mujeres en fuga” la ACNUR entrevistó a 160 mujeres de El Salvador, Honduras, Guatemala y México que lograron hallar refugio en Estados Unidos o a quienes le fue reconocida la necesidad de protección. Aumentar la protección Para Victoria Rietig, analista del Migration Policy Institute (MPI), el escenario trazado por el informe de ACNUR muestra “una crisis que se ha estado construyendo durante ya varios años”. 
Gustavo Alejos asegura que estuvo refugiado en su vivienda - Soy502	https://www.soy502.com/articulo/gustavo-alejos-asegura-siempre-estuvo-refugiado-vivienda	2015-12-28	Gustavo Alejos asegura que estuvo refugiado en su vivienda	Gustavo Alejos, quien también fungió como secretario privado del ex presidente Álvaro Colom, declaró que el día del operativo acudió al gimnasio por la mañana y al regresar a su residencia observó la presencia de periodistas y policías, por lo que decidió retirarse. En otra parte de su declaración expresó: “no me entregué antes porque tenía que dejar arregladas mis cosas económicas”. Mientras, el abogado defensor indicó que fueron los padres de Gustavo Alejos quienes lo contrataron para litigar a su favor. 
Niño de 2 años, primer migrante muerto ahogado en el mar Egeo en 2016 - Prensa Libre	https://www.prensalibre.com/internacional/nio-de-2-aos-primer-migrante-muerto-ahogado-en-el-mar-egeo-en-2016/	2016-01-03	Niño de 2 años, primer migrante muerto ahogado en el mar Egeo en 2016	Cuando su embarcación falló, se quedaron atrapados en un islote rocoso, no lejos del punto de salida. En las fotografías de la agencia Anatolia puede verse a los migrantes, entre ellos varios niños, pidiendo ayuda desde la diminuta isla. En una entrevista publicada el domingo, Seehofer afirmó que otros miembros de la Unión Europea, países árabes y Estados Unidos deberían asumir más carga en la crisis. 
El invierno agrava penurias de los niños inmigrantes en Europa - Prensa Libre	https://www.prensalibre.com/internacional/el-invierno-agrava-penurias-de-los-nios-inmigrantes-en-europa/	2016-01-19	El invierno agrava penurias de los niños inmigrantes en Europa	Según datos de las autoridades locales, el 37 por ciento de los refugiados que cruzaron Macedonia en diciembre eran niños, un incremento respecto del 23 por ciento registrado en septiembre. Según Unicef, la mayoría de los menores que se encontraban en Serbia tenían edades comprendidas entre los 5 y los 9 años. La situación de estos niños refugiados les hace especialmente vulnerables ante las infecciones respiratorias, los problemas digestivos y las diarreas, según alertó en un comunicado la coordinadora especial para los refugiados de Unicef, Marie-Pierre Poirier. 
Mueren 44 refugiados en nuevos naufragios en el mar Egeo - Prensa Libre	https://www.prensalibre.com/internacional/mueren-21-refugiados-en-2-nuevos-naufragios-en-el-mar-egeo/	2016-01-22	Mueren 44 refugiados en nuevos naufragios en el mar Egeo	Mueren 44 refugiados en nuevos naufragios en el mar Egeo Los guardacostas griegos recuperaron 20 nuevos cuerpos de migrantes ahogados la madrugada del viernes, lo que eleva a 44 muertos –de ellos 20 niños — el balance aún provisional de tres naufragios entre las costas turcas y griegas, según la policía portuaria. Las nuevas víctimas halladas perecieron el naufragar su barco ante el islote de Kalolimnos, lo que causó 34 muertos. La búsqueda prosigue en esas zonas, pues según las 26 personas que pudieron ser rescatadas varias decenas de viajeros se hallaban a bordo. 
Nadadora refugiada siria acapara los focos en la piscina olímpica de Río - La Hora	https://lahora.gt/nadadora-refugiada-siria-acapara-los-focos-la-piscina-olimpica-rio/	2016-08-06	Nadadora refugiada siria acapara los focos en la piscina olímpica de Río	«Estoy trabajando para volver a mi nivel», dijo en un inglés con acento americano casi perfecto. En comparación con aquello, aseguró la nadadora, manejar la presión de competir en los Juegos y atender a la prensa «no es difícil». «Estoy realmente feliz de estar aquí y ver a todos los campeones», dijo. 
