title	link	date	title_corrected	summary
Fuerza de Tarea lista para recibir a niños migrantes - quienopina.com	https://www.quienopina.com/2014/06/fuerza-de-tarea-lista-para-recibir-a-ninos-migrantes/	2014-06-23	Fuerza de Tarea lista para recibir a niños migrantes	Fuerza de Tarea lista para recibir a niños migrantes Tegucigalpa, Honduras. Este miércoles estarán habilitadas las líneas telefónicas gratuitas (1 800-4664- 639 y 2216-0001) para que los familiares aporten datos de niños migrantes. En el recorrido fueron acompañadas por sor Valdet Willeman, quien les detalló las condiciones en que se encuentran las instalaciones del Centro del Migrante Retornado, y explicó por qué San Pedro Sula –y no Tegucigalpa-, es el lugar indicado para recibir a los pequeños. 
Honduras buscará que inmigrantes presos en México tengan acceso a la justicia - quienopina.com	https://www.quienopina.com/2014/10/honduras-buscara-que-inmigrantes-presos-en-mexico-tengan-acceso-a-la-justicia/	2014-10-20	Honduras buscará que inmigrantes presos en México tengan acceso a la justicia	Destacó que la política mexicana de seguridad “se caracteriza porque en aras del combate al crimen organizado se criminaliza a quienes no forman parte de ese crimen organizado”. Herrera enfatizó que si el objetivo de esas medidas “es evitar que más inmigrantes lleguen a la frontera del norte de México, cada vez vamos a tener más migrantes en prisión”. En el mismo comunicado, el director del Centro de Derechos Humanos, Mario Patrón, dijo que no descarta que centenares de hondureños recluidos en prisiones mexicanas estén pasando por “la misma historia” que vivió Colón durante más de cinco años. 
Hondureños amparados al TPS pueden pedir hijos como refugiados - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/pais/779643-214/hondure%C3%B1os-amparados-al-tps-pueden-pedir-hijos-como-refugiados	2014-12-24	Hondureños amparados al TPS pueden pedir hijos como refugiadosDiario El Heraldo	No aplican al programa los hijos de hondureños, guatemaltecos o salvadoreños que residen ilegalmente en territorio estadounidense. Estados Unidos confirmó además en las últimas horas que el programa incluye a personas amparadas al Estatus de Protección Temporal (TPS). Esto quiere decir que los 64 mil compatriotas beneficiarios del programa pueden solicitar a sus hijos en carácter de refugiados. 
Estados Unidos amplía programa de refugiados para niños hondureños - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/pais/793382-214/estados-unidos-ampl%C3%ADa-programa-de-refugiados-para-ni%C3%B1os-hondure%C3%B1os	2015-02-09	Estados Unidos amplía programa de refugiados para niños hondureñosDiario El Heraldo	Dicho programa permite a ciertos padres que se encuentren legalmente en Estados Unidos, solicitar el acceso al Programa de Admisión de Refugiados para sus hijos que aún residen en Honduras, Guatemala o El Salvador. Adicionalmente, se realizará un examen de ADN entre el padre biológico y el menor para confirmar la paternidad. En el 2012, los agentes fronterizos de EE UU detuvieron a 13,625 menores no acompañados. 
Tecnología que ayuda a migrantes a llegar a Estados Unidos - Diez.hn	https://www.diez.hn/otrassecciones/videojuegosytecnologia/794036-99/tecnolog%C3%ADa-que-ayuda-a-migrantes-a-llegar-a-estados-unidos	2015-02-11	Tecnología que ayuda a migrantes a llegar a Estados Unidos	Un portal web localiza las coordenadas de retenes policiales en Estados Unidos mientras una aplicación telefónica canaliza donaciones para indocumentados: las pujantes tecnologías móviles y redes sociales son los nuevos aliados de migrantes de México y Centroamérica en su peligrosa ruta hacia el sueño americano. Otro inmigrante que fue detenido por la Patrulla Fronteriza de Estados Unidos creó la aplicación para teléfonos inteligentes Derechos Herencia, que ofrece información en español e inglés sobre los derechos legales de los migrantes. Pero sus textos no son la única herramienta con que cuentan los migrantes, pues también comparten experiencias y enseñanzas sobre cómo evitar el fraude y la discriminación a través de grabaciones de voz. 
Bajo pago de fianza: EUA permitirá liberación de migrantes detenidos » Criterio.hn - criterio.hn	https://criterio.hn/bajo-pago-de-fianza-eua-permitira-liberacion-de-migrantes-detenidos/	2015-06-25	Bajo pago de fianza: EUA permitirá liberación de migrantes detenidos » Criterio.hn	En un comunicado Johnson informó que las nuevas directrices permitirán la liberación bajo fianza de familias inmigrantes que logren comprobar un «miedo razonable» de que corren peligro en sus países de origen. Con estas nuevas determinaciones, se incluye aumentar el acceso de los inmigrantes a sus abogados, trabajadores sociales, servicios educativos así como el cuidado médico y revisar los casos de las familias detenidas por más de 90 días. El año pasado se detuvo en Estados Unidos a más de 62.000 menores sin acompañante adulto provenientes de Guatemala, El Salvador y Honduras, lo que desató una crisis humanitaria. 
Andy Najar, de niño migrante a figura de Honduras en la Copa Oro - Diez.hn	https://www.diez.hn/laseleccion/854623-99/andy-najar-de-ni%C3%B1o-migrante-a-figura-de-honduras-en-la-copa	2015-07-01	Andy Najar, de niño migrante a figura de Honduras en la Copa Oro	"En el 2012 optó por aceptar la convocatoria para jugar con la selección hondureña, no con Estados Unidos, y el 7 de enero del 2013 fue transferido al Anderlecht, donde es titular. Reconoció que el torneo ""es una bonita oportunidad para mostrarse"" porque ""Honduras nunca ha ganado la Copa Oro. Entonces, tenemos que comenzar desde cero para ganar copas porque también este año comienzan las eliminatorias mundialistas"". "
Campaña Mes del no migrante: Advierten a niños sobre riesgos de irse mojados - Tiempo.hn	https://tiempo.hn/campana-mes-del-no-migrante-advierten-a-ninos-sobre-riesgos-de-irse-mojados/	2015-08-03	Campaña Mes del no migrante: Advierten a niños sobre riesgos de irse mojados	TEGUCIGALPA- La campaña “Mes del No migrante” fue inaugurada para sensibilizar y prevenir a la población escolar sobre los riesgos de emprender una ruta hacia otros países. Este es el segundo año consecutivo en el que se celebra el mes dedicado al “No Migrante” y esta vez el escenario escogido para lanzar la campaña fue la escuela Ramón Rosa de la capital, donde estuvo el ministro de Educación, Marlon Escoto. Del mismo modo, indicó que los departamentos donde más se han reinsertado menores de edad, son: Cortés (283); Francisco Morazán (148); Atlántida (117) y Colón (113). 
Comité Olímpico Internacional destinará dos millones para crisi migratoria - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/zonadeportiva/876343-215/comit%C3%A9-ol%C3%ADmpico-internacional-destinar%C3%A1-dos-millones-para-crisi-migratoria	2015-09-04	Comité Olímpico Internacional destinará dos millones para crisi migratoriaDiario El Heraldo	"Estos fondos serán puestos a disposición de los comités olímpicos nacionales que podrán presentar al COI proyectos ""que debido a la naturaleza de esta crisis se pondrá en funcionamiento rápidamente"", indicó el presidente del COI, Thomas Bach, en un comunicado. El mundo del deporte se está movilizando para hacer frente a la crisis. El club alemán el Bayern Múnich anunció el jueves que donaba un millón de euros para proyectos destinados a los migrantes. "
Crisis migratoria ¿Cómo planea EEUU recibir a 10.000 refugiados sirios? - Tiempo.hn	https://tiempo.hn/crisis-migratoria-planea-eeuu-recibir-10-000-refugiados-sirios/	2015-09-12	Crisis migratoria ¿Cómo planea EEUU recibir a 10.000 refugiados sirios?	Al ordenar que Estados Unidos reciba al menos 10.000 refugiados sirios hasta 2016, el presidente Barack Obama deberá acelerar los procedimientos administrativos que han permitido aceptar a sólo 1.800 sirios desde 2011. La mayoría vive en campamentos en Turquía, Líbano, Jordania, Egipto e Irak, donde son registrados por el Alto Comisionado de la ONU para los Refugiados (Acnur). Luego cada caso es examinado bajo lupa por los ministerios y agencias gubernamentales, como el FBI, el departamento de Seguridad Interior o el Pentágono. 
Centroamérica vive crisis de refugiados a causa de la violencia, advierte ACNUR - Tiempo.hn	https://tiempo.hn/centroamerica-vive-crisis-de-refugiados-a-causa-de-la-violencia-advierte-acnur/	2015-10-28	Centroamérica vive crisis de refugiados a causa de la violencia, advierte ACNUR	Entre sus recomendaciones, la ACNUR señaló que los países deben “evitar utilizar la detención como forma de contener el fenómeno”, en una sesgada referencia a la política adoptada por Estados Unidos en su frontera sur. Para redactar el documento “Mujeres en fuga” la ACNUR entrevistó a 160 mujeres de El Salvador, Honduras, Guatemala y México que lograron hallar refugio en Estados Unidos o a quienes le fue reconocida la necesidad de protección. Aumentar la protección Para Victoria Rietig, analista del Migration Policy Institute (MPI), el escenario trazado por el informe de ACNUR muestra “una crisis que se ha estado construyendo durante ya varios años”. 
Estas ciudades de EEUU reciben a inmigrantes con los brazos abiertos - tiempo.hn	https://tiempo.hn/estas-ciudades-de-eeuu-recibe-a-inmigrantes-con-los-brazos-abiertos/	2015-12-28	Estas ciudades de EEUU reciben a inmigrantes con los brazos abiertos	Pero en muchas ciudades de Estados Unidos, se está desarrollando un escenario muy distinto: los inmigrantes están siendo recibidos con los brazos abiertos. En un esfuerzo por atraer inmigrantes, la ciudad ofrece varias oportunidades para que ellos puedan adaptarse y establecerse financieramente más rápido. “Cuando vives en una cuadra en la que hay cinco casas abandonadas y un inmigrante se traslada a una de ellas, eso es algo bueno”, dijo Chandrasekar. 
¿Cómo solicitar estatus de refugiado en Estados Unidos? - Diario El Heraldo - ElHeraldo.hn	https://www.elheraldo.hn/inicio/920271-465/c%C3%B3mo-solicitar-estatus-de-refugiado-en-estados-unidos	2016-01-18	¿Cómo solicitar estatus de refugiado en Estados Unidos?Diario El Heraldo	Por ejemplo, si su cónyuge es de ese país o tiene un trabajo estable se considera que tiene lazos fuertes. Procedimiento para solicitar el estatus de refugiado: El primer paso es siempre contactar con la Embajada Americana o consulado más cercano. Si finalmente el USCIS otorga el estatus de refugiado, la persona recibirá una visa para entrar y vivir en EEUU. 
Equipos de la Liga Nacional le apuestan a los entrenadores extranjeros - Diez.hn	https://www.diez.hn/futboldeprimera/victoria/922382-99/equipos-de-la-liga-nacional-le-apuestan-a-los-entrenadores-extranjeros	2016-01-23	Equipos de la Liga Nacional le apuestan a los entrenadores extranjeros	Luego en 2013 llegó al país para hacerse cargo del Parrillas One en segunda división y lo ascendió. Al no tener oportunidad, se regresó a la Florida en Estados Unidos para seguir con su vida, trabajando en la construcción, pero siempre entrenando niños. Al no tener oportunidad en primera división, se ha refugiado en la Liga de Ascenso y está a cargo del Deportes Savio. 
Desgarradoras historias de los 10 atletas refugiados que estarán en Río 2016 - Diez.hn	https://www.diez.hn/notodoesfutbol/polideportivo/977407-99/desgarradoras-historias-de-los-10-atletas-refugiados-que-estar%C3%A1n-en-r%C3%ADo-2016	2016-07-06	Desgarradoras historias de los 10 atletas refugiados que estarán en Río 2016	Será un hecho sin precedentes, pues por primera vez, en las olimpiadas participará una delegación compuesta por 10 atletas refugiados de guerra. Conoce el #teamRefugees (el hashtag utilizado para identificar al equipo de refugiados): Rami Anis, 25 años, Siria, natación, 100 metros mariposa Cuando los bombardeos y secuestros en la localidad de Alepo en Siria, comenzaron a ser más frecuentes, su familia lo mandó hacia Estambul en avión para que pudiera vivir con su hermano mayor, quien estaba estudiando turco. Anjelina Nadai Lohalith, 21 años, Sudán del Sur, 1.500 metros Anjelina Nadai Lohalith no ha visto ni ha hablado con sus padres desde que tenía seis años y se vio obligada a huir de su casa en Sudán del Sur. 
El futbolista Xavi Hernández dona su barco para ayudar a refugiados - Diez.hn	https://www.diez.hn/internacionales/barcelona/985613-99/el-futbolista-xavi-hern%C3%A1ndez-dona-su-barco-para-ayudar-a-refugiados	2016-08-01	El futbolista Xavi Hernández dona su barco para ayudar a refugiados	"El futbolista español Xavi Hernández, excentrocampista del Barcelona, donó una embarcación suya a una organización que socorre a refugiados naufragados en el mar Mediterráneo para recaudar fondos para sus misiones, informó este lunes esta entidad. Te puede interesar: Xavi Hernández: ""Para mí no habrá heredero de Leo Messi"" Tras conocer su labor a través de la prensa, el centrocampista del Al Sadd catarí decidió colaborar con la asociación Proactiva Opens Arms, fundada por un socorrista español que lleva meses salvando a refugiados a la deriva cerca de las islas griegas. Te puede interesar: Los cinco grandes candidatos a dirigir el FC Barcelona tras Luis Enrique Antes intentaban entrar a Europa salvando la distancia marítima que separa Turquía de Grecia pero tras el acuerdo entre Ankara y Bruselas para devolver todos los refugiados, el flujo de migración se está desplazando hasta Libia e Italia. "
La increíble historia de Yusra Mardini, atleta siria que salvó a 20 refugiados en altamar - Diez.hn	https://www.diez.hn/internacionales/rio2016/988318-99/la-incre%C3%ADble-historia-de-yusra-mardini-atleta-siria-que-salv%C3%B3-a-20	2016-08-09	La increíble historia de Yusra Mardini, atleta siria que salvó a 20 refugiados en altamar	Contundente, rotundo, cargado de esperanza, así sonó el mensaje que lanzó a los cuatro vientos la nadadora refugiada siria Yusra Mardini, una auténtica heroína, una ganadora, pese a que de su cuello no cuelgue una medalla. Mardini viajaba de Turquía a Grecia en barco cuando su motor falló, así dijo al medio británico The Independent. La joven, quien ahora vive en Berlín, competió en los 100 metros mariposa y en eventos de estilo libre en Río. 
Análisis: Política y crisis migratoria en Honduras, desencuentro lamentable — - confidencialhn.com	https://confidencialhn.com/analisis-politica-y-crisis-migratoria-en-honduras-un-desencuentro-lamentable/	2016-08-11	Análisis: Política y crisis migratoria en Honduras, desencuentro lamentable —	El comentario de la primera dama es muy importante en este sentido ya que la respuesta del gobierno sigue siendo limitada. Los centros vocacionales son típicamente instituciones de enseñanza precarias con un currículo limitado y poca oferta en cuanto a carreras disponibles. El crecimiento dentro del contexto actual es precario, por tanto, explorar aproximaciones innovadoras para aumentar la productividad y la equidad es tema central. 
“Quienes huyen de la violencia en América Central debe ser calificados como refugiados”: Salil Shetty » Criterio.hn - criterio.hn	https://criterio.hn/quienes-huyen-la-violencia-america-central-calificados-refugiados-salil-shetty/	2016-10-16	“Quienes huyen de la violencia en América Central debe ser calificados como refugiados”: Salil Shetty » Criterio.hn	Vemos a familias pobres subiendo sus pertenencias en un camión y huyendo, dejando vacías calles enteras. Por eso, el secretario general de Amnistía Internacional, Salil Shetty, ha viajado a Honduras para la presentación del informe “¿Hogar, dulce hogar? No en vano, Honduras, Guatemala y El Salvador tienen los índices de homicidios más altos del mundo. 
