title	link	date	title_corrected	summary
Boston no deportará a más inmigrantes indocumentados - El Nuevo Diario	https://www.elnuevodiario.com.ni/nacionales/328294-boston-no-deportara-mas-inmigrantes-indocumentados/	2014-08-26	Boston no deportará a más inmigrantes indocumentados	La funcionaria también destacó que, aunque se haya pasado la implementación del Acta de Confianza, a las personas indocumentadas se les pide que tienen que tomar las precauciones necesarias cuando vayan a conducir un vehículo sin licencia de conducir, “ya que si son detenidos por ser reincidentes, los podrían poner a la orden de la Oficina de Inmigración para su respectiva deportación”. “Ojalá podamos resolver eso (la problemática de los niños migrantes) aquí en nuestro país y que nuestros niños no tengan que exponerse a ese sufrimiento y a ese peligro tan grande”, confesó el arzobispo de San Salvador en una conferencia de prensa en la Catedral Metropolitana. Patricia Montes, directora de la organización pro migrante “Centro Presente”. 
Nicaragua es destino para refugiados - El Nuevo Diario	https://www.elnuevodiario.com.ni/nacionales/363263-nicaragua-es-destino-refugiados/	2015-06-26	Nicaragua es destino para refugiados	Aunque no hay datos oficiales sobre la cantidad de centroamericanos que piden refugio o asilo en países del área y en otras latitudes, el Servicio Jesuita para Migrantes reveló que Nicaragua es un país destino para refugiados. “Nicaragua está recibiendo cada vez más peticiones de asilo o refugio, se dice que se han cuadriplicado las solicitudes en lo que hace a salvadoreños y hondureños; entonces hay un flujo hacia Nicaragua, pero es por desplazamiento forzado: son personas con necesidad de protección internacional y que hasta la fecha están encontrando más o menos respuesta en las autoridades nicaragüenses”, apuntó Moisés Gómez, miembro de la Red Jesuita para los Migrantes en El Salvador. Lea Montes Lagos, directora para el Servicio Jesuita para Migrantes (SJM) Nicaragua, indicó que según datos oficiales, 1.2 millones de nicaragüenses han migrado, pero no hay datos sobre los que han pedido refugio. 
Aumentan refugiados salvadoreños en el país - El Nuevo Diario	https://www.elnuevodiario.com.ni/nacionales/369060-aumentan-refugiados-salvadorenos-pais/	2015-08-31	Aumentan refugiados salvadoreños en el país	Según Pelegrín, durante el último año y medio el Servicio ha observado un aumento en las solicitudes de salvadoreños que aspiran a residir en Nicaragua. Sin embargo, el embajador de El Salvador en Nicaragua, Carlos Ascencio, considera que el flujo migratorio entre ambos países se mantiene normal. En realidad el movimiento migratorio entre Centroamérica se mantiene tal cual como ha estado ocurriendo siempre”, asegura el diplomático. 
"Corrupción e impunidad, ""verdaderas causas"" de migración forzada en Honduras - El Nuevo Diario"	https://www.elnuevodiario.com.ni/internacionales/369127-corrupcion-e-impunidad-verdaderas-causas-migracion/	2015-08-31	"Corrupción e impunidad, ""verdaderas causas"" de migración forzada en Honduras"	"No obstante, señaló que todo lo anterior es consecuencia ""de las dos verdaderas causas de (la) emigración forzada: la corrupción e impunidad en todas sus modalidades y niveles"". La organización destacó además que la reunificación familiar ""no es el principal motivo"" por el que los hondureños abandonan su país con la idea de llegar a Estados Unidos. En Honduras ""son millones"" las personas que están ""privadas del derecho a la alimentación, salud, educación, vivienda, propiedad, empleo digno y, el que se ha agravado mucho en los últimos 5 años, derecho a la vida y a la seguridad"", resalta el comunicado. "
Millonario noruego ofrece noches de hotel a refugiados - La Prensa (Nicaragua)	https://www.laprensa.com.ni/2015/09/08/internacionales/1898068-millonario-noruego-ofrece-noches-de-hotel-a-refugiados	2015-09-08	Millonario noruego ofrece noches de hotel a refugiados	El multimillonario noruego Petter Stordalen, que hizo fortuna en el ramo hotelero, ofreció este martes 8 de septiembre 5 mil noches de hotel a refugiados que no hubiesen podido ser alojados en las instalaciones previstas para recibirlos. Lea: ONU: Todos los países, incluidos los latinoamericanos, deben acoger refugiados Noruega recibió en agosto a 2,313 solicitantes de asilo, principalmente de Siria, Eritrea y Afganistán. Se trata del número de demandas mensual más elevado desde los años 90. 
Hungría arresta a 519 refugiados desde el cierre de la frontera - La Prensa (Nicaragua)	https://www.laprensa.com.ni/2015/09/16/internacionales/1902569-hungria-arresta-a-519-refugiados-desde-el-cierre-de-la-frontera	2015-09-16	Hungría arresta a 519 refugiados desde el cierre de la frontera	La Policía húngara informó este miércoles 16 de septiembre de que ha tomado «diferentes medidas» contra 519 refugiados por haber cruzado ilegalmente la frontera desde la medianoche del lunes al martes, cuando cerró su línea divisoria con Serbia y comenzó a aplicar la ley que penaliza con cárcel la entrada irregular en el país. En las últimas 16 horas 94 refugiados han presentado ante las autoridades húngaras solicitudes de asilo, entre ellos sirios, afganos, somalís y 13 menores. Hasta el momento ninguno ha recibido ese estatus, mientras que en 18 casos se han rechazado las peticiones y los solicitantes serán expulsados a Serbia. 
Familia de refugiados sirios pudo conocer a su ídolo Cristiano Ronaldo - El Nuevo Diario	https://www.elnuevodiario.com.ni/elalacran/370882-familia-refugiados-sirios-pudo-conocer-su-idolo-cr/	2015-09-18	Familia de refugiados sirios pudo conocer a su ídolo Cristiano Ronaldo	"El jueves habían sido invitados al estadio Santiago Bernabéu para ver el museo del club blanco y esta vez la familia pudo fotografiarse con los jugadores, especialmente con CR7, al que verán jugar el sábado ante el Granada desde el palco del coliseo blanco. ""El padre de esta familia siria, que fue zancadilleada por una periodista húngara, y sus hijos saludaron a (Rafael) Benítez, al cuerpo técnico y a la plantilla minutos antes de la última sesión previa al partido ante el Granada. El pequeño Zied conoció así a su ídolo, Cristiano Ronaldo"", señaló el Real Madrid en su página web, donde publicó imágenes del encuentro, en el que el pequeño Zied viste la equipación del equipo diez veces campeón de Europa. "
El migrante sufre de una “triple exclusión” - El Nuevo Diario	https://www.elnuevodiario.com.ni/nacionales/373374-migrante-sufre-triple-exclusion/	2015-10-13	El migrante sufre de una “triple exclusión”	El gobierno mexicano ha creado las fiscalías especializadas en delitos contra migrantes, ¿qué tan efectivas han sido? Está siendo expulsado por la exclusión, ahí hay un fracaso puntual y contundente del Estado origen. Luego, cuando ya llega al país que lo recibe, sea en forma o no documentada, el migrante va a sufrir la otra exclusión. 
Aziza, la niña que lleva la escuela a los niños refugiados afganos - El Nuevo Diario	https://www.elnuevodiario.com.ni/especiales/376155-aziza-nina-que-lleva-escuela-ninos-refugiados-afga/	2015-11-07	Aziza, la niña que lleva la escuela a los niños refugiados afganos	"Además, ha recurrido al arte del circo para hacer llegar la escuela a los pequeños y ayuda a que los refugiados puedan ejercer sus derechos en educación, salud y hasta la vida diaria. ""Puedo sentir el dolor de todos los pobres niños refugiados, porque yo misma soy una refugiada y no tuve acceso a una educación regular durante años"", confesó a Efe en el campo en que vive en la capital afgana. Hamid, uno de los responsables de la organización internacional Mini-Circo Móvil para Niños (MMCC, en inglés), vio cómo junto con esa organización y su socio local, el Circo Educacional para Niños Afganos (AECC), Aziza usaba las risas y las habilidades circenses para enseñar asignaturas a los más pequeños. "
Alabama y Michigan se rehúsan a recibir refugiados sirios tras atentados en París - El Nuevo Diario	https://www.elnuevodiario.com.ni/internacionales/377050-alabama-michigan-se-rehusan-recibir-refugiados-sir/	2015-11-16	Alabama y Michigan se rehúsan a recibir refugiados sirios tras atentados en París	"En un comunicado citado el domingo por los medios, Snyder dijo haber dado directivas para suspender ""nuestros esfuerzos que pretendían aceptar a nuevos refugiados, hasta que el departamento estadounidense de Seguridad interior termine con una revisión completa de las medidas de seguridad"". Según el principal diario de Michigan, el Detroit Free Press, entre 1.800 y 2.000 refugiados han sido reinstalados en este Estado durante el año en curso, entre ellos unos 200 sirios. ""No podemos cerrar nuestras puertas a estas personas"", dijo el domingo a la cadena Fox News el consejero nacional adjunto para asuntos de seguridad del presidente Barack Obama, Ben Rhodes. "
