title	link	date	title_corrected	summary
Los chorrilleros, refugiados en su propio país - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/141221/pais-propio-refugiados-chorrilleros	2014-12-21	Los chorrilleros, refugiados en su propio país	Simplemente llegaron de El Chorrillo buscando alejarse del área cercana al atacado Cuartel Central. María Berta Alonso pasó varios meses en Balboa, en una carpa improvisada con rollos de tela. Aunque los refugiados recibían tres raciones al día, su sabor dejaba mucho que desear. 
Onpar niega otorgarle estatus de 'refugiada' a María del Pilar Hurtado - prensa.com	https://www.prensa.com/politica/Onpar-otorgarle-Maria-Pilar-Hurtado_0_4117088458.html	2015-01-12	Onpar niega otorgarle estatus de 'refugiada' a María del Pilar Hurtado	Onpar comunicó su decisión al Servicio Nacional de Migración que dirige Javier Carrillo. En julio de 2014 la Corte Suprema de Justicia, revocó el asilo territorial que había sido otorgado a Hurtado en diciembre de 2010, época en que el país era gobernado por el entonces presidente Ricardo Martinelli, y por Juan Carlos Varela como vicepresidente y canciller. En agosto pasado, Panamá negó la solicitud de extradición argumentando que “las leyes panameñas y los convenios internacionales impiden conceder la extradición que ha sido negada anteriormente con los mismos fundamentos y respecto a la misma persona”. 
En Panamá hay 2,237 refugiados - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/150120/2-hay-237-panama-refugiados	2015-01-20	En Panamá hay 2,237 refugiados	Según el ministro de Gobierno, Milton Henríquez, el acuerdo con estas entidades ayudará a fortalecer la labor del gobierno de ‘atender (a los refugiados) en todas sus dimensiones: seguridad física, emocionales y carencias materiales’. Ayer también, Panamá suscribió un memorando de entendimiento con el Consejo Noruego para Refugiados. Estos acuerdos, explicó la viceministra María Luisa Romero, se ejecutarán en temas psicosocial y capacitaciones a los funcionarios de la Oficina Nacional para la Atención de Refugiados. 
ACNUR y Totto presentan campaña en favor de niños desplazados de América - La Prensa	https://www.prensa.com/buena_noticia/ACNUR-Totto-presentan-desplazados-America_0_4228827316.html	2015-06-10	ACNUR y Totto presentan campaña en favor de niños desplazados de América	La iniciativa tiene como protagonista un maletín o mochila gigante fabricado por Totto que viajará por 10 países de América llevando en su interior regalos y mensajes de apoyo para menores refugiados o desplazados enviados por otros niños ajenos a estas situaciones. En la mochila viajarán además obsequios de personajes públicos como el futbolista James Rodríguez, el cantante Juanes o la campeona olímpica de bicicross Mariana Pajón. El viaje comenzará en Colombia el próximo 20 de junio, cuando se celebra el Día Mundial del Refugiado. 
El drama de los refugiados - La Prensa	https://www.prensa.com/opinion/drama-refugiados_0_4291820852.html	2015-09-01	El drama de los refugiados	El mandatario aludía a la redistribución entre los 28 Estados de 40 mil refugiados arribados a Grecia e Italia que la Comisión Europea propuso en mayo y que los Estados aceptaron –solo parcialmente– el pasado julio, con fuertes críticas de España y el este europeo. Polonia, el país más pujante del grupo, ha sido el principal promotor de este encuentro, explican otras fuentes. Pese a las reticencias expresadas desde un primer momento al mecanismo de cuotas, la primera ministra polaca, Ewa Kopacz, adoptó un tono mucho más conciliador respecto al esquema de Bruselas. 
Papa: El Vaticano dará refugio a dos familias de migrantes - La Prensa de Panamá	https://www.prensa.com/mundo/Papa-Vaticano-refugio-familias-migrantes_0_4294820604.html	2015-09-06	Papa: El Vaticano dará refugio a dos familias de migrantes	"""Cada parroquia, cada comunidad religiosa, cada monasterio, cada santuario en Europa acogerá una familia, empezando por mi diócesis de Roma"", dijo Francisco. Un cardenal italiano calculó que las parroquias en este país predominantemente católico podrían alojar prácticamente a todos esos migrantes. ""Espero que este deseo se vuelva realidad"", declaró el cardenal Angelo Bagnasco al programa televisivo de asuntos católicos TV2000. "
Panamá está dispuesto a recibir refugiados sirios - La Estrella de Panamá	https://www.laestrella.com.pa/nacional/150908/panama-sirios-recibir-dispuesto-refugiados	2015-09-08	Panamá está dispuesto a recibir refugiados sirios	"De acuerdo con el mandatario, la cancillería panameña se pondrá en contacto con las Naciones Unidas para tratar este asunto y acoger a migrantes y ""ayudar en todo lo que podamos"". Más de 380,000 migrantes y refugiados han llegado a Europa por el Mediterráneo desde enero de 2015 y 2,850 murieron en la travesía o fueron reportados como desaparecidos, informó este martes Acnur. Tan sólo en Grecia 30,000 refugiados se encuentran repartidos en varias islas del mar Egeo. "
"Panamá recibirá refugiados sirios ""si se lo piden"" - Día a día"	https://www.diaadia.com.pa/el-pais/panama-recibira-refugiados-sirios-si-se-lo-piden-638422	2015-09-08	"Panamá recibirá refugiados sirios ""si se lo piden"""	"El Gobierno de Panamá está dispuesto a recibir refugiados sirios, ""si se lo piden"", dijo hoy el presidente del país, Juan Carlos Varela. Argentina, Brasil, Chile, Venezuela, Paraguay y Uruguay son algunos de los países latinoamericanos que se han solidarizado con el drama de los refugiados y se han ofrecido abiertamente a acogerles. Son muchos los organismos internacionales que en los últimos días han hecho llamamientos a la solidaridad, entre ellos la Organización de Estados Americanos (OEA) cuyo secretario general, el uruguayo Luis Almagro, le pidió hoy América Latina asilar familias sirias. "
Panamá evalúa costos y capacidades para recibir a refugiados - Crítica	https://www.critica.com.pa/nacional/panama-evalua-costos-y-capacidades-para-recibir-refugiados-405305	2015-09-09	Panamá evalúa costos y capacidades para recibir a refugiados	"Argentina, Brasil, Chile, Venezuela, Paraguay y Uruguay son algunos de los países latinoamericanos que se han solidarizado con el drama de los refugiados y se han ofrecido abiertamente a acogerles. Como bien manifestó el presidente Juan Carlos Varela, Panamá con mucho gusto valorará todas las posibilidades para apoyar a aquellas personas que buscan mejores días"", apuntó la directora general de Cooperación Internacional panameña, Sandra Lombardo, en una declaración pública. Desde que estalló la crisis de los refugiados, son muchos los organismos internacionales que en los últimos días han hecho llamamientos a la solidaridad, entre ellos la ONU, la Organización de Estados Americanos (OEA) y el propio papa Francisco. "
Panamá se alista para recibir a refugiados sirios - La Prensa	https://www.prensa.com/politica/Cancilleria-inicia-reuniones-tema-refugiados_0_4297070466.html	2015-09-09	Panamá se alista para recibir a refugiados sirios	Por su parte, Juan Carlos Araúz, vicepresidente del Colegio Nacional de Abogados, manifestó que “cuando un país conoce su lugar en la comunidad internacional, la solidaridad para disminuir la agonía de seres humanos en riesgo se refleja en propuestas como la del Gobierno nacional”. Por ejemplo, el canciller interino de Paraguay, Oscar Cabello Sarubbi, dijo que su gobierno “está abierto a recibir refugiados, pero en cantidades razonables, que el país pueda realmente admitir”. Chile, por su parte anunció que otorgaría refugio a unas 50 familias sirias. 
