title	link	date	title_corrected	summary
Tumbes: Desarticulan banda de traficantes de migrantes y detienen a 17 extranjeros ilegales - Diario Correo	https://diariocorreo.pe/edicion/tumbes/tumbes-desarticulan-banda-de-traficantes-de-migrantes-y-detienen-a-17-extranjeros-ilegales-587562/	2015-05-15	Tumbes: Desarticulan banda de traficantes de migrantes y detienen a 17 extranjeros ilegales	Tras intervenir en el lugar se encontró a los 17 extranjeros escondidos en diferentes ambientes de madera. Traficantes e ilegales fueron trasladados a la comisaría de Villa San Isidro para las investigaciones del caso. Fuentes policiales dieron cuenta que los ilegales tenían como destino final Brasil, para ello su primera consigna era llegar a Lima pagando 220 dólares cada uno. 
La isla de Lesbos, “a punto de explosionar“ por la presencia de 15.000 refugiados - Diario Correo	https://diariocorreo.pe/mundo/la-isla-de-lesbos-a-punto-de-explosionar-por-la-presencia-de-15-000-refugiados-615908/	2015-09-07	La isla de Lesbos, “a punto de explosionar“ por la presencia de 15.000 refugiados	"""La situación está realmente a punto de explotar en la isla"" de 85.000 habitantes, convertida en una de las primeras etapas del periplo europeo de decenas de miles de refugiados y migrantes de Oriente Medio y África que huyen de los conflictos y la pobreza , dijo el ministro a la radio To Vima. Lesbos, igual que Kos, también en el Egeo, se han convertido en el punto de entrada a Europa de refugiados que huyen a través de Turquía de los conflictos armados en Oriente Medio y África. La mayoría de ellos quieren continuar su viaje hacia el norte de Europa, hacia países como Alemania, a través de los Balcanes, en la crisis migratoria más grave desde la Segunda Guerra Mundial. "
Impresionante migración anual de 120 millones de cangrejos rojos (Fotos) - Crónica Viva	http://www.cronicaviva.com.pe/impresionante-migracion-anual-de-120-millones-de-cangrejos-rojos-fotos/	2015-12-16	Impresionante migración anual de 120 millones de cangrejos rojos (Fotos)	Increíbles imágenes captan la curiosa migración anual del cangrejo rojo de Isla Navidad en Australia, un espectáculo impresionante que ocurre normalmente en octubre pero que en este año comenzó un poco tarde. Esta migración es mundialmente conocida por los turistas y lugareños que acuden a ver cómo los cangrejos parten para poner sus huevos cerca del océano Pacífico. Tristemente los cangrejos rojos son frecuentemente aplastados por los vehículos, y a veces causan accidentes debido a sus exoesqueletos duros que son capaces de perforar los neumáticos. 
Unicef advierte por delicada salud de los niños refugiados - Crónica Viva	http://www.cronicaviva.com.pe/unicef-advierte-por-delicado-estado-salud-de-los-ninos-refugiados/	2016-01-19	Unicef advierte por delicada salud de los niños refugiados	Según datos de las autoridades locales, el 37 por ciento de los refugiados que cruzaron Macedonia en diciembre eran niños, un incremento respecto del 23 por ciento registrado en septiembre. Según Unicef, la mayoría de los menores que se encontraban en Serbia tenían edades comprendidas entre los 5 y los 9 años. La situación de estos niños refugiados les hace especialmente vulnerables ante las infecciones respiratorias, los problemas digestivos y las diarreas, según alertó en un comunicado la coordinadora especial para los refugiados de Unicef, Marie-Pierre Poirier. 
Así lucharon los refugiados cuando se volcó barco en el Mediterráneo (FOTOS) - Diario Correo	https://diariocorreo.pe/mundo/asi-lucharon-los-refugiados-cuando-se-volco-barco-en-el-mediterraneo-fotos-674768/	2016-05-25	Así lucharon los refugiados cuando se volcó barco en el Mediterráneo (FOTOS)	Al menos cinco migrantes murieron después que el barco pesquero en que viajaban más de 6 mil refugiados se hundiera frente a la costa de Libia en el mar Mediterráneo, según Daily Mail. Las siguientes imágenes muestra el impactante momento cuando el barco se vuelca lentamente en el mar Mediterráneo y los refugiados comienzan a sumergirse a luchar por sus vidas. *Foto: AFP/ Momento en que el barco se hunde frente a la costa de Libia. 
Libia: Naufragó embarcación con más de 500 refugiados ilegales - Crónica Viva	http://www.cronicaviva.com.pe/libia-naufrago-embarcacion-con-mas-de-500-refugiados-ilegales/	2016-05-25	Libia: Naufragó embarcación con más de 500 refugiados ilegales	TRÍPOLI.- El sobrepeso provocó que un barco que trasportaba más de 500 refugiados, se inclinase de lado provocando que los pasajeros comenzaran a caer al mar, ante lo cual intervino un guardacostas italianos para rescatarlos, aunque siete perecieron ahogados. Los marinos italianos arrojaron al agua chalecos y botes salvavidas para rescatar a los náufragos, evitando de esta manera una tragedia , como las registradas en situaciones similares en las naves que transportan refugiados ilegales. Un helicóptero también fue enviado a la zona para asistir en las tareas de rescate Las autoridades confirmaron que al menos cinco personas murieron, pero la cifra podría aumentar mientras continúan las tareas de rescate. 
Horror en Libia: Mar vara cadáveres de 85 migrantes náufragos - Crónica Viva	http://www.cronicaviva.com.pe/horror-en-libia-mar-vara-los-cadaveres-de-85-migrantes-naufragos/	2016-06-02	Horror en Libia: Mar vara cadáveres de 85 migrantes náufragos	None 
Médicos Sin Fronteras renuncia a fondo UE en por política migratoria - Crónica Viva	http://www.cronicaviva.com.pe/medicos-sin-fronteras-renuncia-a-fondo-de-ue-en-rechazo-a-politica-migratoria/	2016-06-17	Médicos Sin Fronteras renuncia a fondo UE en por política migratoria	Entre esos afectados, señala, hay más de 8,000 personas, entre ellas cientos de menores no acompañados, “atrapadas en las islas griegas, donde han estado viviendo en condiciones extremas, en campos superpoblados, a veces durante meses”. Para el secretario general internacional de la ONG, Jérôme Oberreit, el pacto entre la UE y Turquía “pone en peligro el mismo concepto de refugiado y la protección que este ofrece a las personas en peligro”. “MSF lleva meses denunciando la vergonzosa respuesta europea, centrada en disuadir a estas personas en lugar de proporcionarles la asistencia y la protección que necesitan”, dice en la nota Oberreit. 
Los otros refugiados: víctimas del chavismo se afincan en Perú - El Comercio	https://elcomercio.pe/sociedad/lima/otros-refugiados-victimas-chavismo-se-afincan-peru-noticia-1917274/	2016-07-16	Los otros refugiados: víctimas del chavismo se afincan en Perú	El da que no encontr comida en ningn mercado de Caracas sac todos sus ahorros y compr un boleto areo hacia Lima sin retorno. Se embarc con su esposo Eleazar, sus nueve maletas, su perro y con ese acento meldico de los venezolanos que hasta hoy, dos aos despus, nadie le quita. (Nancy Chapell / El Comercio) El salario mnimo en Venezuela es el segundo peor en Amrica Latina, solo superado por el de Cuba: US$25 al mes, lo que un limeo puede gastar en un restaurante. 
Arica: PDI detuvo a 3 ciudadanos peruanos en la frontera por tráfico de migrantes - Diario Correo	https://diariocorreo.pe/edicion/tacna/arica-pdi-detuvo-a-3-ciudadanos-peruanos-en-la-frontera-por-trafico-de-migrantes-694028/	2016-08-26	Arica: PDI detuvo a 3 ciudadanos peruanos en la frontera por tráfico de migrantes	"En horas de la madrugada, mientras Oficiales del Departamento de Extranjería y Policía Internacional, fiscalizaba los estacionamientos del complejo fronterizo Chacalluta, sorprendió a los dominicanos con una actitud sospechosa. Tras solicitarles sus pasaportes, detectaron que estos no contaban con los sellos de entrada correspondientes, otorgados por la Policía de Investigaciones, al instante la pareja de extranjeros manifestó a los oficiales que tres personas peruanas les facilitaron el ingreso al país cobrándoles 200 dólares. “Gracias a la oportuna y eficaz trabajo de esta Unidad Policial se logró detener y neutralizar la conducta ilícita de los imputados, poniendo terminó al accionar delictual de estas organizaciones criminales que con el ánimo de lucro, facilitan y promueven la entrada ilegal de extranjeros al país"", enfatizó el Jefe del Departamento de Extranjería y Policial Internacional Arica, Comisario Víctor Allende Fernández. "
