title	link	date	title_corrected	summary
Repatriados cuerpos de migrantes asesinados en Tamaulipas - El Faro (El Salvador)	https://elfaro.net/es/201009/noticias/2527/Repatriados-cuerpos-de-migrantes-asesinados-en-Tamaulipas.htm	2010-09-24	Repatriados cuerpos de migrantes asesinados en Tamaulipas	"Los cadáveres de dos jóvenes salvadoreños que figuraron entre los 72 migrantes latinoamericanos masacrados en México, llegaron el viernes al país y fueron entregados a sus familiares para darles sepultura. Carrozas fúnebres, contratadas por el gobierno, se desplazaron hacia Pasaquina, para que sus familiares velaran sus restos y para su posterior sepultura. De acuerdo con la organización privada Carecen Internacional y del gobierno, todos los días entre 400 y 500 salvadoreños dejan el país en viaje hacia Estados Unidos en busca del ""sueño americano"". "
¿Se integran los migrantes? - ElFaro.net - El Faro (El Salvador)	https://elfaro.net/es/201106/opinion/4498/%C2%BFSe-integran-los-migrantes.htm	2011-06-20	¿Se integran los migrantes?ElFaro.net	Recién llegados los migrantes enfrentan barreras naturales en varios campos (idioma, empleo, status legal, exclusión social, etc.). Los migrantes hispanos entienden el valor de esos conceptos, y por tanto, ellos pesan en su evolución cultural. Varias conclusiones son importantes para nosotros del análisis anterior y de los datos que presenta Jiménez en su estudio. 
Más de 52000 refugiados debido a las lluvias - El Faro (El Salvador)	https://www.elfaro.net/es/201110/noticias/6323/	2011-10-19	Más de 52000 refugiados debido a las lluvias	"""No hay que confiarse, este será un día muy complicado"", advirtió el ministro del Ambiente, Herman Rosa Chávez. Aunque las lluvias fueron mínimas el martes, desde la madrugada de este miércoles las precipitaciones se incrementaron, con intensidad mayor en Ahuachapán, donde el río Paz volvió a desbordarse. Los 16,000 adicionales que se cuentan este miércoles aproximaron la cifra a la población total del municipio de San Martín. "
72 migrantes, 72 víctimas, 72 escritores y 72 historias para no olvidar - El Faro (El Salvador)	https://elfaro.net/es/201112/el_agora/6832/	2011-12-12	72 migrantes, 72 víctimas, 72 escritores y 72 historias para no olvidar	En este sitio y en este libro, que se erigen como armas contra el olvido, se pueden leer las historias de los 72 seres humanos que perdieron la vida de manera tan anónima. Todos los estilos y géneros se conjuntan para hacer una crónica colectiva. Para que estas víctimas no se quedaran solo como cifras para las estadísticas, un grupo de escritores -entre los que figuran periodistas, poetas y narradores- fueron convocados por la cronista Alma Guillermoprieto para darles existencia y memoria. 
La empresa de El Chapo también secuestra migrantes - El Faro (El Salvador)	https://elfaro.net/es/201402/noticias/14886/La-empresa-de-El-Chapo-tambi%C3%A9n-secuestra-migrantes.htm	2014-02-26	La empresa de El Chapo también secuestra migrantes	A algunos de los migrantes les habían destrozado los tobillos en una muy cruel lección para el que pretende caminar un desierto. Los migrantes llaman la atención de la Patrulla Fronteriza y eso genera pérdidas al narco. Esa mafia cavernícola que descuartiza y secuestra masivamente bajo el sol del mediodía y en pleno centro de los pueblos opaca a las otras mafias en el rubro de joderle la vida a los indocumentados que cruzan México. 
Historias de tres familias transnacionales con madres migrantes - El Faro (El Salvador)	https://elfaro.net/es/201406/academico/15577/Historias-de-tres-familias-transnacionales-con-madres-migrantes.htm	2014-06-24	Historias de tres familias transnacionales con madres migrantes	A Lydia la asaltaron en el camino, luego vivió duros momentos de pobreza en los primeros años cuando todo su dinero iba para pagar la deuda del coyote. 3 Pero también hay muchos casos en los que las familias logran evitar el rencor y aprenden a apreciar los esfuerzos de las madres. Los casos presentados aparacen en su libro Sacrificing Families: Navigating Laws, Labor, and Love Across Borders, Stanford University Press, 2014, que se puede adquirir en este enlace. 
Hablan Marco y Pedro, niños migrantes centroamericanos - El Faro (El Salvador)	https://www.elfaro.net/es/201407/internacionales/15742/Hablan-Marco-y-Pedro-ni%C3%B1os-migrantes-centroamericanos.htm	2014-07-25	Hablan Marco y Pedro, niños migrantes centroamericanos	Días después iba con un grupo cruzando en una lancha hacia México, caminando por horas, atento a las serpientes, durmiendo en almacenes y pasando hambre. Ese viaje o uno similar lo han hecho al menos 57,000 niños desde octubre para llegar a la frontera estadounidense, lo que ha generado una crisis migratoria en la región. Antes de partir, Marco había llamado a su madre, Rosa, para pedirle dinero por unos zapatos, pero no le contó más. 
Acuerdan impedir a los migrantes subirse a la Bestia - El Faro (El Salvador)	https://www.elfaro.net/es/201407/internacionales/15780/Acuerdan-impedir-a-los-migrantes-subirse-a-la-Bestia.htm	2014-07-31	Acuerdan impedir a los migrantes subirse a la Bestia	Autoridades de Guatemala, México y Estados Unidos acordaron impedir que migrantes aborden el tren 'La Bestia' en territorio mexicano en la peligrosa travesía a suelo estadounidense, informó este miércoles una fuente oficial guatemalteca. Esto es un acuerdo al que llegaron los presidente de Guatemala (Otto Pérez) y México (Enrique Peña Nieto), junto con el vicepresidente de Estados Unidos (Joe Biden), dijo a periodistas la secretaria ejecutiva del estatal Consejo Nacional de Atención al Migrante (Conamigua), Alejandra Gordillo. Los tres llegaron a unos compromisos en cuanto el tema de seguridad, aseveró la funcionaria, sin precisar la fecha en que alcanzaron estos acuerdos. 
El Salvador de los desplazados de Madreselva - Sala Negra - El Faro (El Salvador)	https://salanegra.elfaro.net/es/201504/cronicas/16836/El-Salvador-de-los-desplazados-de-Madreselva.htm	2015-04-13	El Salvador de los desplazados de MadreselvaSala Negra	El CAM, solidario, accedió a prestarles la glorieta del parque principal de la zona para que durmieran ahí una sola noche. En una semana caótica, una familia decide refugiarse en un parque ubicado en una colonia de ricos para decirnos lo mal que la estamos pasando todos. En Madreselva, el martes 7, la Policía Nacional Civil ofreció a la familia patrullajes de seguridad para garantizar su integridad física esa noche y la madrugada del día siguiente, pero la diputada sugiere que la familia desplazada rechazó la ayuda de la PNC para seguirle el juego a Arena. 
"""En Costa Rica existe mucho racismo y xenofobia contra nuestros vecinos"" - El Faro (El Salvador)"	https://www.elfaro.net/es/201505/el_agora/16753/En-Costa-Rica-existe-mucho-racismo-y-xenofobia-contra-nuestros-vecinos.htm	2015-05-03	"""En Costa Rica existe mucho racismo y xenofobia contra nuestros vecinos"""	Don Chepe, como él mismo menciona, investiga todo “extraoficialmente”, en parte porque los medios oficiales de justicia han fallado o se muestran desinteresados en los casos. Si algo pasa en el pueblo de La Florida o Lagarto, Guanacaste (lugares históricamente muy rurales y pobres), pues buena suerte tengan llamando a la policía. Estuvo Fredric Jameson por ahí y otros que se describirían como marxistas o posmarxistas (al mundo académico le sigue encantando esto de los “pos”). 
