title	link	date	title_corrected	summary
DNI Argentina extranjeros cambio de identidad - El Diario	http://eldiario.com.uy/2013/01/02/extranjeros-que-viven-en-argentina-podran-cambiar-sexo-en-dni/	2013-01-02	DNI Argentina extranjeros cambio de identidad	Los extranjeros que habitan en Argentina podrán modificar su identidad sexual en su documento nacional de identidad (DNI), destacó EFE. Para cambiar su identidad en el DNI la persona tendrá que acreditar que la modificación no es realizable en su país de origen. Los extranjeros no podrán utilizar el nuevo documento para entrar o salir de Argentina, sino que tendrán que identificarse con otro documento hábil de viaje de acuerdo a su nacionalidad. 
Uruguay ya alberga refugiados de 23 países: más de la mitad, colombianos - LaRed21	https://www.lr21.com.uy/comunidad/1095528-uruguay-ya-alberga-refugiados-de-23-paises-mas-de-la-mitad-colombianos	2013-03-29	Uruguay ya alberga refugiados de 23 países: más de la mitad, colombianos	La Agencia apoya a los que llegan en su proceso de inserción, e incluye desde refugio para mujeres en riesgo, hasta reasentamiento de familias en medios rurales similares a las condiciones de donde proceden, señaló Cortina en declaraciones a radio Uruguay, del SODRE. Te recomendamos Obaldía dijo que Páez Vilaró hizo Casapueblo sin un aporte y le responden que lo regularizaron en 1980 La directora de Cultura de la Intendencia de Montevideo, María Inés Obaldía, expresó que Carlos Páez Vilaró construyó Casapueblo “sin un solo aporte y sin un solo plano”. Los hijos del artista respondieron que regularizaron la... Compartí tu opinión con toda la comunidad 
Cambio climático cambia conducta de aves migratorias que vuelan cada vez menos - LaRed21	https://www.lr21.com.uy/tecnologia/1097446-cambio-climatico-cambia-conducta-de-aves-migratorias-que-vuelan-cada-vez-menos	2013-04-09	Cambio climático cambia conducta de aves migratorias que vuelan cada vez menos	Por millones los animales se quedan cada vez más en Europa y no solamente por uno o dos grados más de temperatura: se da el caso de centenares detectadas que una vez llegadas al África, descubren que los lares donde moraban han sido devastados por la sequía, los incendios, y las hambrunas, y emprenden el regreso al norte, donde pocas llegan. Las “cigüeñas negras” han dejado de migrar a países como Malí o Níger, y prefieren mantenerse por miles en Extremadura y Andalucía, a mitad de camino rumbo al sur. Las grullas de Alemania hacen otro tanto, y ya no cruzan el Mediterráneo, sino que se asolean en tierras del sur español, donde compiten por el habitat con otras especies autóctonas. 
Aves dejan de migrar al sur en Europa pero multiplican los viajes en América - LaRed21	https://www.lr21.com.uy/ecologia/1138786-aves-migrar-sur-europa-america	2013-10-29	Aves dejan de migrar al sur en Europa pero multiplican los viajes en América	Aves dejan de migrar al sur en Europa pero multiplican los viajes en América Los ornitólogos enfrentan un dilema inédito ante registros casi antagónicos en los vuelos migratorios en Europa y en América: mientras en el viejo continente las aves parecen no querer salir de sus nidos en las áreas nórdicas para emprender viaje al sur, en América se multiplica la cantidad de ejemplares que dejan Norteamérica para dirigirse al Caribe. Las costas del norte de Cuba son los primeros puntos a los que arriban y este año ya se han instalado por decenas de miles tanto en el archipiélago Sabana-Camagüey, en el centro-este del país como en las penínsulas de Hicacos y Guanahacabibes, en el Occidente, y Gibara en la zona más oriental. Algunos países gastan casi 10 veces y otros ni siquiera llegan a uno. 
Vuelo en “V” de las aves migratorias tiene una causa de ahorro energético - LaRed21	https://www.lr21.com.uy/tecnologia/1154612-vuelo-en-v-de-las-aves-migratorias-tiene-una-causa-de-ahorro-energetico	2014-01-18	Vuelo en “V” de las aves migratorias tiene una causa de ahorro energético	Una sincronización perfecta y una postura clave Las aves que realizan largos vuelos, crean este tipo de alineaciones para ahorrar energía mediante la posición del cuerpo, en tanto sincronizan el movimiento de sus aleteos. “Al volar en formación en V –detrás y al lado del pájaro de adelante– los pájaros que van detrás agitan sus alas en fase, lo que les permite tener un impulso extra proveniente del pájaro de delante. Te recomendamos Monstruos vs Virus, el videojuego desarrollado en Uruguay para enseñar a los niños sobre el COVID-19 Un videojuego educa a los niños sobre cómo comportarse en una pandemia sin llegar a saturarlos de información científica, desarrollándose la enseñanza en un entorno lúdico , didáctico y muy entretenido. 
Assange cumple dos años refugiado en 20 m2 - El Diario	http://eldiario.com.uy/2014/06/19/assange-cumple-dos-anos-refugiado-en-20-m2/	2014-06-19	Assange cumple dos años refugiado en 20 m2	Assange ha sido entrevistado en innumerables ocasiones durante estos dos años. En ese espacio trabaja 17 horas diarias frente a su computadora, se ejercita en la cinta que le regaló el cineasta Ken Loach, y recibe visitas. Su mobiliario consiste en una cama, una mesa, una estantería, y nada más. 
Oleada de inmigrantes africanos en botes plásticos de juguete cruzan el mar rumbo a España - LaRed21	https://www.lr21.com.uy/mundo/1190164-oleada-de-inmigrantes-africanos-en-botes-plasticos-de-juguete-cruzan-el-mar-rumbo-a-espana	2014-08-12	Oleada de inmigrantes africanos en botes plásticos de juguete cruzan el mar rumbo a España	La interceptación de embarcaciones de todo tipo en la madrugada del martes, se produce apenas después que el lunes fueran encontradas otros 31 botes inflables de plástico y varias pateras que en total llevaban 299 inmigrantes, el mayor número en una sola jornada en lo que va del año. El viaje sumamente peligroso, se ve no obstante incentivado en los últimos días, debido a que el buen tiempo se mantiene sobre el Mediterráneo, lo que ahuyenta el mayor miedo de los migrantes: naufragar en embarcaciones sin ningún tipo de socorro inmediato posible. Te recomendamos Un combatiente estadounidense del Estado Islámico cuenta cómo fueron los días finales del califato Derrota para Bolsonaro: Congreso votó contra reforma constitucional para votar por boleta de papel Bolsonaro está sembrando un campo minado de dudas y cuestionamientos al sistema electoral, y amenaza con no aceptar los resultados si pierde. 
"Emblemática mariposa ""monarca"" en ínfima migración: acusan a herbicidas de Monsanto - LaRed21"	https://www.lr21.com.uy/ecologia/1197911-emblematica-mariposa-monarca-en-infima-migracion-acusan-a-herbicidas-de-monsanto	2014-10-08	"Emblemática mariposa ""monarca"" en ínfima migración: acusan a herbicidas de Monsanto"	Sin embargo, el Fondo Mundial para la Naturaleza (WWWF), en su Informe sobre la Reserva Monarca de México, había apuntando que en la migración anterior, las mariposas se habían presentado hasta un 44% menos que lo habitual y que no habían llegado a ocupar ni siquiera una décima parte de sus áreas comunes. «La mayor parte del hábitat reproductivo en esa región se ha perdido por los cambios en las prácticas agrícolas, principalmente la explosiva adopción de cultivos tolerantes a herbicidas a finales del siglo XX y comienzo del XXI», ha explicado la profesora Karen Oberhauser, docente de la Universidad de Minnesota, según publica el periódico Regeneración de México. Algunos países gastan casi 10 veces y otros ni siquiera llegan a uno. 
Las especies migratorias, casi todas en peligro de extinción por el calentamiento global - LaRed21	https://www.lr21.com.uy/ecologia/1201528-las-especies-migratorias-casi-todas-en-peligro-de-extincion-por-el-calentamiento-global	2014-11-06	Las especies migratorias, casi todas en peligro de extinción por el calentamiento global	En los últimos 20 años se ha perdido casi la tercera parte de la población total del “rey de la selva”, cuyas poblaciones en India están en “peligro crítico”, mientras se extinguieron definitivamente en el norte africano, Medio Oriente y el oeste asiático. El único mamífero sin depredadores naturales, desaparece en función estrictamente de accionar humano. Algunos países gastan casi 10 veces y otros ni siquiera llegan a uno. 
Los refugiados de Guantánamo - Opinión - 15/12/2014 - Diario El País	https://www.elpais.com.uy/opinion/columnistas/hebert-gatto/refugiados-guantanamo.html	2014-12-15	Los refugiados de GuantánamoOpinión15/12/2014	Cuando casi nadie lo esperaba, los seis detenidos en la base de Guantánamo se encuentran por fin libres en territorio uruguayo. La acusación inicial por la cual la justicia norteamericana los había detenido ha quedado desvirtuada y según declaran sus propios captores, no se trata de sujetos peligrosos ni delincuentes. La solución más sencilla, como sería extraditarlos a su país de origen no resulta posible puesto que allí o bien no son aceptados, o si lo son, corren peligro de muerte por la misma infundada acusación que motivó su detención. 
"Susana Mangana:""Hubo un excesivo romanticismo con los refugiados"" - Diario El País"	https://www.elpais.com.uy/informacion/susana-mangana-hubo-excesivo-romanticismo-refugiados.html	2015-04-05	"Susana Mangana:""Hubo un excesivo romanticismo con los refugiados"""	Han vivido una situación muy dramática y esto ha debido dejar una marca imborrable en sus vidas, en sus cabezas, en sus psiquis, en sus formas de ver el mundo. Los ex detenidos pueden tener una reivindicación hacia Estados Unidos, mil y una quejas, pero aquí estamos en Uruguay, que los ha recibido de buena fe como sociedad. Pueden surgir las mismas fricciones vinculadas con los usos y costumbres, pero estas personas no manifestaron en ningún momento la necesidad de contar con una mezquita. 
Dudas por legalidad de bodas de refugiados de Guantánamo - Diario El País	https://www.elpais.com.uy/informacion/dudas-legalidad-bodas-refugiados-guantanamo.html	2015-06-05	Dudas por legalidad de bodas de refugiados de Guantánamo	Por otra parte, el hecho de que ya esté conviviendo con su pareja, en una casa alquilada, no es bien visto por los musulmanes. El asunto del matrimonio civil, que es obligatorio en Uruguay y previo a cualquier boda religiosa, no ha sido zanjado. Se los vio pasear por la calle como cualquier montevidano, hacer compras, bajar a la playa y hasta cocinar un cordero asado. 
Historieta para los refugiados sirios en un limbo - 180	http://www.180.com.uy/articulo/55803	2015-06-09	Historieta para los refugiados sirios en un limbo	Los diseñadores contaban con experiencia previa en comics para niños ya que son los autores de “Bandas Orientales”, en los que relataron la historia del Uruguay y Artigas en el marco de los festejos del Bicentenario. Los primeros 42 refugiados llegaron a Uruguay en octubre del año pasado, cinco familias donde la mayoría son niños. La versión digital estará disponible, aunque no es probable que les llegue a los niños por ese medio. 
El mundo se olvidó de los refugiados de Siria - 180	https://www.180.com.uy/articulo/56253_el-mundo-se-olvido-de-los-refugiados-de-siria	2015-07-05	El mundo se olvidó de los refugiados de Siria	Aunque el PMA recibió 5.380 millones de dólares en 2014, las emergencias constantes en Siria, Iraq y otros lugares hacen que las necesidades superen con creces a los fondos disponibles. La situación se agravó con el surgimiento del extremista grupo armado denominado Estado Islámico (EI), en el norte y el este de Siria. El país se convirtió en un campo de batalla entre las fuerzas progubernamentales, los combatientes kurdos, el EI y los insurgentes que pretenden derrocar a Assad. 
Malala festejó su cumpleaños abriendo escuela para refugiados - Diario El País	https://www.elpais.com.uy/mundo/malala-festejo-cumpleanos-abriendo-escuela-refugiados.html	2015-07-12	Malala festejó su cumpleaños abriendo escuela para refugiados	"Malala festejó su cumpleaños abriendo escuela para refugiados La ganadora del premio Nobel de la Paz más joven de la historia cumple hoy 18 años y lo celebró inaugurando una escuela para niñas sirias refugiadas. Malala Yousafzai, la ganadora del premio Nobel de la Paz más joven de la historia, celebró su 18 cumpleaños en Líbano el domingo abriendo una escuela para niñas refugiadas sirias y pidió a los líderes mundiales que inviertan en ""libros"" y no en ""balas"". En torno a 500.000 niños en edad escolar sirios se encuentran en suelo libanés, pero sólo una quinta parte sigue una educación formal. "
Premio Nobel más joven de la historia, Malala Yousafzai cumple 18 años inaugurando colegio para niñas refugiadas - LaRed21	https://www.lr21.com.uy/mundo/1243308-malala-yousafzai-cumple-18-anos	2015-07-13	Premio Nobel más joven de la historia, Malala Yousafzai cumple 18 años inaugurando colegio para niñas refugiadas	Su coraje y dedicación para proseguir su educación en circunstancias difíciles inspira a la gente en todo el mundo y es nuestro deber estar a su lado”, dijo Malala durante el acto de apertura oficial de la escuela que llevará su nombre. “Esta es la crisis de refugiados más grave del mundo en décadas, es una tragedia que parte el corazón”, dijo Malala que acusó a los líderes de todo el mundo por no hacer lo suficiente por los refugiados particularmente por los niños. Te recomendamos Un combatiente estadounidense del Estado Islámico cuenta cómo fueron los días finales del califato Derrota para Bolsonaro: Congreso votó contra reforma constitucional para votar por boleta de papel Bolsonaro está sembrando un campo minado de dudas y cuestionamientos al sistema electoral, y amenaza con no aceptar los resultados si pierde. 
Gobierno analiza cambios al programa de refugiados en Uruguay - El Observador	https://www.elobservador.com.uy/nota/gobierno-analiza-cambios-al-programa-de-refugiados-en-uruguay-20157152150	2015-07-15	Gobierno analiza cambios al programa de refugiados en Uruguay	"Miranda dijo que ""no está confirmada"" la venida de más sirios pero que, de concretarse, se deberán realizar modificaciones al programa del gobierno para su inserción en la sociedad uruguaya. El jerarca reconoció en comisión que hay ""dificultades lógicas"" en ese aspecto, pero que todos los niños están dentro del sistema educativo y que los jefes de familia trabajan o están en busca de oportunidades laborales. Sin embargo, solos dos familias se radicaron en el departamento de Colonia, en tierras proporcionadas por el Instituto de Colonización, mientras que las otras tres continúan viviendo en Montevideo. "
Pit-Cnt pide al gobierno solución para refugiado - Diario El País	https://www.elpais.com.uy/informacion/pit-cnt-pide-gobierno-solucion-refugiado.html	2015-07-22	Pit-Cnt pide al gobierno solución para refugiado	En Guantánamo hizo varios ayunos en protesta por su reclusión que afectaron su salud. La jueza estadounidense Gla-dys Kessler ordenó este mes que el gobierno del presidente Barack Obama debe difundir las filmaciones que se le hicieron cuando era alimentado a la fuerza. Una de ellas es la del palestino Mohamed Tahamatan aunque lo haría solamente para visitarlo y no para quedarse. 
Una pareja turca celebró su boda alimentando a refugiados sirios - Diario El País	https://www.elpais.com.uy/vida-actual/pareja-turca-celebro-boda-alimentando-refugiados-sirios.html	2015-08-06	Una pareja turca celebró su boda alimentando a refugiados sirios	"""Estoy muy contento de que (mi hijo) aceptara y de que comenzaran su nuevo y feliz viaje con una acción altruista"", dijo Ali en declaraciones a ""The Washington Post"" por su acción difundida por YouTube. Pero para Fethullah su alegría se vio reflejada en los ojos de quienes ayudó junto a su esposa. ""Ver la felicidad en los ojos de los niños refugiados sirios no tiene precio"", dijo el novio. "
Hungría construirá su segunda valla anti-migrantes en la frontera con Rumania - El Observador	https://www.elobservador.com.uy/nota/hungria-construira-su-segunda-valla-anti-migrantes-en-la-frontera-con-rumania-201591511520	2015-09-15	Hungría construirá su segunda valla anti-migrantes en la frontera con Rumania	"Según el ministro, la medida es necesaria porque, tras la construcción de la valla con la frontera serbia, los migrantes podrían intentar ahora entrar por Rumania. Mientras se estudia cada caso, el refugiado no podrá abandonar esa ""zona de tránsito"" en la frontera húngara, sólo si se le otorga el asilo podrá entrar en el país, y en caso contrario, sería deportado a Serbia. En lo que va del año las autoridades húngaras han registrado a más de 200.000 refugiados que entraron en el país de forma ilegal, aunque la inmensa mayoría siguió camino hacia Alemania, Holanda o las naciones escandinavas. "
Se inaugura “La Bestia”, una muestra sobre emigración - LaRed21	http://www.lr21.com.uy/cultura/1256570-exposicion-fotografia-bestia-isabel-munoz-emigraciones-migrantes&src=sdkpreparse	2015-10-02	Se inaugura “La Bestia”, una muestra sobre emigración	None 
Masiva migración de jóvenes crea riesgo - Diario El País	https://www.elpais.com.uy/mundo/masiva-migracion-jovenes-crea-riesgo.html	2015-10-11	Masiva migración de jóvenes crea riesgo	El éxodo priva a ese país de un grupo demográfico vital para la reconstrucción y el crecimiento económico. Muchos también se preocupan porque podrían surgir bolsones radicales si las aspiraciones de quienes llegan terminan en el aislamiento y la pobreza. El grupo mayoritario es el de jóvenes, abiertos a la aventura pero muy mal informados sobre lo que les puede ocurrir. 
"Heber propone ""ser restrictivos"" en política migratoria - El Observador"	https://www.elobservador.com.uy/nota/heber-propone-ser-restrictivos-en-politica-migratoria-20151120500	2015-11-20	"Heber propone ""ser restrictivos"" en política migratoria"	Entrevistado por Leandro Gómez en El Observador TV, el senador blanco respaldó la elección del embajador Elbio Roselli para el Consejo de Seguridad de las Naciones Unidas y apoyó que Uruguay se expida, como lo hizo el canciller Rodolfo Nin Novoa, contra el terrorismo. Es como aquella película a la que Luis Lacalle Pou hacía referencia: ¿Y dónde está el piloto?. Tuvo medidas restrictivas en cuanto a la inmigración, la necesidad de buscar y tener un trabajo, tener una conducta durante años a los efectos de ganarse la ciudadanía en un país que tiene sus costumbres y no quiere que la inmigración les cambie sus costumbres. 
