title	link	date	title_corrected	summary
El Estimulo | Más de 800.000 refugiados deja el conflicto en Ucrania - elestimulo.com	https://elestimulo.com/mas-de-800-000-refugiados-deja-el-conflicto-en-ucrania/	2014-10-24	El EstimuloMás de 800.000 refugiados deja el conflicto en Ucrania	"Otras 387.000 personas huyeron a Rusia, 6.600 pidieron asilo en la Unión Europea y 581 lo hicieron en Bielorrusia. ""Ahora que la crisis de Ucrania entra en su primer invierno, ACNUR trabaja a toda prisa para ayudar a los desplazados más vulnerables a afrontar las duras condiciones que se esperan este invierno"", declaró esta agencia de la ONU. Se necesita ayuda humanitaria sobre todo en las regiones de Donetsk y Kiev, afirmó este organismo. "
El Estimulo | El polémico programa de regularización migratoria de México - elestimulo.com	https://elestimulo.com/el-polemico-programa-de-regularizacion-migratoria-de-mexico/	2015-01-23	El EstimuloEl polémico programa de regularización migratoria de México	Quienes se incorporen a este nuevo plan no serán detenidos, asegura la funcionaria. Para los que necesitan refugio por cuestiones humanitarias existen otros programas contemplados en la Ley de Migración, señala. «Queremos que acudan sin miedo, les damos la oportunidad de regularizarse», asegura García Villalobos. 
El Estimulo | Bombardeo deja 45 muertos en campamento de refugiados en Yemen - elestimulo.com	https://elestimulo.com/bombardeo-deja-saldo-de-45-muertos-en-campamento-de-refugiados-en-yemen/	2015-03-30	El EstimuloBombardeo deja 45 muertos en campamento de refugiados en Yemen	«Ha sido un ataque», había indicado a la AFP Pablo Marco, jefe del programa de MSF para Oriente Medio, añadiendo que probablemente habría «más muertos». Quince cuerpos fueron trasladados al cercano hospital de Haradh, declaró Marco. Las instalaciones acogen desde 2009 a yemenitas desplazados por el conflicto entre los milicianos hutíes (chiitas) y el gobierno central. 
El Estimulo | Un campo de refugiados bajo el metro de París - elestimulo.com	https://elestimulo.com/un-campo-de-refugiados-bajo-el-metro-de-paris/	2015-05-12	El EstimuloUn campo de refugiados bajo el metro de París	Desplazados a causa de los conflictos violentos en sus países natales, estas personas han atravesado el Mediterráneo para buscar un futuro mejor. «Nunca había bebido antes de estar aquí, pero ¿cómo voy a dormir sin chaqueta ni colcha en un colchón mojado si no estoy borracho?», cuenta el interlocutor. Sin embargo, no todos los moradores del campo quieren quedarse en Francia; muchos solo están de paso para ir hacia otros países como Inglaterra o Alemania. 
El Estimulo | Rescatados centenares de migrantes en Indonesia - elestimulo.com	https://elestimulo.com/blog/rescatados-centenares-de-migrantes-en-indonesia-en-medio-de-un-ping-pong-humano/	2015-05-15	El EstimuloRescatados centenares de migrantes en Indonesia	El primer ministro malasio Najib Razak dijo «estar muy preocupado por el sufrimiento» de los migrantes, pero aseguró que su gobierno está tomando las «medidas necesarias». Este barco fue seguido, un poco más lejos en la costa, por otra embarcación que transportaba a unas 50 personas, también rescatadas por pescadores. Con estas llegadas, ya suman 1.300 los migrantes que han logrado tocar tierra en Aceh en los últimos días. 
Más de 6 mil refugiados cruzan en un día la frontera de Macedonia a Serbia - elestimulo.com	https://elestimulo.com/mas-de-6-mil-refugiados-cruzan-en-un-dia-la-frontera-de-macedonia-a-serbia/	2015-08-23	Más de 6 mil refugiados cruzan en un día la frontera de Macedonia a Serbia	Además, en una aldea cercana a Presevo, Miratovac, esperan otros 5 mil refugiados que hoy han recibido la visita del ministro de Defensa, Bratislav Gasic, quien pronosticó que esta afluencia continuará en los próximos días. Los medios serbios apuntan a que en los pasos fronterizos de Bogorodica y Djevdjelija con Macedonia ya no existe la dramática aglomeración de refugiados que se daba en los últimos días, ya que las autoridades macedonias los han dejado pasar a Serbia y han organizado mejor su transporte hacia el norte. Tanto la Cruz Roja como ACNUR proveen a los inmigrantes de alimentos, agua y medicinas, pero no su transporte dentro del país. 
Obama encarcela a niños refugiados, pero exponerlo es, ¿'vergonzoso'? - teleSUR TV	https://www.telesurtv.net/opinion/Obama-encarcela-a-ninos-refugiados-pero-exponerlo-es-vergonzoso-20150903-0056.html	2015-09-03	Obama encarcela a niños refugiados, pero exponerlo es, ¿'vergonzoso'?	"¿Consideras que se haga justicia en el caso cuando falta saber quiénes son los autores intelectuales del crimen?. Hubo otros factores, sin duda, pero la filtración parece haber logrado resultados tangibles si el calendario de las acciones estatales posteriores no fue casual: Avergonzó al Estado y hacía que sea menos probable que la jueza retroceda en el fallo cuando llegue la fecha para dictaminarlo. ""Francamente"", por más que hubiera querido, ""no podía hacer mucho al respecto"", dijo Durbin. "
Niños migrantes ahogados fueron enterrados en Siria por su padre - elestimulo.com	https://elestimulo.com/ninos-migrantes-ahogados-fueron-enterrados-en-siria-por-su-padre/	2015-09-04	Niños migrantes ahogados fueron enterrados en Siria por su padre	Vestía calzado de tenis, pantalones cortos azules y camisa roja. En total, 12 migrantes murieron ahogados frente a la costa turca de Bodrum ese día. En un comunicado de la policía, filtrado después a la agencia de noticias turca Dogan, Abdullah Kurdi dio un relato diferente, negando que haya habido un contrabandista a bordo. 
El Estimulo | #FOTOS La esperanza de los 10 mil refugiados acogidos por Alemania - elestimulo.com	https://elestimulo.com/fotos-la-esperanza-de-los-10-mil-refugiados-acogidos-por-alemania/	2015-09-07	El Estimulo#FOTOS La esperanza de los 10 mil refugiados acogidos por Alemania	El lunes por la mañana, un primer “tren procedente de Salzburgo (Austria), con 150 refugiados a bordo” era esperado en Munich (sur de Alemania), según la prensa local, que indica que “será muy difícil hacer un pronóstico” sobre el número de migrantes que pueden llegar. Los medios alemanes aluden por su lado a 10.000 posibles llegadas este lunes. Merkel aludió este lunes a un fin de semana “emocionante e impactante”, en el que llegaron a Alemania unos 20.000 refugiados procedentes mayoritariamente de Siria. 
#VIDEO Así alimentan a migrantes en campamento de Hungría - elestimulo.com	https://elestimulo.com/blog/video-asi-alimentan-a-migrantes-en-campamento-de-hungria/?fb_comment_id=688196187879293_688200337878878	2015-09-11	#VIDEO Así alimentan a migrantes en campamento de Hungría	Un video grabado de forma oculta en el interior del mayor campamento de migrantes en Hungría, en la frontera con Serbia, muestra las condiciones «inhumanas» en las que se distribuye la comida. «Era como alimentar a animales encerrados en un coto, como un Guantánamo en Europa», declaró Klaus Kufner, cuya colega, Michaela Spritzendorfer, grabó la secuencia, difundida por Youtube el jueves por la noche, mientras que él mismo hablaba con alguien de la Cruz Roja. Ambos, junto con otros voluntarios, se desplazaron al campamento para llevar comida, ropa y medicamentos. 
