date	count	summary
2010-05-30	1	“Los migrantes son el principal residuo humano de la globalización” Zygmunt Bauman nació en 1925 en Poznan, Polonia, pero vive, enseña, siente y piensa en Leeds, Inglaterra. Necesitamos conciliar dos tareas incompatibles: hacer que nuestras identidades sean seguras y al mismo tiempo conservar la capacidad de convertirnos en otra persona. Pero agregó: “Aunque no puedo recordar una sola semana plena y verdaderamente feliz…” Ese es, me parece, el exasperante misterio de la felicidad. 
2010-09-30	1	"La Comisión Nacional de Refugiados (CONARE) otorgó hoy el beneficio de refugio político al ciudadano chileno Sergio Apablaza Guerra, informaron fuentes oficiales. La CONARE mantuvo esta tarde la reunión prevista hace semanas para tratar el tema de Apablaza, y tras decidirlo, informó a la Justicia y al abogado del solicitante del asilo, aunque la comunicación no será pública porque ""este tipo de procesos se rigen por el principio de confidencialidad"", según consignaron las mismas fuentes. Debido a esos hechos, el gobierno de Chile reclamaba su extradición para que sea juzgado por tribunales chilenos. "
2011-01-19	1	"Adrián Pérez: ""Si pierden pequeños productores, ganan los grupos extranjeros"" El legislador de la Coalición Cívica visitó tierras rionegrinas en conflicto, donde afirmó que ""sin precio justo los productores se funden y tienen que vender las tierras a empresas extranjeras asociadas a las exportadoras"". ""Según el último censo agropecuario en la Provincia, se fundieron 1.074 productores, que debieron cerrar su producción, favoreciendo así el indignante proceso de concentración y extranjerización de las tierras"", denunció Pérez. El legislador alertó que ""sólo construiremos una sociedad próspera de clases medias si el Estado apoya y fomenta el trabajo de quienes con esfuerzo generan riquezas para el país y seguiremos con una sociedad injusta si los sigue hostigando como ahora"". "
2011-09-02	1	Recién ahora, en 2010, la tendencia se revierte y la proporción de extranjeros sube al 4,5 por ciento. Ana María Edwin, titular del Indec, comentó que “gracias a la inmigración reciente, la pirámide poblacional se ensancha para las edades activas”. Compartir: © 2000-2021 www.pagina12.com.ar | República Argentina | Política de privacidad | Todos los Derechos Reservados Sitio desarrollado con software libre GNU/Linux. 
2012-09-01	1	Eso implicaría la violación del espacio aéreo sirio, algo que hasta ahora la ONU no autoriza. Todo está severamente controlado por la policía turca y cada trámite sometido a un complicado papeleo burocrático. Clarín Para comentar debés activar tu cuenta haciendo clic en el e-mail que te enviamos a la casilla ¿No encontraste el e-mail? 
2012-12-18	1	"La agencia de noticias, siempre citando a las fuentes, afirmó que la expedición se preparó en secreto y con rapidez. La OTAN también predijo que la caída del gobierno de Al Assad ""es sólo cuestión de tiempo"", y Estados Unidos y sus aliados europeos reconocieron la semana pasada al recientemente reorganizado liderazgo rebelde, posiblemente allanando el camino a una mayor asistencia internacional a los grupos insurgentes. Los tres trabajaban desde hace varios meses para una empresa privada siria cerca de Homs, según informan las agencias locales. "
2013-06-28	1	Los líderes montoneros (algunos exiliados en México, otros en España) buscaban regresar al país para emprender una confraofensiva que pusiera fin a la dictadura militar. La guardería, como tal, era una casa con cuchetas y cunas que se distribuían en tres habitaciones, según las edades de los chicos. Optaron finalmente por una casa en Salsipuedes y Mario ayudó a formar La Cámpora cordobesa, describe Argento desde su libro. 
2013-09-10	1	En ese mismo piso se vio hace un año una intervención del artista plástico francés Christian Boltanski titulada justamente Migrantes. Los pisos tienen los mosaicos blancos originales, el techo se bajó quince centímetros y la paredes lucen blanquísimas, lo mismo que los marcos de los ventanales. “El ‘objeto nodo’ de ese sector son los diccionarios bilingües, porque la lengua fue un problema para los primeros inmigrantes”, describe Weschler. 
2014-01-19	1	"El Papa criticó a ""los mercaderes de carne humana"" que esclavizan a inmigrantes ""En estos momentos pensamos en tantos refugiados, en su sufrimiento, su vida, sin trabajo y sin documentos"", recordó el pontífice para, después, pedir a la gente que abarrotó como cada domingo la plaza de San Pedro, dirigir una oración hacia estas personas que ""viven situaciones graves y difíciles"" El papa Francisco pidió hoy acabar con ""los mercaderes de carne humana que quieren esclavizar a los inmigrantes y refugiados"", en alusión al Día Internacional del Inmigrante, celebrado ayer. ""En estos momentos pensamos en tantos refugiados, en su sufrimiento, su vida, sin trabajo y sin documentos"", recordó el pontífice para, después, pedir a la gente que abarrotó como cada domingo la plaza de San Pedro, dirigir una oración hacia estas personas que ""viven situaciones graves y difíciles"". Después de estas palabras, el pontífice argentino procedió a explicar el evangelio de hoy, que recuerda el encuentro entre Jesús y Juan Bautista en el río Jordán, y que da inicio al tiempo litúrgico ""ordinario"", posterior a la Navidad. "
2014-02-25	1	"Como en su país se los persigue, Alexander (47) y Dimitri (35), dos hombres gays de nacionalidad rusa decidieron casarse en la Argentina. Ahora Alex y Dima estarán protegidos, Búsquenlos, los encontrarán; como diría León, en el país de la libertad"", dice Freyre. César Cigliutti, presidente de la Comunidad Homosexual Argentina (CHA), informó: ""Estamos trabajando para que se deroguen estas leyes, tanto en Uganda como en cualquier otra parte del mundo. "
2014-10-10	1	Desde ayer a la tarde, los sirios están alojados en la Casa San José de los Hermanos Maristas, a unos 16 kilómetros del centro montevideano, donde vivirán durante dos meses y serán capacitados en castellano y las costumbres locales. Brasil ya recibió centenares de refugiados sirios desde el inicio del conflicto en aquel país, si bien llegaron y se instalaron allí por sus propios medios. Compartir: © 2000-2021 www.pagina12.com.ar | República Argentina | Política de privacidad | Todos los Derechos Reservados Sitio desarrollado con software libre GNU/Linux. 
2015-01-04	1	"""Al salir de la cárcel empecé a sufrir persecuciones: me seguían autos, recibía llamados extraños y hasta entraron en mi casa. El caso llegó a la Corte Suprema, que envió la causa al juez de primera instancia, y Rafecas rechazó la extradición por segunda vez. Sin cambios en la causa o nuevas presentaciones, tres jueces optaron por aceptar la nota verbal de 2005 que había sido desestimada en dos fallos anteriores. "
2015-04-27	1	Sin embargo, se elaboraron propuestas que no atacan al origen del problema, sino que niegan las causas y además empeoran las condiciones de escape, tornándolas más caras, inseguras y mortíferas. Además, los efectos del colonialismo de los últimos dos siglos siguen dejando huellas en las paupérrimas sociedades afectadas, mientras que la desprolija descolonización genera dependencia y corrupción en los jóvenes países. Compartir: © 2000-2021 www.pagina12.com.ar | República Argentina | Política de privacidad | Todos los Derechos Reservados Sitio desarrollado con software libre GNU/Linux. 
2015-09-02	1	"En la imagen, el pequeño cuerpo inerte, acariciado por las olas, es observado por dos policías turcos quienes parecen no comprender lo que ve. La edición del Reino Unido del diario The Huffington Post escribió en su portada: ""Hacé algo, David"", en alusión al primer ministro británico, David Cameron, que se ha mostrado contrario a recibir a los refugiados. La imagen apareció también en las páginas de Internet de los diarios españoles El País, el Mundo y El Periódico, que tituló en su portada: ""Ahogados en el sueño europeo"".En Italia, el diario La Repubblica tuiteó la imagen con la leyenda: ""Una foto para silenciar al mundo"". "
2015-09-03	1	"Los sirios arriesgan su vida en el Mediterráneo y, si logran llegar a Grecia, continúan su odisea por tierra hacia Alemania o el Reino Unido. Leé también: Quién es el nene sirio hallado muerto en una playa de Turquía ""Desde 2008, la ruta migratoria del Mediterráneo se ha convertido en la segunda más grande. El número de personas que entraron por esta ruta se había frenado en 2012/2013 por mayores controles migratorios entre Grecia y Turquía, pero el año pasado explotó otra vez: Frontex registró 50.830 entradas. "
2015-09-04	2	El Gobierno, abierto a recibir refugiados sirios en el país El jefe de Gabinete, Aníbal Fernández, dijo hoy que sería “simple” albergar a los migrantes que escapan de la violencia en Medio Oriente. El programa se renovará este año debido a la persistente crisis en Siria. Por otro lado, las nacionalidades que más se refugiaron en argentina en ése periodo de tiempo fueron, de mayor a menor: la Siria, Colombia, Ghanesa, Haitiana, Cubana, Marfileña, Armenia, Nigerianam, y Paquistaní. 
2015-09-07	1	El domingo, “unas 13.000 personas” llegaron a la capital de Baviera, según la prensa local, que cita a una portavoz del distrito de Alta Baviera, Simone Hilgers. Esos candidatos al asilo no tienen ninguna posibilidad de ver aceptada su petición. Esas decisiones se tomaron durante un encuentro entre dirigentes conservadores de las Uniones Cristianas (CDU y su aliado bávaro CSU) y del Partido Socialdemócrata (SPD, socio de la coalición), a la que asistieron la canciller, Angela Merkel, y varios ministros. 
2015-09-08	1	Las cinco familias de refugiados sirios, que desde hace casi un año viven en Uruguay, se encuentran acampando en la céntrica Plaza Independencia, frente a la Torre Ejecutiva, reclamando al gobierno que les ayude a salir del país. Ven que salir de Uruguay es muy difícil y eso les da una gran inseguridad. De ella depende en gran parte el cómo seguirá esta historia. 
2015-09-09	1	"""Yo no quiero parecerme a países que echan inmigrantes y dejan morir chicos en las playas"" La Jefa de Estado cuestionó que ""andan tirando los migrantes de un país a otro como si fueran bultos. En esa misma línea, la Jefa del Estado cuestionó que ""andan tirando los migrantes de un país a otro como si fueran bultos. En ese sentido, destacó que ""yo quiero ser como somos nosotros, solidarios, trabajadores, jugados por la producción, por la industria, el crecimiento y el desarrollo. "
2015-09-13	1	(Alkis Konstantinidis, Reuters) Según las leyes europeas actuales, esto significa que Grecia e Italia, dos países que atraviesan una profunda crisis económica, deberían dar asilo político a cientos de miles de refugiados en vez de permitirles seguir camino para que lleguen a los países del norte y los más ricos del continente. Aún si lo consigue, la cifra apenas supera un tercio de los refugiados e inmigrantes llegados al continente europeo en lo que va del año. Clarín Para comentar debés activar tu cuenta haciendo clic en el e-mail que te enviamos a la casilla ¿No encontraste el e-mail? 
2015-09-14	2	"""Es muy complejo acceder a la sanidad, los derechos sociales, el reconocimiento de diplomas (...) La gente superdiplomada puede pensar que será sencillo, pero la mayoría deberá pasar por trabajos menos cualificados"", explica Mlati. La Argentina tiene una importante tradición de dar ayuda a quienes son perseguidos por razones políticas, religiosas, étnicas o que ven peligrar sus vidas por guerras. En colaboración com el Alto Comisionado de las Naciones Unidas para los refugiados (ACNUR) varias ONGs trabajan para ayudar a las personas que se acercan en forma desesperada para buscar amparo. "
2015-09-19	2	"Qsai es refugiado y hace un mes abrió un restaurante de comida árabe en el centro porteño. Las manifestaciones pacíficas contra el régimen de Bashar al Assad, que comenzaron en marzo 2011, habían derivado en una guerra. Me repetían: 'Si te quedás, vas a morir'"", dice mientra estira una masa de pan árabe sobre una mesada gris. "
2015-09-20	1	Estambul - Al menos 13 refugiados sirios -entre ellos seis menores- han muerto hoy y otros 13 se encuentran desaparecidos al hundirse el bote neumático en el que viajaban tras colisionar en aguas del Egeo con un barco de pasajeros turco. Varias embarcaciones de la guardia costera turca, apoyadas por dos helicópteros, se encuentran en el lugar del naufragio para dar con los desaparecidos. Al parecer, según los medios, el bote volcó por el oleaje causado por un barco que había pasado a muy corta distancia. 
2015-09-22	2	Titulada “Tant se val d'on venim” (No importa de dónde venimos), el club catalán y su fundación impulsan la colacoración con los inmigrantes. Su gran preocupación no sólo es la inserción sino la homologación de sus títulos para poder trabajar rápidamente y en Francia, el trámite es más complicado. Ante este caos, Le Guide de Routard se movilizó y creó una guía gratuita en inglés, destinado a los refugiados perdidos en Francia, para ayudarlos con sus trámites. 
2015-10-27	1	"Una afgana de 105 años llega como refugiada a Croacia Se trata de la persona de mayor edad registrada por las autoridades croatas en el marco de la actual crisis de refugiados en Europa Opatovac (Croacia) (dpa) - Una anciana de 105 años procedente de Afganistán llegó hoy a Croacia, entre los refugiados que hacen la ruta de los Balcanes en su camino hacia Europa occidental. La mujer llegó al campamento de registro de Opatovac, donde fue sometida a una revisión médica y enviada a una tienda de campaña con calefacción propia, informó el portal de noticias croata ""24sata.hr"". Después fue trasladada a la estación de trenes de la cercana localidad de Tovarnik, desde donde los refugiados están siendo llevados en trenes a la frontera eslovena. "
2015-11-02	1	Drama en las costas de Grecia La historia del voluntario argentino que salva a refugiados en el mar Egeo Nicolás Migueiz Montan tiene 34 años y trabaja como guardavidas en Barcelona. La imagen del pequeño Aylan Kurdi muerto en una playa de Turquía causó un fuerte impacto a nivel mundial, sin embargo no logró hacer cesar el drama. Desde la ONG se preguntan “cómo puede ser que estemos ante la mayor tragedia humanitaria de los últimos tiempos y los únicos recursos al alcance para salvar vidas sea un grupo de voluntarios que les pudo el corazón y se lanzaron a las aguas”. 
