date	count	summary
2013-12-30	1	Economía 30 de diciembre de 2013 10:16 Argentina y España son los principales destinos para los migrantes bolivianos Entre 2001 y 2012, migraron 487.995 bolivianos, de acuerdo con los datos finales del censo de población y vivienda, realizado en noviembre del 2012, que publica el INE. Movilización de migrantes en Europa. Foto: ANF Noticias relacionadas: Opinión Noticias 
2014-05-20	1	El día miércoles 21 se dará inicio a un Foro-Seminario en el auditorio de Radio Santa Cruz, mediante el cual se mostrarán casos y experiencias en las cuales, latinoamericanos, por diversos motivos favorables, decidieron retornar a su comunidad de origen campesino. 
2014-08-13	1	En la audiencia de medidas cautelares Vásquez dijo que en su país formó parte del Movimiento Revolucionario Túpac Amaru (MRTA), grupo guerrillero fundado en 1984. García Linera niega que imputado trabajó en la Vicepresidencia El vicepresidente Álvaro García Linera negó ayer que el ciudadano peruano Julio César Vásquez Vásquez haya trabajado en esta instancia durante los últimos años tal como éste dijo. En caso de recibir estos mensajes dudosos, se sugiere no hacer click en ningún enlace sin verificar su origen. 
2014-08-15	1	El arzobispo de Salta considera que Urkupiña ahora habla de un nuevo espíritu que une, que es integración de pueblos, un ejemplo, la unión entre el Arzobispado de Cochabamba y las parroquias de San Ildefonso y de Salta, bajo la consigna de una sola iglesia unida. 
2014-10-06	1	El abogado recordó que “Pacho” Cortés fue perseguido político por el Gobierno de Gonzalo Sánchez de Lozada en 2003, año en el que se le otorgó el refugio, por vincularlo con temas terrorismo por una presunta vinculación con el grupo guerrillero Ejército de Liberación Nacional (ELN) de Colombia. 
2015-09-05	1	La principal causa de la crisis migratoria a la Unión Europea es la cruenta guerra civil en Siria, que empeoró por la ofensiva del grupo yihadista Estado Islámico. Este malestar se disparó tras la muerte del niño sirio Aylan Kurdi y la difusión de su foto yaciendo sin vida en una playa turca. De esa campaña, también han formado parte destacadas figuras religiosas e intelectuales, así como famosos saudíes que buscaban ejercer presión. 
2015-11-13	1	La mayoría de la población extranjera que vive en Argentina son mujeres. Hasta ahora los testimonios de las mujeres violentadas relatan que tomaron mucho tiempo en decidir formular la denuncia porque sus parejas las amedrentaban con la idea de que podrían ser deportadas”. Autoridades de Bolivia y Argentina, auspiciaron el Seminario sobre Violencia Intrafamiliar Migrante que se realizó en La Paz. 
2015-11-28	1	Aunque es cierto que el vecino del norte no sufre los encontronazos políticos propios del periodo electoral y la radicalidad de algunos candidatos republicanos, que juegan la baza del miedo a los terroristas, el nuevo primer ministro canadiense, Justin Trudeau, ha buscado una vía inteligente para minimizar contestaciones y riesgos. A medida que vayan llegando a Canadá, los refugiados serán alojados temporalmente en antiguos cuarteles militares y hospitales,a la espera de que las familias vayan recogiéndolos o las que ya lo son sean realojadas en diferentes provincias del país. En caso de recibir estos mensajes dudosos, se sugiere no hacer click en ningún enlace sin verificar su origen. 
2015-12-21	1	El alcalde de La Paz, Iván Arias, pidió este viernes, cuando Bolivia celebra sus 196 años de su Independencia, que haya un cese en la confrontación y el odio porque “muchas más cosas que nos unen”. Las palabras de la autoridad edil llegan después que el jueves hubiera enfrentamientos entre grupos defensores y opositores al Gobierno. “Mi deseo es que los bolivianos miremos con optimismo el futuro, nos reconciliemos, nos perdonemos, tenemos muchas más cosas que nos unen, nos separa el 1%” porque “en cada rincón del país todos rinden homenaje a la patria, porque la aman, la adoran, tenemos problemas, pero no es motivo de división”. 
2016-01-01	1	La muestra se realizará en el Museo da Imigración en Sao Paulo, Brasil y también en La Paz. Sobre la situación del foto periodismo en el país, Schwartzberg cree se necesita mayor investigación y teoría. También fue parte del proyecto del libro Principio Potosí Reverso realizado con el colectivo C'hixi dirigido por Rivera Cusicanqui que fue presentado en el Museo Reina Sofía, con tres artículos y fotografías. 
2016-02-20	1	Es así que la Berlinale terminó con una gala de los premios, cuyo jurado internacional fue presidió por la actriz estadounidense Meryl Streep. “Dedico este premio a su gente, siempre acogedora y con el corazón abierto a otros pueblos”, dijo Rosi al recoger el premio, acompañado de uno de sus protagonistas, Pietro Bartolo, que forma parte del personal sanitario que examina a los refugiados. El palmarés recompensó también la radicalidad del cineasta filipino Lav Diaz, quien recibió el premio Alfred Bauer, destinado a un trabajo que abra “nuevas perspectivas” para el cine, por su película A lullaby to the sorrowful mystery, de ocho horas de duración. 
2016-03-14	1	None 
2016-03-25	1	
2016-04-20	1	El anuncio tuvo lugar en ceremonia en la Universidad de Columbia en Nueva York, que se realizó el lunes. Según el portal, la corresponsal del diario The New York Times, Alissa Rubin, se llevó el premio máximo de la categoría Periodismo Internacional por su reportaje sobre los abusos a las mujeres afganas. Entre ellos están Mauricio Lima (Brasil), Sergey Ponomarev, Tyler Hicks y Daniel Etter. 
2016-06-20	1	Lamentamos que la violencia de género raramente se reconozca como causal válida para solicitar refugio. Para realizar las expulsiones colectivas, las autoridades dominicanas adoptan a menudo formas intimidatorias o degradantes y criterios improcedentes, como el color de la piel. Además, la complejidad burocrática del proceso de solicitud desgasta a las personas demandantes incumpliendo así el principio humanitario. 
2016-06-30	1	“La gestora ya tiene su gerente y se han llamado a los otros puestos más o menos son 30 personas que trabajarán en esta puesta en marcha, tiene el presupuesto, fondos disponibles y han alquilado oficinas (…). El próximo paso es hacer la licitación para la compra del software”, señaló. Lamentó que por un “tema sindical” se haya retrasado la designación del gerente a quien se le había presupuestado un sueldo mensual de 70 mil bolivianos, y que como consecuencia de las movilizaciones de protesta de los trabajadores se le tuvo que bajar a 35 mil bolivianos. 
2016-07-08	1	
2016-07-10	1	La encuesta arrojó que en el país solo hay 116 refugiados de las 826 solicitudes aprobadas por el gobierno. Además que la población refugiada en el país habría disminuido de 826 a 116 personas. La información fue dada a conocer por la Comisión Nacional del Refugiado (Conare). 
2016-08-19	1	
2016-10-24	1	Esta es la primera vez que se oferta un curso en un rubro no tradicional “y el impacto ha sobrepasado las expectativas, hemos constatado que un pequeño cambio puede generar grandes transformaciones, descubrir y desplegar todas sus fortalezas”, dijo a ANF, Esther Ibañez, responsable de coordinar la actividad desde la Fundación Pueblo. Sonríe y recuerda algunos episodios que templaron sus nervios: “Un día reventé una llanta por treparme a una acera. En Bolivia cada vez es mayor el número de mujeres que trabajan, pero lo hacen en los empleos menos productivos y peor remunerados. 
2016-12-19	1	Santa Cruz es el departamento que más retiene a su población, según los datos de los censos de 1992, 2001 y 2012, mostrando el menor porcentaje de emigrantes de toda la vida con un 3,5% para el último censo. Entre los censos 1992 y 2001, la migración reciente se incrementó de 304.849 a 424.671 personas; en ambos censos, seis de cada 100 habitantes migraron en los últimos cinco años. Para el Censo 2012, la población migrante reciente alcanza a 359.435, equivalente a 4,1% de la población mayor a cinco años que reside en el país; por tanto, cuatro personas de cada 100 son migrantes recientes. 
2016-12-31	1	"En la época en que la familia Arkavazi llegó al país, la Unión Europea había cerrado esta ""ruta de los Balcanes”. Se acercó a Bobi, que habla inglés, para preguntarle si ella y su familia podrían cruzar la frontera. Kumanovo es una ciudad multiétnica: en ella viven albaneses, turcos musulmanes, serbios, gitanos, eslavos macedonios... ""Fue un casamiento muy bonito y divertido”, explica la joven, que está embarazada. "
2017-02-01	1	En su criterio, no habría reflejado con claridad el contenido del decreto que modifica algunos artículos de la ley migratoria, lo cual generó reacciones no sólo de Bolivia, sino también en Perú y Paraguay. En referencia a la norma migratoria boliviana dijo que los argentinos no sólo deben presentar antecedentes penales si quieren radicar en Bolivia, sino demostrar actividades lícitas de ingresos. En la frontera entre ambos países todo sigue igual, pero de querer vivir en Bolivia se debe presentar estos requisitos”, señaló. 
2017-02-04	1	“Nunca antes como el año pasado hubo la cantidad de visas que se han dado en la Argentina para ciudadanos bolivianos y paraguayos. Bolivia enviará la semana próxima a Buenos Aires una misión especial encabezada por el canciller, Fernando Huanacuni, con la intención de revisar el impacto del decreto que estableció un endurecimiento en los controles a los inmigrantes que cometan delitos en el país. Más bien (buscan) cómo mejorar la situación económica familiar, pero también aportando al desarrollo del hermano pueblo de la Argentina”, aseguró Morales. 
