date	count	summary
2015-05-28	1	Si bien esta norma internacional no obliga al Estado Cubano -pues a pesar de haberlo firmado en el año 2008, no la ratifica-, es bueno recordar que el derecho de libre movimiento, es un derecho humano fundamental inherente a toda persona. Por otro lado, en el párrafo 3, se advierte que “los derechos antes mencionados no podrán ser objeto de restricciones salvo cuando éstas se hallen previstas en la ley necesarias para proteger la seguridad nacional, el orden público, y sean compatibles con los demás derechos reconocidos en el presente Pacto”. Terminan siendo removidos los ex presos políticos que fueron forzados al exilio y hoy no gozan del derecho de retorno a su propio país. 
2015-09-02	1	Al menos 11 refugiados sirios murieron ahogados tratando de llegar a la isla griega Kos, entre ellos cinco niños y una mujer. Siete personas fueron rescatadas y dos llegaron hasta la costa gracias a sus chalecos salvavidas. Imágenes recientemente reveladas muestran los cuerpos sin vida de dos pequeños, ambos varados en la playa de la ciudad turística turca, Bodrum. 
2015-09-07	1	MEGA concreta remodelación e inicia migración a nuevas oficinas y estudios Antonio Escobar, director de Gestión del canal, señala que las nuevas instalaciones albergarán a los equipos de producción, edición y dirección ejecutiva. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
2015-09-12	1	Los presos en Hungría están obligados a trabajar si sus condiciones físicas se lo permiten. Mientras, el primer ministro, Viktor Orban, presiona en el Parlamento para que le dejen enviar al Ejército no a construir el muro alambrado sino a custodiarlo y defender la frontera. El nuevo ministro de Defensa húngaro -su predecesor dimitió esta semana por la lentitud en la construcción de la valla- dijo ayer que enviarán a 4.000 soldados que ya están entrenando a tal efecto. 
2016-06-21	1	Las organizaciones humanitarias intentan hacer frente a la situación, máxime cuando miles de personas que han soportado el hambre y el trauma de la guerra se enfrentan ahora en su huida a un sol tenaz. Muchos viven en edificios sin terminar, en escuelas, mezquitas o asentamientos improvisados, a menudo en condiciones muy difíciles y deficientes, asegura Robert Onus, coordinador de proyecto de Médicos sin Fronteras en Abu Ghraib, Bagdad. “Desde febrero de 2015, MSF proporciona atención médica a las poblaciones desplazadas y desatendidas en Bagdad. 
2016-09-08	1	Polémica por muro del Reino Unido contra inmigrantes - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
2016-11-21	1	"Alfredo Jaar, el reconocido artista nacional, ocupa recurrentemente en su trabajo imágenes que contienen un sentido transformador de la realidad. La imagen de Aylan Kurdi sobrevivió al consumismo mediático, por su fuerza, belleza, poesía, pero también por el horror que provoca, y esa tristeza insoportable. Por un lado tienes legítimos refugiados de países que se desangran en la guerra y por otro lado tienes muchos más inmigrantes que no viven ninguna persecución pero se aprovechan del momento para probar suerte en Europa"", dice Munita. "
2016-11-29	1	"Fiscal Carlos Gajardo golpea la mesa por debate migratorio: ""Los inmigrantes no delinquen más que los chilenos"" Además, el persecutor señaló que ""ya existen herramientas para expulsar"" a los extranjeros que cometen delitos. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente "
2016-12-07	1	Las duras batallas que deben dar los inmigrantes para traspasar sus fondos de pensiones fuera de Chile Uno de los requisitos necesarios para que los inmigrantes puedan portar sus fondos -el más polémico- es acreditar que son profesionales o técnicos. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
2016-12-22	1	Hasta ahora sólo se conocía el alza que han experimentado en general las residencias definitivas de extranjeros en el país en los últimos 10 años. El resto de las comunas del top 10 son Antofagasta (5.122), Iquique (2.823), Calama (3.516), Recoleta (1.556), Providencia (1.492), Independencia (1.485), Arica (1.513) y Estación Central (1.136). Mirado en términos porcentuales, en todo caso, Calama es la comuna con mayor oscilación en los últimos diez años, pues el número de residencias definitivas creció 20 veces (en 2005 eran sólo 153). 
2017-01-17	1	Participación de extranjeros en el mercado laboral chileno es un cuarto del promedio de los países europeos Informe de Hermann Consultores critica que el anteproyecto del gobierno no modifique el tope legal de 15% para la contratación de trabajadores foráneos en las empresas. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
2017-01-25	1	Año Nuevo chino: el mundo se prepara para la mayor migración del planeta Se estima que 414 millones de personas se movilizarán vía terrestre o aérea durante la caótica festividad. - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
2017-02-16	1	Para Cid el problema de las visas es muy serio: “Nuestro marco regulatorio, en general, tiene nudos ciegos que promocionan la irregularidad. Es imperativo crear una nueva legislación, que se adapte a las necesidades modernas, en una sociedad y economía globalizada. Es un fenómeno que debe ser abordado según su complejidad y no de manera superficial. 
2017-03-17	1	Más del 40% de los inmigrantes en Chile dice que su trabajo no se relaciona con su nivel de formación Sólo 50% del total de inmigrantes con estudios superiores dice su adecuación de trabajo según su nivel de formación es positiva - - - - Contenido exclusivo suscriptores DF Digital 30 % dcto. $ 4.550 mensual | $ 54.600 anual Suscríbete Si ya estás suscrito ingresa aquí Cuidemos el medio ambiente 
2017-05-13	1	"Más sobre Paris Cuba denuncia ataque terrorista con bombas molotov a su embajada en París Columna de María Elvira Balcells: Covid-19, menos restricciones pero más responsabilidad individual París en bici: La capital francesa se transforma en la ciudad de las ciclovías Gaëlle Salaün, parisina, compró un lote por 520 euros ""porque tenía (escrito) un nombre en español"". ""Es formidable, hay mucha humanidad"", dijo congratulado Bruno Morel, director de Emmaüs Solidarité. El acto se vio empañado, no obstante, por la protesta de una decena militantes de ultraderecha que penetraron brevemente en la sala durante la venta, para denunciar que la recaudación se destine a los refugiados. "
2017-06-20	1	La producción se ambienta en los últimos años del Imperio Otomano y trata el genocidio cometido contra los armenios. El corto musical mezcla imágenes de Cornell cantando con su guitarra, con clips de refugiados sufriendo, ciudades destruidas, bombardeos y tiroteos. https://www.youtube.com/watch?v=tEpwvvyrAJU Comenta Por favor, inicia sesión en La Tercera para acceder a los comentarios. 
