date	count	summary
2012-06-19	1	"En este documento se detalló que Colombia se encuentra en el séptimo lugar con 396 mil refugiados en otros países, estando en primer lugar Afganistán, seguido de Somalia, luego Sudán y después la República Democrática del Congo. Hay un paso positivo para garantizarle los derechos a la población desplazada"", dijo Fontanini. ""Cuando la corte produce la sentencia 025, ordena destinar los recursos para atender a la población desplazada. "
2014-06-20	2	"Son 6 millones más que en 2012, recordó Antonio Guterres, alto comisionado para los refugiados, al presentar el informe a la prensa. En África, en particular en República Centroafricana y Sudán del Sur, se han producido importantes desplazamientos de población. El fuerte crecimiento se explica por la ""multiplicación de nuevas crisis"", que empujan a la población a abandonar sus hogares, y por la ""persistencia de viejas crisis que parecen no querer morir nunca"", precisó. "
2015-05-25	1	La alta demanda y la frecuencia con la que llegan los migrantes irregulares cubanos al municipio de Turbo, en el Urabá antioqueño, ha desbordado la capacidad de las autoridades, “es un tema que se está volviendo imposible para nosotros, lo sabe Raimundo y todo el mundo, pero nadie hace nada”, afirma Rubén Arroyo, alcalde del municipio. Uno de los casos que más ha alarmado a las autoridades ocurrió el pasado martes, día en el que al hospital del municipio llegó el cuerpo sin vida de un cubano, ciudadano del que solo se supo de su estadía en Colombia por su fallecimiento. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. 
2015-06-10	1	Crear cuenta - Iniciar sesión - Suscribirse - Ayuda Iniciar sesión Iniciar sesión Iniciar sesión Iniciar sesión Últimas noticiasNaciónCoronavirusOpiniónEconomíaMundo GenteCulturaTecnologíaCiclismoDeportesVida Moderna Semana TVEdición impresaEducaciónSostenibleForos SemanaEspeciales GaleríasSemana PódcastCaricaturasFinanzas PersonalesContenido en colaboraciónMejor Colombia Viernes, 6 agosto 2021 Últimas noticiasNaciónCoronavirusOpiniónEconomía By: MundoGente By: Cultura By: TecnologíaCiclismoDeportesVida ModernaSemana TVEdición impresaEducaciónSostenible By: Foros SemanaEspecialesGaleríasSemana PódcastCaricaturasFinanzas Personales By: Contenido en colaboraciónMejor Colombia Iniciar sesión Tendencias CoronavirusClaudia LópezTrumpVenezuelaIván DuqueFalcaoSelección Colombia 
2015-09-08	1	
2015-09-19	1	
2015-09-28	1	Sin embargo, detrás del hermoso telón de sus playas tranquilas se esconden fuerzas oscuras que han generado una situación insostenible para las autoridades por el tráfico de migrantes que azota la región. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
2015-10-27	1	"Las fuerzas israelíes ""no dejan a los palestinos entrar en (la mezquita de) Al Aqsa, prohíben el paso incluso a las mujeres, destruyen las casas de los mártires (muertos en atentados o ataques) y entran en nuestras casas sin respeto"". Aún más pequeño, Yokar, de 8 años (nombre ficticio) reconoce con suavidad y casi con vergüenza: ""Si, tiro piedras"". ""He dado a un soldado"", dice orgulloso y narra que cuando los militares entran en el campo va al tejado: ""desde ahí tiro piedras"". "
2015-11-21	1	
2016-01-04	1	
2016-01-12	1	
2016-01-29	1	Seis coyotes capturados y 21 migrantes rescatados fue el saldo que dejó una operación adelantada en conjunto por Migración Colombia y la Fiscalía en Antioquia contra las bandas dedicadas al tráfico de migrantes que operan desde la frontera con Ecuador (Nariño) hasta Urabá. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
2016-02-26	1	Por ejercer esa labor ilegal lo habrían asesinado en la noche del pasado 28 de enero. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
2016-03-01	1	
2016-03-23	1	
2016-04-16	1	
2016-05-04	1	Más de 48.000 sirios han sido reubicados en ese país con el patrocinio del Gobierno —liderado por Justin Trudeau—, Acnur y entidades privadas. Desde finales del siglo XVIII, Canadá se ha convertido en el hogar de aquellos que huyen por el conflicto o la amenaza política. El proceso es menos burocrático (algunos solicitudes de asilo en Europa pueden demorar hasta cinco años) y el Gobierno busca atajar eventuales sorpresas. 
2016-05-25	1	Naufragó un barco en el Mediterráneo con más de 500 refugiados - Pantalla completa - Ocultar miniaturas - - 25/05/2016 
2016-08-04	1	“Llegamos a las 6:00 de la mañana a pedir el salvoconducto para buscar seguir nuestro camino, pero empezaron a tomarnos los datos y de pronto nos dejaron encerrados, temimos que pasara lo peor”, narró Yuri García momentos después de ser liberado junto a otras 34 personas que vivieron la misma situación. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
2016-08-08	1	Por los pasillos del edificio 29 que ocupa Colombia, entre los pisos quinto y décimo, su figura seria y rígida, por la ansiedad, se paseó sin compartir demasiado con nadie en los días previos a la competencia en la que ganó medalla de oro. Lee aquí: Oscar Figueroa ganó oro para Colombia en pesas La víspera del día señalado llegó hasta la habitación 603, saludó, porque jamás pierde su cortesía, ni en los momentos de mayor presión, a quienes comparten... Iniciá sesión con tu correo y contraseña Los objetivos de la comisión oficial que va a Haití 
2016-08-12	1	Lejos de solucionarse, el drama de los migrantes cubanos que estuvieron varados en Turbo por varios meses se atomizó y se trasladó a Capurganá y Sapzurro, dos pequeños poblados paradisiacos ubicados en Acandí (Chocó) que limitan con Panamá y que viven principalmente del turismo. Solo debés ingresar unos datos mínimos para crear tu cuenta y leer todo el artículo. Es Fácil y te toma menos de un minuto. 
