date	count	summary
2005-07-09	1	"""¿Qué jala trabajadores a Estados Unidos?, las leyes de la oferta y la demanda"", se interrogó Solís al ser cuestionado sobre el citado documento. ""Irlanda ha recibido el equivalente al 3,5% del PIB durante los 21 años que ha sido miembro de la Unión Europea"", ejemplificó. Según dijo, estas ideas se las expuso al gobierno nacional, así como a congresistas y organizaciones de Estados Unidos. "
2005-09-21	1	La medida rige desde el lunes pasado según un decreto firmado por el Presidente de la República, Abel Pacheco de la Espriella, el cual salió publicado en el diario oficial La Gaceta . Las personas en estas condiciones (unas 131.717) deben solicitar una cita para ser atendidos los lunes, martes o miércoles. Asimismo, podrían esperar hasta el 3 de noviembre próximo, cuando se atenderá los días jueves y viernes a las primeras 300 personas que se presenten, sin necesidad de cita. 
2006-05-17	1	"Para ello, los especialistas colocarán un dispositivo que permita determinar su localización a través del Sistema de Posicionamiento Global (GPS). Para esta tarea, dos buzos calificados se sumergirán en aguas cercanas a Isla del Coco o en bahía Drake, en la península de Osa. ""La información satelital revelará exactamente por dónde pasan estos enormes peces y cuán frecuente es el acercamiento de ellos a aguas nacionales"", dijo Anderson. "
2006-12-26	1	"""Tuvimos una navidad maravillosa tanto con el pueblo costarricense como con las familias refugiadas colombianas con quienes nos reunimos"", dijo Jolie. En Costa Rica residen aproximadamente 11.500 refugiados, de ellos unos 10.500 son colombianos, que viven en las principales ciudades del país. Jolie visitó Ecuador en 2002 y posteriormente escribió un diario personal de sus encuentros con refugiados colombianos en ese país. "
2013-06-16	1	Para personas originarias de ciertos países, el proceso implica trasladarse al consulado costarricense más cercano que a veces está en otras naciones. A lo anterior, se añade el alto costo de vida que deben enfrentar quienes quieren venir por periodos largos. “La calidad educativa de Costa Rica es reconocida a nivel mundial; sin embargo, es necesario hacerla más accesible”, señaló. 
2014-03-21	1	Según Freddy Montero, viceministro de Gobernación, el propósito es poder integrar al desarrollo del país y garantizar los derechos constitucionales a los emigrantes, con políticas como estas. La Política Migratoria presentada por las autoridades esta mañana, sólo define la línea a trazar en los próximos 10 años, pero no así el plan de acción para ejecutar esos proyectos. Entre otros lineamientos se encuentra mejorar los procesos de tramitología que debe hacer la población migrante. 
2014-05-18	1	Mundo Política Bordados reviven el drama de refugiados salvadoreños durante la guerra civil (EFE) – Los bordados con los que muchas mujeres salvadoreñas plasmaron sus vivencias en un campamento de refugiados en Honduras, reflejan hoy el drama que significó para miles de salvadoreños abandonar su país por la guerra civil. Así, empezaron a bordar pájaros, flores, escenas de la vida diaria en escuelas, cocinas o huertos y fiestas como la Navidad. En otros casos son denuncias: “Así tirotean nuestros campamentos día y noche”, señala un bordado que muestra a militares disparando. 
2014-05-31	1	El viaje que realizaron unas 2.000 cebras entre Namibia y Botsuana, dos países es una zona poco poblada de África, fue descubierto por expertos en vida silvestre después de que a algunas cebras se les pusieran collares con aparatos para rastrearlas. “ Esta es la migración por tierra más grande que se conozca en África en términos de distancia entre el principio y el fin ” , dijo Naidoo. “ Aunque la humanidad ha estado fascinada por la migración animal desde el comienzo de la historia, apenas comenzamos a estudiar su superficie en términos de comprender por qué migran los animales, adónde van y cómo lo hacen ” , dijo Wilcove, quien no estuvo involucrado en el estudio, vía correo electrónico. 
2014-08-15	1	En el caso de Olmedo y Olivares, se consideró que no había peligro de fuga y se les ordenó presentarse a firmar en el Juzgado cada 15 días. Esteban Lemus, miembro del Tribunal Administrativo Migratorio (que conoce las apelaciones a los fallos de la Comisión) explicó que, de acuerdo con la legislación nacional e internacional, el refugio se otorga a los perseguidos por motivos de raza, religión, nacionalidad, género, pertenencia a determinado grupo u opiniones políticas. Tres años después, pidió un cambio de categoría a residente, que primero le fue denegada y luego otorgada. 
2014-11-19	1	"Según datos del Instituto Nacional de Estadísticas y Censos (INEC), el censo del año 2000 mostró la histórica característica de Costa Rica como nación receptora de migrantes, con un 7,8% de personas nacidas en otros países y censadas en Costa Rica. El INEC sostiene que ""la inmigración internacional ha tendido a una estabilización a partir del año 2000, lo cual incide también en el menor ritmo de crecimiento de la población total del país"". En términos netos, la inmigración acumulada en la región continúa siendo un proceso menos relevante que el de la emigración. "
