date	count	summary
2011-07-16	1	AP.- El gobierno haitiano ha comenzado a sacar a las 30 familias del aparcamiento de un estadio, donde habían vivido desde que el terremoto del año pasado las dejó sin hogar, informó el viernes un funcionario. El asesor presidencial Pierre Richard Duplan dijo que el gobierno está pagando 250 dólares a cada una de las 30 familias a cambio de que deje el estacionamiento. Patrick Rouzier, asesor de vivienda y reconstrucción del presidente Michel Martelly, informó que el esfuerzo de reubicación del gobierno incluye al estadio, pero agregó que no había comenzado oficialmente. 
2013-11-13	1	Luego de que los inspectores de Migración dijeran a Abu Naba que tenía impedimento de salida del país y que tenía que canalizar su situación en la Procuraduría General de la República, el mismo realizo varias llamadas en tonos molestos. Entre los cargos que pesan contra el ciudadano estadounidense de origen árabe-dominicano, figura la sustracción de un lujoso vehículo marca Ferraro Enzo, valorado en l.3 millones de dólares. De acuerdo a las autoridades judiciales para apoderarse del vehículo, Karin Abu Naba, supuestamente falsificó la firma del propietario del automóvil de lujo, logrando retirarlo de las aduanas. 
2015-01-19	1	Privacidad y cookies: este sitio utiliza cookies. Al continuar utilizando esta web, aceptas su uso. Para obtener más información, incluido cómo controlar las cookies, consulta aquí: Política de cookies 
2015-04-19	1	En lo que se considera la peor tragedia en el Mediterráneo de los últimos tiempos, un pesquero con 700 migrantes naufragó esta madrugada en el Canal de Sicilia, a unos 100 kilómetros al norte de las costas de Libia…. 
2015-06-01	1	La citada sentencia esclareció los criterios para conceder la nacionalidad dominicana mediante el jus solis (nacimiento), los cuales estaban vigentes desde 1929, pero como al igual que otros temas había una dualidad de interpretación y no fue sino hasta 2013 cuando el órgano llamado para hacerlo puso la casa en orden en materia de interpretación jurídica. La sentencia señala que la excepción del tránsito incluye a todos los nacidos aquí hijos de extranjeros que residen de manera ilegal, pues sus padres no tienen residencia en República Dominicana conforme a las leyes nacionales. Antes del tiempo previsto por la sentencia, la Junta Central Electoral culminó el trabajo, procesó todos los casos detectados y procedieron a regularizarse conforme disponía la ley 169-14 a todos los que estaban inscritos de manera irregular sin haber cometido fraude. 
2015-06-15	1	Gracias a Dios tengo el papel y ahora espero que me llamen para darme todo. Asimismo, Wilmer Yean lamenta el abuso y a su entender las autoridades manejan un negocio sucio detrás del proceso. Además, indican, deben comer y los vendedores se aprovechan al fijar precios más altos de lo normal. 
2015-07-20	1	Las 80 iglesias restantes se congregan de manera independiente, es decir, que no están incorporadas ni afiliadas al Codue, aunque institucionalmente reciben asistencia. Esta costumbre caracteriza a una gran parte de la población haitiana, aunque la mayoría son cristianos católicos. La migración de sus nacionales hacia República Dominicana ha hecho que esta práctica a menudo confronte las tradiciones religiosas del país, ya que cada vez más inmigrantes consideran su orientación religiosa como una opción, no como una tradición familiar o cultural, tratando de alejarse del vudú. 
2015-09-08	1	La azarosa periodista Petra Laszlo, quien fue captada haciéndole zancadillas a refugiados que salían juyendo de la policía, fue botada de la cadena NT1 [Seguir leyendo…] Remolacha – Noticias Republica Dominicana El Blog #1 de los dominicanos Internacional 
2015-10-22	1	“Pasé hambre, fui torturado, robado… En un momento consideré saltar desde un camión en el Sahara porque pensé que estaba muriendo”, recordó Friew, de 39 años. Ahora soy muy feliz en Noruega, pero aún tengo pesadillas sobre la policía, el mar y el hijo de Khaddafi, quien nos obligó a cruzar la frontera en 2011”, narra Friew. Desde la semana pasada, en Sicilia y Calabria, la Cruz Roja Italiana ha llevado ayuda humanitaria a más de siete mil personas rescatadas”, sostuvo Bastianetto. 
2015-10-28	1	El director general de Migración, Rubén Darío Paulino Sem, anunció este martes la instalación de nuevos equipos en los aeropuertos de República Dominicana con los cuales busca facilitar el ingreso al país y reforzar los controles migratorios a nivel nacional. Durante un recorrido por el Aeropuerto Internacional de Las Américas (AILA), Paulino Sem informó que los nuevos equipos llegan al país en noviembre, cuando comenzarán a trabajar 32 nuevos inspectores bilingües, entrenados por la DGM para dar eficiencia al trabajo en los aeropuertos del país. Agregó, que con el auto gate “los dominicanos no tendrán que trabajar con los inspectores, porque si están registrados en la base de datos biométricos de la DGM podrán hacer su entrada y salida mediante ese mecanismo”. 
2015-11-02	1	Cabe destacar que esas cifras no toman en cuenta los descendientes de dominicanos nacidos en esos países. Mientras haya capacidad de proveer empleos formales e informales controlados, recibir inmigrantes no es problema para los países receptores, sino más bien un impulso a su fuerza y aparato productivo. Las migraciones (inmigraciones y emigraciones) deben ser evaluadas en términos de su impacto económico, cultural, político o social. 
2016-01-25	1	Pero la profunda crisis económica por la que atraviesa Puerto Rico ha revertido la tendencia y cada vez más puertorriqueños abrumados por problemas económicos van al país vecino para abrir negocios y escaparle al caos, que está ahuyentando incluso a muchos inmigrantes dominicanos. La mayoría de los puertorriqueños que buscan visa son jóvenes o estudiantes de mediana edad y muchos piden permiso para trabajar en el sector turístico porque hablan inglés y les resulta relativamente fácil conseguir trabajo en ese sector, según Grullón. Ahora, son los puertorriqueños los que se van de nuevo a Dominicana, atraídos por su fuerte economía y su mercado laboral. 
2016-01-31	1	Decidió introducir controles en el puente de Öresund, poniendo fin a ese cordón umbilical antaño tan celebrado. Mediante la reducción de prestaciones y mayores exigencias para la reunificación familiar el país escandinavo aspira a perder atractivo para los refugiados. Como los refugiados que entraban desde Rusia lo hacían en bicicleta, del mismo modo se les mandaba de vuelta. 
2016-02-04	1	El texto completo de su comentario, colgado en la página www.robertocavada.com es el que sigue: Ya compramos las sombrillas y allí estaremos. ¿Qué escribió una carta denunciando el fascismo implícito en una resolución que solo le ha provocado al Estado dominicano dolores de cabeza? Vargas Llosa no hizo más que repetir lo que dijimos muchos aquí en el país: Que no nos correspondía a nosotros, como país de emigrantes (dos millones para ser exactos) con dominican@s en todo el mundo, desarrollar una actitud xenofóbica contra inmigrantes haitianos, porque ello le restaba legitimidad a cualquier reclamo contra el racismo y la discriminación a nuestra gente en el exterior. 
2016-05-07	1	Juan Antonio Fernández Fernández, Magdalena Batista, Jairo Carrera Castillo y el venezolano Jolvert José Ramírez, sindicados como los supuestos miembros de la red, fueron arrestados en el Night Club Casa Blanca, localizado en el municipio de Licey al Medio, donde pernoctaban las 45 mujeres de nacionalidades colombiana y venezolana. Informó que continúan las investigaciones para determinar si hay otras personas vinculadas con ese caso. El procurador general, Francisco Domínguez Brito, dijo el jueves que procurarán por todos los medios evitar que el país siga siendo utilizado como destino turístico sexual, y que ciudadanas y ciudadanos sean víctimas de ese tipo de delito, especialmente en los polos turísticos. 
2016-07-03	1	Las celebridades relataron que conversaron con decenas de refugiados y sus historias son muy conmovedoras. “Son personas inteligentes, con educación y oficios que no les estamos permitiendo ejercer. Pero la crítica más fuerte viento del veterano actor Liam Cunningham, quien encarna a Davos Seaworth. 
2016-08-12	1	Los caribeños no buscan quedarse en Panamá, sino solo esperan recibir dinero enviado por su familia para continuar viajea Estados Unidos y Canadá. Estos migrantes que ingresaron al país ya atravesaron otros, donde buscaron igualmente la manera de evadir los controles, señaló. Recordó que ya anteriormente se hicieron dos puentes aéreos con Ciudad Juárez, en México, para trasladar a cubanos que ingresaron por ese punto a Panamá, y el presidente Juan Carlos Varela tomó la decisión de no permitirles más el paso. 
2016-09-08	2	El corredor RD-Estados Unidos es el cuarto en América, luego de México, El Salvador y Cuba, todos con la gran nación del norte. La reportera húngara que se hizo famosa hace un año por patear y poner zancadillas a varios refugiados, entre ellos niños, en la frontera con Serbia, ha sido acusada de vandalismo por la Fiscalía, un delito penado con hasta cinco años de prisión. Petra László, que trabajaba para la televisión N1, cercana al partido de extrema derecha Jobbik, fue despedida y después pidió perdón por sus actos. 
2016-09-19	1	"""Debemos responder no cerrando las puertas, sino abriendo nuestros corazones con unidad, tolerancia, pluralismo y compasión"", afirmó entonces el dirigente de la ONU, y desde entonces ha venido insistiendo en buscar el éxito de la cumbre. ""Esto no es justo"", afirmó este jueves Karen AbuZaid, a quien Ban le encargó trabajar con las distintas agencias de la ONU y con los países miembros para preparar la cumbre y asegurar que tenga éxito. Pero la ONU ha querido incluir en esta cumbre también el problema de los migrantes, un flujo que, según cálculos oficiales, el año pasado afectaba a 244 millones de personas, frente a los 173 millones que había en el año 2000. "
2016-11-09	1	None 
2016-12-11	1	“Los derechos de las personas son inherentes a ellas, por eso viajan a su lado y deben ser respetados sin importar donde estén”, subrayó el informe. Con relación al tema de la salud, las organizaciones deploraron que mientras los países de la región destinan un promedio el 3 % de su Producto Interno Bruto (PIB) a este sector, en la República Dominicana no se ha superado el 2 % a pesar de los insistentes reclamos para que esta inversión llegue al 5 %. También lamentaron las agresiones que sufrieron este año varios defensores de los derechos humanos, así como activistas del Movimiento Reconocido, que defiende los derechos de los dominicanos de ascendencia haitiana. 
2017-01-09	1	“La respuestas tiene que ver con las desigualdades, que siguen dificultando el ascenso social para gran parte de la población”, reflexiona Eddy Tejeda, coautor del estudio junto a Adriana Salcedo, Allison J. Petrozziello, Bridget Wooding y Vita Randazzo. Hasta octubre de este 2016 ingresaron al país por ese concepto US$4,351.9 millones, según el Banco Central. Delito Obmica recoge que en 2015, según la Dirección General de Migración, Estados Unidos deportó 2,717 personas dominicanas (2,314 hombres y 403 mujeres). 
