date	count	summary
2014-06-23	1	Fuerza de Tarea lista para recibir a niños migrantes Tegucigalpa, Honduras. Este miércoles estarán habilitadas las líneas telefónicas gratuitas (1 800-4664- 639 y 2216-0001) para que los familiares aporten datos de niños migrantes. En el recorrido fueron acompañadas por sor Valdet Willeman, quien les detalló las condiciones en que se encuentran las instalaciones del Centro del Migrante Retornado, y explicó por qué San Pedro Sula –y no Tegucigalpa-, es el lugar indicado para recibir a los pequeños. 
2014-10-20	1	Destacó que la política mexicana de seguridad “se caracteriza porque en aras del combate al crimen organizado se criminaliza a quienes no forman parte de ese crimen organizado”. Herrera enfatizó que si el objetivo de esas medidas “es evitar que más inmigrantes lleguen a la frontera del norte de México, cada vez vamos a tener más migrantes en prisión”. En el mismo comunicado, el director del Centro de Derechos Humanos, Mario Patrón, dijo que no descarta que centenares de hondureños recluidos en prisiones mexicanas estén pasando por “la misma historia” que vivió Colón durante más de cinco años. 
2014-12-24	1	No aplican al programa los hijos de hondureños, guatemaltecos o salvadoreños que residen ilegalmente en territorio estadounidense. Estados Unidos confirmó además en las últimas horas que el programa incluye a personas amparadas al Estatus de Protección Temporal (TPS). Esto quiere decir que los 64 mil compatriotas beneficiarios del programa pueden solicitar a sus hijos en carácter de refugiados. 
2015-02-09	1	Dicho programa permite a ciertos padres que se encuentren legalmente en Estados Unidos, solicitar el acceso al Programa de Admisión de Refugiados para sus hijos que aún residen en Honduras, Guatemala o El Salvador. Adicionalmente, se realizará un examen de ADN entre el padre biológico y el menor para confirmar la paternidad. En el 2012, los agentes fronterizos de EE UU detuvieron a 13,625 menores no acompañados. 
2015-02-11	1	Un portal web localiza las coordenadas de retenes policiales en Estados Unidos mientras una aplicación telefónica canaliza donaciones para indocumentados: las pujantes tecnologías móviles y redes sociales son los nuevos aliados de migrantes de México y Centroamérica en su peligrosa ruta hacia el sueño americano. Otro inmigrante que fue detenido por la Patrulla Fronteriza de Estados Unidos creó la aplicación para teléfonos inteligentes Derechos Herencia, que ofrece información en español e inglés sobre los derechos legales de los migrantes. Pero sus textos no son la única herramienta con que cuentan los migrantes, pues también comparten experiencias y enseñanzas sobre cómo evitar el fraude y la discriminación a través de grabaciones de voz. 
2015-06-25	1	En un comunicado Johnson informó que las nuevas directrices permitirán la liberación bajo fianza de familias inmigrantes que logren comprobar un «miedo razonable» de que corren peligro en sus países de origen. Con estas nuevas determinaciones, se incluye aumentar el acceso de los inmigrantes a sus abogados, trabajadores sociales, servicios educativos así como el cuidado médico y revisar los casos de las familias detenidas por más de 90 días. El año pasado se detuvo en Estados Unidos a más de 62.000 menores sin acompañante adulto provenientes de Guatemala, El Salvador y Honduras, lo que desató una crisis humanitaria. 
2015-07-01	1	"En el 2012 optó por aceptar la convocatoria para jugar con la selección hondureña, no con Estados Unidos, y el 7 de enero del 2013 fue transferido al Anderlecht, donde es titular. Reconoció que el torneo ""es una bonita oportunidad para mostrarse"" porque ""Honduras nunca ha ganado la Copa Oro. Entonces, tenemos que comenzar desde cero para ganar copas porque también este año comienzan las eliminatorias mundialistas"". "
2015-08-03	1	TEGUCIGALPA- La campaña “Mes del No migrante” fue inaugurada para sensibilizar y prevenir a la población escolar sobre los riesgos de emprender una ruta hacia otros países. Este es el segundo año consecutivo en el que se celebra el mes dedicado al “No Migrante” y esta vez el escenario escogido para lanzar la campaña fue la escuela Ramón Rosa de la capital, donde estuvo el ministro de Educación, Marlon Escoto. Del mismo modo, indicó que los departamentos donde más se han reinsertado menores de edad, son: Cortés (283); Francisco Morazán (148); Atlántida (117) y Colón (113). 
2015-09-04	1	"Estos fondos serán puestos a disposición de los comités olímpicos nacionales que podrán presentar al COI proyectos ""que debido a la naturaleza de esta crisis se pondrá en funcionamiento rápidamente"", indicó el presidente del COI, Thomas Bach, en un comunicado. El mundo del deporte se está movilizando para hacer frente a la crisis. El club alemán el Bayern Múnich anunció el jueves que donaba un millón de euros para proyectos destinados a los migrantes. "
2015-09-12	1	Al ordenar que Estados Unidos reciba al menos 10.000 refugiados sirios hasta 2016, el presidente Barack Obama deberá acelerar los procedimientos administrativos que han permitido aceptar a sólo 1.800 sirios desde 2011. La mayoría vive en campamentos en Turquía, Líbano, Jordania, Egipto e Irak, donde son registrados por el Alto Comisionado de la ONU para los Refugiados (Acnur). Luego cada caso es examinado bajo lupa por los ministerios y agencias gubernamentales, como el FBI, el departamento de Seguridad Interior o el Pentágono. 
