date	count	summary
2007-06-20	1	"La verdadera historia del pasito duranguense"", dijo en entrevista con Notimex que tan sólo en Estados Unidos, ya se vendieron 750 mil copias en video. En México lanzará al mercado su película, en el mismo formato, con 400 mil unidades como primera edición. En ella actuará el grupo ""México Punch"", creador del ""Power Cumbia"", popular entre latinos de Estados Unidos. "
2008-11-20	1	(Foto: Archivo EL UNIVERSAL ) Ben Affleck visitó campos de refugiados en el Congo oriental, donde por lo menos 250 mil personas fueron desplazadas por los combates entre rebeldes y el ejército, y dijo que se necesita más ayuda internacional. El actor visitó el país centroafricano por cuarta vez desde 2007 y también realizó un documental sobre sus problemas. mzr El actor visitó el país centroafricano por cuarta vez desde 2007 y también realizó un documental sobre sus problemas. 
2009-09-22	1	No se adjuntaron los oficios probatorios, sino sólo sus números en un cuadro con los siguientes datos: Guowei Sun. Naturalmente sigue siendo un misterio, pues salieron del aeropuerto capitalino –no pudo ser de otra manera– custodiados por personal de Migración pertenecientes a la delegación del INM-DF… ¿Fueron bondadosamente enviados, con gastos pagados y todo, hasta la frontera con el país al que realmente querían llegar? Alguien debe saber algo al respecto en el INM, profesora Romero, así como también sobre… por qué fueron deportados y regresados a su país cuando ya era oficial que una persona –Shiqing Huang Zu– había solicitado ser aceptado como su custodio, y tenían derecho –humano, además– a ser atendidos con justicia… Una irregularidad tras otra, profesora, y muchas apilándose… Como este último asunto: El 12 de agosto, el ciudadano mexicano Mario Noé Medina Iglesias solicitó al INM la custodia de su concubina colombiana –indocumentada– Betzabé Castaño López, pero en esas se estaba cuando trascendió que la dama colombiana fue acusada por un delito de carácter económico y muy pronto fue detenida.., pero por agentes de Migración, y deportada en menos de lo que cantó el gallo. 
2011-06-20	1	El director del Alto Comisionado de Naciones Unidas para los Refugiados (ACNUR) visitó Lampedusa antes de presentar este lunes en Roma el informe más reciente de su organismo en el marco del Día Mundial del Refugiado. Además, la estrella de Hollywood Angelina Jolie también llegó hoy de visita a Lampedusa, según informaron medios italianos. Además, Jolie visitó hoy a refugiados en Malta. 
2013-03-24	1	“El pachuco es como Supermán; cuando nuestros hijos van al cine ven puros héroes gabachos, realmente no ven mexicanos superiores, y el pachuco es una figura mítica, invención del teatro, pero es un Supermán porque nadie puede vencerlo”, señala Valdez. Inspirado en la fuerza del pachuco, el autor diferenció sus dos personalidades a través de Henry Reyna (interpretado por Everardo Arzate) y su alter ego (Enrique Arreola). Zoot suit se presenta hasta el 21 de abril en el Teatro Julio Jiménez Rueda. 
2013-04-22	2	El nuevo estudio, que ha analizado la genética de las poblaciones nativas del continente americano, aporta evidencias científicas para reformular este modelo tradicional y definir escenarios alternativos al poblamiento de América. La investigación, cuyos resultados ha publicado esta semana la revista científica Plos Genetics, sostiene que hay un “desacoplamiento” entre genética, lenguaje y geografía en las comunidades nativas del sur del continente americano que explican que los primeros pobladores americanos llegaron desde diversos puntos. “Aunque la hipótesis de la migración única como explicación del origen poblacional de América está bastante arraigada, es una visión reduccionista cada vez más cuestionada científicamente”, señalan. 
2013-07-23	1	Muere el pintor y escultor Alejandro Santiago; fue un defensor de migrantes El pintor y escultor oaxaqueño Alejandro Santiago falleció ayer a causa de un infarto a los 49 años de edad, quien en su obra hizo una denuncia sobre la violencia que sufren los migrantes y formó parte de la generación que dio un nuevo camino a la pintura oaxaqueña en los años ochentas del siglo pasado. Además, preparaba una muestra para la próxima edición del Festival Internacional Cervantino. El gobernador Gabino Cué dio su pésame por Twitter; “Nuestras condolencias a la familia del gran maestro y promotor cultural, Alejandro Santiago, una pérdida irreparable para Oaxaca y México”. 
2013-09-18	1	|No. ||Albergue ||Nombre ||Edad ||Colonia rescatada | |1 | |2 
2015-03-20	1	Ocho nietos, 22 bisnietos, un año sin ir al doctor, ningún título escolar para defenderse, trabajo doméstico que debió abandonar con la edad, largas contemplaciones de cómo se ha destruido su mundo; la vida ha sido dura, el refrigerador se lo llevaron hace ocho meses a casa de su hermano, pues no tenía luz; sequías eternas, casi. Hay otros de alto valor comercial que por esa presión deberían estar oficialmente protegidos, como el famoso martillo. Doña Mary se asomó al mar de su infancia y recordó que los escualos le daban miedo. 
2015-07-09	1	"Los diseños plasmados en las paredes del campo son un testimonio de sus vivencias en ese hogar pasajero y sus recuerdos sobre Siria. A los aprendices del proyecto se les ha hablado sobre arte urbano, sobre artistas como Banksy, Thierry Noir y Stick, que han usado su técnica para ""ridiculizar las figuras de opresión"", como lo han sido Bashar al-Asad en Siria y el propio Sadam Husein en Irak. Valeria Bembry, voluntaria del programa, comenta que ""cuando todo el mundo vuelva a su casa, esta instalación se mantendrá como un testimonio de la historia oscura. "
