date	count	summary
2014-12-21	1	Simplemente llegaron de El Chorrillo buscando alejarse del área cercana al atacado Cuartel Central. María Berta Alonso pasó varios meses en Balboa, en una carpa improvisada con rollos de tela. Aunque los refugiados recibían tres raciones al día, su sabor dejaba mucho que desear. 
2015-01-12	1	Onpar comunicó su decisión al Servicio Nacional de Migración que dirige Javier Carrillo. En julio de 2014 la Corte Suprema de Justicia, revocó el asilo territorial que había sido otorgado a Hurtado en diciembre de 2010, época en que el país era gobernado por el entonces presidente Ricardo Martinelli, y por Juan Carlos Varela como vicepresidente y canciller. En agosto pasado, Panamá negó la solicitud de extradición argumentando que “las leyes panameñas y los convenios internacionales impiden conceder la extradición que ha sido negada anteriormente con los mismos fundamentos y respecto a la misma persona”. 
2015-01-20	1	Según el ministro de Gobierno, Milton Henríquez, el acuerdo con estas entidades ayudará a fortalecer la labor del gobierno de ‘atender (a los refugiados) en todas sus dimensiones: seguridad física, emocionales y carencias materiales’. Ayer también, Panamá suscribió un memorando de entendimiento con el Consejo Noruego para Refugiados. Estos acuerdos, explicó la viceministra María Luisa Romero, se ejecutarán en temas psicosocial y capacitaciones a los funcionarios de la Oficina Nacional para la Atención de Refugiados. 
2015-06-10	1	La iniciativa tiene como protagonista un maletín o mochila gigante fabricado por Totto que viajará por 10 países de América llevando en su interior regalos y mensajes de apoyo para menores refugiados o desplazados enviados por otros niños ajenos a estas situaciones. En la mochila viajarán además obsequios de personajes públicos como el futbolista James Rodríguez, el cantante Juanes o la campeona olímpica de bicicross Mariana Pajón. El viaje comenzará en Colombia el próximo 20 de junio, cuando se celebra el Día Mundial del Refugiado. 
2015-09-01	1	El mandatario aludía a la redistribución entre los 28 Estados de 40 mil refugiados arribados a Grecia e Italia que la Comisión Europea propuso en mayo y que los Estados aceptaron –solo parcialmente– el pasado julio, con fuertes críticas de España y el este europeo. Polonia, el país más pujante del grupo, ha sido el principal promotor de este encuentro, explican otras fuentes. Pese a las reticencias expresadas desde un primer momento al mecanismo de cuotas, la primera ministra polaca, Ewa Kopacz, adoptó un tono mucho más conciliador respecto al esquema de Bruselas. 
2015-09-06	1	"""Cada parroquia, cada comunidad religiosa, cada monasterio, cada santuario en Europa acogerá una familia, empezando por mi diócesis de Roma"", dijo Francisco. Un cardenal italiano calculó que las parroquias en este país predominantemente católico podrían alojar prácticamente a todos esos migrantes. ""Espero que este deseo se vuelva realidad"", declaró el cardenal Angelo Bagnasco al programa televisivo de asuntos católicos TV2000. "
2015-09-08	2	"Tan sólo en Grecia 30,000 refugiados se encuentran repartidos en varias islas del mar Egeo. El Gobierno de Panamá está dispuesto a recibir refugiados sirios, ""si se lo piden"", dijo hoy el presidente del país, Juan Carlos Varela. Son muchos los organismos internacionales que en los últimos días han hecho llamamientos a la solidaridad, entre ellos la Organización de Estados Americanos (OEA) cuyo secretario general, el uruguayo Luis Almagro, le pidió hoy América Latina asilar familias sirias. "
2015-09-09	2	"Como bien manifestó el presidente Juan Carlos Varela, Panamá con mucho gusto valorará todas las posibilidades para apoyar a aquellas personas que buscan mejores días"", apuntó la directora general de Cooperación Internacional panameña, Sandra Lombardo, en una declaración pública. Desde que estalló la crisis de los refugiados, son muchos los organismos internacionales que en los últimos días han hecho llamamientos a la solidaridad, entre ellos la ONU, la Organización de Estados Americanos (OEA) y el propio papa Francisco. Por su parte, Juan Carlos Araúz, vicepresidente del Colegio Nacional de Abogados, manifestó que “cuando un país conoce su lugar en la comunidad internacional, la solidaridad para disminuir la agonía de seres humanos en riesgo se refleja en propuestas como la del Gobierno nacional”. "
2015-09-10	1	Unos 3 mil 300 migrantes ya han atravesado la frontera con Hungría, país de la Unión Europea, precisó RTS. Solo unos cuantos se quedarán en el país, la mayoría seguirá su viaje, principalmente hacia Alemania. El pasado fin de semana, Austria decidió permitir a los migrantes entrar en el país libremente para tratar de aliviar la situación en Hungría, adonde llegaron 50 mil migrantes en agosto. 
2015-09-16	1	"Croacia y Eslovenia están pensando en crear corredores humanitarios hasta Austria para los refugiados de Oriente Medio que empezaron hoy a cruzar la frontera serbocroata después de que Hungría sellara su frontera para los inmigrantes. Si resulta necesario también organizaremos corredores"", señaló en la red social Twitter el titular del Interior de Croacia, Ranko Ostojic. Por su parte, las autoridades eslovenas anunciaron el lunes que tienen sitio para un millar de personas, pero que podrían aumentar sus capacidades con el tiempo, aunque sería un reto afrontar una repentina y masiva llegada de refugiados. "
2015-09-20	1	Kerry indicó que su país está listo para ayudar a abordar la crisis. El ministro no dio más detalles sobre el número exacto de refugiados sirios que se espera que sean aceptados. El presidente de EU, Barack Obama, había anunciado que su administración permitiría la entrada de al menos 10 mil refugiados sirios el próximo año. 
2015-09-22	1	Mientras los líderes europeos discuten qué medidas tomar en cuanto al enorme flujo de refugiados y otros migrantes hacia Europa -y no hay solución inmediata- son los más vulnerables quienes se llevan la peor parte. Como resultado de esta investigación, y tras otro reporte oficial llevado a cabo por parlamentarios italianos, el centro fue cerrado hace unos días. Nuestro equipo de la BBC estaba en la estación con cámaras ocultas y Khaled decidió mostrarnos cómo funciona este negocio. 
2015-11-19	1	El equipo de ONPAR integrado por la directora Yeribeth de Calvo, la subdirectora Crismar Álvarez, así como un psicólogo y asesor legal de la entidad y el personal de HIAS explicaron a los estudiantes la diferencia entre un refugiado y un migrante, destacando que los refugiados huyen de sus países por persecución, motivos políticos, religiosos, entre otros y los migrantes se desplazan a otros países por trabajo, estudios, etc. Se ahondó sobre la vida de algunos famosos como el científico Albert Einstein y la escritora Isabel Allende, quienes tuvieron que abandonar sus países de origen y se convirtieron en refugiados. El taller forma parte de un plan piloto que se prevé hacerlo extensivo a todas las escuelas a las que asisten niños y adolescentes refugiados el próximo año. 
2015-11-22	1	Política exterior divagante: Panamá está en coalición, pero no recibirá refugiados sirios El asesor de la Cancillería, Javier Bonagas, confirmó este domingo que el Gobierno de Panamá no planea recibir inmigrantes sirios. - - Actualizado: 22/11/2015 - 05:26 pm El asesor de la Cancillería, Javier Bonagas confirmó este domingo que el Gobierno de Panamá no planea recibir inmigrantes sirios. Las declaraciones de Bonagas, que se dieron en el programa Radar, contrastan con las afirmaciones del mandatario, Juan Carlos Varela, que aseguró la semana pasada que Panamá tendrá un papel activo en este conflicto surgido por el terrorismo. 
