date	count	summary
2015-05-15	1	Tras intervenir en el lugar se encontró a los 17 extranjeros escondidos en diferentes ambientes de madera. Traficantes e ilegales fueron trasladados a la comisaría de Villa San Isidro para las investigaciones del caso. Fuentes policiales dieron cuenta que los ilegales tenían como destino final Brasil, para ello su primera consigna era llegar a Lima pagando 220 dólares cada uno. 
2015-09-07	1	"""La situación está realmente a punto de explotar en la isla"" de 85.000 habitantes, convertida en una de las primeras etapas del periplo europeo de decenas de miles de refugiados y migrantes de Oriente Medio y África que huyen de los conflictos y la pobreza , dijo el ministro a la radio To Vima. Lesbos, igual que Kos, también en el Egeo, se han convertido en el punto de entrada a Europa de refugiados que huyen a través de Turquía de los conflictos armados en Oriente Medio y África. La mayoría de ellos quieren continuar su viaje hacia el norte de Europa, hacia países como Alemania, a través de los Balcanes, en la crisis migratoria más grave desde la Segunda Guerra Mundial. "
2015-12-16	1	Increíbles imágenes captan la curiosa migración anual del cangrejo rojo de Isla Navidad en Australia, un espectáculo impresionante que ocurre normalmente en octubre pero que en este año comenzó un poco tarde. Esta migración es mundialmente conocida por los turistas y lugareños que acuden a ver cómo los cangrejos parten para poner sus huevos cerca del océano Pacífico. Tristemente los cangrejos rojos son frecuentemente aplastados por los vehículos, y a veces causan accidentes debido a sus exoesqueletos duros que son capaces de perforar los neumáticos. 
2016-01-19	1	Según datos de las autoridades locales, el 37 por ciento de los refugiados que cruzaron Macedonia en diciembre eran niños, un incremento respecto del 23 por ciento registrado en septiembre. Según Unicef, la mayoría de los menores que se encontraban en Serbia tenían edades comprendidas entre los 5 y los 9 años. La situación de estos niños refugiados les hace especialmente vulnerables ante las infecciones respiratorias, los problemas digestivos y las diarreas, según alertó en un comunicado la coordinadora especial para los refugiados de Unicef, Marie-Pierre Poirier. 
2016-05-25	2	Al menos cinco migrantes murieron después que el barco pesquero en que viajaban más de 6 mil refugiados se hundiera frente a la costa de Libia en el mar Mediterráneo, según Daily Mail. *Foto: AFP/ Momento en que el barco se hunde frente a la costa de Libia. Los marinos italianos arrojaron al agua chalecos y botes salvavidas para rescatar a los náufragos, evitando de esta manera una tragedia , como las registradas en situaciones similares en las naves que transportan refugiados ilegales. 
2016-06-02	1	None 
2016-06-17	1	Entre esos afectados, señala, hay más de 8,000 personas, entre ellas cientos de menores no acompañados, “atrapadas en las islas griegas, donde han estado viviendo en condiciones extremas, en campos superpoblados, a veces durante meses”. Para el secretario general internacional de la ONG, Jérôme Oberreit, el pacto entre la UE y Turquía “pone en peligro el mismo concepto de refugiado y la protección que este ofrece a las personas en peligro”. “MSF lleva meses denunciando la vergonzosa respuesta europea, centrada en disuadir a estas personas en lugar de proporcionarles la asistencia y la protección que necesitan”, dice en la nota Oberreit. 
2016-07-16	1	El da que no encontr comida en ningn mercado de Caracas sac todos sus ahorros y compr un boleto areo hacia Lima sin retorno. Se embarc con su esposo Eleazar, sus nueve maletas, su perro y con ese acento meldico de los venezolanos que hasta hoy, dos aos despus, nadie le quita. (Nancy Chapell / El Comercio) El salario mnimo en Venezuela es el segundo peor en Amrica Latina, solo superado por el de Cuba: US$25 al mes, lo que un limeo puede gastar en un restaurante. 
2016-08-26	1	"En horas de la madrugada, mientras Oficiales del Departamento de Extranjería y Policía Internacional, fiscalizaba los estacionamientos del complejo fronterizo Chacalluta, sorprendió a los dominicanos con una actitud sospechosa. Tras solicitarles sus pasaportes, detectaron que estos no contaban con los sellos de entrada correspondientes, otorgados por la Policía de Investigaciones, al instante la pareja de extranjeros manifestó a los oficiales que tres personas peruanas les facilitaron el ingreso al país cobrándoles 200 dólares. “Gracias a la oportuna y eficaz trabajo de esta Unidad Policial se logró detener y neutralizar la conducta ilícita de los imputados, poniendo terminó al accionar delictual de estas organizaciones criminales que con el ánimo de lucro, facilitan y promueven la entrada ilegal de extranjeros al país"", enfatizó el Jefe del Departamento de Extranjería y Policial Internacional Arica, Comisario Víctor Allende Fernández. "
2016-09-07	1	Sólo logrará que la gente vaya aún más lejos (dentro de la región) para lograr sus objetivos”, aseguró el grupo francés de ayuda a la inmigración, François Guennoc of Auberge des Migrants. La construcción está pautada para comenzar este mes de septiembre y finalizar al terminar el año. El muro estará construído integramente en concreto para evitar que sea escalado y tendrá plantas y flores para supuestamente evitar el denominado “impacto visual” según explicaron los encargados de la obra. 
2016-11-20	1	A m me impacta cuando los nios se quitan la camisa y ves que tienen seales de tortura. Drama mundial Una terrible crisis de refugiados tiene lugar en este preciso momento en un remoto desierto entre Jordania y Siria. Los rohingyas han tenido que huir a Bangladesh y otros pases cercanos, donde tambin son excluidos. 
2016-12-02	1	NAIROBI.- Al menos 79 niñas se han refugiado en dos colegios de Kenia para evitar regresar a casa en sus recién iniciadas vacaciones por temor a sufrir la ablación, decisión que ha sido respaldada por los directores de los centros, informaron hoy medios kenianos. “Dicen que van a celebrar reuniones de oración y, sin embargo, están circuncidando a las niñas”, explicó el alcalde de Ptoyo, Samuel Chemonorey, en declaraciones al periódico The Standard. Esta no es la primera vez que menores kenianas se esconden en centros escolares por miedo, ya que el pasado año al menos otras 50 niñas lo hicieron en Nginyang, también en el oeste del país. 
2016-12-22	1	La crisis de los refugiados está alcanzando niveles cada vez más alarmantes en Oriente y Occidente. Es así que la esperanza de vida en los niños llega solo a los 13 años. A parte de ello, los preocupados padres tienen que lidiar con que se enferme dos veces a la semana en los meses de invierno, pues su cuerpecito no resiste las temperaturas muy bajas. 
2017-01-14	1	Peruanos que residen en Chile realizarán mañana domingo en Santiago una marcha contra la xenofobia en protesta por el bárbaro ataque sufrido a fines del año pasado por los hermanos Frank y Marcelo Benítez. Adrianzén advirtió además que hay una ola antimigratoria tanto en Chile como en Europa y Estados Unidos. Según datos extraoficiales, existen alrededor de 200 mil peruanos afincados en Chile. 
2017-03-03	1	Mientras el mandatario estadounidense afirma que México lo pagará de una u otra forma, el gobierno mexicano asegura lo contrario. Los centros contarán con abogados mexicanos que pueden referir los casos a las organizaciones o las clínicas. También contactarán a despachos jurídicos privados interesados en trabajar pro bono. 
2017-03-10	1	Mundo Crece migración africana a Italia El presidente mexicano, Andrés Manuel López Obrador, expresó que su país será sede del diálogo entre el Gobierno y la oposición venezolana. Personajes emblemáticos de la derecha venezolana, como el opositor Leopoldo López, líder del partido Voluntad Popular, donde milita Juan Guaidó, también ha dicho que asistirá al encuentro. Las autoridades mexicanas estiman que hasta dos millones de personas podrían haber optado por esta opción, aunque todavía no son cifras oficiales. 
2017-03-17	1	
2017-03-21	1	"Mi hermana me mandó un video de cómo está su casa. Creo que debemos olvidarnos de que tu perteneces acá y tú al otro, la cosa es llevar las donaciones donde se necesita y nuestros amigos artistas lo han hecho"", acotó. Brunella Horna: padre de modelo denuncia su desaparición tras llevar ayuda a Chiclayo Combatientes acuden a llamado de la Primera Dama ¡Uy, no! "
