date	count	summary
2012-05-16	1	Solo en los dos primeros meses del año, migrantes paraguayos remesaron un promedio de USD 1.300.000 por día al país. En el 2011 el total de remesas recibidas alcanzó unos USD 450 millones, lo que significó un crecimiento del 65% frente al año anterior. Argentina se presenta como el tercer país en envíos de remesas, con apenas USD 4 millones remitidos en el primer bimestre. 
2013-01-22	1	El investigador refirió que se suele exagerar con los números, y los datos más fiables son los del censo de ese país. Este crecimiento (que equivale a multiplicar 38 veces la población migrante) tuvo un claro rostro femenino. Siete de cada diez migrantes en España son mujeres, proporción que marca una gran diferencia con el destino tradicional argentino, donde en 2010 el componente femenino representa el 55,6%”, explica Bruno. 
2013-01-28	1	Los asistentes también tuvieron turno de preguntas, quejas y expusieron sus ideas para mejorar estas ayudas. Aprovechando la presencia de las autoridades paraguayas también se realizó el lanzamiento del programa televisivo “Ro hechaga'u che reta pora” (Te extraño mi patria hermosa) cuyos presentadores son las periodistas paraguayas Matilde Herrera y Ada Jara, bajo la dirección de Luis de los Angeles. El programa se emite semanalmente por la “TV Integración Canal 37 TV-TDT” en Barcelona y trata temas de interés general para los migrantes, cultura, tradición, arte culinario, intercambio con otras asociaciones de latinos. 
2013-07-08	1	Hallaron un sitio en la Capellanía del Migrante, en el ex Seminario Metropolitano, para reunirse periódicamente, poner en común los problemas de sus respectivas colectividades y buscar soluciones. “Somos todos voluntarios, algunos representan a sus asociaciones o están en carácter personal en la organización. Para nosotros lo que hay que investigar son los antecedentes policiales y penales”, opina Caravedo, peruano y con cerca de 30 años de residencia en el Paraguay. 
2013-12-24	1	"24 de Diciembre, 2013 | Nacionales Se da vuelta la tortilla: Españoles migran a Paraguay Aún no se tienen estadísticas en Migraciones, pero ""es llamativa la cantidad de españoles"" que vienen al país para residir, según el titular del ente. Jorge Kronawetter, Director General de Migraciones, reveló a Cardinal AM que existe un importante flujo migratorio de españoles que solicitan radicarse en Paraguay. ""Lo importante es que la mayoría son gente de nivel universitario, la mayoría técnicos con conocimiento acabado en cuestiones bancarias, son ingenieros, gente que maneja el comercio”, destacó. "
2014-04-11	1	En la tienda de campaña, mientras algunos beben café preparado al estilo turco, otros toman la infusión. Matan las horas eternas conversando sobre las últimas noticias que llegan de Siria, visitándose los unos a los otros y dándose consuelo. Pero no solo es famosa en Yabrud, sino también en toda la región de Al Qalamún, donde se ubica esta localidad; así como en Homs y Hama, en el centro, y en las provincias costeras, como Tartús, donde es la bebida oficial; aunque también puede encontrarse en otras partes de Siria. 
2014-06-13	1	Tres puestos migratorios ubicados en puertos en la ribera del río Paraná han sido trasladados, mientras que otros cuatro están cerrados por la suspensión de operaciones en el lado argentino. En el departamento de Itapúa, el río ha inundado los puestos migratorios paraguayos de Mayor Otaño, Capitán Meza y Ape Aimé, que han sido trasladados a la Prefectura Naval o la Marina. El mayor impacto es en Asunción, donde hay 58.300 evacuados, de acuerdo con esa entidad. 
2014-06-26	1	Allí, al menos 50 familias del barrio San Pedro se refugiaron de la crecida del río Paraguay que “inundó completamente nuestro barrio”, según contaron a ABC Color durante un recorrido el martes. Lo principal es la comida, señalan varias señoras cuyos hijos juegan a sus anchas en medio de la plaza. La mayoría de la gente está sin trabajar porque son recicladores de plástico, cartón y demás residuos que se reutilizan, pero como están en una plaza tienen prohibido llevar allí “la basura”. 
2014-07-03	1	Carol Dohmen, técnica del área psicosocial de la organización Geam para el proyecto Jaikatu, explica que inicialmente dicha iniciativa buscaba potenciar las remesas enviadas por los migrantes en las familias receptoras, pero luego el trabajo cambió, al incluirse el factor retorno, y ahora buscan que la Secretaría de Repatriados desarrolle el programa a partir de un convenio ya firmado hace poco. “El proyecto empezó con la idea de apoyar a cien familias paraguayas residentes en Madrid que querían poner negocios en su comunidad de origen con sus familiares, entonces trabajamos tanto en España como acá en Paraguay, en 12 departamentos del país”, detalló. Dohmen sostuvo que, al finalizar el proyecto, dieron apertura a un diálogo con la Secretaría de Repatriados y ya se están abriendo rubros para apoyo a microempresas, los cuales antes solo se usaban para traer enseres o cadáveres de connacionales fallecidos. 
2014-11-12	1	Este índice se obtiene al comparar los compatriotas que viven en el exterior frente a la cantidad de habitantes del país. Los paraguayos han emigrado principalmente a la Argentina, comparando la cantidad de compatriotas en 2000 y 2010 se puede apreciar que se tuvo un incremento del 70,5 por ciento en 10 años. El segundo principal destino de los paraguayos en 2010 era España con casi 80 mil habitantes, mientras que Brasil se ubicaba en el tercer lugar con más de 39 mil. 
2015-01-09	1	Según sondeos, en cada familia hay un migrante o conoce a alguno”, relata Mary Méndez, paraguaya residente desde hace más de una década en España. “Las remesas hoy corresponden al tercer puesto de la economía paraguaya muy cerca de los royalties; fíjate qué importantes tendríamos que ser, pero acá nosotros ni somos escuchados, ni somos conocidos”, lamenta en entrevista con ABC Color. “Porque los sojeros y los ganaderos son muy importantes, pero ese dinero no se ve aquí. 
2015-06-19	1	Pienso que los países deberían replantearse políticamente todo lo relacionado a la libre circulación, ya que en un mundo dinámico los seres humanos siempre buscan el bienestar y el proceso migratorio se da buscando mejores oportunidades ya sea de trabajo, de vivienda, salud, educación o de superación personal. -Hace varios años estás en Argentina ¿de qué manera se desarrolla su trabajo artístico allá? Además como artista tenés la responsabilidad de representar en todo momento al país de donde venís, enriquecer con tu discurso artístico el ambiente cultural que te toca vivir y dejar un camino abierto para los que quieran venir después a transitar la misma experiencia. 
2015-09-10	1	Les faltaban otros cuatro para aterrizar en España, desde donde esperaban poder alcanzar a sus familiares repartidos por Bélgica, Suecia, Alemania y Estados Unidos. Los siete solicitaron formalmente la condición de refugiados, y ahora tramitan una radicación temporal, mientras concluye el proceso judicial abierto tras su entrada irregular al país. El religioso explicó que los recién llegados necesitan poder trabajar y mantenerse antes de partir en algún momento para reunirse con sus familiares en otros países. 
2015-09-14	1	Preguntados desde el lado húngaro de la frontera, algunos refugiado dijeron a Efe que la valla no les parará. Según la televisión pública M1, la policía informó a los refugiados de que deben ir caminando un kilómetro más hasta una entrada oficial, donde podrán pedir asilo si así lo desean. Los refugiados hacían largas colas para subirse a los vehículos que partían en cuestión de minutos rumbo al noroeste y oeste del país, hacia la frontera con Austria. 
2015-09-16	1	"Mundo Las migraciones por el cambio climático ya comenzaron, advierte experto Las migraciones como consecuencia del cambio climático ya comenzaron, advirtió este miércoles en Colombia el experto estadounidense John Short, quien aseguró que el mundo no está preparado para los efectos del calentamiento global. En Bangladesh, por ejemplo, existen refugiados del cambio climático que han abandonado sus hogares en lugares rurales debido a que ya no pueden coexistir con un entorno climático tan agresivo"", dijo el especialista en una entrevista con Efe. El camino que señala el profesor estadounidense para enfrentar el cambio climático lo componen la adaptación y la mitigación. "
2015-09-18	1	Les faltaban otros cuatro para aterrizar en España, desde donde esperaban poder alcanzar a sus familiares repartidos por Bélgica, Suecia, Alemania y Estados Unidos, señalaba el reportaje de la agencia española. Entre ellos, los ciudadanos cubanos -que totalizan 66- son el grupo mayoritario seguidos hasta hace poco por los colombianos en segundo lugar -puesto que pasará a ser ocupado por los sirios- y los bolivianos. Paraguay no tiene injerencia en la región o interés comercial alguno, pero igual estamos recibiendo gustosos a estos ciudadanos”, acotó el titular de la Conare. 
2015-11-02	1	"Este año regresarán a su país tan solo unos 2.000"", apuntó el funcionario de ACNUR. Según Dhanapala, esta postura iraní se explica tanto por motivos religiosos como de respeto a los convenios firmados por el país. Esta circunstancia ha favorecido que los refugiados encuentren empleo y se puedan mantener por sí mismos con mayor facilidad. "
2016-01-07	1	Estas condiciones higiénicas facilitan que los pequeños contraigan enfermedades gastrointestinales, dermatológicas o respiratorias, y el hacinamiento contribuye a su propagación, según Samudio. Por su parte, Juan Carlos Baruja comentó a la misma emisora que ya venía conversando con el mandamás acerca de este cambio. El jueves, a las 09:00 horas, asumirán los nuevos ministros Carla Bacigalupo (Justicia) y Juan C. Baruja (Agricultura). 
2016-01-22	1	"El cantante de ""A Dios le pido"" señaló que esta ""dura experiencia"" le ayudó a comprender más la crisis migratoria porque pudo ""conectar"" las noticias y estadísticas con ""las caras"" de estos indocumentados y sus dramas ""desgarradores"". Juanes, quien es muy afín a las causas sociales, entre ellas su campaña contra las minas antipersonas, reactivó su llamado al Gobierno estadounidense de luchar por una ""reforma migratoria justa"". Todo está conectado, y no se puede juzgar a los inmigrantes de esa manera"", manifestó Juanes. "
