date	count	summary
2010-09-24	1	"Los cadáveres de dos jóvenes salvadoreños que figuraron entre los 72 migrantes latinoamericanos masacrados en México, llegaron el viernes al país y fueron entregados a sus familiares para darles sepultura. Carrozas fúnebres, contratadas por el gobierno, se desplazaron hacia Pasaquina, para que sus familiares velaran sus restos y para su posterior sepultura. De acuerdo con la organización privada Carecen Internacional y del gobierno, todos los días entre 400 y 500 salvadoreños dejan el país en viaje hacia Estados Unidos en busca del ""sueño americano"". "
2011-06-20	1	Recién llegados los migrantes enfrentan barreras naturales en varios campos (idioma, empleo, status legal, exclusión social, etc.). Los migrantes hispanos entienden el valor de esos conceptos, y por tanto, ellos pesan en su evolución cultural. Varias conclusiones son importantes para nosotros del análisis anterior y de los datos que presenta Jiménez en su estudio. 
2011-10-19	1	"""No hay que confiarse, este será un día muy complicado"", advirtió el ministro del Ambiente, Herman Rosa Chávez. Aunque las lluvias fueron mínimas el martes, desde la madrugada de este miércoles las precipitaciones se incrementaron, con intensidad mayor en Ahuachapán, donde el río Paz volvió a desbordarse. Los 16,000 adicionales que se cuentan este miércoles aproximaron la cifra a la población total del municipio de San Martín. "
2011-12-12	1	En este sitio y en este libro, que se erigen como armas contra el olvido, se pueden leer las historias de los 72 seres humanos que perdieron la vida de manera tan anónima. Todos los estilos y géneros se conjuntan para hacer una crónica colectiva. Para que estas víctimas no se quedaran solo como cifras para las estadísticas, un grupo de escritores -entre los que figuran periodistas, poetas y narradores- fueron convocados por la cronista Alma Guillermoprieto para darles existencia y memoria. 
2014-02-26	1	A algunos de los migrantes les habían destrozado los tobillos en una muy cruel lección para el que pretende caminar un desierto. Los migrantes llaman la atención de la Patrulla Fronteriza y eso genera pérdidas al narco. Esa mafia cavernícola que descuartiza y secuestra masivamente bajo el sol del mediodía y en pleno centro de los pueblos opaca a las otras mafias en el rubro de joderle la vida a los indocumentados que cruzan México. 
2014-06-24	1	A Lydia la asaltaron en el camino, luego vivió duros momentos de pobreza en los primeros años cuando todo su dinero iba para pagar la deuda del coyote. 3 Pero también hay muchos casos en los que las familias logran evitar el rencor y aprenden a apreciar los esfuerzos de las madres. Los casos presentados aparacen en su libro Sacrificing Families: Navigating Laws, Labor, and Love Across Borders, Stanford University Press, 2014, que se puede adquirir en este enlace. 
2014-07-25	1	Días después iba con un grupo cruzando en una lancha hacia México, caminando por horas, atento a las serpientes, durmiendo en almacenes y pasando hambre. Ese viaje o uno similar lo han hecho al menos 57,000 niños desde octubre para llegar a la frontera estadounidense, lo que ha generado una crisis migratoria en la región. Antes de partir, Marco había llamado a su madre, Rosa, para pedirle dinero por unos zapatos, pero no le contó más. 
2014-07-31	1	Autoridades de Guatemala, México y Estados Unidos acordaron impedir que migrantes aborden el tren 'La Bestia' en territorio mexicano en la peligrosa travesía a suelo estadounidense, informó este miércoles una fuente oficial guatemalteca. Esto es un acuerdo al que llegaron los presidente de Guatemala (Otto Pérez) y México (Enrique Peña Nieto), junto con el vicepresidente de Estados Unidos (Joe Biden), dijo a periodistas la secretaria ejecutiva del estatal Consejo Nacional de Atención al Migrante (Conamigua), Alejandra Gordillo. Los tres llegaron a unos compromisos en cuanto el tema de seguridad, aseveró la funcionaria, sin precisar la fecha en que alcanzaron estos acuerdos. 
2015-04-13	1	El CAM, solidario, accedió a prestarles la glorieta del parque principal de la zona para que durmieran ahí una sola noche. En una semana caótica, una familia decide refugiarse en un parque ubicado en una colonia de ricos para decirnos lo mal que la estamos pasando todos. En Madreselva, el martes 7, la Policía Nacional Civil ofreció a la familia patrullajes de seguridad para garantizar su integridad física esa noche y la madrugada del día siguiente, pero la diputada sugiere que la familia desplazada rechazó la ayuda de la PNC para seguirle el juego a Arena. 
2015-05-03	1	Don Chepe, como él mismo menciona, investiga todo “extraoficialmente”, en parte porque los medios oficiales de justicia han fallado o se muestran desinteresados en los casos. Si algo pasa en el pueblo de La Florida o Lagarto, Guanacaste (lugares históricamente muy rurales y pobres), pues buena suerte tengan llamando a la policía. Estuvo Fredric Jameson por ahí y otros que se describirían como marxistas o posmarxistas (al mundo académico le sigue encantando esto de los “pos”). 
2015-11-15	1	"Los cubanos ""ingresaron a la fuerza al territorio nacional, obviando los requisitos y procedimientos que las leyes establecen"" en Nicaragua, explicó más temprano la institución. En contraste, el canciller costarricense Manuel González denunció que los militares les lanzaron gases lacrimógenos cuando avanzaban por la carretera, según reportó el periódico La Nación de Costa Rica. El sábado, Costa Rica hizo ""un llamado urgente a los países que han sido involucrados en el flujo ilegal de cubanos hacia Estados Unidos para buscar una solución conjunta a ese flujo irregular de personas"", señaló el comunicado. "
2016-02-19	1	El titular del Instituto Nacional de Migración (INM), Ardelio Vargas Fosado, aseveró lo anterior en el marco de la Cumbre Parlamentaria sobre Migración en México, Centroamérica y la Cuenca del Caribe, que se realizó en el Senado de la República mexicana. Durante su exposición, dio a conocer que esa tarjeta de identidad se hará extensiva a trabajadores de Honduras y El Salvador en los próximos días. El Comisionado de Migración informó que a la fecha ya se expidieron 284 mil tarjetas a ciudadanos guatemaltecos que se ocupan en las fincas cafetaleras, ganaderas y productoras de aceite de palma. 
2016-02-22	1	Durante la entrevista, reflexionó sobre algunas de las posibles causas de migración de los salvadoreños; “a veces se suele decir que en el país las cosas están complicadas en el tema de seguridad, pero yo les digo: habiendo vivido y estado como responsable en el momento que se dio la masacre de Tamaulipas, no puedo describir un horror más grande que eso, y eso me marcó para toda la vida, porque fueron vidas, jóvenes, una adolescente y personas adultas que fueron truncadas de una manera horrorosa, atroz y no vale la pena que arriesguen a sus hijos a un destino como ese”. Los 750 millones de dólares aprobados por el Congreso estadounidense se ejecutarán en 2016. El próximo 24 de febrero, el presidente Salvador Sánchez Cerén se reunirá con el vicepresidente de Estados Unidos, Joe Biden, para conversar sobre un presupuesto adicional que el mandatario Barack Obama ha solicitado para 2017, para respaldar la Alianza para la Prosperidad. 
2016-02-25	1	Garantizó que los fondos destinados por el congreso norteamericano tendrán un manejo transparente y seguro, ya que la ejecución de los mismos estará “celosamente” vigilada por las agencias financieras de ese país. Cada país está elaborando los proyectos mediante los cuales va aplicar y a calificar para la ejecución de esos fondos. Nosotros tenemos la expectativa que a la altura de septiembre eso se pueda materializar”, informó. 
2016-03-05	1	Sin embargo creo que la crisis de los refugiados es más peligrosa para toda Europa, porque amenaza existencialmente a la UE”, dijo Tsipras en una entrevista publicada este sábado por el diario alemán Bild. Ante esa situación, Tsipras consideró que la única solución viable es la de establecer cuotas para repartir los refugiados. El premier griego reiteró asimismo su rechazo al cierre de las fronteras en la llamada ruta balcánica: “No puede ser que se acuerde algo en una cumbre europea y luego un grupo de países se reúna y acuerde cerrar sus fronteras. 
2016-06-24	1	El Salvador es respetuoso del ordenamiento jurídico interno y de las decisiones de las instancias judiciales de otras naciones, añade el comunicado. No obstante lo anterior, el gobierno salvadoreño señaló importante “insistir también en la necesidad de la pronta búsqueda de medidas que promuevan la estabilidad migratoria y vayan encaminadas a una reforma integral para todos los migrantes que se apegan a las normativas estadounidenses, y que con su trabajo cada día aportan a la economía y a la riqueza cultural de esa nación”. Al final del comunicado se hace una invitación a los compatriotas que residen en ese país, “a estar pendientes de la asistencia y la orientación que la embajada y los consulados salvadoreños en los Estados Unidos de América puedan brindar al respecto”. 
2016-06-28	1	El embajador Bernard Garside llama a la calma tras la decisión que tomaron los electores británicos de abandonar la Unión Europea (UE). Como todos los estados tan grandes como la UE, hay algunas leyes, hay algunas cosas que no le gustan a toda la gente y tuvimos inquietudes en algunas partes de la UE y las inquietudes estaban creciendo en los últimos dos, tres o cuatro años. Se lo pregunto porque hay muchas personas que ya están catalogando a Boris Johnson como el Donald Trump británico. 
2016-07-04	1	“La víctimas no denuncian porque no tienen confianza en las autoridades, porque los mismos agresores, que usualmente son pandilleros, les dicen que si los denuncian los van a asesinar a ellos y todos sus familiares”, según la investigadora de migración interna y externa de la Universidad Tecnológica de El Salvador, Elsa Ramos. La violencia pandilleril dejó un promedio de 300 víctimas mortales durante junio pasado, y en lo que va del año 3,016. “Hemos documentado casos de jóvenes que en las entrevistas de trabajo han sido cuestionados sobre si son pertenecientes a una pandilla, son desnudados para verificar si tienen tatuajes e incluso sometidos al polígrafo, una situación que daña su integridad”, lamentó Medrano. 
2016-07-28	1	Rodriguez reveló que las cancillerias de México y Estados Unidos reportaban 3,696 niños salvadoreños migrantes detenidos, lo que representaba un 49% de aumento en comparación al año anterior cuando se reportaron 2,480. Además informó que la mayoría de niños son capturados en suelo azteca. Las causas de la migración van desde el desempleo, la violencia hasta la reunificación familiar. 
2016-08-31	1	Entre los fallecidos se encuentran algunos salvadoreños, dijeron autoridades mexicanas que atendieron a las víctimas, aunque también hay hondureños y guatemaltecos. La unidad Van quedó con las llantas hacia arriba y al lugar llegaron elementos del Ejército Mexicano para brindar asistencia a quienes se encontraban heridos. Primeros nombres de heridos IMSS Hospital General Zona 15 José Domingo Vino Huxtla/ Observación Neri U. 
2016-09-14	1	"El vicepresidente de Estados Unidos, Joe Biden, conversó telefónicamente este martes con los presidente Enrique Peña Nieto (México) y Salvador Sánchez Cerén (El Salvador) sobre cooperación para contener la migración irregular, informó la Casa Blanca. En tanto, en su diálogo con Sánchez Cerén, Biden agradeció los esfuerzos del gobierno salvadoreño para la implementación del ambicioso plan denominado Alianza para la Prosperidad del Triángulo Norte, y que beneficia a Honduras y Guatemala, además de El Salvador. Biden acordó con Sánchez Cerén mantener la cooperación para ""hacer avanzar una reforma fiscal, estimular el crecimiento económico, mejorar la administración pública y reforzar la seguridad para construir un futuro mejor para los centroamericanos"". "
2016-09-24	1	"Luego de conocerse que Australia volvería a abrir sus puertas a salvadoreños que pidan asilo por amenazas de maras, refugiados en ese país por el conflicto armado han recordado su situación hace más de dos décadas y reflexionan sobre su presente al otro lado del mundo. El periódico ""News"" ha publicado este día con Glenda Mejía, una salvadoreña residente en Australia que recuerda con detalles como su familia llegó a la tranquila ciudad de Toowomba huyendo de todo el peligro que le representaba vivir en El Salvador. Las ventanas no tenian barras, fue una sorpresa"", recuerda Mejía quien fue acogida por una iglesia anglicana que les ayudó incluso a conseguir empleo y estudio. "
2016-09-27	1	Para los habitantes de El Castaño, la gran ciudad es Caluco o Izalco, municipios semi rurales donde incluso es posible encontrar algún supermercado. Esa cancha de básquetbol se convirtió hace semana y media en el primer refugio para personas desplazadas por la violencia desde que terminó la guerra civil, en 1992. Están atentos a los recién llegados y llevan un minucioso listado de las familias que viven en el albergue. 
2016-10-09	1	“Si no se sienten bien que regresen después”, les planteó. Orellana puso en duda las declaraciones de Cotto ya que los mareros siguen estando libres, desplazándose por los ocho cantones que tiene el municipio, afirmó. “Lo hemos dicho claramente, tenemos identificado quiénes son estos sujetos y de acuerdo al tipo de movimientos operativos que hemos realizado en la zona y de inteligencia, presumimos que esos cuatro individuos ya no están en el área”, aseguró. 
2016-10-25	1	"Buscarse un ""sugar daddy"" o compañero adinerado, es el mensaje del sitio web Arrangement Finders, el cual se autodescribe como una página que conecta a mujeres y hombres que buscan llegar a acuerdos con ""beneficios mutuos"". Los primeros en reclamar han sido los activistas que pertenecen a la comunidad latinoamericana, ya que en el cartel aparece una joven latina con los colores de la bandera mexicana de fondo con la leyenda: ""¿Eres una inmigrante indocumentada? Jacob Webster dijo al canal Fox 7 que se había inspirado en las promesas del magnate republicano de deportar a 11 millones de indocumentados, y que el cartel le ha dado muy buenos resultados ya que ha incrementado el número de suscripciones, las cuales son gratuitas para las mujeres. "
2016-11-11	1	“Felicitamos al señor Donald Trump, pese a que Hillary Clinton obtuvo más votos de manera directa, de manera indirecta el resultó ser el nuevo presidente”, manifestó Guevara. Al mismo tiempo la diputada de izquierda dijo que “esperamos que la nueva administración respete el derecho de los migrantes salvadoreños que viven en Estados Unidos”. Trump ha sido felicitado de manera cautelosa por la mayoría de líderes de América Latina, ya que hay mucha incertidumbre por el estilo de gobierno que se va a tener en la nación norteamericana por los próximos cuatro años. 
2016-11-20	1	"Los cancilleres de El Salvador,Guatemala y Honduras definirán la próxima semana en Guatemala un plan para interceder por sus emigrantes ante el próximo gobierno de Estados Unidos, informó este viernes a la AFP la canciller hondureña, María Agüero. ""Seguiremos trabajando los tres países en conjunto con Estados Unidos"" en el marco de esa estrategia de evitar que las personas sigan saliendo de los tres países hacia Estados Unidos, subrayó. En ese sentido, explicó que los presidentes Salvador Sánchez Cerén (El Salvador), Jimmy Morales (Guatemala), y Juan Orlando Hernández (Honduras) dieron esas instrucciones a los cancilleres en la reunión celebrada el martes en Ocotepeque, donde pusieron en marcha una operación conjunta de policías y militares contra las padillas y el crimen en la frontera común. "
2016-11-30	1	Otros, sin embargo, creen que la explicación está en el grave problema de seguridad pública. El Salvador tuvo un único repunte relevante en la IED en los últimos 11 años: ocurrió en 2007, cuando percibió mil 508 millones de dólares. La explicación es que ese año casi la totalidad de los bancos salvadoreños fueron vendidos a manos extranjeras. 
2016-12-01	1	"Según la investigación fiscal, 14 de las personas que conformaban el viaje eran de nacionalidad salvadoreña, quienes junto a los otros 58 fueron interceptados por la estructura criminal mexicana cuando se encontraban en Tamaulipas, México. Los delincuentes exigieron a los responsables del viaje una cantidad de $3,000, por persona, la que se negaron a pagar por lo que fueron secuestrados por el grupo armado que controla gran parte de la zona en la que a diario miles de personas cruzan intentando llegar a suelo estadounidense. Miembros ""Los Zetas"" se contactaron con los familiares de sus víctimas para intentar negociar el ""libre tránsito"" por la zona, pero al obtener una segunda respuesta negativa estos decidieron asesinar a todos los ilegales. "
2016-12-06	1	La preocupación por las seguridad del padre Solalinde llevó al Senado mexicano a exigirle al gobierno de Felipe Calderón que garantizaran la seguridad del sacerdote que dirige el refugio de migrantes Hermanos en el Camino de Ixtepec, Oaxaca. A estas peticiones se sumaron organizaciones como Amnistía Internacional y la Comisión Nacional de Derechos Humanos (CNDH) exigieron al gobierno de Oaxaca que le proporcionara a Solalinde la seguridad necesaria. Las personas armadas resultaron ser los escoltas que el gobierno de Oaxaca le proporcionó al sacerdote para su protección. 
2017-01-18	1	Recientemente destacó su intención de construir un muro en la frontera entre México y Estados Unidos. “Sabéis que tenemos un gran reto pero aquí estamos para apoyarnos”, dijo Sandra Marisol Cruz, cónsul de El Salvador en Nueva York y Pensilvania. En los consulados de otras ciudades como Chicago, Atlanta, Los Ángeles, San Francisco, Miami, Seattle y McAllen, en Texas, también se han suscrito o subscribirán al acuerdo. 
2017-02-05	2	"Así, no solo prometió impedir que las empresas externalicen la mano de obra sino también ""imponer como condición absoluta contratar primero a trabajadores estadounidenses"". La indignación generada por el decreto del presidente Donald Trump para limitar la migración a Estados Unidos expuso la angustia de los migrantes e hizo recordar que los trabajadores cualificados extranjeros son indispensables para muchas empresas estadounidenses. Así, no solo prometió impedir que las empresas busquen mano de obra barata en otros países, sino también “imponer como condición absoluta contratar primero a trabajadores estadounidenses”. "
2017-02-11	1	"El mensaje que ha hecho imprimir en sus tickets de caja podría hacerle más famoso aun: ""Los inmigrantes hacen la grandeza de Estados Unidos (y son también los que han preparado vuestra comida y os han servido hoy)"", se puede leer en las notas, parodiando el célebre eslogan de la campaña de Donald Trump. Fue una periodista de la cadena NBC, que almorzó en este local el pasado domingo, quien propagó la noticia tuiteando una foto de la nota, y 48 horas después se convirtió viral con 100.000 retuits, según la revista de negocios Fortune. Otros restaurantes de Nueva York, la mayoría de los cuales no podría funcionar sin trabajadores inmigrantes, también protestaron contra el decreto. "
2017-02-26	1	"La Embajada de Estados Unidos presentó esta mañana a su Consejo Juvenil, que se encargará de asesorar en temas específicos que conciernen a esta población como salud, educación, seguridad migración y otros. ""Este consejo es multidisciplinario, pluralista y por esa misma lógica habrá diferencia de iniciativas así como diferencias ideológicas, pero todos vamos a trabajar con una misma visión, por El Salvador"", añadió Ortíz. Los miembros del consejo han sido seleccionados por su capacidad de liderazgo, incidencia y compromiso con su comunidad. "
2017-03-16	1	“Nos preocupan los dos flujos porque Costa Rica no tiene las condiciones para aguantar una llegada masiva de migrantes que pueda superar dos o tres veces lo que ya tenemos en el país”, afirmó el mandatario a periodistas, tras una conferencia en el Diálogo Interamericano, un centro de análisis. Tras la visita del presidente peruano Pedro Pablo Kuczinsky hace tres semanas a la Casa Blanca, Solís es el segundo líder latinoamericano en reunirse con la plana mayor de la nueva administración estadounidense. “Cuánto específicamente podría afectar a Centroamérica y Costa Rica no lo sabemos”, apuntó. 
2017-03-20	1	Publicidad Monseñor Romero se ha convertido en un guía, un ícono, un 'santo' para los cientos de migrantes que huyeron de las guerras y que ahora huyen de la violencia de Centroamérica. FI slug: FI name: Marzo 2017 FI sort: FT slug: FT name: FT sort: FS slug: FS name: FS sort: FI slug: FI name: Marzo 2017 FI sort: FT slug: FT name: FT sort: FS slug: FS name: FS sort: Publicidad 
2017-03-29	1	La embajadora Manes tras cumplir su primer aniversario como representante de los Estados Unidos en el país realizó su primera conversación en vivo a través de Facebook Live. La transmisión en vivo dio paso a preguntas en torno a diferentes temas y ella mostró su compromiso de trabajo con El Salvador. Esta se hizo en horas del medio día y duró 36 minutos. 
2017-03-30	1	Un estudio de la Organización Internacional para las Migraciones (OIM) revela que la mayoría de los niños inmigrantes sin acompañantes que son retornados regresan a vivir en condiciones paupérrimas que atentan contra su salud. La importancia de destacar esas condiciones es que los niños que habitan en esas casas son altamente vulnerables a desarrollar enfermedades parasitarias y otras como el mal de Chagas (enfermedad que se contrae tras la picadura del insecto conocido popularmente como Chinche que se aloja en ese tipo de viviendas). Por otra parte, el estudio que será presentado en su totalidad el próximo 28 de marzo también revela que las niñas y niños corren peligro de ser víctimas de acoso o abuso sexual sobretodo durante las noche debido a que las letrinas están ubicadas en infraestructura separada de la vivienda. 
2017-05-24	1	Pero la operación mostró que unos dos tercios de los arrestados son estadounidenses, no inmigrantes, y solo 104 eran integrantes del MS-13. “La MS-13 es una marca criminal muy conocida, porque siembra el miedo y usa el miedo como arma”, y por eso la Casa Blanca la eligió como blanco, estima Samuel Logan, autor del libro Esto es para la Mara Salvatrucha: dentro del MS-13, la pandilla más violenta de EEUU . El poder de la pandilla, declarada en 2012 una “organización criminal transnacional” por Estados Unidos, se extiende desde El Salvador y sus vecinos hasta México, Canadá o España. 
2017-06-12	1	Mediante un comunicado la Patrulla Fronteriza de los Estados Unidos (CBP sus siglas en ingles), informo sobre el rescate de 59 inmigrantes que se encontraban en condiciones inhumanas. En otro rescate fueron localizados 48 inmigrantes, de nacionalidad mexicana, hondureña y guatemalteca, estos viajaban dentro de un remolque refrigerado. En los tres operativos se reporto la captura de los ciudadanos estadounidense que transportaban a los migrantes 
2017-06-26	1	Los traficantes le permitieron hacer un tercer intento para lograr entrar a Estados Unidos, pero en esta ocasión decidió que quien probara suerte fuera su sobrino, Moris Alexander G. Así, emprendió el viaje y al poco tiempo a la familia le pidieron $1,500 más, porque Ovidio –su nombre completo es José Ovidio Cerón Moreno, su contacto en El Salvador- no había respondido. Con el pago, Moris logró salvarse, pero no de migración, pues al pasar hacia Estados Unidos fue capturado y deportado a El Salvador. El juicio finalizó ayer, sin embargo, será hasta el próximo 26 de junio que se dará a conocer la decisión del juez. 
2017-07-29	1	Matamoros comentó que las labores de rescate se tornaron complicadas ya que el caudal del Río Bravo ha crecido en los últimos días debido a fuertes lluvias, así como por el agua acumulada en la presa de El Elefante, situada en el estadounidense Nuevo México. Además, este jueves otros cinco guatemaltecos fueron detenidos en la orilla del río mientras trataban de cruzar a Estados Unidos, entre ellos un niño de dos años. El fin de semana pasado, 10 migrantes indocumentados murieron en un camión que fue localizado en Texas y en el que habrían viajado entre 70 y 200 personas hacinadas, según las autoridades. 
