date	count	summary
2011-05-09	1	A senior police source, who requested anonymity, revealed that illegal immigrants were coming into T&T through several points in south Trinidad, namely at Puerto Grande, Erin; Buenos Ayres, Erin; Mahawal Trace, Santa Flora; Galfar Point, Cedros; Point Coco, Granville, Morne Diablo, Penal; and Quinam Beach, Siparia. “These boats go with ten big containers of fuel and no fishing nets…What are they going there for?” the officer added. Already more than 14 new casinos, supermarkets and restaurants have mushroomed along the SS Erin Road, Debe, with only a few offering employment opportunities for locals. 
2017-09-23	1	In a television interview, Rowley said Dominica was totally devastated and its people need help. Rowley reiterated that if there were Dominicans who have relatives or friends in TT, who are willing and able to help them, “then we at the level of the State will not be an impediment to those persons’ way.” He continued, “We will allow them to extend that hand for six months.” Rowley said within this specific period, the numbers of Dominicans who may come TT will not be huge. He appealed to these people, “to not see race in every thing that we do in TT.” Rowley said the Immigration Act and this country’s treaty arrangements with Caricom, “allow Dominicans to come here by virtue of being citizens of the Commonwealth of Dominica.” He continued, “When they get here, they can ask for an extension and that extension can be granted.” Source: http://newsday.co.tt/2017/09/23/rowley-trinis-are-caring-people/ 
2018-04-23	1	None 
2018-05-04	1	
2018-06-17	1	ON Wednesday the world will observe World Refugee Day (WRD), a day when “we commemorate the strength, courage and perseverance of millions of refugees” (UN). Archbishop Jason Gordon has launched an Archdiocese’s Ministry for Migrants and Refugees (AMMR). Let’s pray and act to ensure that there is a place at the table of life for all. 
2018-06-18	1	We call on the Government also to develop an efficient and secure asylum system. Let's pray and act to ensure that there is a place at the table of life for all,” he said. “The earth, says Pope Francis, is our common home and we are a universal family. 
2018-06-19	1	
2018-06-21	1	Make up your mind on whether you want Venezuelans to be given refugee status in Trinidad and Tobago or not. This is what Acting Prime Minister Colm Imbert told the Opposition yesterday as he responded to a question from Couva South, Rudy Indarsingh on whether there were Venezuelans migrants employed on the Red House project. Imbert said UDeCOTT was currently conducting an investigation by making inquiries of all contractors and sub-contractors on the project. 
2018-07-12	1	12, CMC – The US Department of State says there was a significant reduction in irregular migration from Cuba since January 2017. Wednesday’s migration talks came a day after both parties held the fourth Law Enforcement Dialogue in Washington. Gala Lopez, and Ministry of Interior Colonel Nestor Borrero Calvo led the Cuban delegation. 
2018-07-17	1	The Bolivarian Republic of Venezuela continues to dominate headlines, especially with regard to the exodus of its people to different parts of South America and the Caribbean. According to the United Nations Refugee Agency (UNHCR), 5,000 migrants are leaving every day and, at that rate, 1.8 million people would have departed by the end of 2018 (Long & Schipani, Irish Times, April 18, 2018). 
2018-08-08	1	Addressing the RNB’s 45th annual general meeting here, the Grenada Chief Nursing Officer, said that “experienced nurses are leaving in large numbers. “Chief Nursing Officers (CNOs) can testify to a certain renewed active migration taking place where international agencies are coming in a secretive manner and recruiting our personnel”, she told the gathering of CNOs, representatives of Nursing Councils, universities and international development partners. She also lamented the migration “crisis”, emphasising “something must be done to ensure that the haemorrhaging of our trained people who [governments] borrow to invest in”, is stopped. 
