date	count	summary
2013-01-02	1	Los extranjeros que habitan en Argentina podrán modificar su identidad sexual en su documento nacional de identidad (DNI), destacó EFE. Para cambiar su identidad en el DNI la persona tendrá que acreditar que la modificación no es realizable en su país de origen. Los extranjeros no podrán utilizar el nuevo documento para entrar o salir de Argentina, sino que tendrán que identificarse con otro documento hábil de viaje de acuerdo a su nacionalidad. 
2013-03-29	1	La Agencia apoya a los que llegan en su proceso de inserción, e incluye desde refugio para mujeres en riesgo, hasta reasentamiento de familias en medios rurales similares a las condiciones de donde proceden, señaló Cortina en declaraciones a radio Uruguay, del SODRE. Te recomendamos Obaldía dijo que Páez Vilaró hizo Casapueblo sin un aporte y le responden que lo regularizaron en 1980 La directora de Cultura de la Intendencia de Montevideo, María Inés Obaldía, expresó que Carlos Páez Vilaró construyó Casapueblo “sin un solo aporte y sin un solo plano”. Los hijos del artista respondieron que regularizaron la... Compartí tu opinión con toda la comunidad 
2013-04-09	1	Por millones los animales se quedan cada vez más en Europa y no solamente por uno o dos grados más de temperatura: se da el caso de centenares detectadas que una vez llegadas al África, descubren que los lares donde moraban han sido devastados por la sequía, los incendios, y las hambrunas, y emprenden el regreso al norte, donde pocas llegan. Las “cigüeñas negras” han dejado de migrar a países como Malí o Níger, y prefieren mantenerse por miles en Extremadura y Andalucía, a mitad de camino rumbo al sur. Las grullas de Alemania hacen otro tanto, y ya no cruzan el Mediterráneo, sino que se asolean en tierras del sur español, donde compiten por el habitat con otras especies autóctonas. 
2013-10-29	1	Aves dejan de migrar al sur en Europa pero multiplican los viajes en América Los ornitólogos enfrentan un dilema inédito ante registros casi antagónicos en los vuelos migratorios en Europa y en América: mientras en el viejo continente las aves parecen no querer salir de sus nidos en las áreas nórdicas para emprender viaje al sur, en América se multiplica la cantidad de ejemplares que dejan Norteamérica para dirigirse al Caribe. Las costas del norte de Cuba son los primeros puntos a los que arriban y este año ya se han instalado por decenas de miles tanto en el archipiélago Sabana-Camagüey, en el centro-este del país como en las penínsulas de Hicacos y Guanahacabibes, en el Occidente, y Gibara en la zona más oriental. Algunos países gastan casi 10 veces y otros ni siquiera llegan a uno. 
2014-01-18	1	Una sincronización perfecta y una postura clave Las aves que realizan largos vuelos, crean este tipo de alineaciones para ahorrar energía mediante la posición del cuerpo, en tanto sincronizan el movimiento de sus aleteos. “Al volar en formación en V –detrás y al lado del pájaro de adelante– los pájaros que van detrás agitan sus alas en fase, lo que les permite tener un impulso extra proveniente del pájaro de delante. Te recomendamos Monstruos vs Virus, el videojuego desarrollado en Uruguay para enseñar a los niños sobre el COVID-19 Un videojuego educa a los niños sobre cómo comportarse en una pandemia sin llegar a saturarlos de información científica, desarrollándose la enseñanza en un entorno lúdico , didáctico y muy entretenido. 
2014-06-19	1	Assange ha sido entrevistado en innumerables ocasiones durante estos dos años. En ese espacio trabaja 17 horas diarias frente a su computadora, se ejercita en la cinta que le regaló el cineasta Ken Loach, y recibe visitas. Su mobiliario consiste en una cama, una mesa, una estantería, y nada más. 
2014-08-12	1	La interceptación de embarcaciones de todo tipo en la madrugada del martes, se produce apenas después que el lunes fueran encontradas otros 31 botes inflables de plástico y varias pateras que en total llevaban 299 inmigrantes, el mayor número en una sola jornada en lo que va del año. El viaje sumamente peligroso, se ve no obstante incentivado en los últimos días, debido a que el buen tiempo se mantiene sobre el Mediterráneo, lo que ahuyenta el mayor miedo de los migrantes: naufragar en embarcaciones sin ningún tipo de socorro inmediato posible. Te recomendamos Un combatiente estadounidense del Estado Islámico cuenta cómo fueron los días finales del califato Derrota para Bolsonaro: Congreso votó contra reforma constitucional para votar por boleta de papel Bolsonaro está sembrando un campo minado de dudas y cuestionamientos al sistema electoral, y amenaza con no aceptar los resultados si pierde. 
2014-10-08	1	Sin embargo, el Fondo Mundial para la Naturaleza (WWWF), en su Informe sobre la Reserva Monarca de México, había apuntando que en la migración anterior, las mariposas se habían presentado hasta un 44% menos que lo habitual y que no habían llegado a ocupar ni siquiera una décima parte de sus áreas comunes. «La mayor parte del hábitat reproductivo en esa región se ha perdido por los cambios en las prácticas agrícolas, principalmente la explosiva adopción de cultivos tolerantes a herbicidas a finales del siglo XX y comienzo del XXI», ha explicado la profesora Karen Oberhauser, docente de la Universidad de Minnesota, según publica el periódico Regeneración de México. Algunos países gastan casi 10 veces y otros ni siquiera llegan a uno. 
2014-11-06	1	En los últimos 20 años se ha perdido casi la tercera parte de la población total del “rey de la selva”, cuyas poblaciones en India están en “peligro crítico”, mientras se extinguieron definitivamente en el norte africano, Medio Oriente y el oeste asiático. El único mamífero sin depredadores naturales, desaparece en función estrictamente de accionar humano. Algunos países gastan casi 10 veces y otros ni siquiera llegan a uno. 
2014-12-15	1	Cuando casi nadie lo esperaba, los seis detenidos en la base de Guantánamo se encuentran por fin libres en territorio uruguayo. La acusación inicial por la cual la justicia norteamericana los había detenido ha quedado desvirtuada y según declaran sus propios captores, no se trata de sujetos peligrosos ni delincuentes. La solución más sencilla, como sería extraditarlos a su país de origen no resulta posible puesto que allí o bien no son aceptados, o si lo son, corren peligro de muerte por la misma infundada acusación que motivó su detención. 
