date	count	summary
2014-10-24	1	"Otras 387.000 personas huyeron a Rusia, 6.600 pidieron asilo en la Unión Europea y 581 lo hicieron en Bielorrusia. ""Ahora que la crisis de Ucrania entra en su primer invierno, ACNUR trabaja a toda prisa para ayudar a los desplazados más vulnerables a afrontar las duras condiciones que se esperan este invierno"", declaró esta agencia de la ONU. Se necesita ayuda humanitaria sobre todo en las regiones de Donetsk y Kiev, afirmó este organismo. "
2015-01-23	1	Quienes se incorporen a este nuevo plan no serán detenidos, asegura la funcionaria. Para los que necesitan refugio por cuestiones humanitarias existen otros programas contemplados en la Ley de Migración, señala. «Queremos que acudan sin miedo, les damos la oportunidad de regularizarse», asegura García Villalobos. 
2015-03-30	1	«Ha sido un ataque», había indicado a la AFP Pablo Marco, jefe del programa de MSF para Oriente Medio, añadiendo que probablemente habría «más muertos». Quince cuerpos fueron trasladados al cercano hospital de Haradh, declaró Marco. Las instalaciones acogen desde 2009 a yemenitas desplazados por el conflicto entre los milicianos hutíes (chiitas) y el gobierno central. 
2015-05-12	1	Desplazados a causa de los conflictos violentos en sus países natales, estas personas han atravesado el Mediterráneo para buscar un futuro mejor. «Nunca había bebido antes de estar aquí, pero ¿cómo voy a dormir sin chaqueta ni colcha en un colchón mojado si no estoy borracho?», cuenta el interlocutor. Sin embargo, no todos los moradores del campo quieren quedarse en Francia; muchos solo están de paso para ir hacia otros países como Inglaterra o Alemania. 
2015-05-15	1	El primer ministro malasio Najib Razak dijo «estar muy preocupado por el sufrimiento» de los migrantes, pero aseguró que su gobierno está tomando las «medidas necesarias». Este barco fue seguido, un poco más lejos en la costa, por otra embarcación que transportaba a unas 50 personas, también rescatadas por pescadores. Con estas llegadas, ya suman 1.300 los migrantes que han logrado tocar tierra en Aceh en los últimos días. 
2015-08-23	1	Además, en una aldea cercana a Presevo, Miratovac, esperan otros 5 mil refugiados que hoy han recibido la visita del ministro de Defensa, Bratislav Gasic, quien pronosticó que esta afluencia continuará en los próximos días. Los medios serbios apuntan a que en los pasos fronterizos de Bogorodica y Djevdjelija con Macedonia ya no existe la dramática aglomeración de refugiados que se daba en los últimos días, ya que las autoridades macedonias los han dejado pasar a Serbia y han organizado mejor su transporte hacia el norte. Tanto la Cruz Roja como ACNUR proveen a los inmigrantes de alimentos, agua y medicinas, pero no su transporte dentro del país. 
2015-09-03	1	"¿Consideras que se haga justicia en el caso cuando falta saber quiénes son los autores intelectuales del crimen?. Hubo otros factores, sin duda, pero la filtración parece haber logrado resultados tangibles si el calendario de las acciones estatales posteriores no fue casual: Avergonzó al Estado y hacía que sea menos probable que la jueza retroceda en el fallo cuando llegue la fecha para dictaminarlo. ""Francamente"", por más que hubiera querido, ""no podía hacer mucho al respecto"", dijo Durbin. "
2015-09-04	1	Vestía calzado de tenis, pantalones cortos azules y camisa roja. En total, 12 migrantes murieron ahogados frente a la costa turca de Bodrum ese día. En un comunicado de la policía, filtrado después a la agencia de noticias turca Dogan, Abdullah Kurdi dio un relato diferente, negando que haya habido un contrabandista a bordo. 
2015-09-07	1	El lunes por la mañana, un primer “tren procedente de Salzburgo (Austria), con 150 refugiados a bordo” era esperado en Munich (sur de Alemania), según la prensa local, que indica que “será muy difícil hacer un pronóstico” sobre el número de migrantes que pueden llegar. Los medios alemanes aluden por su lado a 10.000 posibles llegadas este lunes. Merkel aludió este lunes a un fin de semana “emocionante e impactante”, en el que llegaron a Alemania unos 20.000 refugiados procedentes mayoritariamente de Siria. 
2015-09-11	1	Un video grabado de forma oculta en el interior del mayor campamento de migrantes en Hungría, en la frontera con Serbia, muestra las condiciones «inhumanas» en las que se distribuye la comida. «Era como alimentar a animales encerrados en un coto, como un Guantánamo en Europa», declaró Klaus Kufner, cuya colega, Michaela Spritzendorfer, grabó la secuencia, difundida por Youtube el jueves por la noche, mientras que él mismo hablaba con alguien de la Cruz Roja. Ambos, junto con otros voluntarios, se desplazaron al campamento para llevar comida, ropa y medicamentos. 
