ARGENTINA,BARBADOS,BOLIVIA,BRASIL,BELICE,CHILE,COLOMBIA,COSTA RICA,REPÚBLICA DOMINICANA,ECUADOR,GUATEMALA,HONDURAS,JAMAICA,MÉXICO,NICARAGUA,PANAMÁ,PERÚ,PUERTO RICO,PARAGUAY,SURINAME,EL SALVADOR,TRINIDAD Y TOBAGO,URUGUAY,VENEZUELA
www.clarin.com,www.barbadosadvocate.com,www.eldiario.net,oglobo.globo.com,www.sanpedrosun.com,www.latercera.com,www.eltiempo.com,www.nacion.com,www.listin.com.do,www.lahora.com.ec,www.prensalibre.com,www.latribuna.hn,www.jamaica-gleaner.com,www.milenio.com,www.laprensa.com.ni,www.panamaamerica.com.pa,www.larepublica.pe,www.elnuevodia.com,www.ultimahora.com,www.dwtonline.com,www.elsalvador.com,www.trinidadexpress.com,www.elpais.com.uy,www.ultimasnoticias.com.ve
www.lanacion.com.ar,barbadosadvocate.com,www.la-razon.com,extra.globo.com,www.breakingbelizenews.com,www.emol.com,www.publimetro.co,www.diarioextra.com,www.elnacional.com.do,www.elcomercio.com,www.lahora.gt,www.elheraldo.hn,www.jamaica-star.com,www.excelsior.com.mx,www.elnuevodiario.com.ni,www.critica.com.pa,www.elcomercio.pe,www.primerahora.com,www.abc.com.py,www.dagbladdewest.com,www.laprensagrafica.com,www.newsday.co.tt,www.elobservador.com.uy,www.eluniversal.com
www.pagina12.com.ar,barbadostoday.bb,jornada.com.bo,www.meiahora.com,belizean.com,www.lun.com,www.elespectador.com,www.larepublica.net,www.hoy.com.do,www.ultimasnoticias.ec,www.elperiodico.com.gt,www.diez.hn,www.jamaicaobserver.com,www.eluniversal.com.mx,www.trincheraonline.com,www.prensa.com,www.diariocorreo.pe,www.elvocero.com,www.cronica.com.py,dwtonline.com,www.elmundo.sv,www.guardian.co.tt,www.republica.com.uy,www.2001.com.ve
www.tiempoar.com.ar,www.nationnews.com,www.paginasiete.bo,www.odia.com.br,wicnews.com,www.lacuarta.com,www.elnuevosiglo.com.co,www.lateja.cr,www.elcaribe.com.do,www.metroecuador.com.ec,www.dca.gob.gt,www.diariomas.hn,www.jis.gov.jm,www.heraldodemexico.com.mx,www.bolsadenoticias.com.ni,elsiglo.com.pa,www.peru21.pe,www.metro.pr,www.hoy.com.py,dagbladdewest.com,www.diariocolatino.com,www.trinidadandtobagonews.com,ladiaria.com.uy,www.correodelorinoco.gob.ve
www.diariopopular.com.ar,0,www.erbol.com.bo,www.lancenet.com.br,edition.channel5belize.com,www.lasegunda.com,www.qhubo.com,www.elmundo.cr,www.diariolibre.com,www.primicias.ec,www.nuestrodiario.com,www.proceso.hn,www.go-jamaica.com,www.reforma.com,www.100noticias.com.ni,www.laestrella.com.pa,www.larazon.pe,www.noticel.com,www.hoy.com.py,0,www.elgrafico.com,trinidadexpress.com,www.montevideo.com.uy,www.telesurtv.net
www.cronica.com.ar,0,www.noticiasfides.com,www.correiodobrasil.com.br,amandala.com.bz,www.publimetro.cl,www.diarioadn.co,www.elpais.cr,www.eldia.com.do,www.cerolatitud.ec,www.aldia.com.gt,www.hondudiario.com,jamaica-gleaner.com,www.publimetro.com.mx,www.confidencial.com.ni,www.midiario.com,www.laprimera.pe,www.periodicolaperla.com,www.paraguay.com,0,www.lapagina.com.sv,newsday.co.tt,www.lr21.com.uy,ultimasnoticias.com.ve
www.laprensa.com.ar,0,www.boliviaentusmanos.com,www.jornalpovo.com.br,lovefm.com,www.lahora.cl,www.larepublica.co,www.crhoy.com,www.elnuevodiario.com.do,www.ecuavisa.com,www.publinews.gt,www.tiempo.hn,jamaica-star.com,www.la-prensa.com.mx,www.el19digital.com,www.diaadia.com.pa,www.expreso.com.pe,www.elexpresso.com,www.lanacion.com.py,0,www.elsalvadortimes.com,guardian.co.tt,www.eldiario.com.uy,www.elimpulso.com
www.ambito.com,0,www.laprensa.com.bo,www.jb.com.br,sanpedrosun.com,www.hoyxhoy.cl,www.portafolio.co,www.teletica.com,www.metrord.do,www.expreso.ec,www.soy502.com,www.ellibertador.hn,jamaicaobserver.com,www.elgrafico.mx,www.articulo66.com,www.metrolibre.com,www.elperuano.pe,www.telemundopr.com,www.npy.com.py,0,www.elfaro.net,trinidadandtobagonews.com,www.subrayado.com.uy,www.elnacional.com
www.cronista.com,0,www.oxigeno.bo,www.folha.uol.com.br,breakingbelizenews.com,www.elgraficochile.cl,www.lafm.com.co,www.elfinancierocr.com,www.ciudadoriental.com,www.vistazo.com,www.nomada.gt,www.confidencialhn.com,jis.gov.jm,www.capitalmexico.com.mx,www.nicaraguainvestiga.com,www.panama24horas.com.pa,www.delpais.com.pe,www.primerahora.com,www.5dias.com.py,0,www.contrapunto.com.sv,0,www.180.com.uy,www.el-carabobeno.com
www.baenegocios.com,0,www.brujuladigital.net,www.estadao.com.br,belizean.com,www.df.cl,www.elcolombiano.com,nacion.com,www.ultimasnoticias.com.do,www.eltelegrafo.com.ec,www.republica.gt,www.enaltavoz.com,go-jamaica.com,www.jornada.unam.mx,www.ipnicaragua.com,anpanama.com,www.elperfil.pe,elnuevodia.com,ultimahora.com,0,www.solonoticias.com,0,www.ovaciondigital.com.uy,www.lapatilla.com
