title	link	date	title_corrected	res
Ante saturación de centros fronterizos, ICE de EU asumirá casos de migrantes | El Universal - El Universal	https://www.eluniversal.com.mx/mundo/ante-saturacion-de-centros-fronterizos-ice-de-eu-asumira-casos-de-migrantes	2021-08-01	Ante saturación de centros fronterizos, ICE de EU asumirá casos de migrantes	En concreto, en el Valle del Río Grande, el sector más concurrido para los cruces fronterizos, hubo 6 mil 671 inmigrantes en una instalación con capacidad para 965 personas, según uno de los funcionarios, cuyos nombres NBC no revela, lo que provocó la propagación de Covid-19, otros virus y piojos entre los migrantes. Grupos proinmigrantes argumentan en una demanda que la política iniciada por la Administración del republicano Donald Trump (2017-2021), conocida como Título 42, que expulsa a los inmigrantes de regreso a México antes de que puedan presentar una solicitud de asilo, debería llegar a su fin. Mientras que por otro lado, el fiscal general republicano de Texas, Ken Paxton, solicitó en una orden judicial el pasado 15 de julio que el gobierno del presidente Joe Biden continúe aplicando esa regla sin excepciones. 
Policías rescatan a 85 migrantes en Veracruz - La Razon	https://www.razon.com.mx/estados/policias-rescatan-85-migrantes-veracruz-445292	2021-08-01	Policías rescatan a 85 migrantes en Veracruz	35 son menores de edad Policías rescatan a 85 migrantes en Veracruz Elementos de la policía aprehendieron a dos sujetos por presunto tráfico de personas y rescataron a 85 migrantes que viajaban en un autobús Elementos policíacos del municipio de Minatitlán en Veracruz, rescataron a 85 migrantes que viajaban de manera irregular en un autobús foráneo, además aprehendieron a dos sujetos por presunto tráfico de personas. Al entrevistar a los viajantes se mostraron nerviosos y por ese motivo se les pidió un documento que acreditara su estancia legal en el país. Valeria, de 13 años, escapó de su casa y dejó esta carta Pensión para adultos mayores 2021: Ubica tu modulo bienestar SEP debe informar protocolos y medidas COVID-19 en escuelas ante regreso a clases 
ICE asumirá casos de migrantes por saturación en centros fronterizos de EU - Diario de México	https://www.diariodemexico.com/mundo/ice-asumira-casos-de-migrantes-por-saturacion-en-centros-fronterizos-de-eu	2021-08-01	ICE asumirá casos de migrantes por saturación en centros fronterizos de EU	En concreto, en el Valle del Río Grande, el sector más concurrido para los cruces fronterizos, hubo 6 mil 671 inmigrantes en una instalación con capacidad para 965 personas, según uno de los funcionarios, -cuyos nombres NBC no revela- lo que provocó la propagación de covid-19, otros virus y piojos entre los migrantes. Grupos proinmigrantes argumentan en una demanda que la política iniciada por la Administración del republicano Donald Trump (2017-2021), conocida como Título 42, que expulsa a los inmigrantes de regreso a México antes de que puedan presentar una solicitud de asilo, debería llegar a su fin. Mientras que por otro lado, el fiscal general republicano de Texas, Ken Paxton, solicitó en una orden judicial el pasado 15 de julio que el Gobierno del presidente Joe Biden continúe aplicando esa regla sin excepciones. 
ICE asumirá casos de migrantes por saturación en centros fronterizos de EU - Diario de México	https://www.diariodemexico.com/index.php/mundo/ice-asumira-casos-de-migrantes-por-saturacion-en-centros-fronterizos-de-eu	2021-08-01	ICE asumirá casos de migrantes por saturación en centros fronterizos de EU	En concreto, en el Valle del Río Grande, el sector más concurrido para los cruces fronterizos, hubo 6 mil 671 inmigrantes en una instalación con capacidad para 965 personas, según uno de los funcionarios, -cuyos nombres NBC no revela- lo que provocó la propagación de covid-19, otros virus y piojos entre los migrantes. Grupos proinmigrantes argumentan en una demanda que la política iniciada por la Administración del republicano Donald Trump (2017-2021), conocida como Título 42, que expulsa a los inmigrantes de regreso a México antes de que puedan presentar una solicitud de asilo, debería llegar a su fin. Mientras que por otro lado, el fiscal general republicano de Texas, Ken Paxton, solicitó en una orden judicial el pasado 15 de julio que el Gobierno del presidente Joe Biden continúe aplicando esa regla sin excepciones. 
En el Mar Mediterráneo, rescatan a más de 400 migrantes - ContraRéplica	https://www.contrareplica.mx/nota-En-el-Mar-Mediterraneo-rescatan-a-mas-de-400-migrantes--20211839	2021-08-01	En el Mar Mediterráneo, rescatan a más de 400 migrantes	"Las labores se alargaron hasta el amanecer, y los migrantes fueron rescatados por tres barcos: el ""Nadir"", de la oenegé ResQship; el ""Sea-Watch 3"", de la organización Sea-Watch y el ""Ocean Viking"". Al final, fueron agrupados en estas dos últimas embarcaciones. Según la Organización Internacional para las Migraciones (OIM), al menos mil 146 personas han muerto en el mar en el primer semestre de 2021, durante su arriesgada travesía hacia Europa. "
Gobierno de Puebla promueve política migratoria de inclusión y respeto a derechos humanos: Barbosa - Milenio.com	https://www.milenio.com/politica/gobierno/gobierno-puebla-promueve-politica-migratoria-inclusion-barbosa	2021-08-02	Gobierno de Puebla promueve política migratoria de inclusión y respeto a derechos humanos: Barbosa	En su mensaje, el titular del Ejecutivo expresó que no existe violación a los derechos humanos de los migrantes que recorren el estado, pues su gobierno respalda y hace suyos los ideales del presidente de México, Andrés Manuel López Obrador sobre el respeto y solidaridad entre los pueblos. Impulsa gobierno federal cuatro ejes fundamentales para el tema migratorio: Encinas En su intervención, el subsecretario de Derechos Humanos, Población y Migración federal, Alejandro Encinas Rodríguez refirió que el Gobierno de México impulsa cuatro ejes fundamentales sobre el tema migratorio que son: protección y refugio, migración laboral, gestión fronteriza y migración irregular masiva. En el encuentro estuvieron los representantes de los países que integran la Conferencia Regional sobre Migración que son: Belice, Canadá, Costa Rica, El Salvador, Estados Unidos, Guatemala, Honduras, México, Nicaragua, Panamá y República Dominicana. 
Ataque a balazos en Chiapas deja un migrante muerto y dos gravemente heridos - Milenio.com	https://www.milenio.com/estados/en-chiapas-atacan-a-balazos-a-migrantes-refugiados	2021-08-02	Ataque a balazos en Chiapas deja un migrante muerto y dos gravemente heridos	Uno de los migrantes declaró que estaban reunidos dentro del local cuando dos hombres en motocicleta pasaron e hicieron disparos desde la calle. Familiares de la víctima señalaron que los nicaragüenses son originarios del municipio de La Trinidad, además, mencionaron que habían salido hace unos días para viajar a Estados Unidos y en su llegada a México buscaron refugio en el albergue. Por su parte, la Fiscalía General del Estado en el distrito Soconusco informó que el caso se turnó a la Fiscalía de atención contra migrantes para integrar la carpeta de investigación correspondiente y esclarecer los hechos del ataque. 
Detienen a presunto traficante de migrantes en Ciudad Juárez - Milenio	https://www.milenio.com/estados/chihuahua-detienen-a-presunto-traficante-de-migrantes	2021-08-02	Detienen a presunto traficante de migrantes en Ciudad Juárez	El jefe policiaco señaló que el hombre había cobrado diferentes cantidades de dinero para ingresar a varios migrantes en Estados Unidos de manera ilegal. Además, se informó que le fue confiscado efectivo y un vehículo Chevrolet al detenido. Realivázquez dijo que las personas se encontraban en condiciones inhumanas y fueron trasladados a un albergue. 
Hospitalizan a niños migrantes por contagio de covid-19 en Xalapa, Veracruz - Milenio	https://www.milenio.com/estados/en-veracruz-hospitalizan-a-ninos-migrantes-por-covid19	2021-08-02	Hospitalizan a niños migrantes por contagio de covid-19 en Xalapa, Veracruz	"“Recibimos a unos niños que venían hacinados en un tráiler con indocumentados, al ir tanto tiempo ahí los adultos se contagiaron y contagiaron a los niños. Los menores fueron atendidos en el CAME porque su condición es diferente, no se agravan, no están intubados, es más, creo ya salieron porque el CAME es una estancia de cinco o seis días máximo."" En la última semana de julio fueron rescatados y asegurados por la policía estatal, más de 600 migrantes en diversas ciudades de Veracruz, principalmente en la zona sur, que se suman a los que rescataran otras corporaciones y el propio Instituto Nacional de Migración. "
Aseguran en Hidalgo a 767 migrantes indocumentados en el primer semestre de 2021 - Milenio	https://www.milenio.com/politica/hidalgo-asegurado-767-migrantes-indocumentados-ano	2021-08-02	Aseguran en Hidalgo a 767 migrantes indocumentados en el primer semestre de 2021	En el primer semestre de este año se detuvo en las 32 entidades del país a 93 mil 985 personas indocumentadas. Los cinco municipios en donde se ha asegurado a más personas son: Tepeapulco con 192, Tula de Allende con 153 y Pachuca de Soto con 114, Zimapán con 95 y Tulancingo con 56. Cabe mencionar que durante el 2020 el Instituto Nacional de Migración detuvo en Hidalgo a 382 personas de origen extranjero, una cifra menor en comparación con el 2019 año en que se aseguró a 783. 
