title	link	source	date	title_corrected	migracion
Festejo en Olivos: Gabriela Cerruti justificó la acusación de Alberto Fernández contra Fabiola Yañez - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMilQFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvcG9saXRpY2EvZmVzdGVqby1lbi1vbGl2b3MtZ2FicmllbGEtY2VycnV0aS1qdXN0aWZpY28tbGEtYWN1c2FjaW9uLWRlLWFsYmVydG8tZmVybmFuZGV6LWNvbnRyYS1mYWJpb2xhLXlhbmV6LW5pZDE1MDgyMDIxL9IBpAFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvcG9saXRpY2EvZmVzdGVqby1lbi1vbGl2b3MtZ2FicmllbGEtY2VycnV0aS1qdXN0aWZpY28tbGEtYWN1c2FjaW9uLWRlLWFsYmVydG8tZmVybmFuZGV6LWNvbnRyYS1mYWJpb2xhLXlhbmV6LW5pZDE1MDgyMDIxLz9vdXRwdXRUeXBlPWFtcA?oc=5	LA NACION	2021-08-15	Festejo en Olivos: Gabriela Cerruti justificó la acusación de Alberto Fernández contra Fabiola Yañez	0
Lousteau y Tetaz se reunieron con Manes y enviaron una señal de tregua para la interna de Juntos por el Cambio - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMilgFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvcG9saXRpY2EvbG91c3RlYXUteS10ZXRhei1zZS1yZXVuaWVyb24tY29uLW1hbmVzLXktZW52aWFyb24tdW5hLXNlbmFsLWRlLXRyZWd1YS1wYXJhLWxhLWludGVybmEtZGUtanVudG9zLXBvci1uaWQxNjA4MjAyMS_SAaUBaHR0cHM6Ly93d3cubGFuYWNpb24uY29tLmFyL3BvbGl0aWNhL2xvdXN0ZWF1LXktdGV0YXotc2UtcmV1bmllcm9uLWNvbi1tYW5lcy15LWVudmlhcm9uLXVuYS1zZW5hbC1kZS10cmVndWEtcGFyYS1sYS1pbnRlcm5hLWRlLWp1bnRvcy1wb3ItbmlkMTYwODIwMjEvP291dHB1dFR5cGU9YW1w?oc=5	LA NACION	2021-08-16	Lousteau y Tetaz se reunieron con Manes y enviaron una señal de tregua para la interna de Juntos por el Cambio	0
Quintela acusó a Uñac de llevarse los recursos mineros - Cadena 3	https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vd3d3LmNhZGVuYTMuY29tL25vdGljaWEvcG9saXRpY2EteS1lY29ub21pYS9xdWludGVsYS1hY3Vzby1hLXVuYWMtZGUtbGxldmFyc2UtbG9zLXJlY3Vyc29zLW1pbmVyb3NfMzAxNjI30gF1aHR0cHM6Ly93d3cuY2FkZW5hMy5jb20vYW1wL25vdGljaWEvcG9saXRpY2EteS1lY29ub21pYS9xdWludGVsYS1hY3Vzby1hLXVuYWMtZGUtbGxldmFyc2UtbG9zLXJlY3Vyc29zLW1pbmVyb3NfMzAxNjI3?oc=5	Cadena 3	2021-08-16	Quintela acusó a Uñac de llevarse los recursos mineros	0
"Jorge Lanata destruyó a Víctor Hugo Morales por su justificación del festejo en Olivos: ""¿Se puede ser tan bol...?"" - MDZ Online"	https://news.google.com/__i/rss/rd/articles/CBMingFodHRwczovL3d3dy5tZHpvbC5jb20vbWR6LXNob3cvMjAyMS84LzE2L2pvcmdlLWxhbmF0YS1kZXN0cnV5by12aWN0b3ItaHVnby1tb3JhbGVzLXBvci1zdS1qdXN0aWZpY2FjaW9uLWRlbC1mZXN0ZWpvLWVuLW9saXZvcy1zZS1wdWVkZS1zZXItdGFuLWJvbC0xODAxMDMuaHRtbNIBAA?oc=5	MDZ Online	2021-08-16	"Jorge Lanata destruyó a Víctor Hugo Morales por su justificación del festejo en Olivos: ""¿Se puede ser tan bol...?"""	0
Cómo serán los nuevos créditos para monotributistas - LM Neuquén	https://news.google.com/__i/rss/rd/articles/CBMiUGh0dHBzOi8vd3d3LmxtbmV1cXVlbi5jb20vY29tby1zZXJhbi1sb3MtbnVldm9zLWNyZWRpdG9zLW1vbm90cmlidXRpc3Rhcy1uODM0NDI50gFUaHR0cHM6Ly93d3cubG1uZXVxdWVuLmNvbS9jb21vLXNlcmFuLWxvcy1udWV2b3MtY3JlZGl0b3MtbW9ub3RyaWJ1dGlzdGFzLW44MzQ0MjkvYW1w?oc=5	LM Neuquén	2021-08-16	Cómo serán los nuevos créditos para monotributistas	0
Cómo fueron los últimos días del General San Martín antes de morir - TN - Todo Noticias	https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vdG4uY29tLmFyL3NvY2llZGFkLzIwMjEvMDgvMTYvY29tby1mdWVyb24tbG9zLXVsdGltb3MtZGlhcy1kZWwtZ2VuZXJhbC1zYW4tbWFydGluLWFudGVzLWRlLW1vcmlyL9IBeGh0dHBzOi8vdG4uY29tLmFyL3NvY2llZGFkLzIwMjEvMDgvMTYvY29tby1mdWVyb24tbG9zLXVsdGltb3MtZGlhcy1kZWwtZ2VuZXJhbC1zYW4tbWFydGluLWFudGVzLWRlLW1vcmlyLz9vdXRwdXRUeXBlPWFtcA?oc=5	TN - Todo Noticias	2021-08-16	Cómo fueron los últimos días del General San Martín antes de morirTN	0
Horror en Tigre: dos ladrones asesinaron a golpes y de un tijeretazo en la nuca a una jubilada - TN - Todo Noticias	https://news.google.com/__i/rss/rd/articles/CBMihgFodHRwczovL3RuLmNvbS5hci9wb2xpY2lhbGVzLzIwMjEvMDgvMTYvaG9ycm9yLWVuLXRpZ3JlLWRvcy1sYWRyb25lcy1hc2VzaW5hcm9uLWEtZ29scGVzLXktZGUtdW4tdGlqZXJldGF6by1lbi1sYS1udWNhLWEtdW5hLWp1YmlsYWRhL9IBlQFodHRwczovL3RuLmNvbS5hci9wb2xpY2lhbGVzLzIwMjEvMDgvMTYvaG9ycm9yLWVuLXRpZ3JlLWRvcy1sYWRyb25lcy1hc2VzaW5hcm9uLWEtZ29scGVzLXktZGUtdW4tdGlqZXJldGF6by1lbi1sYS1udWNhLWEtdW5hLWp1YmlsYWRhLz9vdXRwdXRUeXBlPWFtcA?oc=5	TN - Todo Noticias	2021-08-16	Horror en Tigre: dos ladrones asesinaron a golpes y de un tijeretazo en la nuca a una jubiladaTN	0
Alberto Fernández aumentará los planes para los movimientos sociales afines al Gobierno - infobae	https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9wb2xpdGljYS8yMDIxLzA4LzE2L2FsYmVydG8tZmVybmFuZGV6LWF1bWVudGFyYS1sb3MtcGxhbmVzLXBhcmEtbG9zLW1vdmltaWVudG9zLXNvY2lhbGVzLWFmaW5lcy1hbC1nb2JpZXJuby_SAZgBaHR0cHM6Ly93d3cuaW5mb2JhZS5jb20vcG9saXRpY2EvMjAyMS8wOC8xNi9hbGJlcnRvLWZlcm5hbmRlei1hdW1lbnRhcmEtbG9zLXBsYW5lcy1wYXJhLWxvcy1tb3ZpbWllbnRvcy1zb2NpYWxlcy1hZmluZXMtYWwtZ29iaWVybm8vP291dHB1dFR5cGU9YW1wLXR5cGU?oc=5	infobae	2021-08-16	Alberto Fernández aumentará los planes para los movimientos sociales afines al Gobierno	0
Feriados 2021: cuándo es el próximo fin de semana largo en la Argentina - TN - Todo Noticias	https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vdG4uY29tLmFyL3NvY2llZGFkLzIwMjEvMDgvMTYvZmVyaWFkb3MtMjAyMS1jdWFuZG8tZXMtZWwtcHJveGltby1maW4tZGUtc2VtYW5hLWxhcmdvLWVuLWxhLWFyZ2VudGluYS_SAXxodHRwczovL3RuLmNvbS5hci9zb2NpZWRhZC8yMDIxLzA4LzE2L2ZlcmlhZG9zLTIwMjEtY3VhbmRvLWVzLWVsLXByb3hpbW8tZmluLWRlLXNlbWFuYS1sYXJnby1lbi1sYS1hcmdlbnRpbmEvP291dHB1dFR5cGU9YW1w?oc=5	TN - Todo Noticias	2021-08-16	Feriados 2021: cuándo es el próximo fin de semana largo en la ArgentinaTN	0
¿Está cara la carne? El informe que revela que el país tiene los precios más bajos de la región - LA NACION	https://news.google.com/__i/rss/rd/articles/CBMilQFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvZWNvbm9taWEvY2FtcG8vZXN0YS1jYXJhLWxhLWNhcm5lLWVsLWluZm9ybWUtcXVlLXJldmVsYS1xdWUtZWwtcGFpcy10aWVuZS1sb3MtcHJlY2lvcy1tYXMtYmFqb3MtZGUtbGEtcmVnaW9uLW5pZDE2MDgyMDIxL9IBpAFodHRwczovL3d3dy5sYW5hY2lvbi5jb20uYXIvZWNvbm9taWEvY2FtcG8vZXN0YS1jYXJhLWxhLWNhcm5lLWVsLWluZm9ybWUtcXVlLXJldmVsYS1xdWUtZWwtcGFpcy10aWVuZS1sb3MtcHJlY2lvcy1tYXMtYmFqb3MtZGUtbGEtcmVnaW9uLW5pZDE2MDgyMDIxLz9vdXRwdXRUeXBlPWFtcA?oc=5	LA NACION	2021-08-16	¿Está cara la carne? El informe que revela que el país tiene los precios más bajos de la región	0
