title	link	source	date	title_corrected	migracion
The rise of running in Barbados - AW - Athletics Weekly	https://news.google.com/__i/rss/rd/articles/CBMiQ2h0dHBzOi8vYXRobGV0aWNzd2Vla2x5LmNvbS9ldmVudC1uZXdzL3J1bm5pbmctYmFyYmFkb3MtMTAzOTkyODA5Ni_SAQA?oc=5	Athletics Weekly	2020-02-18	The rise of running in BarbadosAW	0
Barbados to remove U.K.'s Queen Elizabeth II as head of state next year - NBC News	https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3Mvd29ybGQvYmFyYmFkb3MtcmVtb3ZlLXUtay1zLXF1ZWVuLWVsaXphYmV0aC1paS1oZWFkLXN0YXRlLW4xMjQwMTk10gEsaHR0cHM6Ly93d3cubmJjbmV3cy5jb20vbmV3cy9hbXAvbmNuYTEyNDAxOTU?oc=5	NBC News	2020-09-16	Barbados to remove U.K.'s Queen Elizabeth II as head of state next year	0
Caribbean COVID-19 Food Security & Livelihoods Impact Survey BARBADOS Summary Report | August 2020 - Barbados - ReliefWeb	https://news.google.com/__i/rss/rd/articles/CBMieGh0dHBzOi8vcmVsaWVmd2ViLmludC9yZXBvcnQvYmFyYmFkb3MvY2FyaWJiZWFuLWNvdmlkLTE5LWZvb2Qtc2VjdXJpdHktbGl2ZWxpaG9vZHMtaW1wYWN0LXN1cnZleS1iYXJiYWRvcy1zdW1tYXJ5LXJlcG9ydNIBAA?oc=5	ReliefWeb	2020-09-16	Caribbean COVID-19 Food Security & Livelihoods Impact Survey BARBADOS Summary ReportAugust 2020Barbados	0
Barbados hopes a new visa will attract remote workers : Planet Money : The Indicator from Planet Money - NPR	https://news.google.com/__i/rss/rd/articles/CBMiKWh0dHBzOi8vd3d3Lm5wci5vcmcvdHJhbnNjcmlwdHMvOTIyNDc5NTI30gEA?oc=5	NPR	2020-10-09	Barbados hopes a new visa will attract remote workers : Planet Money : The Indicator from Planet Money	0
Barbados Removes Nelson Statue in Break With Colonial Past - U.S. News & World Report	https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy93b3JsZC9hcnRpY2xlcy8yMDIwLTExLTE3L2JhcmJhZG9zLXJlbW92ZXMtbmVsc29uLXN0YXR1ZS1pbi1icmVhay13aXRoLWNvbG9uaWFsLXBhc3TSAXxodHRwczovL3d3dy51c25ld3MuY29tL25ld3Mvd29ybGQvYXJ0aWNsZXMvMjAyMC0xMS0xNy9iYXJiYWRvcy1yZW1vdmVzLW5lbHNvbi1zdGF0dWUtaW4tYnJlYWstd2l0aC1jb2xvbmlhbC1wYXN0P2NvbnRleHQ9YW1w?oc=5	U.S. News & World Report	2020-11-17	Barbados Removes Nelson Statue in Break With Colonial Past	0
Americans top list of nationalities hoping to work from Barbados during the pandemic - MarketWatch	https://news.google.com/__i/rss/rd/articles/CBMimQFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvYW1lcmljYW5zLXRvcC1saXN0LW9mLW5hdGlvbmFsaXRpZXMtaG9waW5nLXRvLXdvcmstZnJvbS10aGUtdHJvcGljYWwtaXNsYW5kLW9mLWJhcmJhZG9zLWR1cmluZy10aGUtcGFuZGVtaWMtMTE2MDYyMjQ5MzTSAZ0BaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS9hbWVyaWNhbnMtdG9wLWxpc3Qtb2YtbmF0aW9uYWxpdGllcy1ob3BpbmctdG8td29yay1mcm9tLXRoZS10cm9waWNhbC1pc2xhbmQtb2YtYmFyYmFkb3MtZHVyaW5nLXRoZS1wYW5kZW1pYy0xMTYwNjIyNDkzNA?oc=5	MarketWatch	2020-11-24	Americans top list of nationalities hoping to work from Barbados during the pandemic	0
Rihanna and A$AP Rocky Spent Christmas in Barbados with Her Family - HarpersBAZAAR.com	https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vd3d3LmhhcnBlcnNiYXphYXIuY29tL2NlbGVicml0eS9sYXRlc3QvYTM1MDc2ODkwL3JpaGFubmEtYXNhcC1yb2NreS1jaHJpc3RtYXMtYmFyYmFkb3MtMjAyMC_SAQA?oc=5	HarpersBAZAAR.com	2020-12-27	Rihanna and A$AP Rocky Spent Christmas in Barbados with Her Family	0
The Barbados Real-Estate Market Is Seeing Signs of Life Thanks to Some Eager New Residents - The Wall Street Journal	https://news.google.com/__i/rss/rd/articles/CBMigwFodHRwczovL3d3dy53c2ouY29tL2FydGljbGVzL3RoZS1iYXJiYWRvcy1yZWFsLWVzdGF0ZS1tYXJrZXQtaXMtc2VlaW5nLXNpZ25zLW9mLWxpZmUtdGhhbmtzLXRvLXNvbWUtZWFnZXItbmV3LXJlc2lkZW50cy0xMTYwOTM1MjExNdIBAA?oc=5	The Wall Street Journal	2020-12-30	The Barbados Real-Estate Market Is Seeing Signs of Life Thanks to Some Eager New Residents	0
Royal Caribbean Launches New Adventures From Barbados - Yahoo Finance	https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9yb3lhbC1jYXJpYmJlYW4tbGF1bmNoZXMtYWR2ZW50dXJlcy1iYXJiYWRvcy0yMTMwMDAwNTUuaHRtbNIBYmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3JveWFsLWNhcmliYmVhbi1sYXVuY2hlcy1hZHZlbnR1cmVzLWJhcmJhZG9zLTIxMzAwMDA1NS5odG1s?oc=5	Yahoo Finance	2021-01-13	Royal Caribbean Launches New Adventures From Barbados	0
I moved from Hong Kong to Barbados during the pandemic - CNN	https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmNubi5jb20vdHJhdmVsL2FydGljbGUvbW92aW5nLXRvLWJhcmJhZG9zLXdvcmstcGFuZGVtaWMvaW5kZXguaHRtbNIBSmh0dHBzOi8vd3d3LmNubi5jb20vdHJhdmVsL2FtcC9tb3ZpbmctdG8tYmFyYmFkb3Mtd29yay1wYW5kZW1pYy9pbmRleC5odG1s?oc=5	CNN	2021-02-10	I moved from Hong Kong to Barbados during the pandemic	0
