title	link	source	date	title_corrected	migracion
El oro cobra relevancia en las reservas internacionales bolivianas - EFE - Noticias	https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3LmVmZS5jb20vZWZlL2FtZXJpY2EvZWNvbm9taWEvZWwtb3JvLWNvYnJhLXJlbGV2YW5jaWEtZW4tbGFzLXJlc2VydmFzLWludGVybmFjaW9uYWxlcy1ib2xpdmlhbmFzLzIwMDAwMDExLTQzMzQyODXSAQA?oc=5	EFE - Noticias	2020-09-03	El oro cobra relevancia en las reservas internacionales bolivianasEFE	0
El artífice del milagro económico de Bolivia busca atajar la crisis como presidente - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMif2h0dHBzOi8vZWxwYWlzLmNvbS9lY29ub21pYS8yMDIwLTEwLTIxL2VsLWFydGlmaWNlLWRlbC1taWxhZ3JvLWVjb25vbWljby1kZS1ib2xpdmlhLWJ1c2NhLWF0YWphci1sYS1jcmlzaXMtY29tby1wcmVzaWRlbnRlLmh0bWzSAY4BaHR0cHM6Ly9lbHBhaXMuY29tL2Vjb25vbWlhLzIwMjAtMTAtMjEvZWwtYXJ0aWZpY2UtZGVsLW1pbGFncm8tZWNvbm9taWNvLWRlLWJvbGl2aWEtYnVzY2EtYXRhamFyLWxhLWNyaXNpcy1jb21vLXByZXNpZGVudGUuaHRtbD9vdXRwdXRUeXBlPWFtcA?oc=5	EL PAÍS	2020-10-21	El artífice del milagro económico de Bolivia busca atajar la crisis como presidente	0
La música de la Orquesta Boliviana de Guitarras regresa tras 10 años de pausa - Diario Pagina Siete	https://news.google.com/__i/rss/rd/articles/CBMihwFodHRwczovL3d3dy5wYWdpbmFzaWV0ZS5iby9jdWx0dXJhLzIwMjAvMTAvMjgvbGEtbXVzaWNhLWRlLWxhLW9ycXVlc3RhLWJvbGl2aWFuYS1kZS1ndWl0YXJyYXMtcmVncmVzYS10cmFzLTEwLWFub3MtZGUtcGF1c2EtMjczMDEzLmh0bWzSAYcBaHR0cHM6Ly93d3cucGFnaW5hc2lldGUuYm8vY3VsdHVyYS8yMDIwLzEwLzI4L2xhLW11c2ljYS1kZS1sYS1vcnF1ZXN0YS1ib2xpdmlhbmEtZGUtZ3VpdGFycmFzLXJlZ3Jlc2EtdHJhcy0xMC1hbm9zLWRlLXBhdXNhLTI3MzAxMy5odG1s?oc=5	Diario Pagina Siete	2020-10-28	La música de la Orquesta Boliviana de Guitarras regresa tras 10 años de pausa	0
Cambios en la TV boliviana: nuevos rostros, programas, presentadores que cambian de aires y más - Los Tiempos	https://news.google.com/__i/rss/rd/articles/CBMiemh0dHBzOi8vd3d3Lmxvc3RpZW1wb3MuY29tL2RvYmxlLWNsaWNrL3R2LzIwMjAxMDI5L2NhbWJpb3MtdHYtYm9saXZpYW5hLW51ZXZvcy1yb3N0cm9zLXByb2dyYW1hcy1wcmVzZW50YWRvcmVzLXF1ZS1jYW1iaWFu0gEA?oc=5	Los Tiempos	2020-10-29	Cambios en la TV boliviana: nuevos rostros, programas, presentadores que cambian de aires y más	0
El gobierno de Bolivia se niega a invitar a Morales y Maduro a la toma de posesión - La Vanguardia	https://news.google.com/__i/rss/rd/articles/CBMif2h0dHBzOi8vd3d3LmxhdmFuZ3VhcmRpYS5jb20vaW50ZXJuYWNpb25hbC8yMDIwMTAyOS80OTcxNjAyNTUwL2dvYmllcm5vLWJvbGl2aWEtbmllZ2EtaW52aXRhci1tb3JhbGVzLW1hZHVyby10b21hLXBvc2VzaW9uLmh0bWzSAYkBaHR0cHM6Ly93d3cubGF2YW5ndWFyZGlhLmNvbS9pbnRlcm5hY2lvbmFsLzIwMjAxMDI5LzQ5NzE2MDI1NTAvZ29iaWVybm8tYm9saXZpYS1uaWVnYS1pbnZpdGFyLW1vcmFsZXMtbWFkdXJvLXRvbWEtcG9zZXNpb24uaHRtbD9mYWNldD1hbXA?oc=5	La Vanguardia	2020-10-29	El gobierno de Bolivia se niega a invitar a Morales y Maduro a la toma de posesión	0
Retorno del dictador a Bolivia, impunidad, narcoestado y represión - infobae	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3LmluZm9iYWUuY29tL2FtZXJpY2Evb3Bpbmlvbi8yMDIwLzExLzE1L3JldG9ybm8tZGVsLWRpY3RhZG9yLWEtYm9saXZpYS1pbXB1bmlkYWQtbmFyY29lc3RhZG8teS1yZXByZXNpb24v0gGIAWh0dHBzOi8vd3d3LmluZm9iYWUuY29tL2FtZXJpY2Evb3Bpbmlvbi8yMDIwLzExLzE1L3JldG9ybm8tZGVsLWRpY3RhZG9yLWEtYm9saXZpYS1pbXB1bmlkYWQtbmFyY29lc3RhZG8teS1yZXByZXNpb24vP291dHB1dFR5cGU9YW1wLXR5cGU?oc=5	infobae	2020-11-15	Retorno del dictador a Bolivia, impunidad, narcoestado y represión	0
Armada boliviana da sus primeros pasos en el Kanata Junior - Los Tiempos	https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vbG9zdGllbXBvcy5jb20vZGVwb3J0ZXMvdGVuaXMvMjAyMDEyMDgvYXJtYWRhLWJvbGl2aWFuYS1kYS1zdXMtcHJpbWVyb3MtcGFzb3Mta2FuYXRhLWp1bmlvctIBAA?oc=5	Los Tiempos	2020-12-08	Armada boliviana da sus primeros pasos en el Kanata Junior	0
Radionovela boliviana “Calicanto” se escucha en 15 radios del país - Opinión Bolivia	https://news.google.com/__i/rss/rd/articles/CBMifGh0dHBzOi8vd3d3Lm9waW5pb24uY29tLmJvL2FydGljdWxvL2N1bHR1cmEvcmFkaW9ub3ZlbGEtYm9saXZpYW5hLWNhbGljYW50by1lc2N1Y2hhLTE1LXJhZGlvcy1wYWlzLzIwMjAxMjE3MjIxMTQ5ODAwMjU0Lmh0bWzSAYABaHR0cHM6Ly93d3cub3Bpbmlvbi5jb20uYm8vYXJ0aWN1bG8vY3VsdHVyYS9yYWRpb25vdmVsYS1ib2xpdmlhbmEtY2FsaWNhbnRvLWVzY3VjaGEtMTUtcmFkaW9zLXBhaXMvMjAyMDEyMTcyMjExNDk4MDAyNTQuYW1wLmh0bWw?oc=5	Opinión Bolivia	2020-12-18	Radionovela boliviana “Calicanto” se escucha en 15 radios del país	0
La boliviana Camila Lechín es elegida entre las mejores mujeres chefs de Latinoamérica - Los Tiempos	https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vd3d3Lmxvc3RpZW1wb3MuY29tL2RvYmxlLWNsaWNrL3ZpZGEvMjAyMTAyMDMvYm9saXZpYW5hLWNhbWlsYS1sZWNoaW4tZXMtZWxlZ2lkYS1tZWpvcmVzLW11amVyZXMtY2hlZnMtbGF0aW5vYW1lcmljYdIBAA?oc=5	Los Tiempos	2021-02-03	La boliviana Camila Lechín es elegida entre las mejores mujeres chefs de Latinoamérica	0
Cartoon Network estrena piloto de serie dirigida por boliviana Matisse Gonzales - Opinión Bolivia	https://news.google.com/__i/rss/rd/articles/CBMijgFodHRwczovL3d3dy5vcGluaW9uLmNvbS5iby9hcnRpY3Vsby9jdWx0dXJhL2NhcnRvb24tbmV0d29yay1lc3RyZW5hLXBpbG90by1zZXJpZS1kaXJpZ2lkYS1ib2xpdmlhbmEtbWF0aXNzZS1nb256YWxlcy8yMDIxMDIwODExNDcyODgwNzA1OS5odG1s0gGSAWh0dHBzOi8vd3d3Lm9waW5pb24uY29tLmJvL2FydGljdWxvL2N1bHR1cmEvY2FydG9vbi1uZXR3b3JrLWVzdHJlbmEtcGlsb3RvLXNlcmllLWRpcmlnaWRhLWJvbGl2aWFuYS1tYXRpc3NlLWdvbnphbGVzLzIwMjEwMjA4MTE0NzI4ODA3MDU5LmFtcC5odG1s?oc=5	Opinión Bolivia	2021-02-08	Cartoon Network estrena piloto de serie dirigida por boliviana Matisse Gonzales	0
