title	link	source	date	title_corrected	migracion
DF antecipa segunda dose da vacina AstraZeneca a partir de quinta-feira; veja quem será beneficiado - G1	https://news.google.com/__i/rss/rd/articles/CBMipAFodHRwczovL2cxLmdsb2JvLmNvbS9kZi9kaXN0cml0by1mZWRlcmFsL25vdGljaWEvMjAyMS8wOC8xNi9kZi1hbnRlY2lwYS1zZWd1bmRhLWRvc2UtZGEtdmFjaW5hLWFzdHJhemVuZWNhLWEtcGFydGlyLWRlLXF1aW50YS1mZWlyYS12ZWphLXF1ZW0tc2VyYS1iZW5lZmljaWFkby5naHRtbNIBrwFodHRwczovL2cxLmdsb2JvLmNvbS9nb29nbGUvYW1wL2RmL2Rpc3RyaXRvLWZlZGVyYWwvbm90aWNpYS8yMDIxLzA4LzE2L2RmLWFudGVjaXBhLXNlZ3VuZGEtZG9zZS1kYS12YWNpbmEtYXN0cmF6ZW5lY2EtYS1wYXJ0aXItZGUtcXVpbnRhLWZlaXJhLXZlamEtcXVlbS1zZXJhLWJlbmVmaWNpYWRvLmdodG1s?oc=5	G1	2021-08-16	DF antecipa segunda dose da vacina AstraZeneca a partir de quinta-feira; veja quem será beneficiado	0
Parte da população terá que receber 3º dose da vacina contra a covid-19, indica secretária - Valor Econômico	https://news.google.com/__i/rss/rd/articles/CBMikQFodHRwczovL3ZhbG9yLmdsb2JvLmNvbS9icmFzaWwvbm90aWNpYS8yMDIxLzA4LzE2L3BhcnRlLWRhLXBvcHVsYWNhby10ZXJhLXF1ZS1yZWNlYmVyLTNvLWRvc2UtZGEtdmFjaW5hLWNvbnRyYS1hLWNvdmlkLTE5LWluZGljYS1zZWNyZXRhcmlhLmdodG1s0gGcAWh0dHBzOi8vdmFsb3IuZ2xvYm8uY29tL2dvb2dsZS9hbXAvYnJhc2lsL25vdGljaWEvMjAyMS8wOC8xNi9wYXJ0ZS1kYS1wb3B1bGFjYW8tdGVyYS1xdWUtcmVjZWJlci0zby1kb3NlLWRhLXZhY2luYS1jb250cmEtYS1jb3ZpZC0xOS1pbmRpY2Etc2VjcmV0YXJpYS5naHRtbA?oc=5	Valor Econômico	2021-08-16	Parte da população terá que receber 3º dose da vacina contra a covid-19, indica secretária	0
Variante delta é identificada em mais da metade das amostras colhidas no Rio, diz secretário - G1	https://news.google.com/__i/rss/rd/articles/CBMimwFodHRwczovL2cxLmdsb2JvLmNvbS9yai9yaW8tZGUtamFuZWlyby9ub3RpY2lhLzIwMjEvMDgvMTYvdmFyaWFudGUtZGVsdGEtZS1pZGVudGlmaWNhZGEtZW0tbWFpcy1kYS1tZXRhZGUtZGFzLWFtb3N0cmFzLWNvbGhpZGFzLW5vLXJpby1kaXotc2VjcmV0YXJpby5naHRtbNIBpgFodHRwczovL2cxLmdsb2JvLmNvbS9nb29nbGUvYW1wL3JqL3Jpby1kZS1qYW5laXJvL25vdGljaWEvMjAyMS8wOC8xNi92YXJpYW50ZS1kZWx0YS1lLWlkZW50aWZpY2FkYS1lbS1tYWlzLWRhLW1ldGFkZS1kYXMtYW1vc3RyYXMtY29saGlkYXMtbm8tcmlvLWRpei1zZWNyZXRhcmlvLmdodG1s?oc=5	G1	2021-08-16	Variante delta é identificada em mais da metade das amostras colhidas no Rio, diz secretário	0
Brasil se aproxima de 570 mil mortes por Covid, com média móvel de 839 vítimas por dia - G1	https://news.google.com/__i/rss/rd/articles/CBMimAFodHRwczovL2cxLmdsb2JvLmNvbS9iZW1lc3Rhci9jb3JvbmF2aXJ1cy9ub3RpY2lhLzIwMjEvMDgvMTYvYnJhc2lsLXNlLWFwcm94aW1hLWRlLTU3MC1taWwtbW9ydGVzLXBvci1jb3ZpZC1jb20tbWVkaWEtbW92ZWwtZGUtODM5LXZpdGltYXMtcG9yLWRpYS5naHRtbNIBowFodHRwczovL2cxLmdsb2JvLmNvbS9nb29nbGUvYW1wL2JlbWVzdGFyL2Nvcm9uYXZpcnVzL25vdGljaWEvMjAyMS8wOC8xNi9icmFzaWwtc2UtYXByb3hpbWEtZGUtNTcwLW1pbC1tb3J0ZXMtcG9yLWNvdmlkLWNvbS1tZWRpYS1tb3ZlbC1kZS04Mzktdml0aW1hcy1wb3ItZGlhLmdodG1s?oc=5	G1	2021-08-16	Brasil se aproxima de 570 mil mortes por Covid, com média móvel de 839 vítimas por dia	0
"Ricardo Barros, líder do governo Bolsonaro: ""Judiciário estica a corda"" - Gazeta do Povo"	https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vd3d3LmdhemV0YWRvcG92by5jb20uYnIvcmVwdWJsaWNhL3JpY2FyZG8tYmFycm9zLWxpZGVyLWRvLWdvdmVybm8tYm9sc29uYXJvLWVudHJldmlzdGEtY3Jpc2UtanVkaWNpYXJpby_SAXRodHRwczovL3d3dy5nYXpldGFkb3Bvdm8uY29tLmJyL3JlcHVibGljYS9yaWNhcmRvLWJhcnJvcy1saWRlci1kby1nb3Zlcm5vLWJvbHNvbmFyby1lbnRyZXZpc3RhLWNyaXNlLWp1ZGljaWFyaW8vYW1wLw?oc=5	Gazeta do Povo	2021-08-16	"Ricardo Barros, líder do governo Bolsonaro: ""Judiciário estica a corda"""	0
Governadores saem em defesa do STF contra ameaças de Bolsonaro - CartaCapital	https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vd3d3LmNhcnRhY2FwaXRhbC5jb20uYnIvY2FydGFleHByZXNzYS9nb3Zlcm5hZG9yZXMtc2FlbS1lbS1kZWZlc2EtZG8tc3RmLWNvbnRyYS1hbWVhY2FzLWRlLWJvbHNvbmFyby_SAXFodHRwczovL3d3dy5jYXJ0YWNhcGl0YWwuY29tLmJyL2NhcnRhZXhwcmVzc2EvZ292ZXJuYWRvcmVzLXNhZW0tZW0tZGVmZXNhLWRvLXN0Zi1jb250cmEtYW1lYWNhcy1kZS1ib2xzb25hcm8vYW1wLw?oc=5	CartaCapital	2021-08-16	Governadores saem em defesa do STF contra ameaças de Bolsonaro	0
Advogado cita 'intimidações' de Flordelis e pede para que ela não fique no mesmo presídio de outras acusadas - G1	https://news.google.com/__i/rss/rd/articles/CBMiqgFodHRwczovL2cxLmdsb2JvLmNvbS9yai9yaW8tZGUtamFuZWlyby9ub3RpY2lhLzIwMjEvMDgvMTYvYWR2b2dhZG8tY2l0YS1pbnRpbWlkYWNvZXMtZGUtZmxvcmRlbGlzLWUtcGVkZS1wYXJhLXF1ZS1lbGEtbmFvLWZpcXVlLW5vLW1lc21vLXByZXNpZGlvLWRlLW91dHJhcy1hY3VzYWRhcy5naHRtbNIBtQFodHRwczovL2cxLmdsb2JvLmNvbS9nb29nbGUvYW1wL3JqL3Jpby1kZS1qYW5laXJvL25vdGljaWEvMjAyMS8wOC8xNi9hZHZvZ2Fkby1jaXRhLWludGltaWRhY29lcy1kZS1mbG9yZGVsaXMtZS1wZWRlLXBhcmEtcXVlLWVsYS1uYW8tZmlxdWUtbm8tbWVzbW8tcHJlc2lkaW8tZGUtb3V0cmFzLWFjdXNhZGFzLmdodG1s?oc=5	G1	2021-08-16	Advogado cita 'intimidações' de Flordelis e pede para que ela não fique no mesmo presídio de outras acusadas	0
Fuvest abre inscrições para vestibular 2022 nesta segunda-feira; veja como se inscrever - G1	https://news.google.com/__i/rss/rd/articles/CBMimgFodHRwczovL2cxLmdsb2JvLmNvbS9zcC9zYW8tcGF1bG8vZWR1Y2FjYW8vbm90aWNpYS8yMDIxLzA4LzE2L2Z1dmVzdC1hYnJlLWluc2NyaWNvZXMtcGFyYS12ZXN0aWJ1bGFyLTIwMjItbmVzdGEtc2VndW5kYS1mZWlyYS12ZWphLWNvbW8tc2UtaW5zY3JldmVyLmdodG1s0gGlAWh0dHBzOi8vZzEuZ2xvYm8uY29tL2dvb2dsZS9hbXAvc3Avc2FvLXBhdWxvL2VkdWNhY2FvL25vdGljaWEvMjAyMS8wOC8xNi9mdXZlc3QtYWJyZS1pbnNjcmljb2VzLXBhcmEtdmVzdGlidWxhci0yMDIyLW5lc3RhLXNlZ3VuZGEtZmVpcmEtdmVqYS1jb21vLXNlLWluc2NyZXZlci5naHRtbA?oc=5	G1	2021-08-16	Fuvest abre inscrições para vestibular 2022 nesta segunda-feira; veja como se inscrever	0
Brasil está muito perto de uma ruptura democrática, diz Mandetta - CartaCapital	https://news.google.com/__i/rss/rd/articles/CBMiaWh0dHBzOi8vd3d3LmNhcnRhY2FwaXRhbC5jb20uYnIvcG9saXRpY2EvYnJhc2lsLWVzdGEtbXVpdG8tcGVydG8tZGUtdW1hLXJ1cHR1cmEtZGVtb2NyYXRpY2EtZGl6LW1hbmRldHRhL9IBbWh0dHBzOi8vd3d3LmNhcnRhY2FwaXRhbC5jb20uYnIvcG9saXRpY2EvYnJhc2lsLWVzdGEtbXVpdG8tcGVydG8tZGUtdW1hLXJ1cHR1cmEtZGVtb2NyYXRpY2EtZGl6LW1hbmRldHRhL2FtcC8?oc=5	CartaCapital	2021-08-16	Brasil está muito perto de uma ruptura democrática, diz Mandetta	0
Morre aos 77 anos em São Paulo o publicitário Duda Mendonça - Extra	https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vZXh0cmEuZ2xvYm8uY29tL25vdGljaWFzL2JyYXNpbC9tb3JyZS1hb3MtNzctYW5vcy1lbS1zYW8tcGF1bG8tcHVibGljaXRhcmlvLWR1ZGEtbWVuZG9uY2EtMjUxNTY4MzYuaHRtbNIBAA?oc=5	Extra	2021-08-16	Morre aos 77 anos em São Paulo o publicitário Duda Mendonça	0
