title	link	source	date	title_corrected	migracion
Ancient Mayan Pyramid Destroyed in Belize - National Geographic	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3Lm5hdGlvbmFsZ2VvZ3JhcGhpYy5jb20vaGlzdG9yeS9hcnRpY2xlLzEzMDUxNS1iZWxpemUtcHlyYW1pZC1kZXN0cm95ZWQtYXJjaGVvbG9neS1tYXlhLW5vaG11bC13b3JsZC1yb2Fk0gEA?oc=5	National Geographic	2013-05-16	Ancient Mayan Pyramid Destroyed in Belize	0
Hurricane Nana hits Belize, then dissipates over Guatemala - Associated Press	https://news.google.com/__i/rss/rd/articles/CBMiaGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2FwLXRvcC1uZXdzLWludGVybmF0aW9uYWwtbmV3cy1sYXRpbi1hbWVyaWNhLTdhODU2NWZlNmViNDBmNGNmM2I5OTU0NGZjYmUxYjEz0gEA?oc=5	Associated Press	2020-09-03	Hurricane Nana hits Belize, then dissipates over Guatemala	0
Belize: Hurricane Nana Flash Update No. 01, As of 03 September 2020 - Belize - ReliefWeb	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vcmVsaWVmd2ViLmludC9yZXBvcnQvYmVsaXplL2JlbGl6ZS1odXJyaWNhbmUtbmFuYS1mbGFzaC11cGRhdGUtbm8tMDEtMDMtc2VwdGVtYmVyLTIwMjDSAQA?oc=5	ReliefWeb	2020-09-04	Belize: Hurricane Nana Flash Update No. 01, As of 03 September 2020Belize	0
Belize Officially Reopens International Airport To Leisure Travel, Outlines Safe Corridor for Visiting Tourists - PRNewswire	https://news.google.com/__i/rss/rd/articles/CBMipgFodHRwczovL3d3dy5wcm5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2VzL2JlbGl6ZS1vZmZpY2lhbGx5LXJlb3BlbnMtaW50ZXJuYXRpb25hbC1haXJwb3J0LXRvLWxlaXN1cmUtdHJhdmVsLW91dGxpbmVzLXNhZmUtY29ycmlkb3ItZm9yLXZpc2l0aW5nLXRvdXJpc3RzLTMwMTE0NDExNS5odG1s0gEA?oc=5	PRNewswire	2020-10-01	Belize Officially Reopens International Airport To Leisure Travel, Outlines Safe Corridor for Visiting Tourists	0
Belize Has Reopened to Tourism: What Travelers Need to Know - TravelPulse	https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vd3d3LnRyYXZlbHB1bHNlLmNvbS9uZXdzL2Rlc3RpbmF0aW9ucy9iZWxpemUtaGFzLXJlb3BlbmVkLXRvLXRvdXJpc20td2hhdC10cmF2ZWxlcnMtbmVlZC10by1rbm93Lmh0bWzSAQA?oc=5	TravelPulse	2020-10-04	Belize Has Reopened to Tourism: What Travelers Need to Know	0
Belize to Choose Next Prime Minister as Veteran Leader Steps Down - U.S. News & World Report	https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy93b3JsZC9hcnRpY2xlcy8yMDIwLTExLTEyL2JlbGl6ZS10by1jaG9vc2UtbmV4dC1wcmltZS1taW5pc3Rlci1hcy12ZXRlcmFuLWxlYWRlci1zdGVwcy1kb3du0gGDAWh0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy93b3JsZC9hcnRpY2xlcy8yMDIwLTExLTEyL2JlbGl6ZS10by1jaG9vc2UtbmV4dC1wcmltZS1taW5pc3Rlci1hcy12ZXRlcmFuLWxlYWRlci1zdGVwcy1kb3duP2NvbnRleHQ9YW1w?oc=5	U.S. News & World Report	2020-11-12	Belize to Choose Next Prime Minister as Veteran Leader Steps Down	0
Belize Offers COVID-19 Test Option - TravelPulse	https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3LnRyYXZlbHB1bHNlLmNvbS9uZXdzL2Rlc3RpbmF0aW9ucy9iZWxpemUtb2ZmZXJzLWNvdmlkLTE5LXRlc3Qtb3B0aW9uLmh0bWzSAQA?oc=5	TravelPulse	2020-11-20	Belize Offers COVID-19 Test Option	0
Moody's dumps Belize deeper into junk territory - LatinFinance	https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vd3d3LmxhdGluZmluYW5jZS5jb20vZGFpbHktYnJpZWZzLzIwMjAvMTEvMjUvbW9vZHlzLWR1bXBzLWJlbGl6ZS1kZWVwZXItaW50by1qdW5rLXRlcnJpdG9yedIBAA?oc=5	LatinFinance	2020-11-25	Moody's dumps Belize deeper into junk territory	0
What's New in Belize - Travel Agent	https://news.google.com/__i/rss/rd/articles/CBMiRGh0dHBzOi8vd3d3LnRyYXZlbGFnZW50Y2VudHJhbC5jb20vY2VudHJhbC1hbWVyaWNhL3doYXQtcy1uZXctYmVsaXpl0gEA?oc=5	Travel Agent	2020-12-21	What's New in Belize	0
Get some solid skating from Guatemala and Belize on a Mayan skate mission - Red Bull	https://news.google.com/__i/rss/rd/articles/CBMiSmh0dHBzOi8vd3d3LnJlZGJ1bGwuY29tL2ludC1lbi9zZWFyY2hpbmctZm9yLW1heWFzLXNrYXRlLXRyaXAtYWN0aW9uLXJlbWl40gFKaHR0cHM6Ly9hbXAucmVkYnVsbC5jb20vaW50LWVuL3NlYXJjaGluZy1mb3ItbWF5YXMtc2thdGUtdHJpcC1hY3Rpb24tcmVtaXg?oc=5	Red Bull	2021-03-02	Get some solid skating from Guatemala and Belize on a Mayan skate mission	0
Belize Allows Vaccinated Travellers To Enter Without Negative Test - TravelPulse Canada	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vY2EudHJhdmVscHVsc2UuY29tL25ld3MvZGVzdGluYXRpb25zL2JlbGl6ZS1hbGxvd3MtdmFjY2luYXRlZC10cmF2ZWxsZXJzLXRvLWVudGVyLXdpdGhvdXQtbmVnYXRpdmUtdGVzdC5odG1s0gEA?oc=5	TravelPulse Canada	2021-03-10	Belize Allows Vaccinated Travellers To Enter Without Negative Test	0
Vaccinated Travelers Can Now Visit Belize Without a Test - Caribbean Journal	https://news.google.com/__i/rss/rd/articles/CBMiYWh0dHBzOi8vd3d3LmNhcmliam91cm5hbC5jb20vMjAyMS8wMy8xMC92YWNjaW5hdGVkLXRyYXZlbGVycy1jYW4tbm93LXZpc2l0LWJlbGl6ZS13aXRob3V0LWEtdGVzdC_SAQA?oc=5	Caribbean Journal	2021-03-10	Vaccinated Travelers Can Now Visit Belize Without a Test	0
Belize is now open for vaccinated travellers, no COVID test required - Happytrips	https://news.google.com/__i/rss/rd/articles/CBMiiQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90cmF2ZWwvdHJhdmVsLW5ld3MvYmVsaXplLWlzLW5vdy1vcGVuLWZvci12YWNjaW5hdGVkLXRyYXZlbGxlcnMtbm8tY292aWQtdGVzdC1yZXF1aXJlZC9hczgxNDkwNjg0LmNtc9IBlwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS90cmF2ZWwvdHJhdmVsLW5ld3MvYmVsaXplLWlzLW5vdy1vcGVuLWZvci12YWNjaW5hdGVkLXRyYXZlbGxlcnMtbm8tY292aWQtdGVzdC1yZXF1aXJlZC9hbXBfYXJ0aWNsZXNob3cvODE0OTA2ODQuY21z?oc=5	Happytrips	2021-03-14	Belize is now open for vaccinated travellers, no COVID test required	0
UPDATE 1-Belize bond holders form committee as country seeks restructuring - Reuters	https://news.google.com/__i/rss/rd/articles/CBMikQFodHRwczovL3d3dy5yZXV0ZXJzLmNvbS9hcnRpY2xlL2JlbGl6ZS1kZWJ0cmVuZWdvdGlhdGlvbi91cGRhdGUtMS1iZWxpemUtYm9uZC1ob2xkZXJzLWZvcm0tY29tbWl0dGVlLWFzLWNvdW50cnktc2Vla3MtcmVzdHJ1Y3R1cmluZy1pZFVTTDhOMkxNNjdV0gE0aHR0cHM6Ly9tb2JpbGUucmV1dGVycy5jb20vYXJ0aWNsZS9hbXAvaWRVU0w4TjJMTTY3VQ?oc=5	Reuters	2021-03-24	UPDATE 1-Belize bond holders form committee as country seeks restructuring	0
Belize Tourism Board says its offices will close for Easter break - Breaking Belize News	https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vd3d3LmJyZWFraW5nYmVsaXplbmV3cy5jb20vMjAyMS8wMy8zMS9iZWxpemUtdG91cmlzbS1ib2FyZC1zYXlzLWl0cy1vZmZpY2VzLXdpbGwtY2xvc2UtZm9yLWVhc3Rlci1icmVhay_SAQA?oc=5	Breaking Belize News	2021-03-31	Belize Tourism Board says its offices will close for Easter break	0
