title	link	source	date	title_corrected
Indignante: detienen en Conchalí a violador de menor de sólo 10 años - Publimetro	https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3LnB1YmxpbWV0cm8uY2wvY2wvbm90aWNpYXMvMjAyMS8wOC8xNS9jb25jaGFsaS12aW9sYWRvci1tZW5vci0xMC1hbm9zLmh0bWzSAWRodHRwczovL3d3dy5wdWJsaW1ldHJvLmNsL2NsL25vdGljaWFzLzIwMjEvMDgvMTUvY29uY2hhbGktdmlvbGFkb3ItbWVub3ItMTAtYW5vcy5odG1sP291dHB1dFR5cGU9YW1w?oc=5	Publimetro	2021-08-15	Indignante: detienen en Conchalí a violador de menor de sólo 10 años
Condenan a exempleado de CMPC como cómplice en matanza en Laja - Publimetro	https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3LnB1YmxpbWV0cm8uY2wvY2wvbm90aWNpYXMvMjAyMS8wOC8xNS9jbXBjLWV4ZW1wbGVhZG8tY29uZGVuYWRvLW1hdGFuemEtbGFqYS5odG1s0gFraHR0cHM6Ly93d3cucHVibGltZXRyby5jbC9jbC9ub3RpY2lhcy8yMDIxLzA4LzE1L2NtcGMtZXhlbXBsZWFkby1jb25kZW5hZG8tbWF0YW56YS1sYWphLmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5	Publimetro	2021-08-15	Condenan a exempleado de CMPC como cómplice en matanza en Laja
Carabinera perdió un dedo a causa de violencia intrafamiliar - Publimetro	https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vd3d3LnB1YmxpbWV0cm8uY2wvY2wvbm90aWNpYXMvMjAyMS8wOC8xNS9jYXJhYmluZXJhLXBlcmRpby1kZWRvLXZpb2xlbmNpYS1pbnRyYWZhbWlsaWFyLXBhcmVqYS1wb2xpY2lhLmh0bWzSAYIBaHR0cHM6Ly93d3cucHVibGltZXRyby5jbC9jbC9ub3RpY2lhcy8yMDIxLzA4LzE1L2NhcmFiaW5lcmEtcGVyZGlvLWRlZG8tdmlvbGVuY2lhLWludHJhZmFtaWxpYXItcGFyZWphLXBvbGljaWEuaHRtbD9vdXRwdXRUeXBlPWFtcA?oc=5	Publimetro	2021-08-15	Carabinera perdió un dedo a causa de violencia intrafamiliar
PDI indaga posible infanticidio tras hallazgo de un feto al interior de un basurero en Talca - Cooperativa.cl	https://news.google.com/__i/rss/rd/articles/CBMilAFodHRwczovL2Nvb3BlcmF0aXZhLmNsL25vdGljaWFzL3BhaXMvcmVnaW9uLWRlbC1tYXVsZS9wZGktaW5kYWdhLXBvc2libGUtaW5mYW50aWNpZGlvLXRyYXMtaGFsbGF6Z28tZGUtdW4tZmV0by1hbC1pbnRlcmlvci1kZS8yMDIxLTA4LTE2LzE2MjIwNC5odG1s0gFUaHR0cHM6Ly93d3cuY29vcGVyYXRpdmEuY2wvbm90aWNpYXMvc2l0ZS9hcnRpYy8yMDIxMDgxNi9wYWdzLWFtcC8yMDIxMDgxNjE2MjIwNC5odG1s?oc=5	Cooperativa.cl	2021-08-16	PDI indaga posible infanticidio tras hallazgo de un feto al interior de un basurero en Talca
Fiscalía acusa a Sebastián Sichel de infringir norma sanitaria al no portar permiso en toque de queda: candidato arriesga multa de 6 UTM - El Mostrador	https://news.google.com/__i/rss/rd/articles/CBMirQFodHRwczovL20uZWxtb3N0cmFkb3IuY2wvZGlhLzIwMjEvMDgvMTYvZmlzY2FsaWEtYWN1c2EtYS1zZWJhc3RpYW4tc2ljaGVsLWluZnJpbmdpci1ub3JtYS1zYW5pdGFyaWEtYWwtbm8tcG9ydGFyLXBlcm1pc28tZW4tdG9xdWUtZGUtcXVlZGEtY2FuZGlkYXRvLWFycmllc2dhLW11bHRhLWRlLTYtdXRtL9IBsQFodHRwczovL20uZWxtb3N0cmFkb3IuY2wvZGlhLzIwMjEvMDgvMTYvZmlzY2FsaWEtYWN1c2EtYS1zZWJhc3RpYW4tc2ljaGVsLWluZnJpbmdpci1ub3JtYS1zYW5pdGFyaWEtYWwtbm8tcG9ydGFyLXBlcm1pc28tZW4tdG9xdWUtZGUtcXVlZGEtY2FuZGlkYXRvLWFycmllc2dhLW11bHRhLWRlLTYtdXRtL2FtcC8?oc=5	El Mostrador	2021-08-16	Fiscalía acusa a Sebastián Sichel de infringir norma sanitaria al no portar permiso en toque de queda: candidato arriesga multa de 6 UTM
Un muerto deja atropello tras accidente vehicular en el acceso norte a Chillán - BioBioChile	https://news.google.com/__i/rss/rd/articles/CBMirQFodHRwczovL3d3dy5iaW9iaW9jaGlsZS5jbC9ub3RpY2lhcy9uYWNpb25hbC9yZWdpb24tZGUtbnVibGUvMjAyMS8wOC8xNi91bi1tdWVydG8tZGVqYS1hdHJvcGVsbG8tYS0zLXBlcnNvbmFzLXktcG9zdGVyaW9yLWNob3F1ZS1kZS12ZWhpY3Vsb3MtZW4tYWNjZXNvLW5vcnRlLWEtY2hpbGxhbi5zaHRtbNIBsQFodHRwczovL3d3dy5iaW9iaW9jaGlsZS5jbC9ub3RpY2lhcy9uYWNpb25hbC9yZWdpb24tZGUtbnVibGUvMjAyMS8wOC8xNi9hbXAvdW4tbXVlcnRvLWRlamEtYXRyb3BlbGxvLWEtMy1wZXJzb25hcy15LXBvc3Rlcmlvci1jaG9xdWUtZGUtdmVoaWN1bG9zLWVuLWFjY2Vzby1ub3J0ZS1hLWNoaWxsYW4uc2h0bWw?oc=5	BioBioChile	2021-08-16	Un muerto deja atropello tras accidente vehicular en el acceso norte a Chillán
¡A sacar los paraguas!: Pronostican lluvias para la región a partir del miércoles - El Día	https://news.google.com/__i/rss/rd/articles/CBMiYGh0dHA6Ly93d3cuZGlhcmlvZWxkaWEuY2wvcmVnaW9uL3NhY2FyLXBhcmFndWFzLXByb25vc3RpY2FuLWxsdXZpYXMtcGFyYS1yZWdpb24tcGFydGlyLW1pZXJjb2xlc9IBAA?oc=5	El Día	2021-08-16	¡A sacar los paraguas!: Pronostican lluvias para la región a partir del miércoles
Las razones de Camila Vallejo para no repostular a la Cámara de Diputados « Diario y Radio U Chile - Diario y Radio Uchile	https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vcmFkaW8udWNoaWxlLmNsLzIwMjEvMDgvMTYvbGFzLXJhem9uZXMtZGUtY2FtaWxhLXZhbGxlam8tcGFyYS1uby1yZXBvc3R1bGFyLWEtbGEtY2FtYXJhLWRlLWRpcHV0YWRvcy_SAQA?oc=5	Diario y Radio Uchile	2021-08-16	Las razones de Camila Vallejo para no repostular a la Cámara de Diputados « Diario y Radio U Chile
Vuelco en caso de incendio en hostal de Castro: detienen a sujeto acusado de incendiar la vivienda y asesinar a dos adultos mayores - Publimetro	https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3LnB1YmxpbWV0cm8uY2wvY2wvbm90aWNpYXMvMjAyMS8wOC8xNi9ob3N0YWwtdnVlbGNvLWRldGllbmVuLWFjdXNhZG8taW5jZW5kaWFyLWFzZXNpbmFyLWFkdWx0b3MtbWF5b3Jlcy5odG1s0gGGAWh0dHBzOi8vd3d3LnB1YmxpbWV0cm8uY2wvY2wvbm90aWNpYXMvMjAyMS8wOC8xNi9ob3N0YWwtdnVlbGNvLWRldGllbmVuLWFjdXNhZG8taW5jZW5kaWFyLWFzZXNpbmFyLWFkdWx0b3MtbWF5b3Jlcy5odG1sP291dHB1dFR5cGU9YW1w?oc=5	Publimetro	2021-08-16	Vuelco en caso de incendio en hostal de Castro: detienen a sujeto acusado de incendiar la vivienda y asesinar a dos adultos mayores
Minsal revela las 10 comunas con más rezagados en la RM (y que impiden que cambie el toque de queda) - Teletrece	https://news.google.com/__i/rss/rd/articles/CBMibGh0dHBzOi8vd3d3LnQxMy5jbC9ub3RpY2lhL25hY2lvbmFsL21pbnNhbC0xMC1jb211bmFzLW1hcy1yZXphZ2Fkb3Mtcm0taW1waWRlbi1jYW1iaWUtdG9xdWUtcXVlZGEtMTYtMDgtMjAyMdIBcGh0dHBzOi8vd3d3LnQxMy5jbC9hbXAvbm90aWNpYS9uYWNpb25hbC9taW5zYWwtMTAtY29tdW5hcy1tYXMtcmV6YWdhZG9zLXJtLWltcGlkZW4tY2FtYmllLXRvcXVlLXF1ZWRhLTE2LTA4LTIwMjE?oc=5	Teletrece	2021-08-16	Minsal revela las 10 comunas con más rezagados en la RM (y que impiden que cambie el toque de queda)
