title	link	source	date	title_corrected
Millonaria incautación de coltán en Colombia - Portafolio.co	https://news.google.com/__i/rss/rd/articles/CBMiVmh0dHBzOi8vd3d3LnBvcnRhZm9saW8uY28vZWNvbm9taWEvbWlsbG9uYXJpYS1pbmNhdXRhY2lvbi1kZS1jb2x0YW4tZW4tY29sb21iaWEtNTU1MTY40gFaaHR0cHM6Ly93d3cucG9ydGFmb2xpby5jby9hbXAvZWNvbm9taWEvbWlsbG9uYXJpYS1pbmNhdXRhY2lvbi1kZS1jb2x0YW4tZW4tY29sb21iaWEtNTU1MTY4?oc=5	Portafolio.co	2021-08-15	Millonaria incautación de coltán en Colombia
Cédulas a las que se les vence plazo para declarar renta en la semana - Portafolio.co	https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vd3d3LnBvcnRhZm9saW8uY28vZWNvbm9taWEvaW1wdWVzdG9zL2RlY2xhcmFjaW9uLWRlLXJlbnRhLWNlZHVsYXMtYS1sYXMtcXVlLXNlLWxlLXZlbmNlLWVsLXBsYXpvLWVzdGEtc2VtYW5hLTU1NTE3MNIBf2h0dHBzOi8vd3d3LnBvcnRhZm9saW8uY28vYW1wL2Vjb25vbWlhL2ltcHVlc3Rvcy9kZWNsYXJhY2lvbi1kZS1yZW50YS1jZWR1bGFzLWEtbGFzLXF1ZS1zZS1sZS12ZW5jZS1lbC1wbGF6by1lc3RhLXNlbWFuYS01NTUxNzA?oc=5	Portafolio.co	2021-08-15	Cédulas a las que se les vence plazo para declarar renta en la semana
3.132 casos nuevos y 103 fallecimientos más por Covid en Colombia - Las2orillas	https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3LmxhczJvcmlsbGFzLmNvLzMtMTMyLWNhc29zLW51ZXZvcy15LTEwMy1mYWxsZWNpbWllbnRvcy1tYXMtcG9yLWNvdmlkLWVuLWNvbG9tYmlhL9IBAA?oc=5	Las2orillas	2021-08-15	3.132 casos nuevos y 103 fallecimientos más por Covid en Colombia
Video: Policía y delincuentes se enfrentaron a tiros en plena vía publica en Funza, Cundinamarca - Revista Semana	https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vd3d3LnNlbWFuYS5jb20vbmFjaW9uL2FydGljdWxvL2F1dG9yaWRhZGVzLXJlZ2lzdHJhcm9uLXVuYS1iYWxhY2VyYS1lbi1mdW56YS1wb3ItdW4taW50ZW50by1kZS1yb2JvLzIwMjEzMS_SAXdodHRwczovL3d3dy5zZW1hbmEuY29tL2FtcC9uYWNpb24vYXJ0aWN1bG8vYXV0b3JpZGFkZXMtcmVnaXN0cmFyb24tdW5hLWJhbGFjZXJhLWVuLWZ1bnphLXBvci11bi1pbnRlbnRvLWRlLXJvYm8vMjAyMTMxLw?oc=5	Revista Semana	2021-08-16	Video: Policía y delincuentes se enfrentaron a tiros en plena vía publica en Funza, Cundinamarca
Rescatan a comerciante vallecaucano que había sido secuestrado en Bogotá - El País	https://news.google.com/__i/rss/rd/articles/CBMicGh0dHBzOi8vd3d3LmVscGFpcy5jb20uY28vanVkaWNpYWwvcmVzY2F0YW4tYS1jb21lcmNpYW50ZS12YWxsZWNhdWNhbm8tcXVlLWhhYmlhLXNpZG8tc2VjdWVzdHJhZG8tZW4tYm9nb3RhLmh0bWzSAXRodHRwczovL20uZWxwYWlzLmNvbS5jby9qdWRpY2lhbC9yZXNjYXRhbi1hLWNvbWVyY2lhbnRlLXZhbGxlY2F1Y2Fuby1xdWUtaGFiaWEtc2lkby1zZWN1ZXN0cmFkby1lbi1ib2dvdGEuaHRtbD9hbXA9MQ?oc=5	El País	2021-08-16	Rescatan a comerciante vallecaucano que había sido secuestrado en Bogotá
Coronavirus en Colombia 16 de agosto: 3.161 casos y principales noticias - El Espectador	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3LmVsZXNwZWN0YWRvci5jb20vc2FsdWQvY29yb25hdmlydXMtZW4tY29sb21iaWEtMTYtZGUtYWdvc3RvLTMxNjEtY2Fzb3MteS1wcmluY2lwYWxlcy1ub3RpY2lhcy_SAXlodHRwczovL3d3dy5lbGVzcGVjdGFkb3IuY29tL3NhbHVkL2Nvcm9uYXZpcnVzLWVuLWNvbG9tYmlhLTE2LWRlLWFnb3N0by0zMTYxLWNhc29zLXktcHJpbmNpcGFsZXMtbm90aWNpYXMvP291dHB1dFR5cGU9YW1w?oc=5	El Espectador	2021-08-16	Coronavirus en Colombia 16 de agosto: 3.161 casos y principales noticias
Mintic: Jorge Molina, eslabón clave del escándalo por garantías falsas - Unidad Investigativa - ELTIEMPO.COM - ElTiempo.com	https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3LmVsdGllbXBvLmNvbS91bmlkYWQtaW52ZXN0aWdhdGl2YS9taW50aWMtam9yZ2UtbW9saW5hLWVzbGFib24tY2xhdmUtZGVsLWVzY2FuZGFsby1wb3ItZ2FyYW50aWFzLWZhbHNhcy02MTA2NznSAQA?oc=5	ElTiempo.com	2021-08-16	Mintic: Jorge Molina, eslabón clave del escándalo por garantías falsasUnidad InvestigativaELTIEMPO.COM
Disidencias habrían asesinado a dos jóvenes por evadir un retén en Cauca - Publimetro Colombia	https://news.google.com/__i/rss/rd/articles/CBMifmh0dHBzOi8vd3d3LnB1YmxpbWV0cm8uY28vY28vbm90aWNpYXMvMjAyMS8wOC8xNS9kaXNpZGVuY2lhcy1oYWJyaWFuLWFzZXNpbmFkby1hLWRvcy1qb3ZlbmVzLXBvci1ldmFkaXItdW4tcmV0ZW4tZW4tY2F1Y2EuaHRtbNIBjQFodHRwczovL3d3dy5wdWJsaW1ldHJvLmNvL2NvL25vdGljaWFzLzIwMjEvMDgvMTUvZGlzaWRlbmNpYXMtaGFicmlhbi1hc2VzaW5hZG8tYS1kb3Mtam92ZW5lcy1wb3ItZXZhZGlyLXVuLXJldGVuLWVuLWNhdWNhLmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5	Publimetro Colombia	2021-08-16	Disidencias habrían asesinado a dos jóvenes por evadir un retén en Cauca
Contraloría denuncia que el Gobierno no ha pagado más de 26 millones de vacunas a IPS - infobae	https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2NvbG9tYmlhLzIwMjEvMDgvMTYvY29udHJhbG9yaWEtZGVudW5jaWEtcXVlLWVsLWdvYmllcm5vLW5vLWhhLXBhZ2Fkby1tYXMtZGUtMjYtbWlsbG9uZXMtZGUtdmFjdW5hcy1hLWlwcy_SAZ4BaHR0cHM6Ly93d3cuaW5mb2JhZS5jb20vYW1lcmljYS9jb2xvbWJpYS8yMDIxLzA4LzE2L2NvbnRyYWxvcmlhLWRlbnVuY2lhLXF1ZS1lbC1nb2JpZXJuby1uby1oYS1wYWdhZG8tbWFzLWRlLTI2LW1pbGxvbmVzLWRlLXZhY3VuYXMtYS1pcHMvP291dHB1dFR5cGU9YW1wLXR5cGU?oc=5	infobae	2021-08-16	Contraloría denuncia que el Gobierno no ha pagado más de 26 millones de vacunas a IPS
Reinado Trans del Mar terminó en una violenta pelea por inconformidad con la ganadora - infobae	https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3d3dy5pbmZvYmFlLmNvbS9hbWVyaWNhL2NvbG9tYmlhLzIwMjEvMDgvMTYvcmVpbmFkby10cmFucy1kZWwtbWFyLXRlcm1pbm8tZW4tdW5hLXZpb2xlbnRhLXBlbGVhLXBvci1pbmNvbmZvcm1pZGFkLWNvbi1sYS1nYW5hZG9yYS_SAZ4BaHR0cHM6Ly93d3cuaW5mb2JhZS5jb20vYW1lcmljYS9jb2xvbWJpYS8yMDIxLzA4LzE2L3JlaW5hZG8tdHJhbnMtZGVsLW1hci10ZXJtaW5vLWVuLXVuYS12aW9sZW50YS1wZWxlYS1wb3ItaW5jb25mb3JtaWRhZC1jb24tbGEtZ2FuYWRvcmEvP291dHB1dFR5cGU9YW1wLXR5cGU?oc=5	infobae	2021-08-16	Reinado Trans del Mar terminó en una violenta pelea por inconformidad con la ganadora
