title	link	source	date	title_corrected	migracion
Por qué los manglares son vitales para combatir el cambio climático (y cómo República Dominicana lucha por conservarlos) - BBC News Mundo	https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LmJiYy5jb20vbXVuZG8vbm90aWNpYXMtNTc5MjkzODHSAS9odHRwczovL3d3dy5iYmMuY29tL211bmRvL25vdGljaWFzLTU3OTI5MzgxLmFtcA?oc=5	BBC News Mundo	2021-07-26	Por qué los manglares son vitales para combatir el cambio climático (y cómo República Dominicana lucha por conservarlos)	0
Ricardo Montaner y su familia cantarán juntos por primera vez en un show por streaming - La Nueva	https://news.google.com/__i/rss/rd/articles/CBMihAFodHRwczovL3d3dy5sYW51ZXZhLmNvbS9ub3RhLzIwMjEtNy0zMS0xMy0xLTAtcmljYXJkby1tb250YW5lci15LXN1LWZhbWlsaWEtY2FudGFyYW4tanVudG9zLXBvci1wcmltZXJhLXZlei1lbi11bi1zaG93LXBvci1zdHJlYW1pbmfSAYgBaHR0cHM6Ly93d3cubGFudWV2YS5jb20vbm90YS8yMDIxLTctMzEtMTMtMS0wLXJpY2FyZG8tbW9udGFuZXIteS1zdS1mYW1pbGlhLWNhbnRhcmFuLWp1bnRvcy1wb3ItcHJpbWVyYS12ZXotZW4tdW4tc2hvdy1wb3Itc3RyZWFtaW5nL2FtcA?oc=5	La Nueva	2021-07-31	Ricardo Montaner y su familia cantarán juntos por primera vez en un show por streaming	0
Tokio: día de gloria en las Olimpiadas para República Dominicana con medallas en halterofilia y relevos mixtos; Venezuela también festeja en pesas - BBC News Mundo	https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LmJiYy5jb20vbXVuZG8vZGVwb3J0ZXMtNTgwMzg3NznSAS9odHRwczovL3d3dy5iYmMuY29tL211bmRvL2RlcG9ydGVzLTU4MDM4Nzc5LmFtcA?oc=5	BBC News Mundo	2021-07-31	Tokio: día de gloria en las Olimpiadas para República Dominicana con medallas en halterofilia y relevos mixtos; Venezuela también festeja en pesas	0
Abinader: “El mejor destino turístico del mundo es la República Dominicana” - Noticias SIN	https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vbm90aWNpYXNzaW4uY29tL3BhaXMvYWJpbmFkZXItZWwtbWVqb3ItZGVzdGluby10dXJpc3RpY28tZGVsLW11bmRvLWVzLWxhLXJlcHVibGljYS1kb21pbmljYW5hLTExMzM4OTnSAW1odHRwczovL25vdGljaWFzc2luLmNvbS9wYWlzL2FiaW5hZGVyLWVsLW1lam9yLWRlc3Rpbm8tdHVyaXN0aWNvLWRlbC1tdW5kby1lcy1sYS1yZXB1YmxpY2EtZG9taW5pY2FuYS0xMTMzODk5?oc=5	Noticias SIN	2021-08-02	Abinader: “El mejor destino turístico del mundo es la República Dominicana”	0
Alerta en América: la peste porcina africana ha sido detectada en la República Dominicana - Noticias ONU	https://news.google.com/__i/rss/rd/articles/CBMiLGh0dHBzOi8vbmV3cy51bi5vcmcvZXMvc3RvcnkvMjAyMS8wOC8xNDk1MDQy0gEA?oc=5	Noticias ONU	2021-08-02	Alerta en América: la peste porcina africana ha sido detectada en la República Dominicana	0
Haití - República Dominicana: el muro que divide familias en el Caribe - DW (Español)	https://news.google.com/__i/rss/rd/articles/CBMibmh0dHBzOi8vd3d3LmR3LmNvbS9lcy9oYWl0JUMzJUFELXJlcCVDMyVCQWJsaWNhLWRvbWluaWNhbmEtZWwtbXVyby1xdWUtZGl2aWRlLWZhbWlsaWFzLWVuLWVsLWNhcmliZS9hLTU4Nzc1MjAz0gFuaHR0cHM6Ly9hbXAuZHcuY29tL2VzL2hhaXQlQzMlQUQtcmVwJUMzJUJBYmxpY2EtZG9taW5pY2FuYS1lbC1tdXJvLXF1ZS1kaXZpZGUtZmFtaWxpYXMtZW4tZWwtY2FyaWJlL2EtNTg3NzUyMDM?oc=5	DW (Español)	2021-08-06	HaitíRepública Dominicana: el muro que divide familias en el Caribe	0
República Dominicana vence a Corea del Sur y gana bronce en el béisbol de Tokio 2020 - Diario Libre	https://news.google.com/__i/rss/rd/articles/CBMijgFodHRwczovL3d3dy5kaWFyaW9saWJyZS5jb20vZGVwb3J0ZXMvb2xpbXBpc21vL3JlcHVibGljYS1kb21pbmljYW5hLXZlbmNlLWEtY29yZWEtZGVsLXN1ci15LWdhbmEtYnJvbmNlLWVuLWVsLWJlaXNib2wtZGUtdG9raW8tMjAyMC1PTDI4MDEyODI20gGUAWh0dHBzOi8vd3d3LmRpYXJpb2xpYnJlLmNvbS9kZXBvcnRlcy9vbGltcGlzbW8vcmVwdWJsaWNhLWRvbWluaWNhbmEtdmVuY2UtYS1jb3JlYS1kZWwtc3VyLXktZ2FuYS1icm9uY2UtZW4tZWwtYmVpc2JvbC1kZS10b2tpby0yMDIwLU9MMjgwMTI4MjY_YW1wPTE?oc=5	Diario Libre	2021-08-07	República Dominicana vence a Corea del Sur y gana bronce en el béisbol de Tokio 2020	0
Dominicana mejora posición en el ranking de béisbol luego de Tokio 2020 - Diario Libre	https://news.google.com/__i/rss/rd/articles/CBMif2h0dHBzOi8vd3d3LmRpYXJpb2xpYnJlLmNvbS9kZXBvcnRlcy9iZWlzYm9sL2RvbWluaWNhbmEtbWVqb3JhLXBvc2ljaW9uLWVuLWVsLXJhbmtpbmctZGUtYmVpc2JvbC1sdWVnby1kZS10b2tpby0yMDIwLUVEMjgwOTIzNTDSAYUBaHR0cHM6Ly93d3cuZGlhcmlvbGlicmUuY29tL2RlcG9ydGVzL2JlaXNib2wvZG9taW5pY2FuYS1tZWpvcmEtcG9zaWNpb24tZW4tZWwtcmFua2luZy1kZS1iZWlzYm9sLWx1ZWdvLWRlLXRva2lvLTIwMjAtRUQyODA5MjM1MD9hbXA9MQ?oc=5	Diario Libre	2021-08-11	Dominicana mejora posición en el ranking de béisbol luego de Tokio 2020	0
República Dominicana monitorea potencial depresión tropical - Diario Libre	https://news.google.com/__i/rss/rd/articles/CBMie2h0dHBzOi8vd3d3LmRpYXJpb2xpYnJlLmNvbS9hY3R1YWxpZGFkL21lZGlvYW1iaWVudGUvcmVwdWJsaWNhLWRvbWluaWNhbmEtbW9uaXRvcmVhLXBvdGVuY2lhbC1kZXByZXNpb24tdHJvcGljYWwtQUsyODExNDg4NNIBgQFodHRwczovL3d3dy5kaWFyaW9saWJyZS5jb20vYWN0dWFsaWRhZC9tZWRpb2FtYmllbnRlL3JlcHVibGljYS1kb21pbmljYW5hLW1vbml0b3JlYS1wb3RlbmNpYWwtZGVwcmVzaW9uLXRyb3BpY2FsLUFLMjgxMTQ4ODQ_YW1wPTE?oc=5	Diario Libre	2021-08-12	República Dominicana monitorea potencial depresión tropical	0
Empresa canadiense anuncia expansión de inversión en República Dominicana - Diario Libre	https://news.google.com/__i/rss/rd/articles/CBMieWh0dHBzOi8vd3d3LmRpYXJpb2xpYnJlLmNvbS9lY29ub21pYS9lbXByZXNhLWNhbmFkaWVuc2UtYW51bmNpYS1leHBhbnNpb24tZGUtaW52ZXJzaW9uLWVuLXJlcHVibGljYS1kb21pbmljYW5hLU5QMjgxNDY5MzHSAX9odHRwczovL3d3dy5kaWFyaW9saWJyZS5jb20vZWNvbm9taWEvZW1wcmVzYS1jYW5hZGllbnNlLWFudW5jaWEtZXhwYW5zaW9uLWRlLWludmVyc2lvbi1lbi1yZXB1YmxpY2EtZG9taW5pY2FuYS1OUDI4MTQ2OTMxP2FtcD0x?oc=5	Diario Libre	2021-08-13	Empresa canadiense anuncia expansión de inversión en República Dominicana	0
