title	link	source	date	title_corrected
Al menos 22 muertos en dos motines en cárceles de Ecuador - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vZWxwYWlzLmNvbS9pbnRlcm5hY2lvbmFsLzIwMjEtMDctMjMvYWwtbWVub3MtMjItbXVlcnRvcy1lbi1kb3MtbW90aW5lcy1lbi1jYXJjZWxlcy1kZS1lY3VhZG9yLmh0bWzSAXlodHRwczovL2VscGFpcy5jb20vaW50ZXJuYWNpb25hbC8yMDIxLTA3LTIzL2FsLW1lbm9zLTIyLW11ZXJ0b3MtZW4tZG9zLW1vdGluZXMtZW4tY2FyY2VsZXMtZGUtZWN1YWRvci5odG1sP291dHB1dFR5cGU9YW1w?oc=5	EL PAÍS	2021-07-23	Al menos 22 muertos en dos motines en cárceles de Ecuador
En cuatro pasos puede obtener su licencia digital en Ecuador: el documento es válido desde enero de 2021 - El Universo	https://news.google.com/__i/rss/rd/articles/CBMimQFodHRwczovL3d3dy5lbHVuaXZlcnNvLmNvbS9ub3RpY2lhcy9lY3VhZG9yL2VuLWN1YXRyby1wYXNvcy1wdWVkZS1vYnRlbmVyLXN1LWxpY2VuY2lhLWRpZ2l0YWwtZW4tZWN1YWRvci1lbC1kb2N1bWVudG8tZXMtdmFsaWRvLWRlc2RlLWVuZXJvLWRlLTIwMjEtbm90YS_SAagBaHR0cHM6Ly93d3cuZWx1bml2ZXJzby5jb20vbm90aWNpYXMvZWN1YWRvci9lbi1jdWF0cm8tcGFzb3MtcHVlZGUtb2J0ZW5lci1zdS1saWNlbmNpYS1kaWdpdGFsLWVuLWVjdWFkb3ItZWwtZG9jdW1lbnRvLWVzLXZhbGlkby1kZXNkZS1lbmVyby1kZS0yMDIxLW5vdGEvP291dHB1dFR5cGU9YW1w?oc=5	El Universo	2021-07-27	En cuatro pasos puede obtener su licencia digital en Ecuador: el documento es válido desde enero de 2021
La justicia de Ecuador acepta la retirada de la nacionalidad de su país a Julian Assange - RT en Español	https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vYWN0dWFsaWRhZC5ydC5jb20vYWN0dWFsaWRhZC8zOTg5ODUtanVzdGljaWEtZWN1YWRvci1hY2VwdGEtcmV0aXJvLW5hY2lvbmFsaWRhZNIBW2h0dHBzOi8vYWN0dWFsaWRhZC5ydC5jb20vYWN0dWFsaWRhZC8zOTg5ODUtanVzdGljaWEtZWN1YWRvci1hY2VwdGEtcmV0aXJvLW5hY2lvbmFsaWRhZC9hbXA?oc=5	RT en Español	2021-07-27	La justicia de Ecuador acepta la retirada de la nacionalidad de su país a Julian Assange
"¿Puede Ecuador lograr ""lo imposible"" y pasar de una economía petrolera a la bioeconomía? - BBC News Mundo"	https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vd3d3LmJiYy5jb20vbXVuZG8vbm90aWNpYXMtYW1lcmljYS1sYXRpbmEtNTgwNTY5MDDSAT5odHRwczovL3d3dy5iYmMuY29tL211bmRvL25vdGljaWFzLWFtZXJpY2EtbGF0aW5hLTU4MDU2OTAwLmFtcA?oc=5	BBC News Mundo	2021-08-02	"¿Puede Ecuador lograr ""lo imposible"" y pasar de una economía petrolera a la bioeconomía?"
"Olímpicos de Tokio | El impacto en Ecuador de los ""turbantes"" y el afro de las mujeres medallistas olímpicas - BBC News Mundo"	https://news.google.com/__i/rss/rd/articles/CBMiOmh0dHBzOi8vd3d3LmJiYy5jb20vbXVuZG8vbm90aWNpYXMtYW1lcmljYS1sYXRpbmEtNTgwOTU1MznSAT5odHRwczovL3d3dy5iYmMuY29tL211bmRvL25vdGljaWFzLWFtZXJpY2EtbGF0aW5hLTU4MDk1NTM5LmFtcA?oc=5	BBC News Mundo	2021-08-05	"Olímpicos de TokioEl impacto en Ecuador de los ""turbantes"" y el afro de las mujeres medallistas olímpicas"
Putin y Lasso abordan la relación entre Rusia y Ecuador y la lucha contra el covid-19 en una conversación... - RT en Español	https://news.google.com/__i/rss/rd/articles/CBMiV2h0dHBzOi8vYWN0dWFsaWRhZC5ydC5jb20vYWN0dWFsaWRhZC8zOTk5NDMtcHV0aW4tbGFzc28tY29udmVyc2FjaW9uLXRlbGVmb25pY2EtZWN1YWRvctIBW2h0dHBzOi8vYWN0dWFsaWRhZC5ydC5jb20vYWN0dWFsaWRhZC8zOTk5NDMtcHV0aW4tbGFzc28tY29udmVyc2FjaW9uLXRlbGVmb25pY2EtZWN1YWRvci9hbXA?oc=5	RT en Español	2021-08-05	Putin y Lasso abordan la relación entre Rusia y Ecuador y la lucha contra el covid-19 en una conversación...
El riesgo de defender la naturaleza en Ecuador - Ecuavisa	https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LmVjdWF2aXNhLmNvbS9sby1udWV2by1lY3VhdmlzYS9lbC1yaWVzZ28tZGUtZGVmZW5kZXItbGEtbmF0dXJhbGV6YS1lbi1lY3VhZG9yLURMNjI5MjI10gFmaHR0cHM6Ly93d3cuZWN1YXZpc2EuY29tL2FtcC9sby1udWV2by1lY3VhdmlzYS9lbC1yaWVzZ28tZGUtZGVmZW5kZXItbGEtbmF0dXJhbGV6YS1lbi1lY3VhZG9yLURMNjI5MjI1?oc=5	Ecuavisa	2021-08-09	El riesgo de defender la naturaleza en Ecuador
La vuelta al mundo: balance de Ecuador, México y Venezuela en los Olímpicos de Tokio - FRANCE 24 Español	https://news.google.com/__i/rss/rd/articles/CBMiYWh0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lcy9hbSVDMyVBOXJpY2EtbGF0aW5hLzIwMjEwODExLW9saW1waWNvcy10b2tpby1lY3VhZG9yLW1leGljby12ZW5lenVlbGHSAWFodHRwczovL2FtcC5mcmFuY2UyNC5jb20vZXMvYW0lQzMlQTlyaWNhLWxhdGluYS8yMDIxMDgxMS1vbGltcGljb3MtdG9raW8tZWN1YWRvci1tZXhpY28tdmVuZXp1ZWxh?oc=5	FRANCE 24 Español	2021-08-11	La vuelta al mundo: balance de Ecuador, México y Venezuela en los Olímpicos de Tokio
Entra en vigor un nuevo estatuto migratorio entre Bolivia, Colombia, Ecuador y Perú: ¿cómo favorece la... - RT en Español	https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vYWN0dWFsaWRhZC5ydC5jb20vYWN0dWFsaWRhZC80MDA1NTktZXN0YXR1dG8tbWlncmF0b3Jpby1ib2xpdmlhLWNvbG9tYmlhLWVjdWFkb3ItcGVyddIBYWh0dHBzOi8vYWN0dWFsaWRhZC5ydC5jb20vYWN0dWFsaWRhZC80MDA1NTktZXN0YXR1dG8tbWlncmF0b3Jpby1ib2xpdmlhLWNvbG9tYmlhLWVjdWFkb3ItcGVydS9hbXA?oc=5	RT en Español	2021-08-12	Entra en vigor un nuevo estatuto migratorio entre Bolivia, Colombia, Ecuador y Perú: ¿cómo favorece la...
Ecuador está en el puesto 19 de los países con los costos más baratos en combustibles - El Telégrafo 	https://news.google.com/__i/rss/rd/articles/CBMiiwFodHRwczovL3d3dy5lbHRlbGVncmFmby5jb20uZWMvbm90aWNpYXMvYWN0dWFsaWRhZC80NC9lY3VhZG9yLWVzdGEtZW4tZWwtcHVlc3RvLTE5LWRlLWxvcy1wYWlzZXMtY29uLWxvcy1jb3N0b3MtbWFzLWJhcmF0b3MtZW4tY29tYnVzdGlibGVz0gEA?oc=5	El Telégrafo 	2021-08-13	Ecuador está en el puesto 19 de los países con los costos más baratos en combustibles
