title	link	source	date	title_corrected	migracion
À Saint Georges de l’Oyapock en Guyane, la situation frontalière exacerbe les conséquences des mesures anti-Covid - The Conversation FR	https://news.google.com/__i/rss/rd/articles/CBMikgFodHRwczovL3RoZWNvbnZlcnNhdGlvbi5jb20vYS1zYWludC1nZW9yZ2VzLWRlLWxveWFwb2NrLWVuLWd1eWFuZS1sYS1zaXR1YXRpb24tZnJvbnRhbGllcmUtZXhhY2VyYmUtbGVzLWNvbnNlcXVlbmNlcy1kZXMtbWVzdXJlcy1hbnRpLWNvdmlkLTE1NDQzNtIBlgFodHRwczovL3RoZWNvbnZlcnNhdGlvbi5jb20vYW1wL2Etc2FpbnQtZ2Vvcmdlcy1kZS1sb3lhcG9jay1lbi1ndXlhbmUtbGEtc2l0dWF0aW9uLWZyb250YWxpZXJlLWV4YWNlcmJlLWxlcy1jb25zZXF1ZW5jZXMtZGVzLW1lc3VyZXMtYW50aS1jb3ZpZC0xNTQ0MzY?oc=5	The Conversation FR	2021-02-11	À Saint Georges de l’Oyapock en Guyane, la situation frontalière exacerbe les conséquences des mesures anti-Covid	0
«En Guyane, les demandeurs d'asile sont les moins bien lotis de France» - Libération	https://news.google.com/__i/rss/rd/articles/CBMiigFodHRwczovL3d3dy5saWJlcmF0aW9uLmZyL3NvY2lldGUvZW4tZ3V5YW5lLWxlcy1kZW1hbmRldXJzLWRhc2lsZS1zb250LWxlcy1tb2lucy1iaWVuLWxvdGlzLWRlLWZyYW5jZS0yMDIxMDIyOF9GMzdRRVFLU0ZORkFSRUFFUkVLMjJJUlFQRS_SAQA?oc=5	Libération	2021-02-28	«En Guyane, les demandeurs d'asile sont les moins bien lotis de France»	0
EPFA Guyane : Présentation du Plan Stratégique de développement de la Guyane 2021-2026 - TendanceHotellerie	https://news.google.com/__i/rss/rd/articles/CBMiqQFodHRwczovL3d3dy50ZW5kYW5jZWhvdGVsbGVyaWUuZnIvYXJ0aWNsZXMtYnJldmVzL2NvbW11bmlxdWUtZGUtcHJlc3NlLzE1MDQyLWFydGljbGUvZXBmYS1ndXlhbmUtcHJlc2VudGF0aW9uLWR1LXBsYW4tc3RyYXRlZ2lxdWUtZGUtZGV2ZWxvcHBlbWVudC1kZS1sYS1ndXlhbmUtMjAyMS0yMDI20gEA?oc=5	TendanceHotellerie	2021-03-01	EPFA Guyane : Présentation du Plan Stratégique de développement de la Guyane 2021-2026	0
Pourquoi la situation en Guyane est-elle singulière ? - Journal du CNRS	https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vbGVqb3VybmFsLmNucnMuZnIvbm9zLWJsb2dzL2NvdmlkLTE5LWxhLXBhcm9sZS1hLWxhLXNjaWVuY2UvcG91cnF1b2ktbGEtc2l0dWF0aW9uLWVuLWd1eWFuZS1lc3QtZWxsZS1zaW5ndWxpZXJl0gEA?oc=5	Journal du CNRS	2021-03-04	Pourquoi la situation en Guyane est-elle singulière ?	0
Guyane-Suriname : une nouvelle frontière pour en finir avec quatre siècles d'ambiguïté - L'Express	https://news.google.com/__i/rss/rd/articles/CBMilgFodHRwczovL3d3dy5sZXhwcmVzcy5mci9hY3R1YWxpdGUvbW9uZGUvYW1lcmlxdWUtc3VkL2d1eWFuZS1zdXJpbmFtZS11bmUtbm91dmVsbGUtZnJvbnRpZXJlLXBvdXItZW4tZmluaXItYXZlYy1xdWF0cmUtc2llY2xlcy1kLWFtYmlndWl0ZV8yMTQ2NTEzLmh0bWzSAZoBaHR0cHM6Ly93d3cubGV4cHJlc3MuZnIvYWN0dWFsaXRlL21vbmRlL2FtZXJpcXVlLXN1ZC9ndXlhbmUtc3VyaW5hbWUtdW5lLW5vdXZlbGxlLWZyb250aWVyZS1wb3VyLWVuLWZpbmlyLWF2ZWMtcXVhdHJlLXNpZWNsZXMtZC1hbWJpZ3VpdGVfMjE0NjUxMy5hbXAuaHRtbA?oc=5	L'Express	2021-03-14	Guyane-Suriname : une nouvelle frontière pour en finir avec quatre siècles d'ambiguïté	0
Coronavirus : Les secrets de la Guyane, seul département français dans le vert - Europe1	https://news.google.com/__i/rss/rd/articles/CBMiiQFodHRwczovL3d3dy5ldXJvcGUxLmZyL2VtaXNzaW9ucy9jZXN0LWdyYW5kLWxhLWZyYW5jZS9jb3JvbmF2aXJ1cy1sZXMtc2VjcmV0cy1kZS1sYS1ndXlhbmUtc2V1bC1kZXBhcnRlbWVudC1mcmFuY2Fpcy1kYW5zLWxlLXZlcnQtNDAzMjg5MNIBjQFodHRwczovL3d3dy5ldXJvcGUxLmZyL2VtaXNzaW9ucy9jZXN0LWdyYW5kLWxhLWZyYW5jZS9jb3JvbmF2aXJ1cy1sZXMtc2VjcmV0cy1kZS1sYS1ndXlhbmUtc2V1bC1kZXBhcnRlbWVudC1mcmFuY2Fpcy1kYW5zLWxlLXZlcnQtNDAzMjg5MC5hbXA?oc=5	Europe1	2021-03-21	Coronavirus : Les secrets de la Guyane, seul département français dans le vert	0
"Bordelaise tuée en Guyane : ""Une véritable exécution"", selon le procureur de Cayenne - France Bleu"	https://news.google.com/__i/rss/rd/articles/CBMijwFodHRwczovL3d3dy5mcmFuY2VibGV1LmZyL2luZm9zL2ZhaXRzLWRpdmVycy1qdXN0aWNlL2JvcmRlbGFpc2UtdHVlZS1lbi1ndXlhbmUtdW5lLXZlcml0YWJsZS1leGVjdXRpb24tc2Vsb24tbGUtcHJvY3VyZXVyLWRlLWNheWVubmUtMTYxNjM1NTA2OdIBkwFodHRwczovL3d3dy5mcmFuY2VibGV1LmZyL2FtcC9pbmZvcy9mYWl0cy1kaXZlcnMtanVzdGljZS9ib3JkZWxhaXNlLXR1ZWUtZW4tZ3V5YW5lLXVuZS12ZXJpdGFibGUtZXhlY3V0aW9uLXNlbG9uLWxlLXByb2N1cmV1ci1kZS1jYXllbm5lLTE2MTYzNTUwNjk?oc=5	France Bleu	2021-03-21	"Bordelaise tuée en Guyane : ""Une véritable exécution"", selon le procureur de Cayenne"	0
Covid-19 : pourquoi la Guyane est le seul département dans le vert - Europe 1	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmV1cm9wZTEuZnIvc2FudGUvY292aWQtMTktbGEtZ3V5YW5lLXNldWwtZGVwYXJ0ZW1lbnQtZnJhbmNhaXMtZGFucy1sZS12ZXJ0LTQwMzMwMTjSAWJodHRwczovL3d3dy5ldXJvcGUxLmZyL3NhbnRlL2NvdmlkLTE5LWxhLWd1eWFuZS1zZXVsLWRlcGFydGVtZW50LWZyYW5jYWlzLWRhbnMtbGUtdmVydC00MDMzMDE4LmFtcA?oc=5	Europe 1	2021-03-21	Covid-19 : pourquoi la Guyane est le seul département dans le vert	0
Bordelaise tuée en Guyane : une cagnotte pour aider les parents à récupérer le corps de leur fille - France Bleu	https://news.google.com/__i/rss/rd/articles/CBMioQFodHRwczovL3d3dy5mcmFuY2VibGV1LmZyL2luZm9zL2ZhaXRzLWRpdmVycy1qdXN0aWNlL3N0LWxvdWlzLWRlLW1vbnRmZXJyYW5kLXVuZS1jYWdub3R0ZS1wb3VyLWFpZGVyLWxlcy1wYXJlbnRzLWQtYWxpY2lhLWZheWUtYS1yZWN1cGVyZXItbGUtY29ycHMtZGUtMTYxNjYwMDE1M9IBpQFodHRwczovL3d3dy5mcmFuY2VibGV1LmZyL2FtcC9pbmZvcy9mYWl0cy1kaXZlcnMtanVzdGljZS9zdC1sb3Vpcy1kZS1tb250ZmVycmFuZC11bmUtY2Fnbm90dGUtcG91ci1haWRlci1sZXMtcGFyZW50cy1kLWFsaWNpYS1mYXllLWEtcmVjdXBlcmVyLWxlLWNvcnBzLWRlLTE2MTY2MDAxNTM?oc=5	France Bleu	2021-03-24	Bordelaise tuée en Guyane : une cagnotte pour aider les parents à récupérer le corps de leur fille	0
"La création d'un CHU ""multisites unifié"" en Guyane devient une ""exigence"" et cible 2025 - Hospimedia"	https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3Lmhvc3BpbWVkaWEuZnIvYWN0dWFsaXRlL2FydGljbGVzLzIwMjEwMzI2LXBvbGl0aXF1ZS1kZS1zYW50ZS1sYS1jcmVhdGlvbi1kLXVuLWNoddIBAA?oc=5	Hospimedia	2021-03-26	"La création d'un CHU ""multisites unifié"" en Guyane devient une ""exigence"" et cible 2025"	0
