title	link	source	date	title_corrected	migracion
Aprueban proyecto de Presupuesto General 2021 por L 288,145.1 millones - ElHeraldo.hn	https://news.google.com/__i/rss/rd/articles/CBMiYGh0dHBzOi8vd3d3LmVsaGVyYWxkby5obi9lY29ub21pYS8xNDA4NDY0LTQ2Ni9hcHJ1ZWJhLXByb3llY3RvLXByZXN1cHVlc3RvLWdlbmVyYWwtMjAyMS1ob25kdXJhc9IBZWh0dHA6Ly93d3cuZWxoZXJhbGRvLmhuL2Vjb25vbWlhLzE0MDg0NjQtNDY2L2FwcnVlYmEtcHJveWVjdG8tcHJlc3VwdWVzdG8tZ2VuZXJhbC0yMDIxLWhvbmR1cmFzP2FtcD0x?oc=5	ElHeraldo.hn	2020-09-15	Aprueban proyecto de Presupuesto General 2021 por L 288,145.1 millones	0
Pandemia vulnera los derechos de niños hondureños y aumenta trabajo infantil - La Vanguardia	https://news.google.com/__i/rss/rd/articles/CBMiiQFodHRwczovL3d3dy5sYXZhbmd1YXJkaWEuY29tL3ZpZGEvMjAyMDA5MTUvNDgzNTA5ODI3MzYwL3BhbmRlbWlhLXZ1bG5lcmEtbG9zLWRlcmVjaG9zLWRlLW5pbm9zLWhvbmR1cmVub3MteS1hdW1lbnRhLXRyYWJham8taW5mYW50aWwuaHRtbNIBkwFodHRwczovL3d3dy5sYXZhbmd1YXJkaWEuY29tL3ZpZGEvMjAyMDA5MTUvNDgzNTA5ODI3MzYwL3BhbmRlbWlhLXZ1bG5lcmEtbG9zLWRlcmVjaG9zLWRlLW5pbm9zLWhvbmR1cmVub3MteS1hdW1lbnRhLXRyYWJham8taW5mYW50aWwuaHRtbD9mYWNldD1hbXA?oc=5	La Vanguardia	2020-09-15	Pandemia vulnera los derechos de niños hondureños y aumenta trabajo infantil	0
Honduras pagará el 46% de la deuda externa con más deuda - Diario El Heraldo - ElHeraldo.hn	https://news.google.com/__i/rss/rd/articles/CBMiZWh0dHBzOi8vd3d3LmVsaGVyYWxkby5obi9lY29ub21pYS8xNDE1NDc5LTQ2Ni9ob25kdXJhcy1wYWdhcmEtZWwtNDYtZGUtbGEtZGV1ZGEtZXh0ZXJuYS1jb24tbWFzLWRldWRh0gEA?oc=5	ElHeraldo.hn	2020-10-14	Honduras pagará el 46% de la deuda externa con más deudaDiario El Heraldo	0
Llegan a Honduras 8 toneladas de ayuda para los afectados por Eta e Iota - El Periódico	https://news.google.com/__i/rss/rd/articles/CBMiYGh0dHBzOi8vd3d3LmVscGVyaW9kaWNvLmNvbS9lcy9pbnRlcm5hY2lvbmFsLzIwMjAxMjEwL2xsZWdhbi1ob25kdXJhcy04LXRvbmVsYWRhcy1heXVkYS0xMTMwNjIyNtIBYGh0dHBzOi8vYW1wLmVscGVyaW9kaWNvLmNvbS9lcy9pbnRlcm5hY2lvbmFsLzIwMjAxMjEwL2xsZWdhbi1ob25kdXJhcy04LXRvbmVsYWRhcy1heXVkYS0xMTMwNjIyNg?oc=5	El Periódico	2020-12-10	Llegan a Honduras 8 toneladas de ayuda para los afectados por Eta e Iota	0
El presupuesto para 2021 en Honduras será de 11.892,5 millones de dólares - La Vanguardia	https://news.google.com/__i/rss/rd/articles/CBMidGh0dHBzOi8vd3d3LmxhdmFuZ3VhcmRpYS5jb20vcG9saXRpY2EvMjAyMDEyMjMvNjE0NDIxNC9wcmVzdXB1ZXN0by0yMDIxLWhvbmR1cmFzLXNlcmEtMTEtODkyLTUtbWlsbG9uZXMtZG9sYXJlcy5odG1s0gF4aHR0cHM6Ly93d3cubGF2YW5ndWFyZGlhLmNvbS9wb2xpdGljYS8yMDIwMTIyMy82MTQ0MjE0L3ByZXN1cHVlc3RvLTIwMjEtaG9uZHVyYXMtc2VyYS0xMS04OTItNS1taWxsb25lcy1kb2xhcmVzLmFtcC5odG1s?oc=5	La Vanguardia	2020-12-23	El presupuesto para 2021 en Honduras será de 11.892,5 millones de dólares	0
El Congreso de Honduras aprueba un proyecto de ley que prohíbe el aborto - EL PAÍS	https://news.google.com/__i/rss/rd/articles/CBMidmh0dHBzOi8vZWxwYWlzLmNvbS9zb2NpZWRhZC8yMDIxLTAxLTIyL2VsLXBhcmxhbWVudG8tZGUtaG9uZHVyYXMtYXBydWViYS11bi1wcm95ZWN0by1kZS1sZXktcXVlLXByb2hpYmUtZWwtYWJvcnRvLmh0bWzSAYUBaHR0cHM6Ly9lbHBhaXMuY29tL3NvY2llZGFkLzIwMjEtMDEtMjIvZWwtcGFybGFtZW50by1kZS1ob25kdXJhcy1hcHJ1ZWJhLXVuLXByb3llY3RvLWRlLWxleS1xdWUtcHJvaGliZS1lbC1hYm9ydG8uaHRtbD9vdXRwdXRUeXBlPWFtcA?oc=5	EL PAÍS	2021-01-21	El Congreso de Honduras aprueba un proyecto de ley que prohíbe el aborto	0
Restringen circulación de personas en 4 departamentos de Honduras por el covid-19 - CNN	https://news.google.com/__i/rss/rd/articles/CBMieGh0dHBzOi8vY25uZXNwYW5vbC5jbm4uY29tLzIwMjEvMDEvMzAvcmVzdHJpbmdlbi1jaXJjdWxhY2lvbi1kZS1wZXJzb25hcy1lbi00LWRlcGFydGFtZW50b3MtZGUtaG9uZHVyYXMtcG9yLWVsLWNvdmlkLTE5L9IBfGh0dHBzOi8vY25uZXNwYW5vbC5jbm4uY29tLzIwMjEvMDEvMzAvcmVzdHJpbmdlbi1jaXJjdWxhY2lvbi1kZS1wZXJzb25hcy1lbi00LWRlcGFydGFtZW50b3MtZGUtaG9uZHVyYXMtcG9yLWVsLWNvdmlkLTE5L2FtcC8?oc=5	CNN	2021-01-30	Restringen circulación de personas en 4 departamentos de Honduras por el covid-19	0
Olimpia de Honduras tendrá uno de los CAR más costosos en Centroamérica - Periódico La República (Costa Rica)	https://news.google.com/__i/rss/rd/articles/CBMia2h0dHBzOi8vd3d3LmxhcmVwdWJsaWNhLm5ldC9ub3RpY2lhL29saW1waWEtZGUtaG9uZHVyYXMtdGVuZHJhLXVuby1kZS1sb3MtY2FyLW1hcy1jb3N0b3Nvcy1lbi1jZW50cm9hbWVyaWNh0gEA?oc=5	Periódico La República (Costa Rica)	2021-02-15	Olimpia de Honduras tendrá uno de los CAR más costosos en Centroamérica	0
Jorge Cálix y Luis Redondo advierten intención de abolir la extradición en Honduras - ElHeraldo.hn	https://news.google.com/__i/rss/rd/articles/CBMiSmh0dHBzOi8vd3d3LmVsaGVyYWxkby5obi9wYWlzLzE0NDY3ODQtNDY2L2Fib2xpci1leHRyYWRpY2lvbi1ob25kdXJhcy1lZXV10gFPaHR0cDovL3d3dy5lbGhlcmFsZG8uaG4vcGFpcy8xNDQ2Nzg0LTQ2Ni9hYm9saXItZXh0cmFkaWNpb24taG9uZHVyYXMtZWV1dT9hbXA9MQ?oc=5	ElHeraldo.hn	2021-03-03	Jorge Cálix y Luis Redondo advierten intención de abolir la extradición en Honduras	0
Cinco años sin Berta Cáceres - La Vanguardia	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmxhdmFuZ3VhcmRpYS5jb20vdmlkYS9qdW5pb3ItcmVwb3J0LzIwMjEwMzA0LzYyNjI5OTcvY2luY28tYW5vcy1iZXJ0YS1jYWNlcmVzLmh0bWzSAWJodHRwczovL3d3dy5sYXZhbmd1YXJkaWEuY29tL3ZpZGEvanVuaW9yLXJlcG9ydC8yMDIxMDMwNC82MjYyOTk3L2NpbmNvLWFub3MtYmVydGEtY2FjZXJlcy5hbXAuaHRtbA?oc=5	La Vanguardia	2021-03-04	Cinco años sin Berta Cáceres	0
