title	link	source	date	title_corrected	migracion
Fears of HIV spike in Jamaica as pandemic hits prevention efforts - Reuters UK	https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2FydGljbGUvaGVhbHRoLWNvcm9uYXZpcnVzLWphbWFpY2EtYWlkcy1pZFVLTDhOMkVGNTlL0gE0aHR0cHM6Ly9tb2JpbGUucmV1dGVycy5jb20vYXJ0aWNsZS9hbXAvaWRVS0w4TjJFRjU5Sw?oc=5	Reuters UK	2020-07-20	Fears of HIV spike in Jamaica as pandemic hits prevention efforts	0
Jamaica's Port Royal: The wickedest city on Earth? - BBC News	https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vd3d3LmJiYy5jb20vdHJhdmVsL2FydGljbGUvMjAyMDA5MjEtamFtYWljYXMtcG9ydC1yb3lhbC10aGUtd2lja2VkZXN0LWNpdHktb24tZWFydGjSAQA?oc=5	BBC News	2020-09-21	Jamaica's Port Royal: The wickedest city on Earth?	0
The Bank of Jamaica uses reggae to explain monetary policy : Planet Money : The Indicator from Planet Money - NPR	https://news.google.com/__i/rss/rd/articles/CBMiUmh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMC8wOS8yMS85MTU0MTE0MDkvamFtYWljYW4tbW9uZXRhcnktcG9saWN5LWJlaGluZC10aGUtbXVzaWPSAQA?oc=5	NPR	2020-09-21	The Bank of Jamaica uses reggae to explain monetary policy : Planet Money : The Indicator from Planet Money	0
Jamaican Entrepreneur Built Chain of Caribbean Resorts - The Wall Street Journal	https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvamFtYWljYW4tZW50cmVwcmVuZXVyLWJ1aWx0LWNoYWluLW9mLWNhcmliYmVhbi1yZXNvcnRzLTExNjEwNTUwMDAx0gEA?oc=5	The Wall Street Journal	2021-01-13	Jamaican Entrepreneur Built Chain of Caribbean Resorts	0
The Jamaican connection - The Washington Post	https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9uYXRpb24vMjAyMS8wMS8xMy9kb25hbGQta2FtYWxhLWhhcnJpcy1mYXRoZXIv0gFcaHR0cHM6Ly93d3cud2FzaGluZ3RvbnBvc3QuY29tL25hdGlvbi8yMDIxLzAxLzEzL2RvbmFsZC1rYW1hbGEtaGFycmlzLWZhdGhlci8_b3V0cHV0VHlwZT1hbXA?oc=5	The Washington Post	2021-01-13	The Jamaican connection	0
Jamaica Faces Marijuana Shortage as Farmers Struggle - U.S. News & World Report	https://news.google.com/__i/rss/rd/articles/CBMiamh0dHBzOi8vd3d3LnVzbmV3cy5jb20vbmV3cy93b3JsZC9hcnRpY2xlcy8yMDIxLTAyLTA1L2phbWFpY2EtZmFjZXMtbWFyaWp1YW5hLXNob3J0YWdlLWFzLWZhcm1lcnMtc3RydWdnbGXSAXZodHRwczovL3d3dy51c25ld3MuY29tL25ld3Mvd29ybGQvYXJ0aWNsZXMvMjAyMS0wMi0wNS9qYW1haWNhLWZhY2VzLW1hcmlqdWFuYS1zaG9ydGFnZS1hcy1mYXJtZXJzLXN0cnVnZ2xlP2NvbnRleHQ9YW1w?oc=5	U.S. News & World Report	2021-02-05	Jamaica Faces Marijuana Shortage as Farmers Struggle	0
An American flight attendant was alleged to have been kidnapped in Jamaica. Authorities say it was a lie. - NBC News	https://news.google.com/__i/rss/rd/articles/CBMicWh0dHBzOi8vd3d3Lm5iY25ld3MuY29tL25ld3MvdXMtbmV3cy9hbWVyaWNhbi13YXMtYWxsZWdlZC1oYXZlLWJlZW4ta2lkbmFwcGVkLWphbWFpY2EtYXV0aG9yaXRpZXMtc2F5LWl0LW4xMjU3OTQ30gEsaHR0cHM6Ly93d3cubmJjbmV3cy5jb20vbmV3cy9hbXAvbmNuYTEyNTc5NDc?oc=5	NBC News	2021-02-15	An American flight attendant was alleged to have been kidnapped in Jamaica. Authorities say it was a lie.	0
Bunny Wailer, reggae luminary, dies in Jamaica at age 73 - The Associated Press	https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2J1bm55LXdhaWxlci1kZWFkLTQxZjY1Njk3M2U1OGM2ZWJlOThjMjIzYmMwNmZmYzFi0gEA?oc=5	The Associated Press	2021-03-04	Bunny Wailer, reggae luminary, dies in Jamaica at age 73	0
Is the Jamaican government giving BPO investors the “green light to disregard labour laws”? - Equal Times	https://news.google.com/__i/rss/rd/articles/CBMiPGh0dHBzOi8vd3d3LmVxdWFsdGltZXMub3JnL2lzLXRoZS1qYW1haWNhbi1nb3Zlcm5tZW50LWdpdmluZ9IBAA?oc=5	Equal Times	2021-03-08	Is the Jamaican government giving BPO investors the “green light to disregard labour laws”?	0
Ackee and saltfish: Jamaica's breakfast of champions - BBC News	https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmJiYy5jb20vdHJhdmVsL2FydGljbGUvMjAyMTAzMTUtYWNrZWUtYW5kLXNhbHRmaXNoLWphbWFpY2FzLWJyZWFrZmFzdC1vZi1jaGFtcGlvbnPSAQA?oc=5	BBC News	2021-03-15	Ackee and saltfish: Jamaica's breakfast of champions	0
